,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like restaurants further away. Between Falafel House and Madras Pantry, this person should go to ->",Madras Pantry,Falafel House,"{'Fl': 0.056714883902876524, 'ad': 0.05373643585540795, 'The': 0.013740568740432833, 'Mad': 0.6271587754649532, 'Fal': 0.16300596235163137}",Mad,True
1,"Someone doesn't like restaurants further away. Between Tortería San Cosme and Aroma Espresso Bar, this person should go to ->",Tortería San Cosme,Aroma Espresso Bar,"{'or': 1.253884665844553e-05, 'Gor': 4.879274583846396e-06, 'T': 4.779479063171733e-06, 'A': 0.999880479543139, 'Tor': 6.045616505996874e-05}",A,False
2,"Someone doesn't like restaurants further away. Between Eggspectation and Bake Island, this person should go to ->",Bake Island,Eggspectation,"{'Egg': 0.1901189214972298, 'Cafe': 0.048233450734027336, 'B': 0.0848776136048809, 'Bake': 0.5517030446772613, 'Beach': 0.013115966160760183}",Bake,True
3,"Someone doesn't like restaurants further away. Between El Fogón and Ciao Europa wine bar, this person should go to ->",El Fogón,Ciao Europa wine bar,"{'El': 0.00010699301564271305, 'C': 0.9997449993781868, 'B': 1.7808173868029538e-05, 'restaurant': 1.035519740045524e-05, 'l': 2.3538951460703848e-05}",C,False
4,"Someone doesn't like restaurants further away. Between Anatolia Restaurant and Nutella Cafe by Pusateri's, this person should go to ->",Anatolia Restaurant,Nutella Cafe by Pusateri's,"{'Nik': 4.5370066434813435e-05, 'Nut': 0.004673096336120954, 'Anat': 0.0015125770911542345, 'P': 0.992754416725563, 'ut': 0.0005795706425648056}",P,False
5,"Someone doesn't like restaurants further away. Between El Fogón and Beryl's Pepper Pot, this person should go to ->",El Fogón,Beryl's Pepper Pot,"{'El': 2.5846483527905384e-05, 'B': 0.9999455693444019, 'F': 2.629959792274553e-06, 'The': 2.6677690409994883e-06, 'l': 3.5908522072500905e-06}",B,False
6,"Someone doesn't like restaurants further away. Between Sweet Jesus and Queen Pita, this person should go to ->",Sweet Jesus,Queen Pita,"{'Sweet': 0.9960032388952149, 'King': 0.0025648250738868885, 'ueen': 4.715370372537856e-05, 'The': 7.782249731560984e-05, 'Queen': 0.000618068540313576}",Sweet,True
7,"Someone doesn't like restaurants further away. Between Tortería San Cosme and Queen Slice, this person should go to ->",Tortería San Cosme,Queen Slice,"{'Q': 0.10335877404891985, 'Gor': 0.023839695726895874, 'King': 0.38241627445089027, 'Tor': 0.05063470845452942, 'Queen': 0.29516979852775715}",King,False
8,"Someone doesn't like restaurants further away. Between Madras Pantry and Tim Hortons, this person should go to ->",Madras Pantry,Tim Hortons,"{'im': 0.030764538491226217, 'ad': 0.010903864623186902, 'The': 0.013710161578894637, 'Mad': 0.10434969169409454, 'Tim': 0.7781692371415924}",Tim,False
9,"Someone doesn't like restaurants further away. Between Galata Cafe and Just Soups Take Out & Catering, this person should go to ->",Just Soups Take Out & Catering,Galata Cafe,"{'Just': 0.5064384413472466, 'al': 0.03160517518882969, 'Yes': 0.025678382215079103, 'Gal': 0.38395566069551246, 'ust': 0.009875298902948748}",Just,True
10,"Someone doesn't like restaurants further away. Between Sweet Jesus and El Fogón, this person should go to ->",El Fogón,Sweet Jesus,"{'Sweet': 0.9992033129637727, 'Fl': 4.7209661194216696e-05, 'El': 0.0003105977162441489, 'The': 6.237911712867212e-05, 'l': 6.363855885635974e-05}",Sweet,False
11,"Someone doesn't like restaurants further away. Between Queen Pita and FreshCo, this person should go to ->",FreshCo,Queen Pita,"{'Fresh': 0.7375541571798969, 'King': 0.10242617334134767, 'P': 0.010357814707192733, 'The': 0.014341000161122016, 'Queen': 0.036103787581204194}",Fresh,True
12,"Someone doesn't like restaurants further away. Between Carole's Cheesecake Cafe and Branca, this person should go to ->",Branca,Carole's Cheesecake Cafe,"{'Fl': 0.003919100953817902, 'Br': 0.10977801474110495, 'Car': 0.8587063641100686, 'r': 0.003875047337974347, 'ar': 0.0032637775394785537}",Car,False
13,"Someone doesn't like restaurants further away. Between Hina Sushi and Sichuan Landscape Chinese Restaurant, this person should go to ->",Sichuan Landscape Chinese Restaurant,Hina Sushi,"{'S': 0.8126877211896734, 'H': 0.1870528091731563, 'Chinese': 3.562635090336326e-05, 'L': 5.83236433795892e-05, 'restaurant': 2.125018408091658e-05}",S,True
14,"Someone doesn't like restaurants further away. Between Scaddabush Italian Kitchen & Bar and Mirage Grill & Lounge, this person should go to ->",Scaddabush Italian Kitchen & Bar,Mirage Grill & Lounge,"{'Sc': 0.21327006619318226, 'Fl': 0.005286688614010429, 'Shell': 0.0011344810015320736, 'c': 0.0022003155435861795, 'Mirage': 0.7632922450470424}",Mirage,False
15,"Someone doesn't like restaurants further away. Between Cake Opera and Eggspectation, this person should go to ->",Cake Opera,Eggspectation,"{'Egg': 0.4920905375543081, 'Pizza': 0.00899573232696841, 'Cafe': 0.08190276729403356, 'Cake': 0.302521236702566, 'C': 0.01788632186250599}",Egg,False
16,"Someone doesn't like restaurants further away. Between To-ne Sushi and Mamma's Pizza, this person should go to ->",Mamma's Pizza,To-ne Sushi,"{'No': 0.004197370588925244, 'To': 0.7776881660478571, 'Mam': 0.180142909757645, 'Yes': 0.005268694869216523, 'The': 0.005763903746873458}",To,False
17,"Someone doesn't like restaurants further away. Between Paradise Farms Prime Beef Bistro and Mt Everest Restaurant, this person should go to ->",Paradise Farms Prime Beef Bistro,Mt Everest Restaurant,"{'Garden': 0.005692919894435687, 'Mt': 0.5058185352522723, 'Paradise': 0.41836563664244314, 'Cafe': 0.0036699765741552304, 'Mountain': 0.010997206422812118}",Mt,False
18,"Someone doesn't like restaurants further away. Between The Empire and Adega Restaurante, this person should go to ->",The Empire,Adega Restaurante,"{'Ad': 0.0003610507600352706, 'Fl': 1.3566378434822547e-05, 'd': 1.4565395700782718e-05, 'The': 0.999425877771274, 'Second': 2.3849388031875096e-05}",The,True
19,"Someone doesn't like restaurants further away. Between Galata Cafe and McDonald's, this person should go to ->",McDonald's,Galata Cafe,"{'McDonald': 0.16262595008233247, 'Starbucks': 0.017087608966174162, 'al': 0.06362477121200236, 'Gal': 0.6089428061806216, 'restaurant': 0.025869396790659843}",Gal,False
20,"Someone doesn't like restaurants further away. Between Popeyes Louisiana Kitchen and Sheriff Broaster Chicken, this person should go to ->",Sheriff Broaster Chicken,Popeyes Louisiana Kitchen,"{'Sheriff': 0.006252468082397621, 'Starbucks': 6.62149029676398e-05, 'her': 0.0001440562081750539, 'The': 0.00012681502871442739, 'Pop': 0.9924786886939408}",Pop,False
21,"Someone doesn't like restaurants further away. Between Pizzeria Via Mercanti and Cantine Bar & Grill, this person should go to ->",Cantine Bar & Grill,Pizzeria Via Mercanti,"{'Cant': 8.995068340381367e-05, 'Pizza': 2.7006202395211402e-05, 'C': 2.5395209603857528e-05, 'P': 0.9997967963586573, 'restaurant': 7.305748894108522e-06}",P,False
22,"Someone doesn't like restaurants further away. Between Sizzlers and Sushi Shop, this person should go to ->",Sushi Shop,Sizzlers,"{'Sakura': 3.257351575242105e-05, 'S': 0.9994922167155915, 'Yes': 6.759395513456343e-05, 'L': 3.5994334748105674e-05, 'restaurant': 7.49026715389816e-05}",S,False
23,"Someone doesn't like restaurants further away. Between Dinah's Cupboard and Carole's Cheesecake Cafe, this person should go to ->",Dinah's Cupboard,Carole's Cheesecake Cafe,"{'Dim': 0.0037628260306380207, 'Car': 0.6801513037826197, 'Din': 0.3043223735911705, 'C': 0.0030226238509115807, 'ar': 0.0012623925618003645}",Car,False
24,"Someone doesn't like restaurants further away. Between Oxygen Restaurant & Lounge and Amaya Express, this person should go to ->",Amaya Express,Oxygen Restaurant & Lounge,"{'Am': 0.19492730203622158, 'A': 0.02022510751714587, 'Yes': 0.02156537413189283, 'Oxy': 0.6909303197666999, 'm': 0.021909987409964655}",Oxy,False
25,"Someone doesn't like restaurants further away. Between Mamma's Pizza and LCBO, this person should go to ->",Mamma's Pizza,LCBO,"{'LC': 0.7530135474820966, 'Mam': 0.18947386112301703, 'Yes': 0.0017424456615590864, 'L': 0.011214692836683226, 'C': 0.02974947482760277}",LC,False
26,"Someone doesn't like restaurants further away. Between Branca and Druxy's Famous Deli, this person should go to ->",Branca,Druxy's Famous Deli,"{'Fl': 0.01503866090494216, 'Br': 0.19588612176641293, 'Dru': 0.7199428824855486, 'The': 0.005621500825092689, 'r': 0.009244277200009225}",Dru,False
27,"Someone doesn't like restaurants further away. Between Eggspectation and Juice & Java Cafe, this person should go to ->",Juice & Java Cafe,Eggspectation,"{'Egg': 0.24186194277848713, 'Cafe': 0.003105726852529277, 'Juice': 0.7211585954039044, 'Sauce': 0.0047155524554210225, 'L': 0.0020820997484888425}",Juice,True
28,"Someone doesn't like restaurants further away. Between Bagel Nash and Tortería San Cosme, this person should go to ->",Tortería San Cosme,Bagel Nash,"{'or': 0.03686111417449219, 'Gor': 0.017319081646032415, 'Bag': 0.6325539788288422, 'T': 0.029463057162352837, 'Tor': 0.2133727164447042}",Bag,False
29,"Someone doesn't like restaurants further away. Between Watson's and Bagel Nash, this person should go to ->",Watson's,Bagel Nash,"{'Watson': 0.7945135407831511, 'Bag': 0.17829606926168393, 'Yes': 0.0015400546133055204, 'B': 0.003667519613648571, 'The': 0.002118356980439024}",Watson,True
