,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like small cities. If I were you, between Moscow and Dublin I would visit ->",Moscow,Dublin,"{'Tokyo': 0.04338774721375154, 'Madrid': 0.055570177362513413, 'Dublin': 0.4010692192454097, 'M': 0.03053789217725567, 'Moscow': 0.2789375659945697}",Dublin,False
1,"You don't like small cities. If I were you, between Riyadh and Palmerston North I would visit ->",Riyadh,Palmerston North,"{'Man': 0.0049998668345135186, 'Palmer': 0.9039249969569215, 'R': 0.03809607578207212, 'Riyadh': 0.014101924521859925, 'New': 0.016391571650599297}",Palmer,False
2,"You don't like small cities. If I were you, between Lahore and La Paz I would visit ->",Lahore,La Paz,"{'city': 0.009805622826848739, 'Gu': 0.005659985209120803, 'Lah': 0.47806106672299226, 'La': 0.4080082435510924, 'Kh': 0.008622515633928315}",Lah,True
3,"You don't like small cities. If I were you, between Lahore and Tashkent I would visit ->",Lahore,Tashkent,"{'city': 0.0023604027918385376, 'Lah': 0.14755604636775693, 'T': 0.8187404714696994, 'Kuala': 0.001993632355136856, 'Kh': 0.008027371015171127}",T,False
4,"You don't like small cities. If I were you, between Beijing and Hobart I would visit ->",Beijing,Hobart,"{'Beijing': 0.6047470848048137, 'Tokyo': 0.05152866624782354, 'Hob': 0.03808899057092173, 'city': 0.0204944942926437, 'B': 0.03197141681104848}",Beijing,True
5,"You don't like small cities. If I were you, between Alexandria and Tampa I would visit ->",Alexandria,Tampa,"{'Tampa': 0.7144206388996608, 'Tall': 0.025086791660917308, 'Alexandria': 0.016549271438019337, 'T': 0.19039892550440754, 'St': 0.011651818694949991}",Tampa,False
6,"You don't like small cities. If I were you, between Luanda and Tripoli I would visit ->",Luanda,Tripoli,"{'Tunis': 0.008887594953248796, 'N': 0.005765398520904099, 'Tripoli': 0.6921210575558003, 'Kh': 0.02109479186522288, 'Lu': 0.15592376142558884}",Tripoli,False
7,"You don't like small cities. If I were you, between Mexico City and Cayenne I would visit ->",Mexico City,Cayenne,"{'city': 0.038272509811464274, 'Gu': 0.04807664359250814, 'C': 0.011149179179211845, 'M': 0.03276929926270644, 'Mexico': 0.7613993109590015}",Mexico,True
8,"You don't like small cities. If I were you, between Lahore and Conakry I would visit ->",Lahore,Conakry,"{'Singapore': 0.011031361690301179, 'city': 0.009526746644783998, 'Lah': 0.7707880083275171, 'Lod': 0.01362727472601161, 'Kh': 0.04064610766383731}",Lah,True
9,"You don't like small cities. If I were you, between Sydney and La Ceiba I would visit ->",Sydney,La Ceiba,"{'Tokyo': 0.0012422717737051395, 'Sydney': 0.9630895604525734, 'city': 0.0018201264541588811, 'S': 0.018219464105760044, 'New': 0.005146957065508465}",Sydney,True
10,"You don't like small cities. If I were you, between Mexico City and Conakry I would visit ->",Mexico City,Conakry,"{'Madrid': 0.02629555146296672, 'Gu': 0.0501113875656371, 'Mon': 0.026157856338439683, 'M': 0.02297367462749062, 'Mexico': 0.7193945669107255}",Mexico,True
11,"You don't like small cities. If I were you, between Riyadh and Ouahigouya I would visit ->",Riyadh,Ouahigouya,"{'Dh': 0.018731804957078317, 'R': 0.03982630322220612, 'Riyadh': 0.7328592387382281, 'Ou': 0.1371348267826234, 'Kh': 0.018845977181231263}",Riyadh,True
12,"You don't like small cities. If I were you, between Kuwait City and Murmansk I would visit ->",Kuwait City,Murmansk,"{'Istanbul': 0.02168163912222381, 'Kuwait': 0.21476368390174322, 'M': 0.05000076368353162, 'Kh': 0.0759892041077387, 'Mur': 0.3403684063153548}",Mur,False
13,"You don't like small cities. If I were you, between Cairo and Toluca I would visit ->",Cairo,Toluca,"{'Tehran': 0.005877010880403562, 'Cairo': 0.9034249086728459, 'C': 0.04811719891410609, 'Kh': 0.006546031439879507, 'bigger': 0.0033226231586422324}",Cairo,True
14,"You don't like small cities. If I were you, between Baghdad and Conakry I would visit ->",Baghdad,Conakry,"{'Tokyo': 0.003104031588516987, 'Madrid': 0.003203153774452636, 'Baghdad': 0.9313183649090715, 'Tehran': 0.014720709015905293, 'B': 0.016001921023191285}",Baghdad,True
15,"You don't like small cities. If I were you, between Surabaya and Thiès I would visit ->",Surabaya,Thiès,"{'Singapore': 0.05505684951661556, 'city': 0.024463986050519387, 'Sur': 0.7291081310923061, 'Th': 0.023632093422044306, 'bigger': 0.01868066401447083}",Sur,True
16,"You don't like small cities. If I were you, between Paris and Nairobi I would visit ->",Paris,Nairobi,"{'Tokyo': 0.013688153886730068, 'N': 0.7931929979282147, 'aris': 0.004788912159155758, 'Paris': 0.16516709839311125, 'New': 0.003225792572543379}",N,False
17,"You don't like small cities. If I were you, between Kunming and Djibouti I would visit ->",Kunming,Djibouti,"{'Kum': 0.030552291133195294, 'Dj': 0.030145814138237637, 'Dh': 0.020416438373378493, 'Kun': 0.6723387656042463, 'K': 0.13718501359686092}",Kun,True
18,"You don't like small cities. If I were you, between Medellín and Sucre I would visit ->",Medellín,Sucre,"{'city': 1.4225306949677134e-05, 'Med': 0.9998554462089062, 'San': 1.175791414321181e-05, 'M': 8.09389487184953e-06, 'Suc': 1.2931284855617874e-05}",Med,True
19,"You don't like small cities. If I were you, between Melbourne and Mexicali I would visit ->",Melbourne,Mexicali,"{'Madrid': 0.0029293647158240483, 'Melbourne': 0.9589938903251143, 'city': 0.003553415590087994, 'M': 0.0037849840731044746, 'Mex': 0.004389676696724785}",Melbourne,True
20,"You don't like small cities. If I were you, between Sydney and Tirana I would visit ->",Sydney,Tirana,"{'Tokyo': 0.003382223315778964, 'Sydney': 0.9464434372721152, 'Adelaide': 0.002327338357975558, 'S': 0.02954356870305148, 'New': 0.005115168181809127}",Sydney,True
21,"You don't like small cities. If I were you, between Manila and Nouakchott I would visit ->",Manila,Nouakchott,"{'Tokyo': 0.08604384388694894, 'Madrid': 0.0205142502538006, 'Man': 0.20657370609982642, 'Manila': 0.5847306296104002, 'New': 0.019713216102942122}",Manila,True
22,"You don't like small cities. If I were you, between Monterrey and Erbil I would visit ->",Monterrey,Erbil,"{'Monte': 2.668766725043088e-05, 'Mon': 0.9997418998135854, 'San': 5.3240030050653696e-05, 'M': 2.3413775786427206e-05, 'Er': 5.670801495440566e-05}",Mon,True
23,"You don't like small cities. If I were you, between Chicago and Honolulu I would visit ->",Chicago,Honolulu,"{'Tokyo': 0.00915993313495631, 'Honolulu': 0.014831499727430024, 'O': 0.014286360615325655, 'Chicago': 0.8675841577941624, 'Ch': 0.01209471135530345}",Chicago,True
24,"You don't like small cities. If I were you, between Santiago and Djibouti I would visit ->",Santiago,Djibouti,"{'Sant': 0.027289766514905802, 'San': 0.024893117981458778, 'S': 0.06021748622448522, 'Santiago': 0.8154503024335081, 'Conce': 0.01189735229308567}",Santiago,True
25,"You don't like small cities. If I were you, between Lagos and Oslo I would visit ->",Lagos,Oslo,"{'Lag': 0.030169825793225864, 'Edmonton': 0.0320950104057911, 'Stockholm': 0.09365184024919998, 'Oslo': 0.49927391798600274, 'O': 0.09949819258076628}",Oslo,False
26,"You don't like small cities. If I were you, between Dar es Salaam and Kabul I would visit ->",Dar es Salaam,Kabul,"{'Tehran': 0.17787258493141117, 'Kabul': 0.22059889086188764, 'D': 0.05477568981333932, 'Kh': 0.21342452963012312, 'Dar': 0.07734102807221592}",Kabul,False
27,"You don't like small cities. If I were you, between Manila and Caracas I would visit ->",Manila,Caracas,"{'Tokyo': 0.05569337944861713, 'Madrid': 0.010439516602940175, 'Man': 0.23646470998657165, 'Car': 0.007717135754851044, 'Manila': 0.6190913750417778}",Manila,True
28,"You don't like small cities. If I were you, between Phoenix and Honolulu I would visit ->",Phoenix,Honolulu,"{'Salt': 0.015549901107864165, 'Honolulu': 0.16234283734635108, 'O': 0.02723858349420158, 'Hon': 0.023262450148836187, 'Phoenix': 0.6644753480580483}",Phoenix,True
29,"You don't like small cities. If I were you, between Karachi and Bangui I would visit ->",Karachi,Bangui,"{'Singapore': 0.0048654187161871814, 'B': 0.2804024742105212, 'Karachi': 0.6489788574028432, 'K': 0.00951092253780369, 'Kh': 0.027278901893169307}",Karachi,True
30,"You don't like small cities. If I were you, between Manila and Oslo I would visit ->",Manila,Oslo,"{'Tokyo': 0.24232935670424835, 'Singapore': 0.0961205063724389, 'Madrid': 0.16684639170500323, 'Oslo': 0.11063781948694743, 'O': 0.0917736921787887}",Tokyo,False
31,"You don't like small cities. If I were you, between Manila and Rabat I would visit ->",Manila,Rabat,"{'Tokyo': 0.07888582697730322, 'Madrid': 0.01884225169981851, 'Man': 0.1383269905384554, 'Manila': 0.6742371468693394, 'M': 0.008476847121700253}",Manila,True
32,"You don't like small cities. If I were you, between Jakarta and Milwaukee I would visit ->",Jakarta,Milwaukee,"{'Milwaukee': 0.7556556318547505, 'Warsaw': 0.08171672383182635, 'W': 0.012145506657800498, 'Jakarta': 0.027061868726363604, 'Seattle': 0.020310375807324567}",Milwaukee,False
33,"You don't like small cities. If I were you, between Chicago and Curitiba I would visit ->",Chicago,Curitiba,"{'city': 0.012478800929796505, 'Chicago': 0.9116822953146395, 'bigger': 0.008644733390987461, 'Ch': 0.014908084936561244, 'New': 0.005722462838992801}",Chicago,True
34,"You don't like small cities. If I were you, between Toronto and Lusaka I would visit ->",Toronto,Lusaka,"{'Tokyo': 0.018389568582389503, 'city': 0.014560421317365615, 'T': 0.016200222536778004, 'bigger': 0.012874450666785778, 'Toronto': 0.8881044633510862}",Toronto,True
35,"You don't like small cities. If I were you, between Chicago and Malabo I would visit ->",Chicago,Malabo,"{'city': 0.013650851204382593, 'Chicago': 0.8801205431840012, 'bigger': 0.007980629387631742, 'Ch': 0.022912102833958573, 'Detroit': 0.00989060462728819}",Chicago,True
36,"You don't like small cities. If I were you, between Buenos Aires and Chicago I would visit ->",Buenos Aires,Chicago,"{'San': 0.05331049835207082, 'B': 0.05978413226352669, 'Buenos': 0.2849332889422206, 'Chicago': 0.26197366383165344, 'New': 0.07108091521034138}",Buenos,True
37,"You don't like small cities. If I were you, between Manila and Denver I would visit ->",Manila,Denver,"{'Denver': 0.5092282167243621, 'Singapore': 0.041813170723609454, 'Man': 0.05035824094615192, 'Manila': 0.03700894643593272, 'New': 0.038395419897680846}",Denver,False
38,"You don't like small cities. If I were you, between Rome and El Paso I would visit ->",Rome,El Paso,"{'Rome': 0.7541939092244675, 'Madrid': 0.011338502999758554, 'Rio': 0.012286879417161882, 'R': 0.1168825142958024, 'New': 0.014003639764193004}",Rome,True
39,"You don't like small cities. If I were you, between Dar es Salaam and Oslo I would visit ->",Dar es Salaam,Oslo,"{'Tokyo': 0.0857402415995675, 'Stockholm': 0.13547273183285863, 'Oslo': 0.33846276252253754, 'O': 0.07433366011751781, 'Dar': 0.03744071613568447}",Oslo,False
40,"You don't like small cities. If I were you, between San Diego and Reykjavík I would visit ->",San Diego,Reykjavík,"{'Sant': 3.1052103695869064e-05, 'Rey': 0.0003972431485085594, 'San': 0.9993860012744111, 'S': 4.912684162145834e-05, 'SD': 1.736416427336661e-05}",San,True
41,"You don't like small cities. If I were you, between Yaoundé and Gabès I would visit ->",Yaoundé,Gabès,"{'Dak': 0.02436914003065186, 'Gab': 0.021279842837325362, 'Ya': 0.7684232737190724, 'Ou': 0.016988748618724927, 'Libre': 0.01987843705118581}",Ya,True
42,"You don't like small cities. If I were you, between Surabaya and Viedma I would visit ->",Surabaya,Viedma,"{'Singapore': 0.021394857276856315, 'ur': 0.015469834694607297, 'city': 0.015550274309969159, 'Sur': 0.827130249489468, 'V': 0.019007668043421255}",Sur,True
43,"You don't like small cities. If I were you, between Dar es Salaam and Santiago del Estero I would visit ->",Dar es Salaam,Santiago del Estero,"{'Salvador': 0.023464092619793948, 'San': 0.017938220841213534, 'S': 0.05098815133574242, 'Santiago': 0.7182926517577487, 'Dar': 0.045892030703834456}",Santiago,False
44,"You don't like small cities. If I were you, between Berlin and Honolulu I would visit ->",Berlin,Honolulu,"{'Berlin': 0.7468826957367745, 'Tokyo': 0.07305731565066695, 'Warsaw': 0.021447900868612868, 'Honolulu': 0.012868657180462562, 'New': 0.027201365628781914}",Berlin,True
45,"You don't like small cities. If I were you, between Bangkok and Phoenix I would visit ->",Bangkok,Phoenix,"{'Tokyo': 0.0724086580800043, 'Singapore': 0.02542190182321335, 'B': 0.11678203854427384, 'Bangkok': 0.5752128688492667, 'Phoenix': 0.06991693390985736}",Bangkok,True
46,"You don't like small cities. If I were you, between Lima and Kampala I would visit ->",Lima,Kampala,"{'Madrid': 0.0019303703563362338, 'city': 0.0016321219515786445, 'Gu': 0.002083835693687122, 'C': 0.0014654592564618137, 'Lima': 0.9761114700244594}",Lima,True
47,"You don't like small cities. If I were you, between Lagos and Sapporo I would visit ->",Lagos,Sapporo,"{'Tokyo': 0.16493252963691518, 'city': 0.005306134897567285, 'Sapp': 0.7614397271070623, 'S': 0.03826761124372342, 'Sof': 0.0031900282704966447}",Sapp,False
