,prompt,answer,top_predictions,score
0,"Q: Is the following sentence plausible? ""Henrikh Mkhitaryan converted the first down.""
A: The answer is ->",no,"['no', 'o', 'yes', 'soccer', 'No']",True
1,"Q: Is the following sentence plausible? ""Leon Draisaitl shot the puck.""
A: The answer is ->",yes,"['no', 'yes', 'o', 'No', 'hockey']",False
2,"Q: Is the following sentence plausible? ""Karim Benzema pitched a complete game.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'o', 'No']",True
3,"Q: Is the following sentence plausible? ""Mathew Barzal backhanded a shot.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'Yes', 'YES']",True
4,"Q: Is the following sentence plausible? ""Juan Mata walked on ball four.""
A: The answer is ->",no,"['no', 'yes', 'o', 'baseball', 'soccer']",True
5,"Q: Is the following sentence plausible? ""Alex Pietrangelo took a backhand shot.""
A: The answer is ->",yes,"['yes', 'es', 'Yes', 'yeah', 'no']",True
6,"Q: Is the following sentence plausible? ""Mookie Betts earned a direct kick.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'o', 'not']",True
7,"Q: Is the following sentence plausible? ""Jakub Vrana skated backwards.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'Yes', 'yeah']",True
8,"Q: Is the following sentence plausible? ""Nikola Jokic threw a touchdown in the AFC championship.""
A: The answer is ->",no,"['no', 'o', 'yes', 'No', 'basketball']",True
9,"Q: Is the following sentence plausible? ""Collin Sexton nutmegged the defender.""
A: The answer is ->",no,"['no', 'soccer', 'yes', 'o', 'No']",True
10,"Q: Is the following sentence plausible? ""Russell Westbrook scored on the power play.""
A: The answer is ->",no,"['no', 'yes', 'No', 'o', 'es']",True
11,"Q: Is the following sentence plausible? ""Marcus Smart took a heat check three.""
A: The answer is ->",yes,"['yes', 'no', 'Yes', 'YES', 'es']",True
12,"Q: Is the following sentence plausible? ""Joao Moutinho scored a freekick in the World Cup.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'Yes']",True
13,"Q: Is the following sentence plausible? ""Jonathan Toews scored a bicycle kick in the FA Cup.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'o', 'No']",True
14,"Q: Is the following sentence plausible? ""Luke Voit hit a single.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'YES', 'Yes']",True
15,"Q: Is the following sentence plausible? ""Gareth Bale stepped on first base.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'o', 'No']",True
16,"Q: Is the following sentence plausible? ""Max Scherzer converted the first down.""
A: The answer is ->",no,"['no', 'o', 'yes', 'No', 'football']",True
17,"Q: Is the following sentence plausible? ""Claude Giroux stepped on first base.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'es']",True
18,"Q: Is the following sentence plausible? ""James Harden scored in added time in the FA Cup.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'o', 'No']",True
19,"Q: Is the following sentence plausible? ""Jakub Vrana hit a walkoff homer.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'NO']",True
20,"Q: Is the following sentence plausible? ""Jonathan Marchessault skated backwards.""
A: The answer is ->",yes,"['yes', 'es', 'Yes', 'yeah', 'YES']",True
21,"Q: Is the following sentence plausible? ""Paul Goldschmidt threw a touchdown.""
A: The answer is ->",no,"['no', 'o', 'No', 'yes', 'football']",True
