,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone is looking for a big city to visit. Between Ljubljana and Phoenix, this person should visit ->",Phoenix,Ljubljana,"{'Ph': 0.0019005803349490596, 'S': 0.00010629024982630621, 'hoenix': 0.003613447413988852, 'L': 0.019338796875852358, 'Phoenix': 0.9747583995733548}",Phoenix,True
1,"Someone is looking for a big city to visit. Between Ho Chi Minh City and Luanda, this person should visit ->",Ho Chi Minh City,Luanda,"{'Singapore': 0.17860562787106543, 'Dh': 0.5430164852134098, 'H': 0.028411718377292595, 'Kh': 0.0369807304740109, 'Ho': 0.08233047073726525}",Dh,True
2,"Someone is looking for a big city to visit. Between Maputo and Shanghai, this person should visit ->",Shanghai,Maputo,"{'Tokyo': 0.00040904024836610806, 'Shanghai': 0.997199931325565, 'S': 0.0001221143081313683, 'Chinese': 0.0001436680683614518, 'Chong': 0.0020127633501806404}",Shanghai,True
3,"Someone is looking for a big city to visit. Between Minneapolis and Ljubljana, this person should visit ->",Minneapolis,Ljubljana,"{'Minneapolis': 0.8042706396224036, 'L': 0.19361157842765375, 'Seattle': 0.0006025288559821658, 'Detroit': 0.0005692450777281585, 'Minnesota': 0.0006081645932815698}",Minneapolis,True
4,"Someone is looking for a big city to visit. Between Cairo and Caracas, this person should visit ->",Cairo,Caracas,"{'Tehran': 7.895243306037407e-05, 'Cairo': 0.9971412191187176, 'Egyptians': 2.846648863207448e-05, 'gypt': 5.949870561613447e-05, 'Egypt': 0.0025461710430894394}",Cairo,True
5,"Someone is looking for a big city to visit. Between Cabo San Lucas and Minneapolis, this person should visit ->",Minneapolis,Cabo San Lucas,"{'Madrid': 0.2563448424827676, 'Rio': 0.05291735087710488, 'Cab': 0.36614761764364306, 'Minneapolis': 0.061988803435211, 'C': 0.11113868979275136}",Cab,False
6,"Someone is looking for a big city to visit. Between Upington and Brasília, this person should visit ->",Brasília,Upington,"{'Rio': 0.4556164690572456, 'Salvador': 0.0022313950637139726, 'S': 0.0013974244712677616, 'Bel': 0.005730505684816526, 'Bras': 0.5334495110104367}",Bras,True
7,"Someone is looking for a big city to visit. Between Bangkok and Manila, this person should visit ->",Manila,Bangkok,"{'Tokyo': 0.1510322030006459, 'Dh': 0.01569653172920012, 'Manila': 0.6431794572387572, 'Bangkok': 0.1340475086100898, 'Kuala': 0.050176143215262835}",Manila,True
8,"Someone is looking for a big city to visit. Between Dar es Salaam and Manaus, this person should visit ->",Dar es Salaam,Manaus,"{'Tai': 0.0012055637248277883, 'Tokyo': 0.0016444758134230384, 'Dh': 0.9778044009289013, 'Kuala': 0.005812258833152374, 'Dar': 0.009876513639418575}",Dh,True
9,"Someone is looking for a big city to visit. Between La Ceiba and Addis Ababa, this person should visit ->",Addis Ababa,La Ceiba,"{'Tehran': 0.001216794301762294, 'Add': 0.9717315731222103, 'dd': 0.003723502579692237, 'La': 0.01978579941215354, 'Acc': 0.0007331472422916571}",Add,True
10,"Someone is looking for a big city to visit. Between Bergen and Phoenix, this person should visit ->",Phoenix,Bergen,"{'Ph': 0.004597431504591199, 'City': 5.945867645857725e-05, 'hoenix': 0.0043932632100363595, 'Arizona': 8.529199100171897e-05, 'Phoenix': 0.9905018015661563}",Phoenix,True
11,"Someone is looking for a big city to visit. Between Reykjavík and Houston, this person should visit ->",Houston,Reykjavík,"{'Tokyo': 0.0002184411316707409, 'Madrid': 0.001131740574427107, 'Rio': 0.0021629418853209743, 'ouston': 0.005620548623506665, 'Houston': 0.9900137579805626}",Houston,True
12,"Someone is looking for a big city to visit. Between Baku and Saint Petersburg, this person should visit ->",Saint Petersburg,Baku,"{'Tokyo': 0.14512972229399118, 'Tehran': 0.10057801338742968, 'Istanbul': 0.42816179034721674, 'B': 0.1293820271891129, 'St': 0.12059558548029757}",Istanbul,False
13,"Someone is looking for a big city to visit. Between Changsha and Paris, this person should visit ->",Paris,Changsha,"{'Tokyo': 0.015882220547069125, 'Chang': 0.02989309385540164, 'aris': 0.01977973005998012, 'Chong': 0.050656921708668125, 'Paris': 0.8750847939047669}",Paris,True
14,"Someone is looking for a big city to visit. Between Ndola and Mumbai, this person should visit ->",Mumbai,Ndola,"{'Tokyo': 0.000360073277001736, 'Delhi': 0.00039951310092160554, 'Dh': 0.004478988676013803, 'Mumbai': 0.9930418929092746, 'Bombay': 0.0012938610097421343}",Mumbai,True
15,"Someone is looking for a big city to visit. Between Alexandria and Palembang, this person should visit ->",Alexandria,Palembang,"{'Dh': 0.0014639163544702082, 'Istanbul': 0.002146496072551811, 'Alexandria': 0.9481687530713537, 'Ant': 0.02661080081319124, 'Kuala': 0.011195174967254506}",Alexandria,True
16,"Someone is looking for a big city to visit. Between Ankara and Conakry, this person should visit ->",Ankara,Conakry,"{'Tokyo': 0.0006708744146398676, 'Madrid': 6.050642501325186e-05, 'Istanbul': 0.965262764393825, 'Ankara': 0.03350651437837023, 'ytes: \\xc4': 0.00037610217856104015}",Istanbul,True
17,"Someone is looking for a big city to visit. Between Saint Petersburg and Milwaukee, this person should visit ->",Saint Petersburg,Milwaukee,"{'Tokyo': 0.01733830956470332, 'Petersburg': 0.012021458714003999, 'St': 0.4957651263476546, 'Moscow': 0.0799658988147942, 'Saint': 0.35523980873593447}",St,True
18,"Someone is looking for a big city to visit. Between Christchurch and Los Angeles, this person should visit ->",Los Angeles,Christchurch,"{'A': 2.1601711722542113e-05, 'os': 0.0006969483174172413, 'L': 0.002712339859040852, 'Los': 0.9438070640767166, 'LA': 0.0527217813749924}",Los,True
19,"Someone is looking for a big city to visit. Between Honolulu and Ho Chi Minh City, this person should visit ->",Ho Chi Minh City,Honolulu,"{'Tokyo': 0.09731224984763348, 'Singapore': 0.114639219930443, 'Dh': 0.10142419569174448, 'H': 0.1617926017602292, 'Ho': 0.42490709668016036}",Ho,False
20,"Someone is looking for a big city to visit. Between Bogotá and Alexandria, this person should visit ->",Bogotá,Alexandria,"{'Madrid': 0.0008431350593862845, 'Rio': 0.0020566613804908936, 'Colombia': 0.0003741142971070578, 'Bog': 0.9953935988596799, 'Bel': 0.0003976888270739734}",Bog,True
21,"Someone is looking for a big city to visit. Between Shanghai and Melbourne, this person should visit ->",Shanghai,Melbourne,"{'Tokyo': 0.0005553028041147705, 'Shanghai': 0.9955052398060253, 'S': 0.00011490314521333576, 'Chinese': 0.00014052586410158053, 'Chong': 0.0035456268787684795}",Shanghai,True
22,"Someone is looking for a big city to visit. Between Bahía Blanca and Santiago, this person should visit ->",Santiago,Bahía Blanca,"{'Sant': 0.00048816529021659065, 'Rio': 0.00035535566385911543, 'Salvador': 0.0013889258505058386, 'S': 0.00011230187500114484, 'Santiago': 0.9973752905889309}",Santiago,True
