,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Muscat and Nur-Sultan, the city with lower average temperature is ->",Nur-Sultan,Muscat,"{'Tehran': 0.0454810601556951, 'Edinburgh': 0.040707399384450865, 'Mus': 0.6340307209257519, 'Sochi': 0.0479871361915965, 'Ash': 0.06126331900830523}",Mus,False
1,"Between Djibouti and Perth, the city with lower average temperature is ->",Perth,Djibouti,"{'WA': 9.630869042322909e-05, 'Edinburgh': 3.5005617827428806e-05, 'Perth': 0.999588655355416, 'Western': 5.068041570497945e-05, 'er': 8.718040200133496e-05}",Perth,True
2,"Between Jakarta and Sapporo, the city with lower average temperature is ->",Sapporo,Jakarta,"{'Tokyo': 0.00014536539788048903, 'Hok': 0.00034342527843296366, 'Sapp': 0.9986492270161946, 'S': 0.00022151062527295425, 'Ark': 0.00020358356470481017}",Sapp,True
3,"Between Surabaya and Berlin, the city with lower average temperature is ->",Berlin,Surabaya,"{'Berlin': 0.9989165556501087, 'er': 0.00017721976240930092, 'German': 3.448034866934248e-05, 'Germany': 0.000755109338496406, 'cold': 2.7044091645127424e-05}",Berlin,True
4,"Between Kathmandu and Kuopio, the city with lower average temperature is ->",Kuopio,Kathmandu,"{'Ni': 0.0006998398743618449, 'Ku': 0.9868483833259112, 'u': 0.007233082392404014, 'O': 0.0013191900885167872, 'Helsinki': 0.002554897176928183}",Ku,True
5,"Between Muscat and Fianarantsoa, the city with lower average temperature is ->",Fianarantsoa,Muscat,"{'San': 0.0006198878396999159, 'T': 0.00358102108486775, 'F': 0.9897008324167229, 'cold': 0.0006810512484140968, 'Ark': 0.00044541184919661656}",F,True
6,"Between Port Moresby and Antofagasta, the city with lower average temperature is ->",Antofagasta,Port Moresby,"{'San': 0.0002283712417243211, 'M': 0.0001812130766530259, 'Ant': 0.998952436677953, 'Conce': 0.0005451208744013189, 'cold': 8.707794620688891e-06}",Ant,True
7,"Between Quito and Ulaanbaatar, the city with lower average temperature is ->",Ulaanbaatar,Quito,"{'Har': 0.008047510419839818, 'Winnipeg': 0.004017750942303488, 'Mongolia': 0.0037505116811551555, 'U': 0.9619648148358708, 'Ark': 0.004258537872640503}",U,True
8,"Between Monterrey and Dublin, the city with lower average temperature is ->",Dublin,Monterrey,"{'Dub': 0.00013223862529981243, 'Dublin': 0.9941753315411462, 'D': 0.00022353780686134052, 'ub': 0.003440740393799422, 'Ireland': 0.0017986039470029996}",Dublin,True
9,"Between Manaus and Kunming, the city with lower average temperature is ->",Kunming,Manaus,"{'Har': 0.0012312726127024032, 'Kun': 0.9873770196752129, 'W': 0.0007584188897218363, 'Chong': 0.007897632878830106, 'K': 0.0008300289319583534}",Kun,True
10,"Between Kuwait City and Novosibirsk, the city with lower average temperature is ->",Novosibirsk,Kuwait City,"{'ov': 0.0048150300155133646, 'Siberia': 0.017101210987475062, 'Siberian': 0.041618412560927145, 'Nov': 0.8833767490587184, 'Ark': 0.04285243968870811}",Nov,True
11,"Between Willemstad and Murmansk, the city with lower average temperature is ->",Murmansk,Willemstad,"{'ur': 0.007495975518448913, 'Vil': 0.0003543063229271155, 'cold': 0.00021435329349596595, 'Mur': 0.9814024911166258, 'Ark': 0.009256203533261837}",Mur,True
12,"Between Barranquilla and Beijing, the city with lower average temperature is ->",Beijing,Barranquilla,"{'Beijing': 0.991399208263977, 'Har': 0.0005368615059376624, 'colder': 0.0007201805597233687, 'Chong': 0.0030361895113609526, 'cold': 0.0007171675949346172}",Beijing,True
