,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Eastern legend and New Bilan Restaurant, the nearest restaurant is ->",Eastern legend,New Bilan Restaurant,"{'Bil': 0.004097335477804444, 'B': 0.0013628338962249813, 'Chinese': 0.009634530566446977, 'Eastern': 0.9566210757907679, 'New': 0.01221988544095375}",Eastern,True
1,"Between Villa Madina and Basha Middle Eastern Grill, the nearest restaurant is ->",Basha Middle Eastern Grill,Villa Madina,"{'Pizza': 9.382718670504257e-06, 'Villa': 0.04918405467424119, '': 1.888854319233447e-05, 'B': 0.9505988676480723, 'V': 7.676828183941234e-05}",B,True
2,"Between Kairali - Taste of Kerala and Cake Opera, the nearest restaurant is ->",Kairali - Taste of Kerala,Cake Opera,"{'Cafe': 0.00017021486622782725, 'Taste': 0.0006475263954808957, 'Cake': 0.07405226139329914, 'C': 8.842065161944236e-05, 'K': 0.9246469130160527}",K,True
3,"Between Beryl's Pepper Pot and Sushi Shop, the nearest restaurant is ->",Sushi Shop,Beryl's Pepper Pot,"{'Sakura': 8.701807336840867e-08, 'Pizza': 1.7508016065659124e-08, 'S': 0.9985356772683024, 'B': 0.0014641432790913553, '': 2.271303155194785e-08}",S,True
4,"Between Mövenpick Café and Nutella Cafe by Pusateri's, the nearest restaurant is ->",Mövenpick Café,Nutella Cafe by Pusateri's,"{'Nut': 0.06190992951247131, 'M': 0.007297776253813535, 'P': 0.9301854221985596, 'ut': 0.00046308325668024535, 'nut': 3.135618567942458e-05}",P,False
5,"Between Ici Bistro and Basha Middle Eastern Grill, the nearest restaurant is ->",Basha Middle Eastern Grill,Ici Bistro,"{'If': 1.4339436775909751e-05, 'Between': 3.1800676335257114e-05, 'I': 0.18798887376586126, 'B': 0.8119070871983749, 'Bib': 1.1047128809589947e-05}",B,True
6,"Between Big Al's Diner and Hapa Toronto, the nearest restaurant is ->",Hapa Toronto,Big Al's Diner,"{'ig': 1.7098397470683473e-07, 'H': 0.9911807576913122, '': 5.884652267072004e-07, 'L': 1.221386453712668e-07, 'Big': 0.00881750260869362}",H,True
7,"Between St. Louis Bar & Grill and St. Clair Shawarma and Falafel, the nearest restaurant is ->",St. Louis Bar & Grill,St. Clair Shawarma and Falafel,"{'t': 0.000819680850642527, 'Bar': 8.955648629282038e-05, 'R': 0.0002139250153298993, 'St': 0.9971054566919334, 'Fal': 0.00047255755921750273}",St,False
8,"Between Green Grotto and Shawarma Twist, the nearest restaurant is ->",Green Grotto,Shawarma Twist,"{'Gro': 0.0010265694158221505, 'reen': 0.0003454184421760659, 'Shaw': 0.96118619642109, 'Red': 0.00012740813026827248, 'Green': 0.03653312118986326}",Shaw,False
9,"Between Falafel Hut Village and Druxy's Famous Deli, the nearest restaurant is ->",Falafel Hut Village,Druxy's Famous Deli,"{'Fl': 1.1094284413104319e-05, 'Dru': 0.6813738168599046, 'dru': 6.1998708734436e-05, 'al': 0.0003180929252831127, 'Fal': 0.3180544450524835}",Dru,False
10,"Between Marcello’s pizzeria and Queen Pita, the nearest restaurant is ->",Marcello’s pizzeria,Queen Pita,"{'Q': 0.026074501401102065, 'Mar': 0.20763287143068795, 'ueen': 0.004327535792527961, 'P': 0.22981441202971745, 'Queen': 0.5168935888154159}",Queen,False
11,"Between Queen Slice and McDonald's, the nearest restaurant is ->",McDonald's,Queen Slice,"{'Q': 0.0009052879392055913, 'McDonald': 0.8261458229012661, 'King': 0.001305564845567076, 'ueen': 0.001173597337263646, 'Queen': 0.16710607308928746}",McDonald,True
12,"Between Buk Chang Dong Soon Tofu and Cantine Bar & Grill, the nearest restaurant is ->",Cantine Bar & Grill,Buk Chang Dong Soon Tofu,"{'Cant': 0.9158492335949788, 'Chand': 0.0005703282988750424, 'C': 0.0011187452882546875, 'B': 0.0003144149335401089, 'Buk': 0.08076003921201805}",Cant,True
13,"Between Delicious Paradise Kitchen and Queen Pita, the nearest restaurant is ->",Delicious Paradise Kitchen,Queen Pita,"{'Q': 0.0038128284116418147, 'ueen': 0.006893760857406021, 'P': 0.0066087483505527875, 'Delicious': 0.6448597291650581, 'Queen': 0.3301492678408768}",Delicious,True
14,"Between Hina Sushi and FreshCo, the nearest restaurant is ->",FreshCo,Hina Sushi,"{'Fresh': 0.026865890718504048, 'S': 1.4000367201701739e-05, 'resh': 6.962402196436384e-06, 'H': 0.9731098625685252, 'R': 5.298419936696418e-07}",H,False
15,"Between Milo's Pita and Shawarma Twist, the nearest restaurant is ->",Milo's Pita,Shawarma Twist,"{'Shaw': 0.9363618175378245, 'Pizza': 8.830233559717846e-05, 'Milo': 0.05811970011785045, 'haw': 4.510547147851927e-05, 'P': 0.004603624274248047}",Shaw,False
16,"Between Maurya East Indian Roti and Shawarma Twist, the nearest restaurant is ->",Maurya East Indian Roti,Shawarma Twist,"{'Raj': 5.415904838251167e-05, 'Shaw': 0.951984404645355, 'a': 0.0005257772047866328, 'haw': 4.2141565512726926e-05, 'Ma': 0.047082066696820225}",Shaw,False
17,"Between Queen Slice and Dinah's Cupboard, the nearest restaurant is ->",Dinah's Cupboard,Queen Slice,"{'Q': 0.000574917158339155, 'Dim': 0.0015963008423579006, 'Din': 0.8892857291408249, 'King': 0.00270592896635831, 'Queen': 0.10320251046699304}",Din,True
18,"Between Basha Middle Eastern Grill and The Duke of Devon, the nearest restaurant is ->",Basha Middle Eastern Grill,The Duke of Devon,"{'Duke': 1.8590350410394602e-06, 'B': 0.4643668101272294, 'D': 2.2498320252033083e-06, 'Devon': 2.419345521581916e-06, 'The': 0.5356167673088884}",The,False
19,"Between Chick Fiesta and Freshii, the nearest restaurant is ->",Chick Fiesta,Freshii,"{'Sweet': 7.03880537676371e-05, 'Chicken': 2.0953476136296552e-05, 'Fresh': 0.9945928648661442, 'Chick': 0.0049278672057457545, 'resh': 0.0002993524249223101}",Fresh,False
20,"Between Hina Sushi and Popeyes Louisiana Kitchen, the nearest restaurant is ->",Popeyes Louisiana Kitchen,Hina Sushi,"{'op': 1.0212032183976298e-06, 'H': 0.0005496572806788115, 'POP': 3.2029611584965865e-08, 'Pop': 0.999449361856857}",Pop,True
21,"Between Bao Bao Plus Dim Sum and Pisco 1641, the nearest restaurant is ->",Pisco 1641,Bao Bao Plus Dim Sum,"{'Dim': 0.6913736799363612, 'im': 2.009611777642033e-06, 'B': 0.04927828310272742, 'P': 0.2593398280216922, 'dim': 1.8681741396348006e-06}",Dim,True
22,"Between Tierra Azteca and Kim PO Vietnamese, the nearest restaurant is ->",Kim PO Vietnamese,Tierra Azteca,"{'Tier': 0.9744115019113102, 'T': 0.008866315126817327, 'ier': 0.009295489467219161, 'Kim': 0.00312037341508571, 'Ken': 0.0003554347037476676}",Tier,False
23,"Between Green Room and Sushi Shop, the nearest restaurant is ->",Sushi Shop,Green Room,"{'reen': 3.55489511023815e-06, 'Pizza': 1.6783993274726034e-06, 'Red': 7.773041723369937e-06, 'S': 0.9997697934815879, 'Green': 0.00020788531510720752}",S,True
24,"Between Amaya Express and Thompson Rooftop, the nearest restaurant is ->",Amaya Express,Thompson Rooftop,"{'Thompson': 0.14760461505415556, 'Am': 0.01909094003850128, 'R': 0.8305733778572745, 'hompson': 0.0016965389753975948, 'm': 0.0003228424902385598}",R,False
25,"Between Daily Press Juicery and Eggspectation, the nearest restaurant is ->",Daily Press Juicery,Eggspectation,"{'Egg': 0.7245191902460513, 'Shell': 0.00014870887832391233, 'aily': 0.00013701392431021903, 'Daily': 0.2719834935515011}",Egg,False
26,"Between Piper's Pub And Grill and Freshii, the nearest restaurant is ->",Piper's Pub And Grill,Freshii,"{'Ph': 6.702887910652524e-05, 'Fresh': 0.7189610249731271, 'Piper': 0.2798495896407893, 'P': 0.000218289695262571, 'resh': 0.00039074046138637105}",Fresh,False
27,"Between Cantine Bar & Grill and Banjara Indian Cuisine, the nearest restaurant is ->",Cantine Bar & Grill,Banjara Indian Cuisine,"{'Ban': 0.15568832296003174, 'Cant': 0.8405577999224946, 'Chand': 0.00034641236021451706, 'an': 0.0014596727678393789, 'C': 0.0005254290978322455}",Cant,True
28,"Between Bonne Journee and Dangerous Dan's Diner, the nearest restaurant is ->",Dangerous Dan's Diner,Bonne Journee,"{'Danger': 0.0003359188315339861, 'on': 0.010471168036572196, 'Dangerous': 0.3355932224214161, 'B': 0.0002656486465345821, 'Bon': 0.6520333487330131}",Bon,False
29,"Between Bao Bao Plus Dim Sum and Eggspectation, the nearest restaurant is ->",Bao Bao Plus Dim Sum,Eggspectation,"{'Dim': 0.7766102214315026, 'Egg': 0.017992044338192233, 'B': 0.20536598477442258, 'Eggs': 1.8542690178969547e-06, 'egg': 2.279211518565081e-06}",Dim,True
30,"Between Edible Arrangements and Fit For Life, the nearest restaurant is ->",Fit For Life,Edible Arrangements,"{'it': 0.008291183978071444, 'Ed': 0.06144065066181403, 'Fit': 0.9253082257010963, 'F': 0.0013929687751189318}",Fit,True
31,"Between z-teca Gourmet Burritos and Lahore Grill & Fast Food, the nearest restaurant is ->",Lahore Grill & Fast Food,z-teca Gourmet Burritos,"{'Z': 4.425607915059992e-07, 'Ali': 5.742122048928457e-09, 'z': 1.6619616988619916e-07, 'Chand': 4.162183585602682e-09, 'Lah': 0.9999994539509491}",Lah,True
32,"Between Pisco 1641 and Nook, the nearest restaurant is ->",Pisco 1641,Nook,"{'Pizza': 5.112546675238871e-07, 'P': 0.9947259029457258, 'R': 7.661215487223011e-07, 'N': 0.005270584561998291, '': 6.579999378986824e-07}",P,True
33,"Between Amaya Express and Freshii, the nearest restaurant is ->",Amaya Express,Freshii,"{'Am': 0.002655069626398211, 'Fresh': 0.9971081989351313, 'resh': 9.787446136084186e-06, 'm': 3.300455419865168e-05}",Fresh,False
34,"Between FreshCo and Eggspectation, the nearest restaurant is ->",FreshCo,Eggspectation,"{'Egg': 0.37249302357337016, 'Sweet': 0.0002453393999873347, 'Fresh': 0.6263574277357358, 'resh': 0.00012350634829734169, 'Water': 9.207786317493776e-05}",Fresh,True
35,"Between Domino's Pizza and Mysteriously Yours Dinner Theatre, the nearest restaurant is ->",Mysteriously Yours Dinner Theatre,Domino's Pizza,"{'Myster': 0.9338745075549285, 'My': 4.90931521649108e-05, 'om': 0.000245284450116353, 'myster': 0.00022078857247406905, 'Dom': 0.06525402166278342}",Myster,True
36,"Between Big Al's Diner and Le Papillon Park, the nearest restaurant is ->",Le Papillon Park,Big Al's Diner,"{'Le': 0.9999896760762921, 'ig': 2.1058220846931722e-10, 'e': 1.205726935418453e-07, 'Big': 1.0287582217628218e-05, 'Pop': 1.8798104173849344e-10}",Le,True
