,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for restaurants nearby. Between Cantine Bar & Grill and Eggspectation, you should go to ->",Cantine Bar & Grill,Eggspectation,"{'Egg': 0.6515076306845169, 'Cant': 0.151286241129456, 'Cafe': 0.016741660923426323, 'Asuka': 0.01408987252935473, 'Beach': 0.06723989042859067}",Egg,False
1,"You are looking for restaurants nearby. Between Nook and Supermodel Pizza, you should go to ->",Supermodel Pizza,Nook,"{'Nik': 0.019042746710845423, 'uper': 0.01633552164906102, 'Pizza': 0.07108481055122627, 'Super': 0.8735540358642065, 'Cy': 0.004687916679544853}",Super,True
2,"You are looking for restaurants nearby. Between La Pupusa Loka and Cafe Jules, you should go to ->",La Pupusa Loka,Cafe Jules,"{'Cafe': 0.9160446197288458, 'P': 0.0028474198800029515, 'The': 0.000348705092550553, 'L': 0.06819614095303635, 'La': 0.012294712341110545}",Cafe,False
3,"You are looking for restaurants nearby. Between Sushi World and St. Clair Shawarma and Falafel, you should go to ->",Sushi World,St. Clair Shawarma and Falafel,"{'Sakura': 5.0856688662246854e-06, 'S': 0.007188668587409404, 'B': 6.558838687659595e-06, 'F': 4.6013537697250585e-06, 'St': 0.9927746244473789}",St,False
4,"You are looking for restaurants nearby. Between Warung Indonesia D'Eglinton and New Bilan Restaurant, you should go to ->",Warung Indonesia D'Eglinton,New Bilan Restaurant,"{'War': 0.0037875610100968145, 'B': 1.499486123336279e-05, 'D': 0.0003377435426613483, 'Beach': 0.0009621809762421642, 'New': 0.9948339660888621}",New,False
5,"You are looking for restaurants nearby. Between Breakfast Room and Cafe Jules, you should go to ->",Breakfast Room,Cafe Jules,"{'breakfast': 0.00012608181958137111, 'Casey': 8.143421838563306e-05, 'Cafe': 0.9860033680629411, 'Breakfast': 0.013477956229701509, 'Beach': 8.195420027250188e-05}",Cafe,False
6,"You are looking for restaurants nearby. Between Green Grotto and 9 Restaurant, you should go to ->",Green Grotto,9 Restaurant,"{'Green': 0.027600662580702314, '6': 0.00010879588999904769, '7': 9.930317635127608e-05, 'Beach': 0.0004323700669350554, '9': 0.9713321647181401}",9,False
7,"You are looking for restaurants nearby. Between Carole's Cheesecake Cafe and Just Soups Take Out & Catering, you should go to ->",Just Soups Take Out & Catering,Carole's Cheesecake Cafe,"{'Just': 0.9867024688439219, 'UST': 0.0003715815137405779, 'JUST': 0.006733694675532099, 'ust': 0.003112596542505186, 'just': 0.0022001529462755526}",Just,True
8,"You are looking for restaurants nearby. Between El Fogón and To-ne Sushi, you should go to ->",El Fogón,To-ne Sushi,"{'To': 0.0039830488907592766, 'El': 0.9803768729585279, 'F': 0.0031877153818625097, 'The': 0.003830327386265702, 'l': 0.002742048527912222}",El,True
9,"You are looking for restaurants nearby. Between Green Grotto and Edible Arrangements, you should go to ->",Green Grotto,Edible Arrangements,"{'reen': 0.00028939616367156565, 'Ed': 0.000376683328857315, 'Green': 0.6516055726726968, 'The': 0.0003426528576897676, 'Beach': 0.3467198755948366}",Green,True
