,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for an expensive restaurant. Between Hina Sushi and Sweet Jesus, I should go to ->",Hina Sushi,Sweet Jesus,"{'Sweet': 0.987688691954651, 'S': 6.921451887565313e-06, 'Yes': 6.316596647461356e-06, 'H': 0.01227012294919781, 'The': 3.4903955153171025e-06}",Sweet,False
1,"I'm looking for an expensive restaurant. Between Supermodel Pizza and Domino's Pizza, I should go to ->",Domino's Pizza,Supermodel Pizza,"{'Pizza': 0.14055632231023257, 'Super': 0.41983378333511595, 'P': 0.38963079411540424, '1': 0.002484933202690139, 'Dom': 0.03754983105436842}",Super,False
2,"I'm looking for an expensive restaurant. Between Verona Restaurant and Mi Mi Restaurant, I should go to ->",Verona Restaurant,Mi Mi Restaurant,"{'er': 0.015217264093998654, 'Mi': 0.018324780673225197, 'Yes': 0.0009587032192062294, 'Ver': 0.9443706785075164, 'V': 0.010827630849780041}",Ver,True
3,"I'm looking for an expensive restaurant. Between Branca and Watson's, I should go to ->",Branca,Watson's,"{'Watson': 0.03985615625425222, 'Fl': 0.00020777267179551456, 'Br': 0.9484927075873376, 'B': 0.0019040492049708724, 'r': 0.008167255097011099}",Br,True
4,"I'm looking for an expensive restaurant. Between Dinah's Cupboard and Harvey's, I should go to ->",Dinah's Cupboard,Harvey's,"{'Harvey': 0.0024693014058162657, 'Din': 0.9962975693610655, 'in': 0.0001959072940831887, '': 0.00015154832605772782, '1': 0.00011837310677960913}",Din,True
5,"I'm looking for an expensive restaurant. Between Adega Restaurante and McDonald's, I should go to ->",Adega Restaurante,McDonald's,"{'Ad': 0.9785166709893797, 'd': 0.019314159484804624, 'A': 0.0008782690290893539, '1': 0.00020587981124512737, 'restaurant': 0.00018315239355527063}",Ad,True
6,"I'm looking for an expensive restaurant. Between Lebanese Bakery and Queen Slice, I should go to ->",Lebanese Bakery,Queen Slice,"{'Q': 0.0021115711240987183, 'King': 0.0016284029984334081, 'Lebanese': 0.8850514500626575, 'ueen': 0.0008417535352926855, 'Queen': 0.10843603706230984}",Lebanese,True
7,"I'm looking for an expensive restaurant. Between Nutella Cafe by Pusateri's and Modo Mio Italian Bistro, I should go to ->",Nutella Cafe by Pusateri's,Modo Mio Italian Bistro,"{'Nut': 0.00304747774299674, 'Mod': 0.8596353596974085, 'B': 0.00034908133895795947, 'P': 0.13464474332951945, 'od': 0.0009648782793206927}",Mod,False
8,"I'm looking for an expensive restaurant. Between Milestones Restaurants and Buk Chang Dong Soon Tofu, I should go to ->",Milestones Restaurants,Buk Chang Dong Soon Tofu,"{'Soon': 0.0081407660016364, 'Yes': 0.04650756460231702, 'B': 0.0187599706482031, 'Buk': 0.9034347416030626, 'Mil': 0.009017591484684048}",Buk,False
9,"I'm looking for an expensive restaurant. Between Kim PO Vietnamese and Pho 88, I should go to ->",Kim PO Vietnamese,Pho 88,"{'Nik': 8.142469113943676e-05, 'Ph': 0.9836420140336817, 'im': 8.705965366208996e-05, 'K': 0.00022770354870814898, 'Kim': 0.015781451251776487}",Ph,False
