,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for a small city to visit. Between Guangzhou and Antofagasta, I should visit ->",Antofagasta,Guangzhou,"{'nt': 1.8614412587508558e-06, 'Ant': 0.9999937300764561, '0': 5.534076201455534e-07, 'Anth': 5.930625279999248e-07, 'Anton': 3.2000314918434e-07}",Ant,True
1,"I'm looking for a small city to visit. Between Tashkent and Suwałki, I should visit ->",Suwałki,Tashkent,"{'SU': 8.787441131218763e-06, 'Su': 0.9998873947304493, 'T': 8.966774805539238e-06, 'su': 1.6226985872794887e-06, 'u': 8.707079801098183e-05}",Su,True
2,"I'm looking for a small city to visit. Between Buenos Aires and Porto Alegre, I should visit ->",Porto Alegre,Buenos Aires,"{'ort': 9.749241284136647e-05, 'small': 5.0908487132252934e-06, 'Monte': 1.2137217495047418e-05, 'Ports': 8.5316993150528e-06, 'Port': 0.9998506785695547}",Port,True
3,"I'm looking for a small city to visit. Between Guadalajara and Lhasa, I should visit ->",Lhasa,Guadalajara,"{'Gu': 0.001974233020706828, 'L': 0.9976923277790309, '': 7.511359426972215e-05, 'Lod': 5.3824435632431575e-05, 'Ch': 5.09157628315884e-05}",L,True
4,"I'm looking for a small city to visit. Between Saint Petersburg and Upington, I should visit ->",Upington,Saint Petersburg,"{'UP': 3.8649759711024005e-05, 'Up': 0.9996496904027403, 'Ups': 7.025100105209933e-05, 'p': 0.00015167310166819427, '0': 2.8875415488896147e-05}",Up,True
5,"I'm looking for a small city to visit. Between Fukuoka and Ségou, I should visit ->",Ségou,Fukuoka,"{'Se': 0.0007486307400140942, 'Fuk': 6.834658222964537e-05, 'S': 0.9973040017483928, 'Seg': 0.001458846826816141, 'Sek': 9.615298895857703e-05}",S,True
6,"I'm looking for a small city to visit. Between Los Angeles and Murmansk, I should visit ->",Murmansk,Los Angeles,"{'small': 4.912811893594552e-05, 'Murphy': 6.559743259837535e-05, 'ur': 0.0007023847690730379, 'M': 0.00017518692696950387, 'Mur': 0.9987931707048948}",Mur,True
7,"I'm looking for a small city to visit. Between Harare and Entebbe, I should visit ->",Entebbe,Harare,"{'nt': 0.0007528293369565915, 'Har': 1.672563475840852e-05, 'ENT': 9.290528728867637e-05, 'Ent': 0.9989587547724093, 'ent': 0.00012295784314484147}",Ent,True
8,"I'm looking for a small city to visit. Between Kabul and Lviv, I should visit ->",Lviv,Kabul,"{'Lv': 0.9936025911163626, 'LV': 3.1579306799347677e-05, 'v': 2.9840023353649952e-05, 'Lod': 1.7205215385836837e-05}",Lv,True
9,"I'm looking for a small city to visit. Between Kuwait City and Canberra, I should visit ->",Canberra,Kuwait City,"{'ACT': 4.4807366556324044e-05, 'Can': 7.532187203974913e-05, 'Canberra': 0.9993718148909353, 'an': 7.01255746151184e-05, 'New': 7.387219887843964e-05}",Canberra,True
10,"I'm looking for a small city to visit. Between Jakarta and Changsha, I should visit ->",Changsha,Jakarta,"{'small': 0.0015651431336044235, 'Chang': 0.9646399500712397, 'Chandler': 0.0004211287295995562, 'Ch': 0.03112557034586544, '0': 0.0007481448118482539}",Chang,True
11,"I'm looking for a small city to visit. Between Bogotá and Pretoria, I should visit ->",Pretoria,Bogotá,"{'pret': 3.612248956322474e-06, 'T': 2.631648523836916e-05, 'P': 2.55989580877071e-06, 'Pret': 0.9999312661222812, 'ret': 1.6987037580842018e-05}",Pret,True
12,"I'm looking for a small city to visit. Between Manila and Toamasina, I should visit ->",Toamasina,Manila,"{'Tam': 0.00044220826459222875, 'To': 0.9989010594778864, 'o': 0.0002606124812859643, 'to': 6.0163963370441695e-05, 'T': 0.00026949169080039926}",To,True
13,"I'm looking for a small city to visit. Between Nairobi and Antofagasta, I should visit ->",Antofagasta,Nairobi,"{'nt': 1.774790802019287e-06, 'Ant': 0.9998991951311522, 'N': 9.448485508112255e-05, '0': 5.27188324630561e-07, 'Anth': 6.005781874432498e-07}",Ant,True
14,"I'm looking for a small city to visit. Between Melbourne and Amsterdam, I should visit ->",Amsterdam,Melbourne,"{'Melbourne': 0.9440991845279975, 'Holland': 0.0003348456093443966, 'Amsterdam': 0.04872778878640564, 'Adelaide': 0.004739747569846083, 'Mel': 0.00025423869198327765}",Melbourne,False
15,"I'm looking for a small city to visit. Between Kabul and Upington, I should visit ->",Upington,Kabul,"{'UP': 2.9711481629773695e-05, 'Up': 0.9994293327925055, 'Ups': 6.262161825108322e-05, 'p': 0.0003430228139625075, '0': 3.9399044233011913e-05}",Up,True
