,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone is looking for an affordable restaurant. Between Cake Opera and Sichuan Landscape Chinese Restaurant, this person should go to ->",Sichuan Landscape Chinese Restaurant,Cake Opera,"{'cake': 1.670524658662507e-08, 'Pizza': 1.2414918284568591e-08, 'Cafe': 1.0732363868007041e-08, 'Cake': 4.3890046271677125e-05, 'S': 0.9999561755903175}",S,True
1,"Someone is looking for an affordable restaurant. Between Green Room and Chipotle Mexican Grill, this person should go to ->",Green Room,Chipotle Mexican Grill,"{'reen': 0.00565646579297262, 'Red': 1.1742814926861981e-05, 'Green': 0.9941156105385262, 'REEN': 1.4530422544095513e-05, 'GREEN': 0.00016353688446682334}",Green,True
2,"Someone is looking for an affordable restaurant. Between Adega Restaurante and Pizzeria Via Mercanti, this person should go to ->",Pizzeria Via Mercanti,Adega Restaurante,"{'Ad': 2.5732802964548138e-05, 'Pizza': 3.651162649410726e-07, 'd': 4.328104749290213e-08, 'P': 0.999973939874571, '': 1.9549522018412176e-08}",P,True
3,"Someone is looking for an affordable restaurant. Between Sizzlers and Itamae Ayce Sushi, this person should go to ->",Sizzlers,Itamae Ayce Sushi,"{'t': 4.432935164203181e-10, 'T': 8.257203929769254e-11, 'S': 0.9999998115819777, '': 2.650552025835887e-10, 'It': 2.386869443267607e-07}",S,True
4,"Someone is looking for an affordable restaurant. Between Oxygen Restaurant & Lounge and Amaya Express, this person should go to ->",Amaya Express,Oxygen Restaurant & Lounge,"{'oxy': 0.006134056514581674, 'Am': 0.23359145694357514, 'xy': 0.0008088713314260027, 'Oxy': 0.7516989031191935, 'm': 0.0075533583503953495}",Oxy,False
5,"Someone is looking for an affordable restaurant. Between Eggspectation and Fitness Avenue, this person should go to ->",Fitness Avenue,Eggspectation,"{'fitness': 0.0006351156815463567, 'Egg': 0.05061916092300871, 'it': 2.0961209395689442e-05, 'Fitness': 0.9486752758561569, 'Eggs': 9.338545928655932e-06}",Fitness,True
6,"Someone is looking for an affordable restaurant. Between 9 Restaurant and Evoo Ristorante, this person should go to ->",9 Restaurant,Evoo Ristorante,"{'v': 0.00026923552602810345, 'Nine': 0.0005077188543028316, 'Ev': 0.05728813183573702, '8': 0.00010898121827344927, '9': 0.9415237250490827}",9,True
7,"Someone is looking for an affordable restaurant. Between Smoke's Weinerie and Banjara Indian Cuisine, this person should go to ->",Smoke's Weinerie,Banjara Indian Cuisine,"{'Ban': 3.509840370537579e-06, 'Smoke': 0.9994176505812824, 'Water': 2.1467338723732575e-06, 'smoke': 0.0005588429904625434, 'm': 4.4083768388960356e-06}",Smoke,True
8,"Someone is looking for an affordable restaurant. Between Druxy's Famous Deli and EJ Sushi, this person should go to ->",Druxy's Famous Deli,EJ Sushi,"{'Dru': 0.9999582029835197, 'Druid': 1.5251315230421432e-07, 'Stru': 2.7729777531940604e-08, '': 2.896223780911684e-08, 'dru': 4.147590092507993e-05}",Dru,True
9,"Someone is looking for an affordable restaurant. Between Branca and FreshCo, this person should go to ->",FreshCo,Branca,"{'Br': 5.750200081338104e-07, 'Fresh': 0.9997253323280736, 'Fres': 1.4378422581332766e-06, 'resh': 1.8038974208447514e-06}",Fresh,True
10,"Someone is looking for an affordable restaurant. Between Ciao Europa wine bar and Bagel Nash, this person should go to ->",Bagel Nash,Ciao Europa wine bar,"{'Bag': 0.9904117987567875, 'ag': 0.00011302257278972951, 'C': 0.009373609857379752, 'Bib': 7.362934466482207e-06, 'bag': 7.040199198212073e-05}",Bag,True
11,"Someone is looking for an affordable restaurant. Between Carole's Cheesecake Cafe and Falafel House, this person should go to ->",Falafel House,Carole's Cheesecake Cafe,"{'Car': 0.030497011005217577, 'fal': 0.0017538586070456543, 'al': 5.08561753685813e-05, 'Fal': 0.9664041939933538}",Fal,True
12,"Someone is looking for an affordable restaurant. Between Nutella Cafe by Pusateri's and Phil's Original BBQ, this person should go to ->",Phil's Original BBQ,Nutella Cafe by Pusateri's,"{'Nut': 0.30167029391348693, 'hil': 0.006418066980487432, 'Phil': 0.6776884431720558, 'ut': 0.013169318644324616, 'nut': 0.00032499102220522795}",Phil,True
13,"Someone is looking for an affordable restaurant. Between Solero Mediterranean Bakery and Magic Oven, this person should go to ->",Solero Mediterranean Bakery,Magic Oven,"{'sol': 1.2890744303148073e-05, 'ol': 0.16985030307645657, 'SOL': 0.0004522739851217955, 'Sol': 0.829513702915365}",Sol,True
14,"Someone is looking for an affordable restaurant. Between Sushi Time Japanese Restaurant and Madras Pantry, this person should go to ->",Madras Pantry,Sushi Time Japanese Restaurant,"{'ad': 4.863998503262536e-09, 'S': 0.9999075398747009, 'Mad': 9.228259538000378e-05, 'mad': 1.340382128661574e-08}",S,False
15,"Someone is looking for an affordable restaurant. Between Kibo Sushi House and Galata Cafe, this person should go to ->",Kibo Sushi House,Galata Cafe,"{'Kom': 2.9478867507377434e-06, '': 3.3556908003025584e-07, 'k': 2.987194495052509e-07, 'K': 0.999996351716955, 'Ken': 1.3399520596555996e-09}",K,True
16,"Someone is looking for an affordable restaurant. Between Branca and Kairali - Taste of Kerala, this person should go to ->",Kairali - Taste of Kerala,Branca,"{'Le': 1.5014191246481177e-08, 'Br': 6.185363305867296e-08, 'Kom': 8.563993835899496e-07, '': 3.1781954207506374e-06, 'K': 0.9999958767602006}",K,True
17,"Someone is looking for an affordable restaurant. Between Maurya East Indian Roti and Mirage Grill & Lounge, this person should go to ->",Maurya East Indian Roti,Mirage Grill & Lounge,"{'ma': 1.6134495506134904e-05, 'Chand': 1.3435985035182688e-05, 'a': 0.02405344618933362, 'R': 0.00020213899563306661, 'Ma': 0.9756776731837894}",Ma,True
18,"Someone is looking for an affordable restaurant. Between Aroma Espresso Bar and Fit For Life, this person should go to ->",Fit For Life,Aroma Espresso Bar,"{'it': 0.007421994925904907, 'Fit': 0.9858412444781467, 'A': 0.0066981828887754565, 'F': 8.171958167711782e-06}",Fit,True
19,"Someone is looking for an affordable restaurant. Between Solero Mediterranean Bakery and Kairali - Taste of Kerala, this person should go to ->",Solero Mediterranean Bakery,Kairali - Taste of Kerala,"{'sol': 1.125440444173833e-05, 'ol': 0.14746749505445828, 'SOL': 0.0001646576644946005, 'Sol': 0.8521868659235045}",Sol,True
