,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like cheap restaurants. Between LCBO and Druxy's Famous Deli, you should go to ->",LCBO,Druxy's Famous Deli,"{'Shell': 1.021227632600887e-05, 'Dru': 0.003477286606862208, 'LC': 0.9898944902877393, 'L': 4.757734254486864e-06, 'C': 0.0066084423725876005}",LC,True
1,"You don't like cheap restaurants. Between Pizzeria Via Mercanti and New Bilan Restaurant, you should go to ->",Pizzeria Via Mercanti,New Bilan Restaurant,"{'Fl': 1.419779603775578e-07, 'B': 1.1214883095227181e-07, 'P': 0.999997903306798, '': 1.1409651852943787e-06, 'New': 2.9121762413898074e-07}",P,True
2,"You don't like cheap restaurants. Between Helena's Magic Kitchen and Aroma Espresso Bar, you should go to ->",Aroma Espresso Bar,Helena's Magic Kitchen,"{'Brussels': 0.00014138866081123673, 'Shell': 1.1411773184337823e-05, 'A': 0.5535775877798017, 'B': 1.6252025675560354e-05, 'Helena': 0.4461767299309366}",A,True
3,"You don't like cheap restaurants. Between Bagel Nash and EJ Sushi, you should go to ->",EJ Sushi,Bagel Nash,"{'Shell': 3.041739223965149e-05, 'Bag': 0.9995359056251254, 'B': 0.00016015603487144552, 'Big': 1.3947629394719992e-05, 'Bulk': 0.00023089095850334964}",Bag,False
4,"You don't like cheap restaurants. Between La Pupusa Loka and Mamma's Pizza, you should go to ->",La Pupusa Loka,Mamma's Pizza,"{'a': 0.0011051535438004743, 'Brussels': 0.00033511493346809944, 'L': 0.0005038630767085876, 'La': 0.9963159866896408, 'Bulk': 0.0004365812763077212}",La,True
5,"You don't like cheap restaurants. Between Mi Mi Restaurant and Assembly Chef's Hall, you should go to ->",Assembly Chef's Hall,Mi Mi Restaurant,"{'Assembly': 0.9998022788394056, 'assembly': 1.064549244503253e-05, 'Conv': 4.1413613320963904e-06, 'ssembly': 0.0001787548935967247}",Assembly,True
6,"You don't like cheap restaurants. Between Villa Madina and El Fogón, you should go to ->",El Fogón,Villa Madina,"{'Fl': 6.915937044970289e-05, 'Shell': 5.9121258165281916e-05, 'Villa': 0.99962739983269, 'Conv': 2.7886942205537793e-05, 'Bulk': 2.814378526122877e-05}",Villa,False
7,"You don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and New Bilan Restaurant, you should go to ->",Mysteriously Yours Dinner Theatre,New Bilan Restaurant,"{'Myster': 0.9995722668039373, 'Mystery': 2.3103255953526117e-05, 'Conv': 3.95477996475469e-05, 'Mysterious': 4.2780507130388234e-05, 'myster': 7.476849137737455e-05}",Myster,True
8,"You don't like cheap restaurants. Between Pizzeria Via Mercanti and Mirage Grill & Lounge, you should go to ->",Mirage Grill & Lounge,Pizzeria Via Mercanti,"{'Ph': 1.7287639112406458e-07, 'Fl': 1.339954365739012e-06, 'P': 0.999917075733407, 'Mirage': 6.146270437705614e-05, '': 1.7947468205956047e-05}",P,False
9,"You don't like cheap restaurants. Between Roncy's Bean and Smoke's Weinerie, you should go to ->",Roncy's Bean,Smoke's Weinerie,"{'Fl': 0.0002452790539178085, 'Gor': 0.001264920505853216, 'on': 0.019889019171036783, 'Bulk': 0.0001516127477849497, 'Ron': 0.9778937489545146}",Ron,True
10,"You don't like cheap restaurants. Between McDonald's and Milestones Restaurants, you should go to ->",Milestones Restaurants,McDonald's,"{'McDonald': 0.00020449275724571093, 'Fl': 2.0947023459409817e-05, 'Shell': 0.0001739991750244115, 'il': 0.002836195890170578, 'Mil': 0.9966307616647189}",Mil,True
11,"You don't like cheap restaurants. Between Druxy's Famous Deli and Sheriff Broaster Chicken, you should go to ->",Sheriff Broaster Chicken,Druxy's Famous Deli,"{'Sheriff': 0.9705619037377601, 'Deputy': 0.00019108083491489955, 'Dru': 0.028534325868401756, 'Conv': 0.00013340579295177603, 'Judge': 0.00010410026882228988}",Sheriff,True
12,"You don't like cheap restaurants. Between Falafel Hut Village and Domino's Pizza, you should go to ->",Domino's Pizza,Falafel Hut Village,"{'Fl': 0.014658909080388688, 'Conv': 0.00045718323297460066, 'al': 0.0018662298616118245, 'Fal': 0.9824489086155012, 'Dom': 0.0002439049396938921}",Fal,False
13,"You don't like cheap restaurants. Between Sichuan Landscape Chinese Restaurant and Bao Bao Plus Dim Sum, you should go to ->",Sichuan Landscape Chinese Restaurant,Bao Bao Plus Dim Sum,"{'Brussels': 7.138563445250716e-06, 'S': 0.12766967688677375, '': 1.8264870277262174e-05, 'B': 0.8722523977446255, 'Bulk': 3.250557320823045e-05}",B,False
14,"You don't like cheap restaurants. Between Ciao Europa wine bar and Edible Arrangements, you should go to ->",Edible Arrangements,Ciao Europa wine bar,"{'Fl': 4.334501680190198e-07, 'C': 0.9999853836778195, '': 6.8475817309411085e-06, 'B': 3.943543000585779e-06, 'Conv': 1.4632274204343534e-06}",C,False
15,"You don't like cheap restaurants. Between Pizza Pizza and Scaddabush Italian Kitchen & Bar, you should go to ->",Scaddabush Italian Kitchen & Bar,Pizza Pizza,"{'Sc': 0.9997804635216602, 'Fl': 1.7062610650997098e-05, 'Shell': 2.178131643298954e-05, 'c': 0.0001756185929438912, 'Sn': 1.3840494107460104e-06}",Sc,True
16,"You don't like cheap restaurants. Between 9 Restaurant and Sizzlers, you should go to ->",9 Restaurant,Sizzlers,"{'Brussels': 0.0001528072858659253, 'Shell': 0.0003360019817342037, '': 0.0004539785081137264, 'S': 0.05720315641719891, '9': 0.9410456898555386}",9,True
17,"You don't like cheap restaurants. Between Kairali - Taste of Kerala and Thompson Rooftop, you should go to ->",Thompson Rooftop,Kairali - Taste of Kerala,"{'Thompson': 0.9943778109928022, 'Thomson': 3.7361533196108396e-06, 'hompson': 0.004567071906973029, 'K': 0.0010495481927858808, 'Th': 3.2759065860853736e-07}",Thompson,True
18,"You don't like cheap restaurants. Between EJ Sushi and Buk Chang Dong Soon Tofu, you should go to ->",EJ Sushi,Buk Chang Dong Soon Tofu,"{'Brussels': 0.011011412984666498, 'B': 0.006600974429594122, '': 0.008014507035919324, 'E': 0.9421223383296421, 'Bulk': 0.017023764488598155}",E,True
19,"You don't like cheap restaurants. Between Pizzeria Via Mercanti and Buk Chang Dong Soon Tofu, you should go to ->",Pizzeria Via Mercanti,Buk Chang Dong Soon Tofu,"{'Fl': 1.7251942467553026e-07, 'B': 1.842192891675595e-07, 'P': 0.999997425535114, 'Buk': 9.532955008549513e-08, '': 1.821223554616632e-06}",P,True
20,"You don't like cheap restaurants. Between Thompson Rooftop and The Duke of Devon, you should go to ->",Thompson Rooftop,The Duke of Devon,"{'Thompson': 2.057777584516362e-06, 'the': 4.902439002778544e-09, 'The': 0.9999976639519286, 'he': 1.5423660769572847e-07, 'hompson': 1.4292940498727702e-07}",The,False
21,"You don't like cheap restaurants. Between Green Grotto and Buk Chang Dong Soon Tofu, you should go to ->",Green Grotto,Buk Chang Dong Soon Tofu,"{'Brussels': 0.009343768765923906, 'Gor': 0.0138107500630249, 'Green': 0.6764928030059637, 'Buk': 0.2772938790472963, 'Bulk': 0.008994499996056213}",Green,True
22,"You don't like cheap restaurants. Between Oxygen Restaurant & Lounge and Le Papillon Park, you should go to ->",Oxygen Restaurant & Lounge,Le Papillon Park,"{'Le': 0.13323666446584476, 'Fl': 0.10099162362359282, 'Brussels': 0.05408270121459949, 'Shell': 0.4639133453073701, 'Bulk': 0.06299777945234258}",Shell,False
23,"You don't like cheap restaurants. Between Smoke's Weinerie and Pisco 1641, you should go to ->",Pisco 1641,Smoke's Weinerie,"{'Fl': 0.05831452933215293, 'Shell': 0.08522855062912085, 'Smoke': 0.5066461895441683, 'P': 0.19664386070334886, 'Bulk': 0.08008359919441223}",Smoke,False
24,"You don't like cheap restaurants. Between Topham Corner and Galata Cafe, you should go to ->",Galata Cafe,Topham Corner,"{'Fl': 0.0016713047001524484, 'Gor': 0.0001779693879982399, 'al': 0.0008688500519537658, 'T': 0.015063260189384505, 'Gal': 0.9818886265285585}",Gal,True
