,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like hot weather. Between Mahajanga and Bahía Blanca, you should visit ->",Bahía Blanca,Mahajanga,"{'15': 0.2030993318824855, '17': 0.06097465457029579, 'P': 0.06946175261364547, '0': 0.04510357803648042, 'Mah': 0.0336692608105084}",15,False
1,"You don't like hot weather. Between Douala and Paris, you should visit ->",Paris,Douala,"{'17': 0.2235748995589297, '25': 0.16984075775764965, '23': 0.15852743645223086, '22': 0.09354554958267604, '26': 0.08656963153760726}",17,False
2,"You don't like hot weather. Between La Paz and Erzurum, you should visit ->",Erzurum,La Paz,"{'3': 0.0762320729491991, '4': 0.13124571836807966, '5': 0.23528536085385218, '0': 0.4219901105231455, '7': 0.05059939293969064}",0,False
3,"You don't like hot weather. Between Kano and Cape Town, you should visit ->",Cape Town,Kano,"{'15': 0.12607466098722012, '16': 0.36037032345246317, '14': 0.054380448080963484, '17': 0.07319664444360185, 'Western': 0.11450419718753356}",16,False
4,"You don't like hot weather. Between Ho Chi Minh City and Tirana, you should visit ->",Tirana,Ho Chi Minh City,"{'12': 0.042133564474800246, '15': 0.392080399286965, '14': 0.3471285175587369, '13': 0.04151006296728029, '17': 0.041380616842384456}",15,False
5,"You don't like hot weather. Between Kuwait City and Bergen, you should visit ->",Bergen,Kuwait City,"{'Norway': 0.0035695051722869145, 'Ber': 0.023053423399082416, '5': 0.0017216979411611183, '0': 0.9515097036804853, '7': 0.0034716197749640504}",0,True
6,"You don't like hot weather. Between Rosario and Oslo, you should visit ->",Oslo,Rosario,"{'4': 0.029999432924959088, '5': 0.6313682873791202, '0': 0.10992512794345975, '6': 0.10252237618342895, '7': 0.046473514932513414}",5,False
7,"You don't like hot weather. Between Honolulu and Fairbanks, you should visit ->",Fairbanks,Honolulu,"{'Alaska': 0.012131480629955612, 'N': 0.07891023013734146, 'has': 0.5374232929259077, 'Anchorage': 0.018572152454913636, 'Fair': 0.23433410097299937}",has,True
8,"You don't like hot weather. Between Hamilton and Calgary, you should visit ->",Calgary,Hamilton,"{'Ban': 0.1292665923178912, 'Calgary': 0.11226745088373995, '1': 0.09264152534474382, '2': 0.03917523077042126, '4': 0.41408650819191123}",4,True
9,"You don't like hot weather. Between Kingston and Pittsburgh, you should visit ->",Pittsburgh,Kingston,"{'Pittsburgh': 0.24440257884534544, '7': 0.034903725765962866, '8': 0.02007359919829757, 'PA': 0.059149419656037414, '10': 0.36623066934103105}",10,True
10,"You don't like hot weather. Between Djibouti and Podgorica, you should visit ->",Podgorica,Djibouti,"{'12': 0.013836877062881519, '15': 0.02787879262948794, 'Pod': 0.027114159412485028, 'Monteneg': 0.04916027993181333, '0': 0.7382826744559245}",0,True
11,"You don't like hot weather. Between Surabaya and Indianapolis, you should visit ->",Indianapolis,Surabaya,"{'Indianapolis': 0.08276511688660976, 'IN': 0.06444997741652678, '1': 0.06519655818607673, '500': 0.09354111562871134, '5': 0.1885176580167513}",5,True
12,"You don't like hot weather. Between Brasília and Calgary, you should visit ->",Calgary,Brasília,"{'1': 0.03991921867499809, '2': 0.22930401028988934, '3': 0.38141475505555694, '4': 0.27176846684996897, '5': 0.030187112019742866}",3,False
13,"You don't like hot weather. Between San Juan and Bucharest, you should visit ->",Bucharest,San Juan,"{'11': 0.065443801303241, 'Buch': 0.051972647936969624, '6': 0.047574070669508264, '7': 0.0607600790642788, '10': 0.5764492179326455}",10,True
14,"You don't like hot weather. Between Hanoi and Frankfurt, you should visit ->",Frankfurt,Hanoi,"{'Frankfurt': 0.032130594598602666, 'H': 0.023714260569589127, 'Germany': 0.4836323056757906, 'Frank': 0.028463224311311198, '6': 0.06495343827546932}",Germany,True
15,"You don't like hot weather. Between Durban and Minneapolis, you should visit ->",Minneapolis,Durban,"{'3': 0.1110122636987681, '4': 0.048616723613176975, '5': 0.31116053819635675, '6': 0.07168173541641973, '7': 0.3806656531180028}",7,False
16,"You don't like hot weather. Between Tabora and Almaty, you should visit ->",Almaty,Tabora,"{'1': 0.02249662007375456, '2': 0.007714893481018848, '5': 0.007942644489849401, '0': 0.926143100591074, '7': 0.011134576636116259}",0,False
17,"You don't like hot weather. Between Djibouti and Addis Ababa, you should visit ->",Addis Ababa,Djibouti,"{'Dj': 0.7182217813182504, 'Ethiop': 0.02072578710818342, 'Add': 0.05232426801238512, 'Ethiopia': 0.033080450183048685, '3': 0.02329185850169898}",Dj,False
18,"You don't like hot weather. Between La Ceiba and Sapporo, you should visit ->",Sapporo,La Ceiba,"{'Sapp': 0.20505986870836576, '1': 0.042174917782030814, '2': 0.08589064170410902, '3': 0.025969461213984284, '0': 0.5040328673706712}",0,True
19,"You don't like hot weather. Between Phnom Penh and Novosibirsk, you should visit ->",Novosibirsk,Phnom Penh,"{'1': 0.1777269136049843, 'Siberia': 0.02686753764808297, 'Nov': 0.006478767417885957, '5': 0.008785303591504553, '0': 0.7531824598326288}",0,True
20,"You don't like hot weather. Between Sokoto and Christchurch, you should visit ->",Christchurch,Sokoto,"{'Christ': 0.01710348559979476, 'NZ': 0.022727525772278264, 'Canterbury': 0.029475708368179667, '0': 0.17264821397021846, 'New': 0.6629507467614939}",New,True
21,"You don't like hot weather. Between Panama City and Zagreb, you should visit ->",Zagreb,Panama City,"{'18': 0.08987914000216535, '15': 0.3283124278592315, '13': 0.06587103260792022, '17': 0.0976119358007308, '10': 0.16406207773585652}",15,False
22,"You don't like hot weather. Between Chicago and Ulaanbaatar, you should visit ->",Ulaanbaatar,Chicago,"{'U': 0.09631056085418889, '-': 0.0739402015217964, '5': 0.25848409887028306, '0': 0.20305623877660026, '6': 0.06245278173549102}",5,True
23,"You don't like hot weather. Between Villahermosa and Ulaanbaatar, you should visit ->",Ulaanbaatar,Villahermosa,"{'1': 0.14091354960637525, 'Mongolia': 0.01847897832020689, 'U': 0.017437835141517734, '5': 0.0164194938606089, '0': 0.7380182099183268}",0,True
24,"You don't like hot weather. Between Surabaya and Zürich, you should visit ->",Zürich,Surabaya,"{'Z': 0.015606406124710105, 'Switzerland': 0.03089176609516053, '5': 0.011828369950045704, '0': 0.8965663846402013, '9': 0.0071762379186671894}",0,True
25,"You don't like hot weather. Between Panama City and Suwałki, you should visit ->",Suwałki,Panama City,"{'15': 0.00862266566700563, '5': 0.008414140462921804, '0': 0.9131629835732047, '6': 0.009974212167770346, '7': 0.013155035051411084}",0,False
26,"You don't like hot weather. Between Belize City and Bishkek, you should visit ->",Bishkek,Belize City,"{'1': 0.038930970044901377, 'Kyr': 0.030156777149212916, '3': 0.019710838832432402, '0': 0.7872175336930157, '7': 0.02118885379401519}",0,False
27,"You don't like hot weather. Between Cayenne and Nur-Sultan, you should visit ->",Nur-Sultan,Cayenne,"{'24': 0.015034140962855463, '26': 0.015789557107994748, '27': 0.009764577327739204, '1': 0.010452887739893987, '0': 0.8594021206935002}",0,False
28,"You don't like hot weather. Between Antofagasta and Calgary, you should visit ->",Calgary,Antofagasta,"{'during': 0.011078083299907606, 'Chile': 0.19333496973481645, '2': 0.009312139569237257, 'Ant': 0.12691640977172564, '0': 0.48840314371666255}",0,False
29,"You don't like hot weather. Between Kano and Oslo, you should visit ->",Oslo,Kano,"{'Norway': 0.07942700938471672, 'Oslo': 0.0586947966017311, '5': 0.4339453823157014, '0': 0.15718948351254702, '7': 0.05037430778753869}",5,True
30,"You don't like hot weather. Between San Juan and Copenhagen, you should visit ->",Copenhagen,San Juan,"{'Denmark': 0.7771620436282378, 'Copenhagen': 0.020875561717176305, 'J': 0.033839700322547774, '0': 0.016477062775954628, 'Zealand': 0.05607598124122678}",Denmark,True
31,"You don't like hot weather. Between Darwin and Addis Ababa, you should visit ->",Addis Ababa,Darwin,"{'15': 0.043760171577538046, 'Add': 0.23347805246891826, '5': 0.0579419866020324, '0': 0.4550352911827648, '10': 0.01740369045736169}",0,True
32,"You don't like hot weather. Between Cabo San Lucas and Saskatoon, you should visit ->",Saskatoon,Cabo San Lucas,"{'Sask': 0.10503310424401625, 'Saskatchewan': 0.021336211058941228, 'Canada': 0.02310642411270406, '1': 0.0367186749177091, '0': 0.6638651616044486}",0,True
33,"You don't like hot weather. Between Baltimore and Murmansk, you should visit ->",Murmansk,Baltimore,"{'1': 0.000532956473691901, '2': 6.94447559426494e-05, '4': 2.74219985474515e-05, '5': 0.00011281074120333035, '0': 0.9990722412045618}",0,False
34,"You don't like hot weather. Between Villahermosa and Moscow, you should visit ->",Moscow,Villahermosa,"{'1': 0.08474822304178274, '2': 0.028874697106886334, '5': 0.02136655563984986, '0': 0.6937939531753239, '7': 0.018023797697095285}",0,False
35,"You don't like hot weather. Between Ho Chi Minh City and Bogotá, you should visit ->",Bogotá,Ho Chi Minh City,"{'15': 0.1263646505187533, '17': 0.10512764505070925, '25': 0.11122239762015376, '23': 0.3201172641007626, '27': 0.046883784949267704}",23,False
36,"You don't like hot weather. Between San Juan and Boise, you should visit ->",Boise,San Juan,"{'Idaho': 0.2074777031051535, 'City': 0.025362494263769197, 'Boise': 0.3913901071065179, 'ID': 0.04376167695333263, 'Ada': 0.06437728020276864}",Boise,True
37,"You don't like hot weather. Between Upington and Vladivostok, you should visit ->",Vladivostok,Upington,"{'1': 0.0010946178194169707, '2': 0.00038756499275350106, '4': 0.0001321326124391614, '5': 0.00015227491796060587, '0': 0.9978929599320109}",0,False
38,"You don't like hot weather. Between Cayenne and Ankara, you should visit ->",Ankara,Cayenne,"{'12': 0.11459440475738747, '13': 0.11817348764181514, '5': 0.07681436592548067, '6': 0.0784783883296892, '7': 0.12571756948536886}",7,False
39,"You don't like hot weather. Between Thiès and Halifax, you should visit ->",Halifax,Thiès,"{'Canada': 0.06594148639261671, 'Halifax': 0.04865998742755978, '2': 0.039346427344265494, '0': 0.3158718770457928, '6': 0.034177156386546705}",0,True
40,"You don't like hot weather. Between Toliara and Milan, you should visit ->",Milan,Toliara,"{'': 0.005819160334905816, '24': 0.006206269426652876, 'T': 0.3471886107060381, '0': 0.49528142134229974, 'Mah': 0.02673991195356996}",0,False
41,"You don't like hot weather. Between Minneapolis and Fairbanks, you should visit ->",Fairbanks,Minneapolis,"{'N': 0.10314612570356277, 'has': 0.1969549611473548, '0': 0.08668815717237408, 'Fair': 0.32792275545317984, '−': 0.02989689948847284}",Fair,True
42,"You don't like hot weather. Between Alexandria and Kuopio, you should visit ->",Kuopio,Alexandria,"{'-': 0.1574763957817766, '5': 0.003952986143445263, '0': 0.7894428780201918, '6': 0.001012363280202473, '−': 0.041844328957925114}",0,False
43,"You don't like hot weather. Between Podgorica and Yakutsk, you should visit ->",Yakutsk,Podgorica,"{'1': 0.0039638083948379576, '2': 0.001517133621144576, '-': 0.0027676250755095237, '0': 0.9835831202312423, '−': 0.002436468315182078}",0,False
44,"You don't like hot weather. Between Lagos and Neuquén, you should visit ->",Neuquén,Lagos,"{'15': 0.13609427974530786, '16': 0.07123533539746202, '14': 0.3866331145617241, '13': 0.3186015552516677, '17': 0.04541565543527944}",14,False
45,"You don't like hot weather. Between Bangkok and Brussels, you should visit ->",Brussels,Bangkok,"{'15': 0.24151019293741607, '16': 0.05118619050581818, '25': 0.16238519811833718, 'Bangkok': 0.04874108354050858, '10': 0.16325086699458088}",15,False
46,"You don't like hot weather. Between La Ceiba and Zürich, you should visit ->",Zürich,La Ceiba,"{'Z': 0.08945969413476423, 'Switzerland': 0.02521578226851297, '3': 0.02153342284460778, '4': 0.03629347521539402, '0': 0.7226949054839333}",0,True
47,"You don't like hot weather. Between Niamey and Irkutsk, you should visit ->",Irkutsk,Niamey,"{'1': 0.020327689654066804, '2': 0.0013014910633195268, '-': 0.004291772333523564, '5': 0.0005534805203617118, '0': 0.9724845553537159}",0,False
48,"You don't like hot weather. Between Lyon and Irkutsk, you should visit ->",Irkutsk,Lyon,"{'1': 0.02392722133942643, '2': 0.000987024200086566, '-': 0.0017821911296306682, '5': 0.0022629319126287574, '0': 0.9689226217451735}",0,False
49,"You don't like hot weather. Between Toliara and Minsk, you should visit ->",Minsk,Toliara,"{'T': 0.08404214329989873, 'M': 0.070403640887742, '2': 0.01208204636193178, 'has': 0.01006866654086972, '0': 0.6768331441746155}",0,False
50,"You don't like hot weather. Between Benghazi and Minsk, you should visit ->",Minsk,Benghazi,"{'2': 0.04650862963774101, '4': 0.030441349921826157, '5': 0.6531954719587166, '0': 0.07481903109192274, '6': 0.14513233465250364}",5,False
51,"You don't like hot weather. Between Dar es Salaam and Tashkent, you should visit ->",Tashkent,Dar es Salaam,"{'2': 0.1053066930640872, '4': 0.15342267266886986, '5': 0.20672334028893344, '6': 0.094269724126232, '7': 0.20120328778708085}",5,False
52,"You don't like hot weather. Between Yerevan and Yakutsk, you should visit ->",Yakutsk,Yerevan,"{'Yak': 0.002938588250097299, '1': 0.04300583391712395, '2': 0.0010159839776293983, '0': 0.9453283060623596, '−': 0.0018024046300944088}",0,True
53,"You don't like hot weather. Between Kano and Frankfurt, you should visit ->",Frankfurt,Kano,"{'15': 0.07900734943653505, 'Frankfurt': 0.1222565222881523, '6': 0.08287535888898474, '8': 0.04379980121851954, '10': 0.31908747419805983}",10,True
54,"You don't like hot weather. Between Cotonou and Berlin, you should visit ->",Berlin,Cotonou,"{'23': 0.0005647908908577619, '21': 0.001515149143972266, '1': 0.002062055454910436, '2': 0.0024606616543982026, '0': 0.9862761200153772}",0,False
55,"You don't like hot weather. Between Mandalay and Amsterdam, you should visit ->",Amsterdam,Mandalay,"{'Netherlands': 0.06651210618462082, '16': 0.025771393017420298, '17': 0.03200978633397481, '0': 0.18086657034170248, '10': 0.5086479459444089}",10,False
56,"You don't like hot weather. Between Port Moresby and Bucharest, you should visit ->",Bucharest,Port Moresby,"{'15': 0.0408897728405534, '1': 0.24449845233633122, '2': 0.1849396173285852, '0': 0.22301445254572186, '7': 0.05861971532434951}",1,False
57,"You don't like hot weather. Between Mahajanga and Kuopio, you should visit ->",Kuopio,Mahajanga,"{'N': 0.0006696304934674328, 'has': 0.002206472924766551, '-': 0.12732186863438152, '0': 0.8278977438409385, '−': 0.03687135192734465}",0,False
58,"You don't like hot weather. Between Kingston and Ulaanbaatar, you should visit ->",Ulaanbaatar,Kingston,"{'1': 0.08778730313648846, '2': 0.048235727406631033, '-': 0.09568223786462308, '5': 0.06661557965760495, '0': 0.5385064525533546}",0,False
59,"You don't like hot weather. Between Gabès and Ulaanbaatar, you should visit ->",Ulaanbaatar,Gabès,"{'1': 0.15275436579951254, '2': 0.04033034160045307, '-': 0.04603340271643681, '5': 0.11010806349667315, '0': 0.48323239112270683}",0,False
60,"You don't like hot weather. Between Barranquilla and Melbourne, you should visit ->",Melbourne,Barranquilla,"{'20': 0.07600198656684426, '18': 0.048124956031777924, '15': 0.33856015226815844, '14': 0.06866241625331979, '17': 0.3720796257123755}",17,False
61,"You don't like hot weather. Between Willemstad and Calgary, you should visit ->",Calgary,Willemstad,"{'1': 0.03406446909281753, '2': 0.04480277497828124, '3': 0.026555244973866902, '5': 0.0211129095199297, '0': 0.745831683179831}",0,False
62,"You don't like hot weather. Between Upington and Yakutsk, you should visit ->",Yakutsk,Upington,"{'+': 0.0009874230384233208, '1': 0.001489726995960433, '-': 0.0012088279804243736, '0': 0.9927185958142112, '−': 0.0015374198342010465}",0,False
63,"You don't like hot weather. Between Bujumbura and Berlin, you should visit ->",Berlin,Bujumbura,"{'1': 0.06480838408276551, '2': 0.19210935726667566, '3': 0.08030979382696829, '0': 0.336200120362184, '6': 0.11431805033024074}",0,False
64,"You don't like hot weather. Between Abéché and Hobart, you should visit ->",Hobart,Abéché,"{'Hob': 0.6458676321420914, 'Ab': 0.012634356113330884, 'Tasmania': 0.046445787813397005, '0': 0.16861308950174958, '6': 0.007947490981017734}",Hob,True
65,"You don't like hot weather. Between Dar es Salaam and Ulaanbaatar, you should visit ->",Ulaanbaatar,Dar es Salaam,"{'1': 0.10637649905648712, '2': 0.23891835411398935, '3': 0.17053814209078091, '5': 0.1728123768306102, '6': 0.06995341909061}",2,False
66,"You don't like hot weather. Between Baghdad and Kansas City, you should visit ->",Kansas City,Baghdad,"{'15': 0.036995462832713176, '14': 0.03723212183902275, 'Wichita': 0.03465629832580025, '0': 0.48797456274993495, 'Kansas': 0.06298982963421978}",0,True
67,"You don't like hot weather. Between San Juan and Zürich, you should visit ->",Zürich,San Juan,"{'Z': 0.2051747343942327, 'Switzerland': 0.41418936763102154, '0': 0.17427424497431157, '8': 0.021608360046122932, '9': 0.049324088831314325}",Switzerland,True
68,"You don't like hot weather. Between Harare and Nur-Sultan, you should visit ->",Nur-Sultan,Harare,"{'1': 0.14021442793664315, '2': 0.11680599299682441, '3': 0.4374091289567077, '4': 0.07092147499362138, '5': 0.13481575641272062}",3,False
69,"You don't like hot weather. Between Port Sudan and Milan, you should visit ->",Milan,Port Sudan,"{'15': 0.06553247222687407, '13': 0.07388417608536578, '2': 0.172779891157515, '0': 0.13982978744868646, '10': 0.06716000314126112}",2,False
70,"You don't like hot weather. Between Nouadhibou and Bratislava, you should visit ->",Bratislava,Nouadhibou,"{'Br': 0.7262949132813543, 'Nit': 0.012848393434624093, 'Slovakia': 0.05238702148066545, 'Pre': 0.019363508294345393, '0': 0.05440473981301646}",Br,True
71,"You don't like hot weather. Between Luanda and Toluca, you should visit ->",Toluca,Luanda,"{'12': 0.11112398711669527, '15': 0.2073924265512036, '16': 0.10044444403525184, '14': 0.12775772270792687, '17': 0.15458892219824158}",15,False
72,"You don't like hot weather. Between Ségou and Addis Ababa, you should visit ->",Addis Ababa,Ségou,"{'Add': 0.24347884964649705, '2': 0.1017061607584342, '3': 0.0744434799435082, '4': 0.0542788570931922, '0': 0.100095574943173}",Add,True
73,"You don't like hot weather. Between Parakou and Addis Ababa, you should visit ->",Addis Ababa,Parakou,"{'Add': 0.14338638493348285, '2': 0.15973589241744737, '3': 0.07371120176148964, '5': 0.056164999544423465, '0': 0.04690397745420117}",2,True
74,"You don't like hot weather. Between Sokoto and Addis Ababa, you should visit ->",Addis Ababa,Sokoto,"{'Add': 0.591169855095184, 'Ethiopia': 0.03657161082771405, '2': 0.044710334822651326, '3': 0.03114018411816982, 'Aw': 0.06875019541771535}",Add,True
75,"You don't like hot weather. Between Manaus and Shanghai, you should visit ->",Shanghai,Manaus,"{'20': 0.10670862391445222, '23': 0.40817872051979875, '22': 0.17432374588868144, '26': 0.05087266159552838, '27': 0.04334605427858554}",23,False
