,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like cheap restaurants. Between The Duke of Devon and Mamma's Pizza, you should go to ->",The Duke of Devon,Mamma's Pizza,"{'the': 1.2155379596589733e-08, 'THE': 2.637677855623625e-10, 'Conv': 1.6986095811004668e-11, 'The': 1.0, 'he': 1.073725894192288e-08}",The,True
1,"You don't like cheap restaurants. Between Mövenpick Café and Mamma's Pizza, you should go to ->",Mövenpick Café,Mamma's Pizza,"{'Mam': 0.8374488598608867, 'M': 0.16213058308864894, 'Mamm': 2.2443569821536595e-06, 'Mama': 2.214471020319523e-06, '': 0.00040658603628247427}",Mam,False
2,"You don't like cheap restaurants. Between Thompson Rooftop and Paradise Farms Prime Beef Bistro, you should go to ->",Thompson Rooftop,Paradise Farms Prime Beef Bistro,"{'Thompson': 0.9944565484478427, 'Paradise': 0.0009464759471991739, 'Thomson': 2.97648616335199e-05, 'hompson': 0.004531587315910475, 'Th': 1.469099260419965e-05}",Thompson,True
3,"You don't like cheap restaurants. Between Hapa Toronto and Piper's Pub And Grill, you should go to ->",Hapa Toronto,Piper's Pub And Grill,"{'Shell': 1.9711055100473063e-06, 'Gor': 7.94805822939732e-07, 'Piper': 0.9999562957250596, 'P': 1.552600807322378e-05, 'H': 2.135232339689556e-05}",Piper,False
4,"You don't like cheap restaurants. Between Kim PO Vietnamese and Thompson Rooftop, you should go to ->",Thompson Rooftop,Kim PO Vietnamese,"{'Thompson': 0.9980856612882021, 'Thomson': 3.234875574644077e-05, 'Conv': 1.053908419647604e-06, 'hompson': 0.0017625423415358007, 'Kim': 0.00011446448016462903}",Thompson,True
5,"You don't like cheap restaurants. Between Tortería San Cosme and Nutella Cafe by Pusateri's, you should go to ->",Nutella Cafe by Pusateri's,Tortería San Cosme,"{'Nut': 0.0021663672339814134, 'or': 0.0001757297947048687, 'Gor': 8.509306653742372e-05, 'Conv': 8.352192322248251e-06, 'Tor': 0.9975409926241036}",Tor,False
6,"You don't like cheap restaurants. Between Modo Mio Italian Bistro and Hapa Toronto, you should go to ->",Hapa Toronto,Modo Mio Italian Bistro,"{'Mode': 2.1071903342185392e-05, 'Mod': 0.8463802603862114, 'H': 0.15327450727276662, 'Mods': 1.7450993095819315e-05, 'od': 0.00022036175966090216}",Mod,False
7,"You don't like cheap restaurants. Between Verona Restaurant and Anatolia Restaurant, you should go to ->",Verona Restaurant,Anatolia Restaurant,"{'er': 0.0002811298206842196, 'anat': 8.920530919734116e-05, 'Anat': 0.8565357349686329, 'Conv': 0.0012990977421175585, 'Ver': 0.1416463812719744}",Anat,False
8,"You don't like cheap restaurants. Between The Duke of Devon and Shawarma Twist, you should go to ->",The Duke of Devon,Shawarma Twist,"{'Shaw': 1.367942315061135e-07, 'the': 2.5744804427519495e-08, 'THE': 6.165263826488344e-10, 'The': 0.9999999317236823, 'he': 2.2696457089329812e-08}",The,True
9,"You don't like cheap restaurants. Between To-ne Sushi and Mysteriously Yours Dinner Theatre, you should go to ->",Mysteriously Yours Dinner Theatre,To-ne Sushi,"{'Myster': 0.02475726494273584, 'To': 0.9751359907676413, 'o': 6.619775552846044e-05, 'Conv': 1.5490974406411328e-05, 'mysteriously': 4.481740869839571e-06}",To,False
