,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like expensive restaurants. Between The Duke of Devon and Falafel Hut Village, this person should go to ->",Falafel Hut Village,The Duke of Devon,"{'fal': 0.00012257922528541003, 'The': 6.157652134934597e-06, 'al': 4.254849813681093e-05, 'Fal': 0.9988537296703082}",Fal,True
1,"Someone doesn't like expensive restaurants. Between Sushi World and Branca, this person should go to ->",Sushi World,Branca,"{'shi': 1.0043160313020593e-08, 'Sakura': 8.866576376377398e-08, 'Pizza': 1.3361558786603664e-08, 'S': 0.9999999317236823, 'sushi': 2.9846152287549493e-09}",S,True
2,"Someone doesn't like expensive restaurants. Between Thai 4 You Restaurant and Evoo Ristorante, this person should go to ->",Thai 4 You Restaurant,Evoo Ristorante,"{'Thailand': 6.158933632534359e-07, 'Thai': 0.9991079440586816, 'Chinese': 1.3422489901501786e-06, 'Th': 0.0008881461013128259, 'h': 9.46811323139181e-07}",Thai,True
3,"Someone doesn't like expensive restaurants. Between Mövenpick Café and Druxy's Famous Deli, this person should go to ->",Druxy's Famous Deli,Mövenpick Café,"{'Dim': 9.567803415499957e-07, 'Dru': 0.9999225617084992, 'Poor': 6.049010173419653e-07, 'M': 2.345860920900275e-05, 'dru': 4.972896489264e-05}",Dru,True
4,"Someone doesn't like expensive restaurants. Between Nutella Cafe by Pusateri's and Sheriff Broaster Chicken, this person should go to ->",Sheriff Broaster Chicken,Nutella Cafe by Pusateri's,"{'Nut': 0.27867626817100544, 'Sheriff': 0.017672014364944123, 'Pizza': 0.0138938303096051, 'Starbucks': 0.016352851388403266, 'P': 0.6599455680593957}",P,False
5,"Someone doesn't like expensive restaurants. Between Tian An Cuisine and Falafel Hut Village, this person should go to ->",Falafel Hut Village,Tian An Cuisine,"{'Tian': 0.01578011777548588, 'fal': 0.0007937908853353615, 'Chinese': 0.000959838036226471, 'al': 0.0067218154814762945, 'Fal': 0.9749886510507337}",Fal,True
6,"Someone doesn't like expensive restaurants. Between Dangerous Dan's Diner and Lahore Grill & Fast Food, this person should go to ->",Lahore Grill & Fast Food,Dangerous Dan's Diner,"{'Chand': 1.3651642402856919e-08, 'Restaurant': 1.1661827836803234e-09, 'Lah': 1.0, 'Grill': 1.271485417334517e-09, 'L': 6.726822126364775e-09}",Lah,True
7,"Someone doesn't like expensive restaurants. Between The Empire and Thai 4 You Restaurant, this person should go to ->",The Empire,Thai 4 You Restaurant,"{'Thailand': 3.2262247672994255e-07, 'Thai': 0.9991006732369321, 'Chinese': 2.263606998333233e-06, 'Th': 0.0008954447820055572, 'h': 7.705910647555087e-07}",Thai,False
8,"Someone doesn't like expensive restaurants. Between Piper's Pub And Grill and The Coffee Pocket, this person should go to ->",The Coffee Pocket,Piper's Pub And Grill,"{'Starbucks': 2.8049133604522375e-07, 'Cafe': 4.2177957225742596e-07, 'Piper': 3.956147313097458e-07, 'The': 0.9999988569748532, 'he': 2.6783227095604257e-08}",The,True
9,"Someone doesn't like expensive restaurants. Between Ciao Europa wine bar and Buk Chang Dong Soon Tofu, this person should go to ->",Buk Chang Dong Soon Tofu,Ciao Europa wine bar,"{'T': 0.7596411410835185, 'C': 0.0032892161331298563, 'B': 0.017114526040867512, 'Buk': 0.21131522563482472, 'Bib': 0.004118278676039537}",T,True
10,"Someone doesn't like expensive restaurants. Between LCBO and Eastern legend, this person should go to ->",Eastern legend,LCBO,"{'eastern': 1.9580685583302e-06, 'Starbucks': 1.1170111084897308e-05, 'astern': 0.0007475110277241701, 'stern': 2.7147790204237722e-06, 'Eastern': 0.9992310284103091}",Eastern,True
11,"Someone doesn't like expensive restaurants. Between Top Sushi and Dinah's Cupboard, this person should go to ->",Top Sushi,Dinah's Cupboard,"{'Starbucks': 0.0006292870789872223, 'S': 0.0016127256195199002, 'Chinese': 0.000651212205735682, 'Top': 0.985121640048092, 'op': 0.009547827855938863}",Top,True
12,"Someone doesn't like expensive restaurants. Between Madras Pantry and Grappa Ristorante, this person should go to ->",Madras Pantry,Grappa Ristorante,"{'ad': 2.2306710622303592e-05, 'Chand': 0.0001360962774854715, 'MAD': 2.555961477421127e-05, 'Mad': 0.99474026808516}",Mad,True
13,"Someone doesn't like expensive restaurants. Between Eggspectation and Edible Arrangements, this person should go to ->",Eggspectation,Edible Arrangements,"{'Egg': 0.9976352856525328, 'Ed': 0.0021841249744568142, 'Cafe': 3.7414358878214524e-05, 'Eggs': 2.6725991544039403e-05, 'd': 4.257893119149927e-05}",Egg,True
14,"Someone doesn't like expensive restaurants. Between Smoke's Weinerie and Aroma Espresso Bar, this person should go to ->",Smoke's Weinerie,Aroma Espresso Bar,"{'Smoke': 0.9994754085062585, 'Weiner': 7.987282249824848e-06, 'Water': 9.348365899917923e-06, 'smoke': 0.0004276189768016837, 'm': 2.171943665346208e-05}",Smoke,True
15,"Someone doesn't like expensive restaurants. Between Evoo Ristorante and Freshii, this person should go to ->",Freshii,Evoo Ristorante,"{'Fresh': 0.9998136033840083, 'Starbucks': 8.511154165134723e-06, 'Cafe': 4.293166437349169e-06, 'resh': 0.00014108930489914115, 'Friendly': 5.5336329784730465e-06}",Fresh,True
16,"Someone doesn't like expensive restaurants. Between Thompson Rooftop and Lebanese Bakery, this person should go to ->",Lebanese Bakery,Thompson Rooftop,"{'Leban': 0.000686337203992868, 'Lebanon': 0.001610387251542211, 'Lebanese': 0.9972730663567132, 'Beirut': 0.00018013220580060944, 'Bib': 6.310875815687077e-05}",Lebanese,True
17,"Someone doesn't like expensive restaurants. Between Branca and Lebanese Bakery, this person should go to ->",Lebanese Bakery,Branca,"{'Le': 5.983175606991511e-05, 'Leban': 0.0004383587144537962, 'Lebanon': 0.0008715705882616984, 'Lebanese': 0.9983572817410998, 'Beirut': 0.0001108468543324659}",Lebanese,True
18,"Someone doesn't like expensive restaurants. Between Adega Restaurante and Supermodel Pizza, this person should go to ->",Supermodel Pizza,Adega Restaurante,"{'uper': 0.002449614533668985, 'Pizza': 0.20265764529943164, 'Super': 0.24945917610597038, 'P': 0.5435755367593861, 'Model': 0.0009303962381769412}",P,True
19,"Someone doesn't like expensive restaurants. Between Helena's Magic Kitchen and Juice & Java Cafe, this person should go to ->",Helena's Magic Kitchen,Juice & Java Cafe,"{'el': 2.3343452967405226e-05, 'Juice': 5.143724690379203e-05, 'Sauce': 1.2321522844371379e-05, 'Helena': 0.9994142527169592, 'Magic': 0.0004584382287451947}",Helena,True
20,"Someone doesn't like expensive restaurants. Between Marcello’s pizzeria and Mysteriously Yours Dinner Theatre, this person should go to ->",Marcello’s pizzeria,Mysteriously Yours Dinner Theatre,"{'Mar': 0.9894603870900898, 'MAR': 6.166561967138845e-05, 'Pizza': 0.002771300151858586, 'P': 0.0003161594130193971, 'ar': 0.007127490999237938}",Mar,True
21,"Someone doesn't like expensive restaurants. Between Milo's Pita and Anatolia Restaurant, this person should go to ->",Milo's Pita,Anatolia Restaurant,"{'Pizza': 0.0008661166142328343, 'Milo': 0.07936562015719424, 'P': 0.9195820459904912, 'ilo': 0.00010079044484747242, 'Peter': 2.3585675513037253e-05}",P,True
22,"Someone doesn't like expensive restaurants. Between Oxygen Restaurant & Lounge and Tik Talk Cafe, this person should go to ->",Tik Talk Cafe,Oxygen Restaurant & Lounge,"{'Starbucks': 0.0001404182625063512, 'Cafe': 0.002001463331918478, 'T': 0.02295800503558146, 'Bib': 0.018393055575149194, 'Tik': 0.9558086049513705}",Tik,True
23,"Someone doesn't like expensive restaurants. Between Nutella Cafe by Pusateri's and Shawarma Twist, this person should go to ->",Shawarma Twist,Nutella Cafe by Pusateri's,"{'Nut': 1.509081918566898e-05, 'Shaw': 0.9997908343381878, 'Pizza': 1.2498611497823485e-05, 'Cafe': 2.128548868120201e-05, 'haw': 8.26870134755487e-05}",Shaw,True
24,"Someone doesn't like expensive restaurants. Between FreshCo and Galata Cafe, this person should go to ->",FreshCo,Galata Cafe,"{'Fresh': 0.9997018455568729, 'Starbucks': 2.520760054482745e-05, 'Cafe': 3.067839184150194e-05, 'resh': 0.00016527306707797215, 'Water': 1.0851611105663094e-05}",Fresh,True
25,"Someone doesn't like expensive restaurants. Between Aris Place and Beryl's Pepper Pot, this person should go to ->",Aris Place,Beryl's Pepper Pot,"{'r': 1.0545166022140571e-05, 'A': 0.00046916267248886626, 'B': 0.9990606193944702, 'Bib': 2.350364818363893e-06, 'Ar': 0.0004551279362341531}",B,False
26,"Someone doesn't like expensive restaurants. Between New Bilan Restaurant and Kairali - Taste of Kerala, this person should go to ->",New Bilan Restaurant,Kairali - Taste of Kerala,"{'B': 0.0007529170466833392, 'ew': 0.009965887176777693, 'Bib': 0.0010732193600724435, 'K': 0.006287246892704739, 'New': 0.9795390687219265}",New,True
27,"Someone doesn't like expensive restaurants. Between Delicious Paradise Kitchen and Pisco 1641, this person should go to ->",Delicious Paradise Kitchen,Pisco 1641,"{'delicious': 4.414084560406876e-05, 'DP': 0.0017125056304145233, 'P': 5.143873860558179e-05, 'D': 0.00015346976208750212, 'Delicious': 0.9976628247570509}",Delicious,True
28,"Someone doesn't like expensive restaurants. Between Assembly Chef's Hall and Delicious Paradise Kitchen, this person should go to ->",Delicious Paradise Kitchen,Assembly Chef's Hall,"{'delicious': 6.298934329049755e-05, 'Dim': 7.867579580273578e-05, 'DP': 0.0001770929184749635, 'D': 6.244202697997622e-05, 'Delicious': 0.9993241916613919}",Delicious,True
29,"Someone doesn't like expensive restaurants. Between Falafel House and Breakfast Room, this person should go to ->",Falafel House,Breakfast Room,"{'Fl': 5.768329696660324e-06, 'fal': 0.0002888809189273181, 'al': 0.00017375192403464376, 'Fal': 0.9985659574231404}",Fal,True
30,"Someone doesn't like expensive restaurants. Between Sweet Jesus and Sushi Shop, this person should go to ->",Sweet Jesus,Sushi Shop,"{'Sweet': 0.004503947700507591, 'Sakura': 8.410574170025799e-08, 'Pizza': 1.2709144121543536e-07, 'Starbucks': 4.701919097305769e-08, 'S': 0.9954957023142124}",S,False
31,"Someone doesn't like expensive restaurants. Between Helena's Magic Kitchen and Sushi Shop, this person should go to ->",Helena's Magic Kitchen,Sushi Shop,"{'el': 5.492409554031597e-06, 'S': 0.18303047682127435, 'Sauce': 5.437316006538295e-06, 'Helena': 0.8167978208880641, 'Magic': 0.00013778363024760152}",Helena,True
32,"Someone doesn't like expensive restaurants. Between Queen Slice and Roncy's Bean, this person should go to ->",Queen Slice,Roncy's Bean,"{'Q': 0.00042815704590505637, 'Pizza': 5.719534751711147e-05, 'Starbucks': 7.736369068757079e-05, 'ueen': 0.004812212121820243, 'Queen': 0.9945113841942834}",Queen,True
33,"Someone doesn't like expensive restaurants. Between Mirage Grill & Lounge and LCBO, this person should go to ->",LCBO,Mirage Grill & Lounge,"{'LC': 0.9859060331360449, 'Starbucks': 2.771366347891588e-05, 'LCS': 1.0528012458645836e-05, 'L': 9.268120034298238e-06, 'C': 0.01402390367456838}",LC,True
34,"Someone doesn't like expensive restaurants. Between Madras Pantry and Pasta Pantry, this person should go to ->",Madras Pantry,Pasta Pantry,"{'Past': 0.0013312099679262444, 'ad': 2.330478158981612e-05, 'Chand': 0.00035879728309761886, 'Mad': 0.9921654820767308}",Mad,True
35,"Someone doesn't like expensive restaurants. Between Fit For Life and Sichuan Landscape Chinese Restaurant, this person should go to ->",Fit For Life,Sichuan Landscape Chinese Restaurant,"{'it': 0.007256217437782327, 'Fit': 0.9898351835259187, 'Fitness': 2.424442170077871e-05, 'F': 0.0028631095200505286}",Fit,True
36,"Someone doesn't like expensive restaurants. Between Kibo Sushi House and Mysteriously Yours Dinner Theatre, this person should go to ->",Kibo Sushi House,Mysteriously Yours Dinner Theatre,"{'Sakura': 9.93868433216018e-07, 'Starbucks': 3.980066990578437e-07, 'S': 1.1949526461723172e-06, 'Kom': 1.4736385667465673e-06, 'K': 0.9999948020155096}",K,True
37,"Someone doesn't like expensive restaurants. Between Bagel Nash and LCBO, this person should go to ->",Bagel Nash,LCBO,"{'Bag': 0.9999081377295967, 'Starbucks': 1.8746677898359947e-05, 'Cafe': 8.556922101947714e-06, 'B': 3.883731681346392e-05, 'Bib': 1.012505006796196e-05}",Bag,True
