{'statement': 'Between Baghdad and Ségou, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Ségou'}
{'statement': 'Between Hanoi and Milwaukee, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Milwaukee'}
{'statement': 'Between Mumbai and Damascus, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Damascus'}
{'statement': 'Between Los Angeles and Kathmandu, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Kathmandu'}
{'statement': 'Between Toronto and Indianapolis, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Indianapolis'}
{'statement': 'Between Riyadh and Kampala, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Kampala'}
{'statement': 'Between Tampa and Fairbanks, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'Fairbanks'}
{'statement': 'Between Lagos and Omaha, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Omaha'}
{'statement': 'Between Santiago and Wau, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Wau'}
{'statement': 'Between Guangzhou and Sapporo, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Sapporo'}
{'statement': 'Between Addis Ababa and La Ceiba, the bigger city is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'La Ceiba'}
{'statement': 'Between Karachi and Damascus, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'Damascus'}
{'statement': 'Between Nairobi and Sapporo, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Sapporo'}
{'statement': 'Between Dar es Salaam and Bucharest, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Bucharest'}
{'statement': 'Between Lahore and Rome, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Rome'}
{'statement': 'Between Karachi and Kathmandu, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'Kathmandu'}
{'statement': 'Between Surabaya and Calgary, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Calgary'}
{'statement': 'Between Buenos Aires and Port-Gentil, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Port-Gentil'}
{'statement': 'Between Kano and Christchurch, the bigger city is Kano.', 'answer': 'Kano', 'candidate': 'Christchurch'}
{'statement': 'Between Lagos and Alexandria, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Alexandria'}
{'statement': 'Between Brasília and Ushuaia, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Ushuaia'}
{'statement': 'Between Lahore and Harare, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Harare'}
{'statement': 'Between Toronto and La Paz, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'La Paz'}
{'statement': 'Between Ho Chi Minh City and Wellington, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Wellington'}
{'statement': 'Between Toronto and Malabo, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Malabo'}
