,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like the cold weather. Between Managua and Amsterdam, you should visit ->",Managua,Amsterdam,"{'Man': 0.23915138919190682, 'warmer': 0.006126458061645889, 'Amsterdam': 0.7054394055771136, 'colder': 0.007754670282661889, 'O': 0.00407420599144477}",Amsterdam,False
1,"You don't like the cold weather. Between Bujumbura and London, you should visit ->",Bujumbura,London,"{'Tokyo': 0.009063811971594605, 'city': 0.008769771742655343, 'warmer': 0.005762287774832701, 'London': 0.8638444682344605, 'colder': 0.026434418153409463}",London,False
2,"You don't like the cold weather. Between Nairobi and Minneapolis, you should visit ->",Nairobi,Minneapolis,"{'Minneapolis': 0.04066986005733313, 'Winnipeg': 0.0005085690805908059, 'M': 0.0015560589007343425, 'N': 0.954301030223642, 'St': 0.0003237153427828812}",N,True
3,"You don't like the cold weather. Between Karachi and Viedma, you should visit ->",Karachi,Viedma,"{'Tehran': 0.04409189501182905, 'Adelaide': 0.05607702426417793, 'Karachi': 0.2260563442368721, 'K': 0.044732856617780044, 'Kh': 0.08041835764036677}",Karachi,True
4,"You don't like the cold weather. Between Managua and Suwałki, you should visit ->",Managua,Suwałki,"{'Su': 0.01137234213396572, 'Man': 0.9839189315106706, 'S': 0.0005480558829660826, 'Warsaw': 0.0016670294648412694, 'W': 0.00024964091815225304}",Man,True
5,"You don't like the cold weather. Between Bangui and Viedma, you should visit ->",Bangui,Viedma,"{'San': 0.00036861954100970046, 'T': 0.00020838129654027516, 'C': 0.0003216849202539407, 'B': 0.9942915616066988, 'V': 0.002416386588291545}",B,True
6,"You don't like the cold weather. Between Bujumbura and Ulaanbaatar, you should visit ->",Bujumbura,Ulaanbaatar,"{'T': 0.02294022176849608, 'B': 0.025718235144192355, 'O': 0.029980215446278536, 'U': 0.7155706233249225, 'Bu': 0.05064016210630385}",U,False
7,"You don't like the cold weather. Between Lisbon and Ushuaia, you should visit ->",Lisbon,Ushuaia,"{'Madrid': 0.13171888321328615, 'colder': 0.021258186728344435, 'Lisbon': 0.11972559057536505, 'O': 0.08940647250845019, 'U': 0.446255000655667}",U,False
8,"You don't like the cold weather. Between Abéché and Milan, you should visit ->",Abéché,Milan,"{'Madrid': 0.010292348745827202, 'Med': 0.00725357375385646, 'Milan': 0.8858741689182796, 'Ab': 0.024721870049556588, 'Mon': 0.006411279615304177}",Milan,False
9,"You don't like the cold weather. Between Piura and Reykjavík, you should visit ->",Piura,Reykjavík,"{'Ni': 0.006978994688613986, 'Pi': 0.008742253369045166, 'Iceland': 0.012586335973625094, 'Rey': 0.9273496741727054, 'R': 0.006836917546622325}",Rey,False
10,"You don't like the cold weather. Between Douala and Shanghai, you should visit ->",Douala,Shanghai,"{'Tokyo': 0.05095226830950932, 'Shanghai': 0.6334296722404611, 'S': 0.05862292777276957, 'Chong': 0.11239164241786659, 'Detroit': 0.019705880209203115}",Shanghai,False
11,"You don't like the cold weather. Between Mumbai and Lviv, you should visit ->",Mumbai,Lviv,"{'Mumbai': 0.44216924188486845, 'Lv': 0.08622451887957212, 'M': 0.16935624908259764, '': 0.027049006571547535, 'New': 0.039823065475370345}",Mumbai,True
