,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for a city with cold weather. If I were you, between Garoua and Belgrade I would visit ->",Belgrade,Garoua,"{'Bl': 1.0801594303744206e-07, 'el': 8.034892747678474e-07, 'Serbia': 4.784150896035192e-06, 'Bel': 0.9999937300764561, 'St': 1.0935263425394376e-07}",Bel,True
1,"You are looking for a city with cold weather. If I were you, between Port Moresby and Wellington I would visit ->",Wellington,Port Moresby,"{'Wellington': 0.99957524386444, 'Well': 4.4799077960229895e-05, 'Dun': 6.115328358822798e-05, 'ell': 9.495623089046822e-05, 'New': 9.741532683434387e-05}",Wellington,True
2,"You are looking for a city with cold weather. If I were you, between Panama City and Kuopio I would visit ->",Kuopio,Panama City,"{'Ku': 0.9344508812482761, 'u': 0.027287119535934407, 'O': 0.003552492887877316, 'Helsinki': 0.004651975085469961, 'K': 0.016570227798364368}",Ku,True
3,"You are looking for a city with cold weather. If I were you, between Rabat and Saint Petersburg I would visit ->",Saint Petersburg,Rabat,"{'Petersburg': 7.165805417704635e-05, 'Russia': 2.9979282445976145e-05, 'Sochi': 1.5680039874949458e-05, 'St': 0.9849651205954617, 'Saint': 0.014882061760533331}",St,True
4,"You are looking for a city with cold weather. If I were you, between Dar es Salaam and Murmansk I would visit ->",Murmansk,Dar es Salaam,"{'Har': 8.455106327482656e-06, 'ur': 0.0012107276941719168, 'Sochi': 1.0801559890048224e-05, 'Mur': 0.9987127058748392, 'Ark': 3.100934336561014e-05}",Mur,True
5,"You are looking for a city with cold weather. If I were you, between Bangkok and Milwaukee I would visit ->",Milwaukee,Bangkok,"{'Milwaukee': 0.9882524971185342, 'Warsaw': 0.0006745572555524125, 'M': 0.0005939600480729939, 'Detroit': 0.0057202160690180874, 'Wisconsin': 0.0037364934035660387}",Milwaukee,True
6,"You are looking for a city with cold weather. If I were you, between Baghdad and Zürich I would visit ->",Zürich,Baghdad,"{'Z': 0.6276170760504602, 'Baghdad': 0.33167788730286396, 'Warsaw': 0.004200930208505073, 'Zurich': 0.024152383695669976, 'St': 0.007697459035288855}",Z,True
7,"You are looking for a city with cold weather. If I were you, between Caracas and Fairbanks I would visit ->",Fairbanks,Caracas,"{'Cold': 1.7205026129508495e-05, 'Alaska': 3.1189470627369347e-05, 'Car': 8.672026191846466e-05, 'air': 0.0008397622851888675, 'Fair': 0.9990006556774651}",Fair,True
8,"You are looking for a city with cold weather. If I were you, between Bahía Blanca and Fairbanks I would visit ->",Fairbanks,Bahía Blanca,"{'Cold': 1.0311353378754293e-05, 'Alaska': 4.5931977771229215e-05, 'Arctic': 1.2450260644145089e-05, 'air': 0.001692676119166222, 'Fair': 0.998203202976023}",Fair,True
9,"You are looking for a city with cold weather. If I were you, between Mombasa and Addis Ababa I would visit ->",Addis Ababa,Mombasa,"{'Har': 6.15758382851499e-05, 'Add': 0.9969224694356319, 'Ethiopia': 8.037832561709563e-05, 'M': 0.0007097935534495579, 'dd': 0.002042797677727456}",Add,True
