,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like hot weather. Between Chicago and Jakarta, this person should visit -> Chicago. Someone doesn't like hot weather. Between Jakarta and Oslo, this person should visit -> Oslo. Someone doesn't like hot weather. Between Mexicali and Zürich, this person should visit -> Zürich. Someone doesn't like hot weather. Between Omaha and Hamilton, this person should visit -> Omaha. Someone doesn't like hot weather. Between Monterrey and London, this person should visit -> London. Someone doesn't like hot weather. Between Irkutsk and Ankara, this person should visit -> Irkutsk. Someone doesn't like hot weather. Between London and Piura, this person should visit -> London. Someone doesn't like hot weather. Between Piura and Río Gallegos, this person should visit -> Río Gallegos. Someone doesn't like hot weather. Between Florianópolis and Copenhagen, this person should visit ->",Copenhagen,Florianópolis,"{'': 8.241455485973448e-05, 'lor': 8.99424083216001e-05, 'Copenhagen': 0.9561336867602708, 'Flor': 0.04335749914757132, 'Cop': 9.471113337542593e-05}",Copenhagen,True
1,"Someone doesn't like hot weather. Between Copenhagen and Florianópolis, this person should visit -> Copenhagen. Someone doesn't like hot weather. Between Mexicali and Zürich, this person should visit -> Zürich. Someone doesn't like hot weather. Between Hamilton and Omaha, this person should visit -> Omaha. Someone doesn't like hot weather. Between Monterrey and London, this person should visit -> London. Someone doesn't like hot weather. Between Ankara and Irkutsk, this person should visit -> Irkutsk. Someone doesn't like hot weather. Between Piura and London, this person should visit -> London. Someone doesn't like hot weather. Between Piura and Río Gallegos, this person should visit -> Río Gallegos. Someone doesn't like hot weather. Between Garissa and Baltimore, this person should visit -> Baltimore. Someone doesn't like hot weather. Between Jakarta and Chicago, this person should visit ->",Chicago,Jakarta,"{'': 4.453157811018633e-05, 'Chi': 1.4044102516772354e-05, 'hicago': 0.0013764214500411004, 'Chicago': 0.9962606146795931, 'Jakarta': 0.0022606271594809474}",Chicago,True
2,"Someone doesn't like hot weather. Between Copenhagen and Florianópolis, this person should visit -> Copenhagen. Someone doesn't like hot weather. Between Zürich and Mexicali, this person should visit -> Zürich. Someone doesn't like hot weather. Between Omaha and Hamilton, this person should visit -> Omaha. Someone doesn't like hot weather. Between Monterrey and London, this person should visit -> London. Someone doesn't like hot weather. Between Irkutsk and Ankara, this person should visit -> Irkutsk. Someone doesn't like hot weather. Between London and Piura, this person should visit -> London. Someone doesn't like hot weather. Between Río Gallegos and Piura, this person should visit -> Río Gallegos. Someone doesn't like hot weather. Between Chicago and Goiânia, this person should visit -> Chicago. Someone doesn't like hot weather. Between Jakarta and Oslo, this person should visit ->",Oslo,Jakarta,"{'s': 0.003865010037196768, 'os': 0.0007193295214625224, 'Oslo': 0.8986613336512442, 'Jakarta': 0.0950022788285831, 'Os': 0.0005404642854183557}",Oslo,True
3,"Someone doesn't like hot weather. Between Copenhagen and Florianópolis, this person should visit -> Copenhagen. Someone doesn't like hot weather. Between Jakarta and Chicago, this person should visit -> Chicago. Someone doesn't like hot weather. Between Oslo and Jakarta, this person should visit -> Oslo. Someone doesn't like hot weather. Between Omaha and Hamilton, this person should visit -> Omaha. Someone doesn't like hot weather. Between London and Monterrey, this person should visit -> London. Someone doesn't like hot weather. Between Ankara and Irkutsk, this person should visit -> Irkutsk. Someone doesn't like hot weather. Between Piura and London, this person should visit -> London. Someone doesn't like hot weather. Between Piura and Río Gallegos, this person should visit -> Río Gallegos. Someone doesn't like hot weather. Between Mexicali and Zürich, this person should visit ->",Zürich,Mexicali,"{'Z': 0.9657038396397803, 'ex': 0.0002053333093296348, 'Zurich': 0.0003990492959336633, 'Mex': 0.03257041232884338, '': 0.0006608180637154513}",Z,True
4,"Someone doesn't like hot weather. Between Florianópolis and Copenhagen, this person should visit -> Copenhagen. Someone doesn't like hot weather. Between Chicago and Jakarta, this person should visit -> Chicago. Someone doesn't like hot weather. Between Jakarta and Oslo, this person should visit -> Oslo. Someone doesn't like hot weather. Between Mexicali and Zürich, this person should visit -> Zürich. Someone doesn't like hot weather. Between Monterrey and London, this person should visit -> London. Someone doesn't like hot weather. Between Ankara and Irkutsk, this person should visit -> Irkutsk. Someone doesn't like hot weather. Between Piura and London, this person should visit -> London. Someone doesn't like hot weather. Between Piura and Río Gallegos, this person should visit -> Río Gallegos. Someone doesn't like hot weather. Between Hamilton and Omaha, this person should visit ->",Omaha,Hamilton,"{'Hamilton': 0.0013366363598737152, 'Nebraska': 6.98682727227366e-06, '': 2.018881136165256e-05, 'Omaha': 0.9986204377720674, 'amilton': 5.566700774905013e-06}",Omaha,True
5,"Someone doesn't like hot weather. Between Copenhagen and Florianópolis, this person should visit -> Copenhagen. Someone doesn't like hot weather. Between Jakarta and Chicago, this person should visit -> Chicago. Someone doesn't like hot weather. Between Oslo and Jakarta, this person should visit -> Oslo. Someone doesn't like hot weather. Between Mexicali and Zürich, this person should visit -> Zürich. Someone doesn't like hot weather. Between Hamilton and Omaha, this person should visit -> Omaha. Someone doesn't like hot weather. Between Irkutsk and Ankara, this person should visit -> Irkutsk. Someone doesn't like hot weather. Between Río Gallegos and Piura, this person should visit -> Río Gallegos. Someone doesn't like hot weather. Between Goiânia and Chicago, this person should visit -> Chicago. Someone doesn't like hot weather. Between Monterrey and London, this person should visit ->",London,Monterrey,"{'': 4.451733028496467e-05, 'ondon': 0.000393789521814196, 'Mon': 0.006007575637025699, 'London': 0.9935015006732122, 'on': 6.019905478576199e-06}",London,True
6,"Someone doesn't like hot weather. Between Copenhagen and Florianópolis, this person should visit -> Copenhagen. Someone doesn't like hot weather. Between Jakarta and Chicago, this person should visit -> Chicago. Someone doesn't like hot weather. Between Oslo and Jakarta, this person should visit -> Oslo. Someone doesn't like hot weather. Between Zürich and Mexicali, this person should visit -> Zürich. Someone doesn't like hot weather. Between Hamilton and Omaha, this person should visit -> Omaha. Someone doesn't like hot weather. Between Monterrey and London, this person should visit -> London. Someone doesn't like hot weather. Between London and Piura, this person should visit -> London. Someone doesn't like hot weather. Between Río Gallegos and Piura, this person should visit -> Río Gallegos. Someone doesn't like hot weather. Between Ankara and Irkutsk, this person should visit ->",Irkutsk,Ankara,"{'r': 0.00025868563447026293, 'Ank': 0.00011142364498348369, 'Ankara': 0.5848969798960406, 'Anchorage': 0.00010590479794598265, 'Ir': 0.41387923525202736}",Ankara,False
7,"Someone doesn't like hot weather. Between Florianópolis and Copenhagen, this person should visit -> Copenhagen. Someone doesn't like hot weather. Between Chicago and Jakarta, this person should visit -> Chicago. Someone doesn't like hot weather. Between Jakarta and Oslo, this person should visit -> Oslo. Someone doesn't like hot weather. Between Mexicali and Zürich, this person should visit -> Zürich. Someone doesn't like hot weather. Between Omaha and Hamilton, this person should visit -> Omaha. Someone doesn't like hot weather. Between Irkutsk and Ankara, this person should visit -> Irkutsk. Someone doesn't like hot weather. Between Chicago and Goiânia, this person should visit -> Chicago. Someone doesn't like hot weather. Between Garissa and Baltimore, this person should visit -> Baltimore. Someone doesn't like hot weather. Between Piura and London, this person should visit ->",London,Piura,"{'Pi': 0.0015250470758337983, '': 4.496482682203338e-05, 'ondon': 0.0002984912317305716, 'London': 0.9980848265895126, 'i': 2.1549089346724443e-05}",London,True
8,"Someone doesn't like hot weather. Between Copenhagen and Florianópolis, this person should visit -> Copenhagen. Someone doesn't like hot weather. Between Jakarta and Chicago, this person should visit -> Chicago. Someone doesn't like hot weather. Between Jakarta and Oslo, this person should visit -> Oslo. Someone doesn't like hot weather. Between Zürich and Mexicali, this person should visit -> Zürich. Someone doesn't like hot weather. Between Hamilton and Omaha, this person should visit -> Omaha. Someone doesn't like hot weather. Between Monterrey and London, this person should visit -> London. Someone doesn't like hot weather. Between Ankara and Irkutsk, this person should visit -> Irkutsk. Someone doesn't like hot weather. Between Chicago and Goiânia, this person should visit -> Chicago. Someone doesn't like hot weather. Between Río Gallegos and Piura, this person should visit ->",Río Gallegos,Piura,"{'Pi': 0.08809164376244166, 'Rio': 0.0005545176063054102, 'R': 0.9095756199048063, 'i': 0.0005575808738216446, '': 0.0001919994597005667}",R,True
9,"Someone doesn't like hot weather. Between Florianópolis and Copenhagen, this person should visit -> Copenhagen. Someone doesn't like hot weather. Between Oslo and Jakarta, this person should visit -> Oslo. Someone doesn't like hot weather. Between Zürich and Mexicali, this person should visit -> Zürich. Someone doesn't like hot weather. Between Hamilton and Omaha, this person should visit -> Omaha. Someone doesn't like hot weather. Between London and Monterrey, this person should visit -> London. Someone doesn't like hot weather. Between Irkutsk and Ankara, this person should visit -> Irkutsk. Someone doesn't like hot weather. Between Piura and London, this person should visit -> London. Someone doesn't like hot weather. Between Río Gallegos and Piura, this person should visit -> Río Gallegos. Someone doesn't like hot weather. Between Chicago and Goiânia, this person should visit ->",Chicago,Goiânia,"{'Go': 0.021636315562776117, 'hicago': 0.002534536243740607, 'Omaha': 0.004254461848685406, 'Chicago': 0.9706803923142582, 'o': 0.0004589983236908726}",Chicago,True
