,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for an affordable restaurant. If I were you, between Eggspectation and Queen Pita I would go to ->",Queen Pita,Eggspectation,"{'Egg': 0.8863322310962909, 'queen': 0.00016710344603237742, 'ueen': 0.0013713357693987459, 'P': 0.0036751181396150814, 'Queen': 0.1081504030307099}",Egg,False
1,"You are looking for an affordable restaurant. If I were you, between Le Papillon Park and Verona Restaurant I would go to ->",Le Papillon Park,Verona Restaurant,"{'Le': 0.9975766949558513, 'er': 2.2560031816763895e-08, 'e': 1.7690393355333354e-07, 'Ver': 0.002423204357526338, 'Peter': 4.210093026274262e-08}",Le,True
2,"You are looking for an affordable restaurant. If I were you, between Mysteriously Yours Dinner Theatre and Fit For Life I would go to ->",Fit For Life,Mysteriously Yours Dinner Theatre,"{'it': 0.0011907272786626268, 'Fit': 0.998505041864857, 'F': 1.0650289319793925e-05, 'fit': 0.00023407920897302738}",Fit,True
3,"You are looking for an affordable restaurant. If I were you, between Queen Slice and Magic Oven I would go to ->",Queen Slice,Magic Oven,"{'City': 0.0001410737153922859, 'ueen': 0.005370981029977393, 'Magic': 0.0024619897857245214, 'Queen': 0.9917529599692662, 'Golden': 0.00011370308781645304}",Queen,True
4,"You are looking for an affordable restaurant. If I were you, between Hina Sushi and Tim Hortons I would go to ->",Tim Hortons,Hina Sushi,"{'im': 7.172099757672276e-05, 'Timothy': 8.502723789298237e-06, 'H': 0.9822802307251158, 'Tim': 0.017626426453972936, 'Peter': 4.6682606849232676e-06}",H,False
5,"You are looking for an affordable restaurant. If I were you, between Bake Island and Sky Dragon Chinese Restaurant I would go to ->",Bake Island,Sky Dragon Chinese Restaurant,"{'Starbucks': 0.00014352669674974446, 'Cafe': 0.0012297434605620702, 'bake': 0.00880918545654729, 'Bake': 0.9896796144480235, 'Peter': 4.4413414756678624e-05}",Bake,True
6,"You are looking for an affordable restaurant. If I were you, between Basha Middle Eastern Grill and Madras Pantry I would go to ->",Madras Pantry,Basha Middle Eastern Grill,"{'ad': 1.0498543759400403e-05, 'Chand': 1.4265885503090298e-05, 'B': 0.9167974907416936, 'Mad': 0.0831099125198897, 'mad': 3.030557102919172e-05}",B,False
7,"You are looking for an affordable restaurant. If I were you, between The Empire and Milestones Restaurants I would go to ->",The Empire,Milestones Restaurants,"{'mil': 9.655165508237625e-06, 'il': 0.001334214699881455, 'MIL': 5.980531627735684e-05, 'Mil': 0.9985727537860315, 'Peter': 7.765521059570244e-06}",Mil,False
8,"You are looking for an affordable restaurant. If I were you, between Cake Opera and Itamae Ayce Sushi I would go to ->",Itamae Ayce Sushi,Cake Opera,"{'cake': 0.0050278169250748544, 'Pizza': 0.0008046965565449344, 'Cafe': 0.00577122740065497, 'Cake': 0.0515470652657033, 'It': 0.9351842035058762}",It,True
9,"You are looking for an affordable restaurant. If I were you, between Tik Talk Cafe and Fit For Life I would go to ->",Fit For Life,Tik Talk Cafe,"{'it': 0.0015313524190466246, 'Fit': 0.9977989055688589, 'fit': 0.00011841146588004453, 'Tik': 0.00047585041848452567}",Fit,True
10,"You are looking for an affordable restaurant. If I were you, between Falafel House and Dangerous Dan's Diner I would go to ->",Falafel House,Dangerous Dan's Diner,"{'Poor': 0.016879620032342404, 'fal': 0.0007934170185205224, 'Dangerous': 0.00350177603716674, 'al': 0.001062865198486503, 'Fal': 0.974189476368205}",Fal,True
11,"You are looking for an affordable restaurant. If I were you, between Evoo Ristorante and Adega Restaurante I would go to ->",Adega Restaurante,Evoo Ristorante,"{'Ad': 0.9377581678569576, 'Starbucks': 0.0007645589701432287, 'Cafe': 0.0022536517013368464, 'd': 0.0013151528294386562, 'Ev': 0.05360470687118269}",Ad,True
12,"You are looking for an affordable restaurant. If I were you, between Branca and Tik Talk Cafe I would go to ->",Tik Talk Cafe,Branca,"{'Tam': 6.178308107470041e-05, 'Br': 0.004799317301682093, 'Chand': 4.416603514111805e-05, 'Cafe': 0.0010112989351584447, 'Tik': 0.9939085406275221}",Tik,True
13,"You are looking for an affordable restaurant. If I were you, between Carole's Cheesecake Cafe and Big Al's Diner I would go to ->",Big Al's Diner,Carole's Cheesecake Cafe,"{'Car': 0.9974630281662613, 'Cafe': 0.001780584852188099, 'Big': 0.0002237742112408972, 'Peter': 0.00013459786536236778, 'ar': 0.00010623658680119817}",Car,False
14,"You are looking for an affordable restaurant. If I were you, between Oxygen Restaurant & Lounge and Cantine Bar & Grill I would go to ->",Cantine Bar & Grill,Oxygen Restaurant & Lounge,"{'Cant': 0.9952417236366401, 'cant': 0.000492044007172211, 'Chand': 0.00017235107977637366, 'Cafe': 0.0012931605736655422, 'Oxy': 0.0025663379972745777}",Cant,True
15,"You are looking for an affordable restaurant. If I were you, between Cantine Bar & Grill and Eastern legend I would go to ->",Eastern legend,Cantine Bar & Grill,"{'eastern': 4.921210146375029e-05, 'Cant': 0.795719056128127, 'cant': 0.00015781185904498, 'Chand': 6.737847183797714e-05, 'Eastern': 0.20386275115857141}",Cant,False
16,"You are looking for an affordable restaurant. If I were you, between Chipotle Mexican Grill and Nutella Cafe by Pusateri's I would go to ->",Chipotle Mexican Grill,Nutella Cafe by Pusateri's,"{'Nut': 0.5940253700557472, 'Chip': 0.005707655129448712, 'Cafe': 0.005615475558933012, 'P': 0.38710705356763553, 'ut': 0.00506782067971231}",Nut,False
17,"You are looking for an affordable restaurant. If I were you, between Tian An Cuisine and Verona Restaurant I would go to ->",Tian An Cuisine,Verona Restaurant,"{'Chand': 2.3562313686300895e-05, 'Tian': 0.9997224702185167, 'Hue': 5.9474078250225927e-05, 'Ver': 0.00014973911671056338, 'Cy': 5.259881815516821e-06}",Tian,True
18,"You are looking for an affordable restaurant. If I were you, between Juice & Java Cafe and Hapa Toronto I would go to ->",Juice & Java Cafe,Hapa Toronto,"{'juice': 2.8159662833170528e-05, 'Starbucks': 2.0759885813392346e-05, 'u': 1.5013496421070717e-05, 'Juice': 0.8587801559183562, 'H': 0.14112296167752017}",Juice,True
