,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like the restaurants nearby. Between Eggspectation and Cantine Bar & Grill, this person should go to ->",Eggspectation,Cantine Bar & Grill,"{'Egg': 0.21187972504473365, 'Cant': 0.7865502719210974, 'Coc': 0.0013514336325024556, 'cant': 1.5103923703260012e-05, 'egg': 0.00014192114095666074}",Cant,False
1,"Someone doesn't like the restaurants nearby. Between Supermodel Pizza and Nook, this person should go to ->",Nook,Supermodel Pizza,"{'uper': 3.48045650565932e-05, 'the': 2.739505851490421e-06, 'Super': 0.006937695639631236, 'N': 0.9930086311309163, 'New': 2.008856305651272e-06}",N,True
2,"Someone doesn't like the restaurants nearby. Between La Pupusa Loka and Cafe Jules, this person should go to ->",Cafe Jules,La Pupusa Loka,"{'Le': 1.273871852008458e-05, 'Barcelona': 5.870956442521121e-06, 'Starbucks': 1.7295304664055502e-05, 'Cafe': 0.9952841636390762, 'La': 0.004654258369802398}",Cafe,True
3,"Someone doesn't like the restaurants nearby. Between Sushi World and St. Clair Shawarma and Falafel, this person should go to ->",St. Clair Shawarma and Falafel,Sushi World,"{'Chand': 9.699221756076575e-07, 'the': 1.6680020917195469e-06, 'Lah': 2.00957359538099e-06, 'S': 0.9966947185093911, 'St': 0.003295694365988878}",S,False
4,"Someone doesn't like the restaurants nearby. Between Warung Indonesia D'Eglinton and New Bilan Restaurant, this person should go to ->",New Bilan Restaurant,Warung Indonesia D'Eglinton,"{'ar': 9.768690897117354e-05, 'War': 0.021981967957640743, 'D': 9.925304090748369e-05, 'O': 8.612076521991349e-05, 'New': 0.9775104340105442}",New,True
5,"Someone doesn't like the restaurants nearby. Between Cafe Jules and Breakfast Room, this person should go to ->",Cafe Jules,Breakfast Room,"{'Coffee': 4.022130152448642e-07, 'Pizza': 1.924571908789813e-06, 'Starbucks': 6.28323866141928e-06, 'Cafe': 0.9999895559355396, '808': 5.697056574111877e-07}",Cafe,True
6,"Someone doesn't like the restaurants nearby. Between Green Grotto and 9 Restaurant, this person should go to ->",9 Restaurant,Green Grotto,"{'reen': 0.0013946385517079947, '': 3.109032128241241e-05, 'Green': 0.9820883001340505, '8': 0.00010563392276216541, '9': 0.01632246335445328}",Green,False
7,"Someone doesn't like the restaurants nearby. Between Just Soups Take Out & Catering and Carole's Cheesecake Cafe, this person should go to ->",Carole's Cheesecake Cafe,Just Soups Take Out & Catering,"{'car': 9.867213219246053e-05, 'Car': 0.9995344757700444, 'the': 4.218431873237603e-05, 'C': 0.00019679204419533107, 'ar': 7.030638065762733e-05}",Car,True
8,"Someone doesn't like the restaurants nearby. Between El Fogón and To-ne Sushi, this person should go to ->",To-ne Sushi,El Fogón,"{'Se': 1.3003435060287935e-05, 'To': 0.9970812568373285, 'o': 2.3270851247296694e-05, 'El': 0.002764764000753794, 'T': 7.752016204656366e-05}",To,True
9,"Someone doesn't like the restaurants nearby. Between Edible Arrangements and Green Grotto, this person should go to ->",Edible Arrangements,Green Grotto,"{'reen': 6.3250222852323715e-06, 'Ed': 0.9978012892135115, 'Green': 0.0012967540779386239, 'O': 9.070737365074875e-06, 'd': 0.0008431213163968218}",Ed,True
