,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like big cities. Between Moscow and Dublin, this person should visit ->",Dublin,Moscow,"{'Tokyo': 0.07386773129814192, 'Madrid': 0.07954083033850824, 'Dublin': 0.37981346057990495, 'M': 0.026743120935539454, 'Moscow': 0.1912147570728127}",Dublin,True
1,"Someone doesn't like big cities. Between Riyadh and Palmerston North, this person should visit ->",Palmerston North,Riyadh,"{'Man': 0.008731046869473716, 'Palmer': 0.8847646867565182, 'R': 0.016381837948234636, 'Dun': 0.006784599599757428, 'New': 0.046088537691187606}",Palmer,True
2,"Someone doesn't like big cities. Between Lahore and La Paz, this person should visit ->",La Paz,Lahore,"{'city': 0.011673119022152222, 'Gu': 0.01620935069283675, 'Lah': 0.09600180361831558, 'La': 0.7215084060782332, 'New': 0.008152119697197844}",La,False
3,"Someone doesn't like big cities. Between Lahore and Tashkent, this person should visit ->",Tashkent,Lahore,"{'Tehran': 0.000765674280450431, 'Lah': 0.0009192412099739502, 'T': 0.9939575345687345, 'Kuala': 0.00048468982873196565, 'Kh': 0.0014050955098021405}",T,True
4,"Someone doesn't like big cities. Between Beijing and Hobart, this person should visit ->",Hobart,Beijing,"{'Beijing': 0.07298514147423162, 'Tokyo': 0.05801467982669368, 'Hob': 0.5318512308536161, 'city': 0.021518483833590046, 'New': 0.02643876432899973}",Hob,True
5,"Someone doesn't like big cities. Between Alexandria and Tampa, this person should visit ->",Tampa,Alexandria,"{'Tampa': 0.6243190769731493, 'Tall': 0.03551539551614924, 'Alexandria': 0.03668889346884861, 'T': 0.18346002181351043, 'St': 0.023366030485340545}",Tampa,True
6,"Someone doesn't like big cities. Between Luanda and Tripoli, this person should visit ->",Tripoli,Luanda,"{'Mog': 0.016655058414791746, 'Tripoli': 0.5097655830548622, 'Kh': 0.06156544029828145, 'Lu': 0.11030921625032765, 'New': 0.024547582551437856}",Tripoli,True
7,"Someone doesn't like big cities. Between Mexico City and Cayenne, this person should visit ->",Cayenne,Mexico City,"{'city': 0.0649377344327654, 'Gu': 0.1204250393146567, 'M': 0.05827206266789504, 'Mexico': 0.4899455580845921, 'New': 0.035229224477475306}",Mexico,False
8,"Someone doesn't like big cities. Between Lahore and Conakry, this person should visit ->",Conakry,Lahore,"{'Delhi': 0.03414302362745156, 'Singapore': 0.028094124978499616, 'Lah': 0.4129286752862809, 'Kuala': 0.034260150267641495, 'Kh': 0.10628405551923588}",Lah,False
9,"Someone doesn't like big cities. Between Sydney and La Ceiba, this person should visit ->",La Ceiba,Sydney,"{'Sydney': 0.8824895514160145, 'Adelaide': 0.005844744485904686, 'S': 0.03668179118659616, 'La': 0.008923542232064654, 'New': 0.030484579908082086}",Sydney,False
