,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I don't like the cold weather. Between Bamako and Dublin, I should visit ->",Bamako,Dublin,"{'Dublin': 0.9943641608645302, 'B': 0.0003650496084702785, 'Bam': 0.0022629205979974813, 'Dun': 0.0005423888382486263, 'Ireland': 0.001106938037692169}",Dublin,False
1,"I don't like the cold weather. Between Willemstad and Baltimore, I should visit ->",Willemstad,Baltimore,"{'Baltimore': 0.9985468242838471, 'Maryland': 9.039053476273787e-05, 'altimore': 0.0009698359737427612, 'Wil': 0.00015985666307984493, 'Balt': 6.52911538650706e-05}",Baltimore,False
2,"I don't like the cold weather. Between Willemstad and Tirana, I should visit ->",Willemstad,Tirana,"{'T': 0.03913715529131826, 'Vil': 0.0011250914024543424, 'Tir': 0.957272258833813, 'Albania': 0.0005923517068966023, 'Wil': 0.00032698802779008605}",Tir,False
3,"I don't like the cold weather. Between Toamasina and Indianapolis, I should visit ->",Toamasina,Indianapolis,"{'Indiana': 0.02004141693351005, 'To': 0.016824922663246627, 'Indianapolis': 0.9561045977914884, 'Colts': 0.0001917180988511838, 'Indy': 0.006168834233514533}",Indianapolis,False
4,"I don't like the cold weather. Between Pontianak and Zagreb, I should visit ->",Pontianak,Zagreb,"{'Z': 0.03447427793912474, 'Pont': 0.955808901252084, 'Budapest': 0.0004627854510206835, 'ont': 0.004848998937385028, 'Kuala': 0.0005028457977372115}",Pont,True
5,"I don't like the cold weather. Between Hat Yai and Skopje, I should visit ->",Hat Yai,Skopje,"{'Hat': 0.02891575143462395, 'k': 0.0009410018051962708, 'Sk': 0.962023824529416, 'Bel': 0.0012325624302295518, 'Sof': 0.0036171747994096877}",Sk,False
6,"I don't like the cold weather. Between Lomé and Lhasa, I should visit ->",Lomé,Lhasa,"{'Tibet': 0.010291446146421756, 'T': 5.332266940751702e-05, 'S': 4.3201255527498305e-05, 'Tibetan': 0.00012821577129786297, 'L': 0.9893909472179461}",L,False
7,"I don't like the cold weather. Between Muscat and Punta Arenas, I should visit ->",Muscat,Punta Arenas,"{'Vancouver': 7.078673029802711e-05, 'Mus': 0.0013998950632382488, 'P': 0.9981373993974774, 'Ant': 5.084051407853023e-05, 'O': 5.9636485403121834e-05}",P,False
8,"I don't like the cold weather. Between Garissa and Podgorica, I should visit ->",Garissa,Podgorica,"{'Pir': 0.0027856286610475384, 'Pod': 0.9762758005082448, 'Split': 0.0013951207616004985, 'od': 0.003997112714003261, 'Gar': 0.011159939982004716}",Pod,False
9,"I don't like the cold weather. Between Kathmandu and Suwałki, I should visit ->",Kathmandu,Suwałki,"{'Kath': 0.9849936692382419, 'Warsaw': 0.0029910681935863504, 'Sof': 0.0019961039964905, 'K': 0.001455071847285717, 'Kh': 0.003630635417067648}",Kath,True
10,"I don't like the cold weather. Between Ouahigouya and Saint Petersburg, I should visit ->",Ouahigouya,Saint Petersburg,"{'Petersburg': 0.0020263421659038427, 'Ou': 0.0008040905264794251, 'aint': 0.0003792257059228893, 'St': 0.7220349023880679, 'Saint': 0.2741685543136039}",St,False
11,"I don't like the cold weather. Between Hamilton and Erzurum, I should visit ->",Hamilton,Erzurum,"{'Hamilton': 0.9998000133999866, 'Edmonton': 3.5592578640027e-06, 'warmer': 3.664539395692209e-07, 'amilton': 7.348209300513575e-07, 'Er': 0.00019349517136342214}",Hamilton,True
12,"I don't like the cold weather. Between Douala and Skopje, I should visit ->",Douala,Skopje,"{'D': 0.004216736885194813, 'Sk': 0.8417843617283816, 'Bel': 0.012885088067701536, 'Sof': 0.03794528595938849, 'Dou': 0.07859072413977372}",Sk,False
13,"I don't like the cold weather. Between Antofagasta and Minsk, I should visit ->",Antofagasta,Minsk,"{'nt': 9.957267145436647e-07, 'San': 4.6110225835056307e-07, 'M': 0.15399442169258354, 'Ant': 0.8460023005951511, 'Ch': 2.624566267488241e-07}",Ant,True
14,"I don't like the cold weather. Between Malabo and Sacramento, I should visit ->",Malabo,Sacramento,"{'Madrid': 0.000177439473778012, 'Sacramento': 0.9783208756956243, 'San': 0.003983390252676362, 'California': 0.00037492333233600804, 'Mal': 0.016335537984590837}",Sacramento,False
15,"I don't like the cold weather. Between Lusaka and Murmansk, I should visit ->",Lusaka,Murmansk,"{'ur': 0.0014538580963371775, 'Sochi': 0.00038144098927635293, 'L': 0.006809939791835229, 'Mur': 0.9904881505643963, 'Ark': 0.00015563531683918919}",Mur,False
16,"I don't like the cold weather. Between Sydney and Fairbanks, I should visit ->",Sydney,Fairbanks,"{'Sydney': 0.9958744313372202, 'Adelaide': 0.000689208720716769, 'S': 0.0014724759136877361, 'Seattle': 0.0005250816939260752, 'New': 0.00051285674566855}",Sydney,True
17,"I don't like the cold weather. Between Tampa and Anchorage, I should visit ->",Tampa,Anchorage,"{'Alaska': 0.0014651455352200624, 'Tampa': 0.5088502042240354, 'Sochi': 0.0021394820755738725, 'Anchorage': 0.47659854842992877, 'Seattle': 0.0048181029848362415}",Tampa,True
18,"I don't like the cold weather. Between Port Sudan and Ulaanbaatar, I should visit ->",Port Sudan,Ulaanbaatar,"{'B': 0.007749243912915019, 'O': 0.011458923586346731, 'U': 0.9360002644242915, 'Kh': 0.00608797113334615, 'Detroit': 0.007036542863164874}",U,False
19,"I don't like the cold weather. Between Toamasina and Chicago, I should visit ->",Toamasina,Chicago,"{'To': 0.061139814288721124, 'warmer': 0.0001500403950184182, 'hicago': 0.0024219230636096873, 'Chicago': 0.9344608378754597, 'Illinois': 0.0006926004335649322}",Chicago,False
20,"I don't like the cold weather. Between Florianópolis and Fairbanks, I should visit ->",Florianópolis,Fairbanks,"{'lor': 0.0014683110269676255, 'San': 0.0024305526974054124, 'Flor': 0.6505002478597871, 'Fort': 0.006047312019287515, 'Fair': 0.33455773948669154}",Flor,True
21,"I don't like the cold weather. Between Djibouti and Pittsburgh, I should visit ->",Djibouti,Pittsburgh,"{'Pittsburgh': 0.9973439972332742, 'Dj': 0.0008592007167532507, 'Dh': 0.0005060308106084643, 'itt': 0.0007388452969499884, 'Detroit': 0.0001371228936896347}",Pittsburgh,False
22,"I don't like the cold weather. Between Abéché and Kabul, I should visit ->",Abéché,Kabul,"{'Tehran': 0.011806043707824836, 'Ab': 0.0005678537811137137, 'Kabul': 0.983540207435856, 'K': 0.001008696878989673, 'Kh': 0.0006338308102152315}",Kabul,False
23,"I don't like the cold weather. Between Antsiranana and Murmansk, I should visit ->",Antsiranana,Murmansk,"{'Pir': 7.701063721519028e-05, 'ur': 0.0001031997631476868, 'Ant': 0.9064102689069933, 'Mur': 0.09332578898982263, 'Ark': 2.4544150523399874e-05}",Ant,True
