,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like the restaurants nearby. Between Hina Sushi and Amaya Express, you should go to ->",Hina Sushi,Amaya Express,"{'No': 7.908154679318703e-05, 'Am': 0.9080477169995684, 'A': 0.025898852921567187, 'H': 0.0637606786969435, 'm': 0.0020837365054688006}",Am,False
1,"You don't like the restaurants nearby. Between Falafel House and Tortería San Cosme, you should go to ->",Falafel House,Tortería San Cosme,"{'No': 0.00541593632647793, 'or': 0.01589426383407293, 'T': 0.003307363277308794, 'Tor': 0.8937572384872527, 'Fal': 0.07868309104080952}",Tor,False
2,"You don't like the restaurants nearby. Between Domino's Pizza and Pho 88, you should go to ->",Domino's Pizza,Pho 88,"{'Ph': 0.9999183888003752, 'No': 1.998724975415305e-05, 'h': 1.2510529515464719e-06, 'Th': 1.0889702859660379e-06, 'Dom': 5.610542768148595e-05}",Ph,False
3,"You don't like the restaurants nearby. Between Domino's Pizza and Thai 4 You Restaurant, you should go to ->",Domino's Pizza,Thai 4 You Restaurant,"{'Thai': 0.9589917997207121, 'om': 0.0008121788365464813, 'Chinese': 0.0007898784382311917, 'Th': 0.011683677461283362, 'Dom': 0.02700288950500532}",Thai,False
4,"You don't like the restaurants nearby. Between Nutella Cafe by Pusateri's and Branca, you should go to ->",Nutella Cafe by Pusateri's,Branca,"{'Nut': 0.00806702430612784, 'No': 0.0030480385304923184, 'Br': 0.9602135877762016, 'B': 0.02121728710722855, 'r': 0.004520989017010912}",Br,False
5,"You don't like the restaurants nearby. Between Pasta Pantry and Topham Corner, you should go to ->",Topham Corner,Pasta Pantry,"{'Past': 7.86241227813396e-05, 'No': 6.550284376539201e-05, 'T': 0.9998529431939123, 'S': 4.80705990543078e-07, 'F': 2.7073536664639527e-07}",T,True
6,"You don't like the restaurants nearby. Between Tian An Cuisine and St. Clair Shawarma and Falafel, you should go to ->",St. Clair Shawarma and Falafel,Tian An Cuisine,"{'No': 0.011470217333793631, 'Tian': 0.8849029154926488, 'T': 0.0010130213276384058, 'St': 0.09464852359709712, 'Fal': 0.003631919436752423}",Tian,False
7,"You don't like the restaurants nearby. Between El Fogón and Eggspectation, you should go to ->",Eggspectation,El Fogón,"{'No': 0.00021274336028478214, 'Egg': 0.9895640394838491, 'El': 0.009369096613748741, 'gg': 0.0001070131322205529, 'Eggs': 0.00028647937899055613}",Egg,True
8,"You don't like the restaurants nearby. Between Milestones Restaurants and Viccino Pizzeria, you should go to ->",Viccino Pizzeria,Milestones Restaurants,"{'No': 0.004392705301036656, 'Vic': 0.3366416727255109, 'il': 0.006850130334189732, 'Mil': 0.6448616895416145, 'V': 0.0012410899419538779}",Mil,False
9,"You don't like the restaurants nearby. Between Aroma Espresso Bar and Sheriff Broaster Chicken, you should go to ->",Aroma Espresso Bar,Sheriff Broaster Chicken,"{'Sheriff': 0.5637404322093509, 'No': 0.0001519598829368765, 'Bro': 0.0011818645032847283, 'her': 0.0011266974906099677, 'A': 0.43356328814650463}",Sheriff,False
10,"You don't like the restaurants nearby. Between Sushi Time Japanese Restaurant and Tik Talk Cafe, you should go to ->",Sushi Time Japanese Restaurant,Tik Talk Cafe,"{'No': 2.140271018063992e-05, 'T': 5.712526898797169e-05, 'S': 0.9706284817149791, 'Tik': 0.02928524129300593, '': 2.612734980576112e-06}",S,True
11,"You don't like the restaurants nearby. Between Supermodel Pizza and Falafel House, you should go to ->",Falafel House,Supermodel Pizza,"{'No': 0.0006066570004576774, 'Super': 0.009591648567614472, 'al': 0.0006553254994765181, 'Fal': 0.9843904764340466}",Fal,True
12,"You don't like the restaurants nearby. Between Freshii and FreshCo, you should go to ->",Freshii,FreshCo,"{'No': 1.232245931569301e-05, 'Fresh': 0.9997929815112852, 'Poor': 1.992909168582858e-05, 'resh': 9.324613015311357e-05, 'F': 1.9606527724643757e-05}",Fresh,False
13,"You don't like the restaurants nearby. Between Fitness Avenue and Watson's, you should go to ->",Fitness Avenue,Watson's,"{'No': 0.0007836520107420576, 'Watson': 0.6200730594889096, 'Athlet': 0.00028293991425037366, 'Exercise': 0.0002252713235066712, 'Fitness': 0.37670785965782894}",Watson,False
14,"You don't like the restaurants nearby. Between Eggspectation and The Duke of Devon, you should go to ->",Eggspectation,The Duke of Devon,"{'No': 6.1227451995250935e-06, 'Egg': 0.002163485933616338, 'T': 1.1072866440963013e-06, 'The': 0.9978211346807052, 'Eggs': 1.5940414088262728e-06}",The,False
15,"You don't like the restaurants nearby. Between Amaya Express and Anatolia Restaurant, you should go to ->",Anatolia Restaurant,Amaya Express,"{'No': 0.00021285699557709696, 'Am': 0.011922050623117925, 'anat': 0.0010124675589905986, 'Anat': 0.9861442148987816, 'm': 0.00034601251951216113}",Anat,True
16,"You don't like the restaurants nearby. Between Grappa Ristorante and Scaddabush Italian Kitchen & Bar, you should go to ->",Grappa Ristorante,Scaddabush Italian Kitchen & Bar,"{'Sc': 0.34720690802795257, 'c': 0.0008015776578225187, 'ra': 0.002797367451374746, 'Sn': 0.00013227373931600883, 'Gra': 0.6483364139598278}",Gra,True
17,"You don't like the restaurants nearby. Between Sichuan Landscape Chinese Restaurant and Ciao Europa wine bar, you should go to ->",Ciao Europa wine bar,Sichuan Landscape Chinese Restaurant,"{'No': 4.200794012279568e-06, 'T': 3.9610124071331715e-07, 'S': 0.4014261892419457, 'C': 0.5985672476371886, 'Chinese': 1.3694217329057413e-06}",C,True
