,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Milo's Pita and Domino's Pizza, the more expensive restaurant is ->",Domino's Pizza,Milo's Pita,"{'Dim': 3.824185352934795e-05, 'DOM': 0.00013546367970946422, 'om': 0.003823471497748993, 'Conv': 8.591165991014812e-05, 'Dom': 0.9958188829111155}",Dom,True
1,"Between Aroma Espresso Bar and Bake Island, the more expensive restaurant is ->",Aroma Espresso Bar,Bake Island,"{'A': 0.9999992145956385, '': 1.1334308132635219e-07, 'Conv': 4.976857879195208e-08, 'R': 9.01005110785735e-08, 'Bake': 3.855798622612433e-07}",A,True
2,"Between Pisco 1641 and Shawarma Twist, the more expensive restaurant is ->",Pisco 1641,Shawarma Twist,"{'Shaw': 0.0005596264781971868, 'Conv': 1.9314744036112097e-07, 'P': 0.9994389908245279, 'R': 1.7054579225625021e-07, '': 3.2924818791934124e-07}",P,True
3,"Between Sky Dragon Chinese Restaurant and Hapa Toronto, the more expensive restaurant is ->",Hapa Toronto,Sky Dragon Chinese Restaurant,"{'ky': 0.0003403094184287917, 'H': 0.0006976025709185036, 'Sky': 0.9981089058760286, 'sky': 0.0004332725856376105}",Sky,False
4,"Between Topham Corner and Top Sushi, the more expensive restaurant is ->",Topham Corner,Top Sushi,"{'TOP': 6.235405736037949e-07, 'T': 0.9974497360625135, 'Th': 4.443785711846701e-07, 'Top': 0.0025328498177216137, 'op': 1.4455335106863468e-05}",T,False
5,"Between New Bilan Restaurant and Green Grotto, the more expensive restaurant is ->",Green Grotto,New Bilan Restaurant,"{'reen': 0.00018844996951842798, 'Gor': 3.110313313384096e-05, 'Green': 0.9996599434823288, 'The': 5.433016284903187e-05, 'New': 1.0279828304228825e-05}",Green,True
6,"Between Supermodel Pizza and Chipotle Mexican Grill, the more expensive restaurant is ->",Chipotle Mexican Grill,Supermodel Pizza,"{'chip': 0.0003981885185997958, 'Shell': 0.0008788857025170936, 'Chip': 0.9764445975644745, 'Super': 0.01717436008642759, 'hip': 0.0036914608683326538}",Chip,True
7,"Between McDonald's and Dinah's Cupboard, the more expensive restaurant is ->",Dinah's Cupboard,McDonald's,"{'Dim': 1.5470679045480462e-05, 'din': 8.678741745461924e-06, 'Din': 0.9999528397720785, 'Conv': 3.945550774908298e-06, 'D': 1.0242467505980302e-05}",Din,True
8,"Between Falafel Hut Village and Magic Oven, the more expensive restaurant is ->",Magic Oven,Falafel Hut Village,"{'agic': 3.5190802081398797e-07, 'MAG': 3.7554257124921953e-07, 'Conv': 1.0844822139917906e-07, 'magic': 6.678702578789413e-08, 'Magic': 0.9999987377612967}",Magic,True
9,"Between Watson's and Lahore Grill & Fast Food, the more expensive restaurant is ->",Watson's,Lahore Grill & Fast Food,"{'Watson': 0.00132664192238027, 'Fl': 6.434928590585234e-08, 'Lah': 0.9986731869957381, 'Conv': 2.401529302872619e-08, 'L': 2.443329709193237e-08}",Lah,False
10,"Between Fit For Life and Lebanese Bakery, the more expensive restaurant is ->",Lebanese Bakery,Fit For Life,"{'Lebanon': 0.0008259486115487598, 'Lebanese': 0.9987633712562819, 'Lah': 9.162457832049753e-05, 'L': 5.916443244043575e-05, 'Beirut': 0.00011954388685466794}",Lebanese,True
11,"Between Buk Chang Dong Soon Tofu and JJ Bean, the more expensive restaurant is ->",JJ Bean,Buk Chang Dong Soon Tofu,"{'Brussels': 4.262545278052505e-05, 'J': 0.00020995821987851974, 'Buk': 0.00036425066034540226, 'JJ': 0.9977838828216281}",JJ,True
