,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like hot weather. Between Sokoto and Auckland, this person should visit ->",Auckland,Sokoto,"{'Edmonton': 0.07945142105536175, 'Winnipeg': 0.009492771165283083, 'Edinburgh': 0.014511105879508612, 'Auckland': 0.8727784721850459, 'cold': 0.008076897120045234}",Auckland,True
1,"Someone doesn't like hot weather. Between Wau and Fukuoka, this person should visit ->",Fukuoka,Wau,"{'Tokyo': 4.501598090571573e-05, 'Fuk': 0.9976968588090264, 'W': 0.0020110908352847694, 'colder': 6.174948021885721e-05, 'cold': 7.420971399389261e-05}",Fuk,True
2,"Someone doesn't like hot weather. Between Juba and Kunming, this person should visit ->",Kunming,Juba,"{'Kum': 0.0020854233474532466, 'Kun': 0.9935691519838588, 'Winnipeg': 0.0005899439650891707, 'cold': 0.0007378544315808541, 'K': 0.0015116016423375738}",Kun,True
3,"Someone doesn't like hot weather. Between Buenos Aires and Moscow, this person should visit ->",Moscow,Buenos Aires,"{'Russia': 3.663549422239187e-05, 'Sochi': 9.976920394222284e-05, 'cold': 6.84352168230255e-05, 'oscow': 0.00873455745589584, 'Moscow': 0.9909549765750699}",Moscow,True
4,"Someone doesn't like hot weather. Between Medellín and Ljubljana, this person should visit ->",Ljubljana,Medellín,"{'Sloven': 0.0011035831322884005, 'Slovenia': 0.00011001399202872377, 'L': 0.9976067950920533, '': 0.0005752033083053519, 'cold': 0.00027488492566513686}",L,True
5,"Someone doesn't like hot weather. Between Brisbane and Novosibirsk, this person should visit ->",Novosibirsk,Brisbane,"{'ov': 0.0274097661571721, 'Winnipeg': 0.0038371295689189756, 'Sochi': 0.010386701427238933, 'cold': 0.005108533000673276, 'Nov': 0.9428551213952185}",Nov,True
6,"Someone doesn't like hot weather. Between Cotonou and London, this person should visit ->",London,Cotonou,"{'ondon': 0.008220160044251497, 'Edinburgh': 0.00012136233291647888, 'London': 0.9915416032434066, 'England': 6.7097753126123e-05, 'cold': 2.1550382330874373e-05}",London,True
7,"Someone doesn't like hot weather. Between Barranquilla and Bogotá, this person should visit ->",Bogotá,Barranquilla,"{'Bog': 0.9870854902877354, 'B': 0.002558923286947544, 'colder': 0.003164896263716754, 'Budapest': 0.0024073998844896765, 'cold': 0.0025016539146154957}",Bog,True
8,"Someone doesn't like hot weather. Between Antsiranana and Fairbanks, this person should visit ->",Fairbanks,Antsiranana,"{'Cold': 2.4525724786087148e-05, 'Alaska': 2.5003868626696417e-05, 'air': 0.0026950999179562703, 'cold': 0.0001155696707388721, 'Fair': 0.9970484151169382}",Fair,True
9,"Someone doesn't like hot weather. Between Kingston and Zagreb, this person should visit ->",Zagreb,Kingston,"{'Z': 0.9956994909864397, 'Warsaw': 0.00017315524429352506, 'colder': 9.89557279771414e-05, 'Budapest': 0.003415542297104738, '': 0.0002725637571596232}",Z,True
10,"Someone doesn't like hot weather. Between Mandalay and Toluca, this person should visit ->",Toluca,Mandalay,"{'Tol': 0.998764322778599, 'T': 0.001084734524292181, 'colder': 5.799666784595694e-05, 'cold': 8.105942745612093e-05, '': 2.90885216387123e-06}",Tol,True
11,"Someone doesn't like hot weather. Between Belize City and Lhasa, this person should visit ->",Lhasa,Belize City,"{'Tibet': 0.004744584578822534, 'Edinburgh': 0.001782035551136152, 'L': 0.977084919586086, '': 0.004170844690565115, 'cold': 0.007541656697074527}",L,True
12,"Someone doesn't like hot weather. Between Suva and Lhasa, this person should visit ->",Lhasa,Suva,"{'Tibet': 0.003701439799593819, 'Edinburgh': 0.0035733919793883725, 'L': 0.9698771742371991, '': 0.004872992764188873, 'cold': 0.012907256582469427}",L,True
