,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like the restaurants nearby. Between New Bilan Restaurant and Eastern legend, you should go to ->",New Bilan Restaurant,Eastern legend,"{'Bil': 0.010854831484509223, 'ew': 0.004006054248571782, 'astern': 0.00021732231148886914, 'Eastern': 0.5590202673747172, 'New': 0.42573874308011905}",Eastern,False
1,"You don't like the restaurants nearby. Between Villa Madina and Basha Middle Eastern Grill, you should go to ->",Villa Madina,Basha Middle Eastern Grill,"{'Villa': 0.9999796626968057, 'B': 3.6652023965114244e-06, 'ill': 2.789877137050822e-06, 'vill': 1.6860163515557455e-06, 'Vill': 3.794188515080093e-06}",Villa,True
2,"You don't like the restaurants nearby. Between Kairali - Taste of Kerala and Cake Opera, you should go to ->",Cake Opera,Kairali - Taste of Kerala,"{'cake': 0.00015431370223159362, 'Taste': 1.9980655049920222e-05, 'ake': 2.650269849914556e-05, 'Cake': 0.9927534044144004, 'K': 0.00700901571043843}",Cake,True
3,"You don't like the restaurants nearby. Between Beryl's Pepper Pot and Sushi Shop, you should go to ->",Beryl's Pepper Pot,Sushi Shop,"{'s': 8.286153236827818e-09, 'S': 0.9999994539509491, 'B': 6.380616041718394e-07, '->': 1.7154968445739588e-08, '': 4.571035825795384e-09}",S,False
4,"You don't like the restaurants nearby. Between Nutella Cafe by Pusateri's and Mövenpick Café, you should go to ->",Nutella Cafe by Pusateri's,Mövenpick Café,"{'Nut': 0.8845840857892341, 'M': 0.10888412887745062, 'P': 0.0030849062841359384, 'ut': 0.0032135780669951927, 'nut': 0.00010906582052025578}",Nut,True
5,"You don't like the restaurants nearby. Between Ici Bistro and Basha Middle Eastern Grill, you should go to ->",Ici Bistro,Basha Middle Eastern Grill,"{'I': 0.9965920176993218, 'B': 0.0033947620798502258, '1': 2.104095235694174e-06, '': 6.457870102693264e-06, '->': 1.2567556985871016e-06}",I,True
6,"You don't like the restaurants nearby. Between Hapa Toronto and Big Al's Diner, you should go to ->",Big Al's Diner,Hapa Toronto,"{'ig': 4.581711223661184e-06, 'H': 0.7457890079118704, '': 2.0754160735564052e-07, 'Big': 0.2542060043325599, '->': 1.0092572365577687e-07}",H,False
7,"You don't like the restaurants nearby. Between St. Clair Shawarma and Falafel and St. Louis Bar & Grill, you should go to ->",St. Clair Shawarma and Falafel,St. Louis Bar & Grill,"{'fal': 0.00018363012751881026, 'al': 0.0002830590570320687, 'St': 0.18996360078314584, 'Fal': 0.8051167588753333}",Fal,False
8,"You don't like the restaurants nearby. Between Shawarma Twist and Green Grotto, you should go to ->",Shawarma Twist,Green Grotto,"{'Gro': 0.0018235987410325626, 'reen': 0.00012153940825442426, 'Shaw': 0.9904069715014444, 'haw': 3.664084680240881e-06, 'Green': 0.007634513973748922}",Shaw,True
9,"You don't like the restaurants nearby. Between Druxy's Famous Deli and Falafel Hut Village, you should go to ->",Druxy's Famous Deli,Falafel Hut Village,"{'Dru': 0.9741621799615016, 'Druid': 1.105367167396336e-06, 'dru': 5.534324725828668e-06, 'al': 6.396157791256885e-05, 'Fal': 0.025765054034464892}",Dru,True
