,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for a small city to visit. Between Moscow and Dublin, you should visit ->",Dublin,Moscow,"{'Dublin': 0.625652558707939, 'D': 0.06652701987058914, 'St': 0.019898054815383755, 'Dun': 0.03418863158394978, 'Moscow': 0.05948744482744594}",Dublin,True
1,"You are looking for a small city to visit. Between Riyadh and Palmerston North, you should visit ->",Palmerston North,Riyadh,"{'Man': 0.001809827033269996, 'Palmer': 0.9847244393051114, 'R': 0.002106563567851595, 'Dun': 0.0012412958558553338, 'New': 0.005154229186735178}",Palmer,True
2,"You are looking for a small city to visit. Between Lahore and La Paz, you should visit ->",La Paz,Lahore,"{'a': 0.0034012985289282164, 'Gu': 0.005355874409449079, 'Lah': 0.09651726256032604, 'La': 0.8527944018729453, 'Ch': 0.0049461192489184186}",La,False
3,"You are looking for a small city to visit. Between Lahore and Tashkent, you should visit ->",Tashkent,Lahore,"{'Tehran': 6.377674069454898e-05, 'Lah': 0.000677128158109028, 'T': 0.9985744222027824, 'Kh': 0.0002829288798088906, 'Ash': 3.9552960972170054e-05}",T,True
4,"You are looking for a small city to visit. Between Beijing and Hobart, you should visit ->",Hobart,Beijing,"{'Hamilton': 0.0037373951282130224, 'Beijing': 0.005251976484441063, 'Hob': 0.9530528380032394, 'T': 0.006271542135211437, 'Dun': 0.002947026155408798}",Hob,True
5,"You are looking for a small city to visit. Between Alexandria and Tampa, you should visit ->",Tampa,Alexandria,"{'Tampa': 0.721465686830225, 'Tall': 0.0255650856544022, 'Alexandria': 0.030580858652010497, 'T': 0.16316286585433692, 'St': 0.018330440239289116}",Tampa,True
6,"You are looking for a small city to visit. Between Luanda and Tripoli, you should visit ->",Tripoli,Luanda,"{'Ni': 0.007899022194640238, 'Tunis': 0.01139604401538543, 'Tripoli': 0.702300502718573, 'Kh': 0.019666399668788127, 'Lu': 0.14233890642178237}",Tripoli,True
7,"You are looking for a small city to visit. Between Mexico City and Cayenne, you should visit ->",Cayenne,Mexico City,"{'Gu': 0.14664460096826717, 'T': 0.017956340414196165, 'C': 0.04551428710527067, 'M': 0.07112169891895545, 'Mexico': 0.5061581748629688}",Mexico,False
8,"You are looking for a small city to visit. Between Lahore and Conakry, you should visit ->",Conakry,Lahore,"{'Dak': 0.042514052952546545, 'Con': 0.118490534409292, 'Gu': 0.023674825750510383, 'Lah': 0.5616107975773311, 'Kh': 0.0534371276640353}",Lah,False
9,"You are looking for a small city to visit. Between Sydney and La Ceiba, you should visit ->",La Ceiba,Sydney,"{'Sydney': 0.8971547969154925, 'Adelaide': 0.004672100138180566, 'S': 0.009234329243191565, 'La': 0.05509903921993874, 'New': 0.016644574025864244}",Sydney,False
10,"You are looking for a small city to visit. Between Mexico City and Conakry, you should visit ->",Conakry,Mexico City,"{'Gu': 0.17076968528535208, 'Mon': 0.10629005010901302, 'C': 0.02352405416135362, 'M': 0.02344741557933171, 'Mexico': 0.4640947244823009}",Mexico,False
11,"You are looking for a small city to visit. Between Riyadh and Ouahigouya, you should visit ->",Ouahigouya,Riyadh,"{'R': 0.02313548483655738, 'Riyadh': 0.17610497726916102, 'Ou': 0.7611628113864396, 'O': 0.0074985245834416755, 'Kh': 0.0060125237106426754}",Ou,True
12,"You are looking for a small city to visit. Between Kuwait City and Murmansk, you should visit ->",Murmansk,Kuwait City,"{'Mar': 0.005955831234130262, 'Kuwait': 0.004615590808705297, 'M': 0.052585298210914067, 'Mur': 0.8632959198299538, 'Ark': 0.007206239723512213}",Mur,True
13,"You are looking for a small city to visit. Between Cairo and Toluca, you should visit ->",Toluca,Cairo,"{'Tol': 0.3950760503821508, 'Cairo': 0.3436111977188913, 'T': 0.0702771899569918, 'C': 0.05628371723305341, 'Teg': 0.012572215737959597}",Tol,True
14,"You are looking for a small city to visit. Between Baghdad and Conakry, you should visit ->",Conakry,Baghdad,"{'Con': 0.01783754630940628, 'Baghdad': 0.7195323801386577, 'Tehran': 0.015603072952357354, 'B': 0.08705888937030046, 'Kh': 0.013251391674866374}",Baghdad,False
15,"You are looking for a small city to visit. Between Surabaya and Thiès, you should visit ->",Thiès,Surabaya,"{'ur': 0.00904655732247055, 'city': 0.00733711181123126, 'Sur': 0.8342586440015645, 'Kh': 0.007772974261572422, 'Th': 0.05892039402220122}",Sur,False
16,"You are looking for a small city to visit. Between Paris and Nairobi, you should visit ->",Nairobi,Paris,"{'Tokyo': 0.00026406824089015456, 'N': 0.9944465328291513, 'Marse': 0.00023603628848318356, 'Paris': 0.0036534059847186857, 'New': 0.00011940720684397881}",N,True
17,"You are looking for a small city to visit. Between Kunming and Djibouti, you should visit ->",Djibouti,Kunming,"{'Kum': 0.051363976424602775, 'Dj': 0.15727605587335283, 'Kun': 0.5581841573253941, 'D': 0.027161466035646217, 'K': 0.11389481863930793}",Kun,False
18,"You are looking for a small city to visit. Between Medellín and Sucre, you should visit ->",Sucre,Medellín,"{'Sant': 1.394262309445196e-05, 'Med': 0.9994751692718533, 'San': 3.883017140456799e-05, 'M': 1.302666692013697e-05, 'Suc': 0.00035596907459526766}",Med,False
19,"You are looking for a small city to visit. Between Melbourne and Mexicali, you should visit ->",Mexicali,Melbourne,"{'Melbourne': 0.5268091712005653, 'Med': 0.014761609810574025, 'M': 0.010259303772220946, 'Mex': 0.38681559431222295, 'Detroit': 0.0067030301073047515}",Melbourne,False
20,"You are looking for a small city to visit. Between Sydney and Tirana, you should visit ->",Tirana,Sydney,"{'Sydney': 0.6469070098025173, 'Adelaide': 0.05750061129603225, 'T': 0.03571848989654709, 'Tir': 0.1427370860553372, 'New': 0.022776672562579783}",Sydney,False
21,"You are looking for a small city to visit. Between Manila and Nouakchott, you should visit ->",Nouakchott,Manila,"{'Man': 0.1652861276399806, 'Manila': 0.058980340645577216, 'N': 0.26825541802639913, 'Ou': 0.1298896935330824, 'Nou': 0.17326710770762702}",N,True
22,"You are looking for a small city to visit. Between Monterrey and Erbil, you should visit ->",Erbil,Monterrey,"{'Monte': 2.2075746400912463e-05, 'Mon': 0.9964473566237135, 'San': 1.3290487555770897e-05, 'M': 2.6639139869347045e-05, 'Er': 0.0033533564814016456}",Mon,False
23,"You are looking for a small city to visit. Between Chicago and Honolulu, you should visit ->",Honolulu,Chicago,"{'Honolulu': 0.13749509984519945, 'O': 0.04869751874432988, 'Chicago': 0.6598286162703575, 'Ch': 0.019834419339188718, 'Hon': 0.015527199290061607}",Chicago,False
24,"You are looking for a small city to visit. Between Santiago and Djibouti, you should visit ->",Djibouti,Santiago,"{'Sant': 0.09566093180276872, 'Dj': 0.028490049301199055, 'San': 0.04890935949990777, 'S': 0.03509751671056138, 'Santiago': 0.6212857114525346}",Santiago,False
25,"You are looking for a small city to visit. Between Lagos and Oslo, you should visit ->",Oslo,Lagos,"{'Ni': 0.029903193448231176, 'Lag': 0.03079674119369214, 'Stockholm': 0.06129140242222948, 'Oslo': 0.5066826035143311, 'O': 0.15357085843482457}",Oslo,True
26,"You are looking for a small city to visit. Between Dar es Salaam and Kabul, you should visit ->",Kabul,Dar es Salaam,"{'Tehran': 0.12030392858112644, 'Kabul': 0.3219190057550977, 'K': 0.04524016411899369, 'Kh': 0.21073060811982502, 'Dar': 0.08384971413176558}",Kabul,True
27,"You are looking for a small city to visit. Between Manila and Caracas, you should visit ->",Caracas,Manila,"{'Madrid': 0.011592893475819276, 'Man': 0.5778607825277411, 'Car': 0.030045902000380705, 'Manila': 0.2340234628643342, 'C': 0.04398878781161201}",Man,False
28,"You are looking for a small city to visit. Between Phoenix and Honolulu, you should visit ->",Honolulu,Phoenix,"{'Salt': 0.020460724674497464, 'Honolulu': 0.3831592997632665, 'O': 0.112821844697705, 'Hon': 0.08025988877122366, 'Phoenix': 0.2891485526279951}",Honolulu,True
29,"You are looking for a small city to visit. Between Karachi and Bangui, you should visit ->",Bangui,Karachi,"{'B': 0.9978096315656241, 'D': 7.093021865981436e-05, 'Karachi': 0.0006450351800130546, 'K': 0.00024397861010935277, 'Kh': 0.00043996252725864523}",B,True
30,"You are looking for a small city to visit. Between Manila and Oslo, you should visit ->",Oslo,Manila,"{'Tokyo': 0.07587079888739749, 'Singapore': 0.059021723967940594, 'Madrid': 0.06944482684702197, 'Oslo': 0.20747013030719452, 'O': 0.1978863110128027}",Oslo,True
31,"You are looking for a small city to visit. Between Manila and Rabat, you should visit ->",Rabat,Manila,"{'Madrid': 0.06520435616074538, 'Man': 0.29753128495878506, 'Med': 0.02686025484585501, 'Manila': 0.2744376181893343, 'R': 0.0900885683298155}",Man,False
32,"You are looking for a small city to visit. Between Jakarta and Milwaukee, you should visit ->",Milwaukee,Jakarta,"{'Milwaukee': 0.6460399726155438, 'Warsaw': 0.1975356311553278, 'W': 0.024715665638860268, 'Jakarta': 0.019159319955448006, 'Seattle': 0.012066340253491774}",Milwaukee,True
33,"You are looking for a small city to visit. Between Chicago and Curitiba, you should visit ->",Curitiba,Chicago,"{'city': 0.015099642665163148, 'C': 0.028154989308860293, 'Cur': 0.06481271342742075, 'Chicago': 0.7753254285181724, 'Ch': 0.02670377600946063}",Chicago,False
34,"You are looking for a small city to visit. Between Toronto and Lusaka, you should visit ->",Lusaka,Toronto,"{'Vancouver': 0.014690562473186536, 'Hamilton': 0.05626402137899736, 'Edmonton': 0.013852840183105376, 'L': 0.08554951053938879, 'Toronto': 0.7327861689864865}",Toronto,False
35,"You are looking for a small city to visit. Between Chicago and Malabo, you should visit ->",Malabo,Chicago,"{'M': 0.02959132011539351, 'Mal': 0.07693352051361524, 'Chicago': 0.6913854264749699, 'Ch': 0.04473822488266363, 'Detroit': 0.027925104272895098}",Chicago,False
36,"You are looking for a small city to visit. Between Buenos Aires and Chicago, you should visit ->",Chicago,Buenos Aires,"{'San': 0.06065053636623122, 'B': 0.0946179097517699, 'Buenos': 0.3224025367659117, 'Chicago': 0.1706082647337161, 'New': 0.07748559739172674}",Buenos,False
37,"You are looking for a small city to visit. Between Manila and Denver, you should visit ->",Denver,Manila,"{'Denver': 0.5549907122835289, 'Singapore': 0.03576047663665967, 'Man': 0.04382760101094417, 'Edmonton': 0.03374412334283693, 'Fort': 0.042402642312284425}",Denver,True
38,"You are looking for a small city to visit. Between Rome and El Paso, you should visit ->",El Paso,Rome,"{'Rome': 0.30159392066432944, 'Rio': 0.02879646046252229, 'El': 0.39634588578904106, 'San': 0.04311751430633363, 'R': 0.028156360490227624}",El,True
39,"You are looking for a small city to visit. Between Dar es Salaam and Oslo, you should visit ->",Oslo,Dar es Salaam,"{'Stockholm': 0.08672680269554088, 'Oslo': 0.4910269817744532, 'O': 0.09818365730769958, 'Helsinki': 0.02403241343567496, 'Dar': 0.04820568590735539}",Oslo,True
40,"You are looking for a small city to visit. Between San Diego and Reykjavík, you should visit ->",Reykjavík,San Diego,"{'Sant': 0.00010896454542255914, 'Salt': 4.0488482783915895e-05, 'Rey': 0.018244388968647093, 'San': 0.9811023201205735, 'S': 4.003301777368638e-05}",San,False
41,"You are looking for a small city to visit. Between Yaoundé and Gabès, you should visit ->",Gabès,Yaoundé,"{'Ni': 0.019922263574966625, 'Gab': 0.07227062685009593, 'Ya': 0.7518902197981611, 'G': 0.03437390424543171, 'Libre': 0.011885648679251914}",Ya,False
42,"You are looking for a small city to visit. Between Surabaya and Viedma, you should visit ->",Viedma,Surabaya,"{'ur': 0.006079581607061134, 'Vit': 0.009046503043289453, 'San': 0.010916236619265557, 'Sur': 0.6851516214710072, 'V': 0.21161360187312797}",Sur,False
43,"You are looking for a small city to visit. Between Dar es Salaam and Santiago del Estero, you should visit ->",Santiago del Estero,Dar es Salaam,"{'Sant': 0.023440869974710885, 'San': 0.023373761246822545, 'Santiago': 0.8159204145199996, 'Conce': 0.011600895332640717, 'Dar': 0.03969562495526145}",Santiago,True
44,"You are looking for a small city to visit. Between Berlin and Honolulu, you should visit ->",Honolulu,Berlin,"{'Berlin': 0.27981508631356045, 'Tokyo': 0.05821834894290806, 'Honolulu': 0.243079506964978, 'O': 0.06958230378033338, 'Hon': 0.09812714924359449}",Berlin,False
45,"You are looking for a small city to visit. Between Bangkok and Phoenix, you should visit ->",Phoenix,Bangkok,"{'Tokyo': 0.021988416214433353, 'B': 0.03424764759467043, 'Bangkok': 0.10901495547197393, 'Ch': 0.020068284412938498, 'Phoenix': 0.6078881851086892}",Phoenix,True
46,"You are looking for a small city to visit. Between Lima and Kampala, you should visit ->",Kampala,Lima,"{'Kum': 0.004260426527016964, 'Gu': 0.004731689273324273, 'Lima': 0.7964907603605067, 'Kamp': 0.10256802930693702, 'K': 0.037410233088298245}",Lima,False
47,"You are looking for a small city to visit. Between Lagos and Sapporo, you should visit ->",Sapporo,Lagos,"{'Tokyo': 0.005148056572960875, 'city': 0.0012587938227990956, 'Lag': 0.0021362293287505315, 'Sapp': 0.9544464023365721, 'S': 0.02631662000590524}",Sapp,True
48,"You are looking for a small city to visit. Between Phoenix and Tauranga, you should visit ->",Tauranga,Phoenix,"{'Salt': 6.6925031358242e-05, 'Mar': 0.00013701214314078075, 'T': 0.988582290486256, 'Phoenix': 0.010463272612655687, 'New': 7.258922958228395e-05}",T,True
49,"You are looking for a small city to visit. Between Douala and Gabès, you should visit ->",Gabès,Douala,"{'Dak': 0.01116339675067014, 'Gab': 0.25900355280056053, 'D': 0.035897019830919086, 'G': 0.0663751791742466, 'Dou': 0.5058803500540876}",Dou,False
50,"You are looking for a small city to visit. Between Karachi and Berlin, you should visit ->",Berlin,Karachi,"{'Berlin': 0.6387565392137448, 'Mar': 0.015152200652270622, 'Tehran': 0.014027774806174153, 'Warsaw': 0.13665606283148404, 'B': 0.03215232865412626}",Berlin,True
51,"You are looking for a small city to visit. Between Ankara and Darwin, you should visit ->",Darwin,Ankara,"{'Darwin': 0.014741288217626033, 'Istanbul': 0.3345650329249106, 'Ankara': 0.4935110150965231, 'ytes: \\xc4': 0.03583946924490462, 'Ant': 0.0427323771072265}",Ankara,False
52,"You are looking for a small city to visit. Between Brasília and Tamanrasset, you should visit ->",Tamanrasset,Brasília,"{'Rio': 0.0004649721716880043, 'Br': 0.0012101603590670264, 'T': 0.9905434639386064, 'B': 0.00029343981480895153, 'Bras': 0.004795851526851944}",T,True
53,"You are looking for a small city to visit. Between Nairobi and Darwin, you should visit ->",Darwin,Nairobi,"{'Ni': 3.3244739962279136e-05, 'Darwin': 0.0002343846473640784, 'Adelaide': 1.8528045515453232e-05, 'N': 0.9995653509872623, 'K': 1.814315868982685e-05}",N,False
54,"You are looking for a small city to visit. Between Jakarta and San José, you should visit ->",San José,Jakarta,"{'Sant': 7.772162696515424e-05, 'city': 2.857035260516176e-05, 'San': 0.9994016157033352, 'S': 0.0001333960546843416, 'Jay': 2.472086337034134e-05}",San,True
