,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like the restaurants nearby. Between Fitness Avenue and Paradise Farms Prime Beef Bistro, you should go to ->",Fitness Avenue,Paradise Farms Prime Beef Bistro,"{'1': 0.07200760071871663, '2': 0.7710555490189027, '3': 0.10194589985344302, '4': 0.039713392722670375, '5': 0.006259791507099076}",2,False
1,"You don't like the restaurants nearby. Between Sky Dragon Chinese Restaurant and Capitol Trattoria Pizzeria, you should go to ->",Capitol Trattoria Pizzeria,Sky Dragon Chinese Restaurant,"{'1': 0.02180072833244507, '2': 0.8343761158884667, '3': 0.09720488612533594, '4': 0.03527031160245087, '5': 0.004770204990775215}",2,False
2,"You don't like the restaurants nearby. Between Lebanese Bakery and Freshii, you should go to ->",Freshii,Lebanese Bakery,"{'1': 0.06207280553780929, '2': 0.30258480309181257, '3': 0.2796750179688796, '4': 0.20847782464880518, '6': 0.04367366456828297}",2,False
3,"You don't like the restaurants nearby. Between Thompson Rooftop and Basha Middle Eastern Grill, you should go to ->",Thompson Rooftop,Basha Middle Eastern Grill,"{'1': 0.04230840131512826, '2': 0.6124130658150081, '3': 0.22095449580495932, '4': 0.09834363048462999, '5': 0.011759286619015383}",2,False
4,"You don't like the restaurants nearby. Between Magic Oven and Breakfast Room, you should go to ->",Magic Oven,Breakfast Room,"{'1': 0.1297499684624679, '2': 0.6862031212274524, '3': 0.08686658874378368, '4': 0.02518632727904657, 'Magic': 0.024019999095173813}",2,True
5,"You don't like the restaurants nearby. Between Kim PO Vietnamese and Viccino Pizzeria, you should go to ->",Viccino Pizzeria,Kim PO Vietnamese,"{'1': 0.12716950466739027, '2': 0.7767184107705606, '3': 0.07184316498006785, '4': 0.015639085772769522, '6': 0.003466235999963369}",2,False
6,"You don't like the restaurants nearby. Between Eggspectation and Thai 4 You Restaurant, you should go to ->",Eggspectation,Thai 4 You Restaurant,"{'1': 0.012575405713723635, '2': 0.8897140411172365, '3': 0.08729657931574172, '4': 0.008420711105155186, '5': 0.0003285321026015199}",2,False
7,"You don't like the restaurants nearby. Between Thompson Rooftop and The Empire, you should go to ->",Thompson Rooftop,The Empire,"{'2': 0.21713610718771945, '3': 0.22651765275224084, '4': 0.2936719943316908, '5': 0.06524386240252945, '6': 0.08418980885798256}",4,False
8,"You don't like the restaurants nearby. Between Freshii and Verona Restaurant, you should go to ->",Freshii,Verona Restaurant,"{'1': 0.025893155800630722, '2': 0.3619948839467567, '3': 0.25287155674954537, '4': 0.25602878485083397, '5': 0.04656863654293398}",2,False
9,"You don't like the restaurants nearby. Between Tortería San Cosme and EJ Sushi, you should go to ->",EJ Sushi,Tortería San Cosme,"{'1': 0.04062096363278048, '2': 0.7175875843626729, '3': 0.15525760094172977, '4': 0.05226198690494391, '5': 0.00593811224494056}",2,False
10,"You don't like the restaurants nearby. Between Kairali - Taste of Kerala and Aris Place, you should go to ->",Aris Place,Kairali - Taste of Kerala,"{'1': 0.14571144748397286, '2': 0.5133819186502623, '3': 0.19786219014168724, '4': 0.06450761500862322, '6': 0.019887420158176603}",2,False
11,"You don't like the restaurants nearby. Between Thompson Rooftop and To-ne Sushi, you should go to ->",To-ne Sushi,Thompson Rooftop,"{'2': 0.3301274456955023, '3': 0.29013008140618257, '4': 0.2180037095616457, '5': 0.04807100453295206, '6': 0.04844099595103707}",2,False
