,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like restaurants further away. Between Kairali - Taste of Kerala and Mirage Grill & Lounge, you should go to ->",Kairali - Taste of Kerala,Mirage Grill & Lounge,"{'Miranda': 2.0731241981842012e-08, 'Mirage': 1.627914039620209e-05, '': 1.9810177820032293e-08, 'K': 0.999981331587257}",K,True
1,"You don't like restaurants further away. Between Nutella Cafe by Pusateri's and Thai 4 You Restaurant, you should go to ->",Thai 4 You Restaurant,Nutella Cafe by Pusateri's,"{'Nut': 0.0009497453138467995, 'Thai': 0.018878329538742834, 'P': 0.9801298706757111, '': 6.949874194932274e-06, 'ut': 2.513975752089599e-05}",P,True
2,"You don't like restaurants further away. Between Freshii and Fit For Life, you should go to ->",Fit For Life,Freshii,"{'Fresh': 0.9985960601469384, 'Fit': 0.0013679461836400538, 'it': 1.950179588438656e-05, 'resh': 1.2797918723321264e-05, 'fit': 8.672626195302984e-07}",Fresh,False
3,"You don't like restaurants further away. Between Milo's Pita and Druxy's Famous Deli, you should go to ->",Milo's Pita,Druxy's Famous Deli,"{'restaurants': 4.416372059210129e-06, 'Dru': 0.9922936176083899, 'Milo': 0.00613121526442489, 'dru': 0.0015521726808129777, 'Yiannopoulos': 5.003189244346512e-06}",Dru,False
4,"You don't like restaurants further away. Between Bagel Nash and Kibo Sushi House, you should go to ->",Kibo Sushi House,Bagel Nash,"{'Bag': 0.005801098400286668, 'ag': 3.5886807324289626e-07, '': 9.752168309068623e-07, 'K': 0.9941972676653343, 'bag': 1.5761208200386133e-07}",K,True
5,"You don't like restaurants further away. Between Lahore Grill & Fast Food and LCBO, you should go to ->",Lahore Grill & Fast Food,LCBO,"{'LC': 0.9982766364992056, 'Lah': 0.0003322845094002868, 'L': 9.593919937295025e-06, 'C': 0.0013740317194061628, 'Beach': 2.6127637208189664e-06}",LC,False
6,"You don't like restaurants further away. Between Edible Arrangements and It's All Grk, you should go to ->",It's All Grk,Edible Arrangements,"{'restaurants': 0.00012052914102962634, 'Ed': 0.9952124589840222, 'Restaurant': 0.0001017466152043299, 'It': 0.0027159322890239718, 'd': 0.001620297345460341}",Ed,False
7,"You don't like restaurants further away. Between Domino's Pizza and Breakfast Room, you should go to ->",Breakfast Room,Domino's Pizza,"{'breakfast': 0.0009700533383392699, 'Breakfast': 0.9927933408081324, 'The': 0.005277923157634884, 'Beach': 0.00027044251395209613, 'Dom': 0.00019086828025425005}",Breakfast,True
8,"You don't like restaurants further away. Between La Pupusa Loka and Pizzeria Via Mercanti, you should go to ->",La Pupusa Loka,Pizzeria Via Mercanti,"{'Pizza': 9.88392727195808e-10, 'P': 1.0, 'L': 3.003369535714329e-09, 'La': 8.154646846136216e-10, '': 2.676183584409794e-08}",P,False
9,"You don't like restaurants further away. Between LCBO and Sheriff Broaster Chicken, you should go to ->",Sheriff Broaster Chicken,LCBO,"{'Sheriff': 0.0020217657818185283, 'LC': 0.9963319618478763, 'LCS': 3.3443941562363566e-06, 'L': 3.797058006128438e-06, 'C': 0.001624974752896839}",LC,False
10,"You don't like restaurants further away. Between Nutella Cafe by Pusateri's and JJ Bean, you should go to ->",JJ Bean,Nutella Cafe by Pusateri's,"{'Nut': 0.11892117503675356, 'J': 0.006455992562785828, 'P': 0.18806453571082699, 'JJ': 0.6839316248676987, 'ut': 0.0018851769307879397}",JJ,True
11,"You don't like restaurants further away. Between Galata Cafe and Supermodel Pizza, you should go to ->",Supermodel Pizza,Galata Cafe,"{'uper': 0.010110922538640358, 'al': 0.01847508890464584, 'Super': 0.6541562968947255, 'Gal': 0.31465640917401705, 'gal': 0.0004329361501815357}",Super,True
