,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Guadalajara and Kansas City, the bigger city is ->",Guadalajara,Kansas City,"{'Gu': 0.998685705043122, 'S': 0.00011704103010311452, 'Wichita': 0.0002355863606124418, 'Detroit': 0.00015664836153824412, 'Kansas': 0.0005470532560739792}",Gu,True
1,"Between Guadalajara and Dodoma, the bigger city is ->",Guadalajara,Dodoma,"{'Tokyo': 6.022988459356964e-06, 'Madrid': 3.356452004318311e-05, 'Gu': 0.9998749984933395, 'T': 1.5358215736200088e-05, 'S': 5.155001791369537e-05}",Gu,True
2,"Between Toronto and Minneapolis, the bigger city is ->",Toronto,Minneapolis,"{'Tokyo': 0.5020268674027405, 'S': 0.014047969685704258, 'Toronto': 0.2264004149130441, 'Seattle': 0.004909299575496183, 'Detroit': 0.22648249994046246}",Tokyo,True
3,"Between Bangkok and Garissa, the bigger city is ->",Bangkok,Garissa,"{'Tokyo': 0.3334908000713209, 'S': 0.020705823288258953, 'Bangkok': 0.5464210372014154, 'Kuala': 0.04763121287382934, 'Kh': 0.015515030736514474}",Bangkok,True
4,"Between Mumbai and Mahajanga, the bigger city is ->",Mumbai,Mahajanga,"{'Tokyo': 0.027641011091977735, 'Singapore': 0.0023895839683764275, 'Dh': 0.0022764865759503333, 'Mumbai': 0.9498127890168874, 'Bombay': 0.00885255642582198}",Mumbai,True
5,"Between Shanghai and Cape Town, the bigger city is ->",Shanghai,Cape Town,"{'Tokyo': 0.009619528769151382, 'Shanghai': 0.1574628848866442, 'S': 0.007813470872192954, 'Chong': 0.8191648117714613, 'Detroit': 0.003009981338724119}",Chong,True
6,"Between Bogotá and Douala, the bigger city is ->",Bogotá,Douala,"{'Rio': 0.057639913992585175, 'Med': 0.032698829396234294, 'Bog': 0.7280077538131005, 'S': 0.028050767094215574, 'Bel': 0.03177863723524129}",Bog,True
7,"Between Brasília and Campos do Jordão, the bigger city is ->",Brasília,Campos do Jordão,"{'Rio': 0.33380866814896515, 'Salvador': 0.00809943477988185, 'S': 0.602961700016113, 'Bel': 0.038981679485688085, 'Bras': 0.005735527233612104}",S,True
8,"Between Hanoi and Asmara, the bigger city is ->",Hanoi,Asmara,"{'As': 0.6378343301301527, 'Tokyo': 0.16760227785604334, 'Singapore': 0.06106488448705679, 'S': 0.029033202213051047, 'ytes: \\xc4': 0.0521390912325791}",As,False
9,"Between Moscow and Napier, the bigger city is ->",Moscow,Napier,"{'Tokyo': 0.14823279526711328, 'Tehran': 0.03900417060423046, 'S': 0.007548918281193586, 'oscow': 0.02172483506074768, 'Moscow': 0.7602481772455352}",Moscow,True
