,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like the cold weather. Between Muscat and Nur-Sultan, this person should visit ->",Muscat,Nur-Sultan,"{'us': 0.003267700998164202, 'Dh': 0.00026541710188294365, 'Mus': 0.9929428266293875, 'Mog': 0.0004479331748305094, 'Oman': 0.0020990853011967317}",Mus,True
1,"Someone doesn't like the cold weather. Between Djibouti and Perth, this person should visit ->",Djibouti,Perth,"{'Dj': 0.9927765315692642, 'Dh': 0.0051022467349232745, 'Mog': 0.0003306917120926937, 'D': 0.0008500885818233336, 'dj': 0.0003655600488242967}",Dj,True
2,"Someone doesn't like the cold weather. Between Jakarta and Sapporo, this person should visit ->",Jakarta,Sapporo,"{'Indones': 0.00014154158459398666, 'Indonesia': 0.0018298926043471592, 'J': 0.0002660037903095695, 'Jakarta': 0.9967336406964566, 'Jay': 0.0002477743760219422}",Jakarta,True
3,"Someone doesn't like the cold weather. Between Surabaya and Berlin, this person should visit ->",Surabaya,Berlin,"{'Singapore': 0.00082866051347633, 'ur': 0.00451457376851117, 'B': 0.012753392045200228, 'Sur': 0.9796238260270262, 'Jay': 0.00028074353281454934}",Sur,True
4,"Someone doesn't like the cold weather. Between Kathmandu and Kuopio, this person should visit ->",Kathmandu,Kuopio,"{'Living': 0.00013352911687134, 'Kath': 0.9975396807588067, 'Kum': 8.414046107179513e-05, 'K': 0.0008326230826591114, 'Kh': 0.001131574333947386}",Kath,True
5,"Someone doesn't like the cold weather. Between Muscat and Fianarantsoa, this person should visit ->",Muscat,Fianarantsoa,"{'us': 0.003032913409922243, 'Dh': 0.0005873897436154781, 'Mus': 0.9929238720282161, 'Mog': 0.001372464843287136, 'Oman': 0.0011698622174152677}",Mus,True
6,"Someone doesn't like the cold weather. Between Port Moresby and Antofagasta, this person should visit ->",Port Moresby,Antofagasta,"{'M': 0.5287331271279168, 'Ant': 0.043418702392368974, 'Port': 0.4044669304364735, 'Papua': 0.001275095246531409, 'Hon': 0.019937591681549956}",M,True
7,"Someone doesn't like the cold weather. Between Quito and Ulaanbaatar, this person should visit ->",Quito,Ulaanbaatar,"{'QU': 9.421143434909628e-05, 'Gu': 0.006836855330955734, 'Qu': 0.988662933421291, 'Ecuador': 0.0034938695618771513, 'u': 0.00048383820225380366}",Qu,True
8,"Someone doesn't like the cold weather. Between Monterrey and Dublin, this person should visit ->",Monterrey,Dublin,"{'Gu': 8.548027528941353e-06, 'Monte': 3.907479582001269e-06, 'Mon': 0.999978948398588, 'N': 1.4882159565410172e-06, 'Ver': 1.5613854841379834e-06}",Mon,True
9,"Someone doesn't like the cold weather. Between Manaus and Kunming, this person should visit ->",Manaus,Kunming,"{'Mana': 6.646568131180116e-07, 'Man': 0.9999936099356166, 'Salvador': 3.8496554506540717e-07, 'M': 3.920920932475857e-06, 'Amazon': 5.73779305357625e-07}",Man,True
10,"Someone doesn't like the cold weather. Between Kuwait City and Novosibirsk, this person should visit ->",Kuwait City,Novosibirsk,"{'Kum': 1.2676356405145209e-05, 'Kuwait': 0.9981447897339556, 'u': 0.0002852735538429986, 'K': 0.00047535702722668443, 'Kh': 0.0010195291254408094}",Kuwait,True
11,"Someone doesn't like the cold weather. Between Willemstad and Murmansk, this person should visit ->",Willemstad,Murmansk,"{'Gu': 8.085242326775741e-05, 'il': 0.0005455369603450887, 'W': 0.0028103630631911014, 'Wil': 0.995346391347394, 'Mur': 0.0006106432794350854}",Wil,True
12,"Someone doesn't like the cold weather. Between Barranquilla and Beijing, this person should visit ->",Barranquilla,Beijing,"{'ar': 0.0003276321738606108, 'Br': 0.0006149148223461281, 'Gu': 0.0037056448010698816, 'Bar': 0.9829265194023006, 'B': 0.009894558692124933}",Bar,True
13,"Someone doesn't like the cold weather. Between Djibouti and Lusaka, this person should visit ->",Djibouti,Lusaka,"{'Dj': 0.9926799708778004, 'Dh': 0.003631260303192832, 'Mog': 0.00019279290042261245, 'D': 0.0025228837159023024, 'dj': 0.00030160631009007953}",Dj,True
14,"Someone doesn't like the cold weather. Between Surabaya and Bergen, this person should visit ->",Surabaya,Bergen,"{'ur': 0.0039668676529716574, 'Med': 0.000626331358644562, 'B': 0.012161116368962367, 'Sur': 0.9793700932180367, 'Jay': 0.0008921324052686726}",Sur,True
15,"Someone doesn't like the cold weather. Between Melbourne and Ulaanbaatar, this person should visit ->",Melbourne,Ulaanbaatar,"{'Melbourne': 0.9343811411093143, 'Adelaide': 0.0015520696199686301, 'M': 0.0016294538201137882, 'B': 0.0002831602687354716, 'U': 0.0602585745834307}",Melbourne,True
16,"Someone doesn't like the cold weather. Between Córdoba and Oslo, this person should visit ->",Córdoba,Oslo,"{'Madrid': 3.887132156702554e-07, 'Barcelona': 1.7391127301414024e-06, 'Med': 1.5592774766286141e-06, 'Cord': 0.0001032697563121025, 'C': 0.9998902554223768}",C,True
17,"Someone doesn't like the cold weather. Between Parakou and Ushuaia, this person should visit ->",Parakou,Ushuaia,"{'ar': 0.0003394206718422165, 'Gu': 0.00011237680533826006, 'Par': 0.9974662473836333, 'P': 0.0009361173644290439, 'Ou': 0.00020772115056180612}",Par,True
18,"Someone doesn't like the cold weather. Between Juba and Ottawa, this person should visit ->",Juba,Ottawa,"{'Jos': 0.0005726295843151632, 'Mog': 0.00016827449720640929, '': 0.0006480504562888544, 'J': 0.9976817776375234, 'Jay': 0.00034118844796427453}",J,True
19,"Someone doesn't like the cold weather. Between Phnom Penh and Antofagasta, this person should visit ->",Phnom Penh,Antofagasta,"{'Ph': 0.9360285095944317, 'h': 0.0009858809017080574, 'Cambodia': 0.011596070363845436, 'Ant': 0.019845361038350495, 'Kh': 0.030661318578162344}",Ph,True
20,"Someone doesn't like the cold weather. Between Baghdad and Vienna, this person should visit ->",Baghdad,Vienna,"{'Baghdad': 0.9972007643867355, 'Bag': 0.0001270071720837291, 'Saddam': 5.042759564950649e-05, 'B': 0.00017579588153122269, 'Iraq': 0.0022810942886345494}",Baghdad,True
21,"Someone doesn't like the cold weather. Between La Paz and Minneapolis, this person should visit ->",La Paz,Minneapolis,"{'a': 0.0018983325184760158, 'B': 0.0003739480402553163, 'P': 0.00031227370347196054, 'Bolivia': 0.0003488289048337884, 'La': 0.9964125470408507}",La,True
22,"Someone doesn't like the cold weather. Between Bogotá and Fairbanks, this person should visit ->",Bogotá,Fairbanks,"{'Col': 0.00037562975269103975, 'Med': 0.004071838343725423, 'Bog': 0.9935484690701007, 'B': 0.00037917299721310625, 'Fair': 0.0005820206091203957}",Bog,True
23,"Someone doesn't like the cold weather. Between Djibouti and Baltimore, this person should visit ->",Djibouti,Baltimore,"{'Dak': 0.0001480428202549365, 'Dj': 0.9952665200945089, 'Dh': 0.0032259525758230275, 'D': 0.0006528536978248338, 'dj': 0.0003282034065066573}",Dj,True
24,"Someone doesn't like the cold weather. Between Los Angeles and Murmansk, this person should visit ->",Los Angeles,Murmansk,"{'os': 0.001530966566856443, 'L': 0.0030514664519315443, 'Los': 0.9904886289702886, 'Mur': 0.002885523325937424, 'LA': 0.0009583058232374232}",Los,True
25,"Someone doesn't like the cold weather. Between San Salvador and Milwaukee, this person should visit ->",San Salvador,Milwaukee,"{'an': 6.148914474110385e-06, 'El': 5.239423944134608e-06, 'Salvador': 0.016418443046628227, 'San': 0.9835670879570458, 'S': 6.298576471485524e-07}",San,True
26,"Someone doesn't like the cold weather. Between Lagos and Suwałki, this person should visit ->",Lagos,Suwałki,"{'Dak': 6.201334215637327e-05, 'Nigeria': 0.0003840836463735785, 'Lag': 0.9988698850614078, 'Jos': 0.0004572623325158184, 'Mog': 5.3681882338351684e-05}",Lag,True
27,"Someone doesn't like the cold weather. Between Paramaribo and Auckland, this person should visit ->",Paramaribo,Auckland,"{'Gu': 9.036938585212238e-05, 'aram': 0.0009139743960288832, 'Param': 0.9983869042397943, 'Par': 7.002809775170445e-05, 'param': 0.00012162719139308364}",Param,True
28,"Someone doesn't like the cold weather. Between Niamey and Chihuahua, this person should visit ->",Niamey,Chihuahua,"{'Ni': 0.9983432748866953, 'Niger': 1.0177766211965399e-05, 'N': 0.000719011791871575, 'Ou': 8.644554265168285e-06, 'Ch': 0.0009102745506007475}",Ni,True
29,"Someone doesn't like the cold weather. Between Surabaya and Zagreb, this person should visit ->",Surabaya,Zagreb,"{'Singapore': 0.0007727116547411076, 'ur': 0.004190647593791418, 'B': 0.008843911701829259, 'Sur': 0.98098114478906, 'Jay': 0.001738474455566358}",Sur,True
30,"Someone doesn't like the cold weather. Between Kuwait City and Irkutsk, this person should visit ->",Kuwait City,Irkutsk,"{'Kum': 1.1132163800799724e-05, 'Kuwait': 0.9982839679695732, 'u': 0.00036687256666630906, 'K': 0.0003561708594401764, 'Kh': 0.0009076551883490222}",Kuwait,True
31,"Someone doesn't like the cold weather. Between Niamey and Quito, this person should visit ->",Niamey,Quito,"{'Ni': 0.9992824067232943, 'Niger': 3.815942013947906e-06, 'i': 1.0888417950534062e-06, 'N': 0.0006957104529951537, 'Ou': 1.1024703835338805e-05}",Ni,True
32,"Someone doesn't like the cold weather. Between San Juan and Yinchuan, this person should visit ->",San Juan,Yinchuan,"{'Sant': 1.166702583219644e-05, 'an': 7.470759377642951e-07, 'Puerto': 7.423699797924052e-06, 'Gu': 6.971543511396249e-07, 'San': 0.9999762047891105}",San,True
33,"Someone doesn't like the cold weather. Between Willemstad and Nairobi, this person should visit ->",Willemstad,Nairobi,"{'Gu': 9.813750014130818e-05, 'il': 0.0006496089444798555, 'W': 0.0007152141854925523, 'N': 0.00011950360735227528, 'Wil': 0.9981579637350861}",Wil,True
34,"Someone doesn't like the cold weather. Between Vientiane and Ljubljana, this person should visit ->",Vientiane,Ljubljana,"{'L': 0.00016297756576066615, 'Laos': 0.012573598757755471, 'La': 0.00043945479572363605, '': 0.00011382037615173916, 'V': 0.986210195577762}",V,True
35,"Someone doesn't like the cold weather. Between Belize City and Suwałki, this person should visit ->",Belize City,Suwałki,"{'el': 1.3536979339232736e-06, 'Br': 7.88203130882836e-07, 'Su': 1.3806074147766277e-06, 'Georgetown': 7.152605178401628e-07, 'Bel': 0.999995041369894}",Bel,True
36,"Someone doesn't like the cold weather. Between Parakou and Bucharest, this person should visit ->",Parakou,Bucharest,"{'ar': 0.0009861786827030398, 'Gu': 0.0005974550542503306, 'Par': 0.9945060815731706, 'P': 0.0006474700631349815, 'Libre': 0.00038961207240895834}",Par,True
37,"Someone doesn't like the cold weather. Between Garoua and Rabat, this person should visit ->",Garoua,Rabat,"{'ar': 0.0033586001964894126, 'Rab': 0.0013776880649177304, 'G': 0.0014314601095552762, 'Ou': 0.0005109820988392117, 'Gar': 0.99103567927055}",Gar,True
38,"Someone doesn't like the cold weather. Between Santiago del Estero and Anchorage, this person should visit ->",Santiago del Estero,Anchorage,"{'Sant': 0.0014881225307906822, 'Salvador': 0.0007734550516362505, 'San': 0.0014165772561663364, 'Santiago': 0.9941497598909793, 'Conce': 0.0004670529142354835}",Santiago,True
39,"Someone doesn't like the cold weather. Between San Juan and Bishkek, this person should visit ->",San Juan,Bishkek,"{'Sant': 3.596933072145736e-06, 'San': 0.007550324775680267, 'B': 0.9924193825199581, 'Bel': 7.009697573517455e-06, 'Sof': 3.713773805843626e-06}",B,False
40,"Someone doesn't like the cold weather. Between Durban and Yakutsk, this person should visit ->",Durban,Yakutsk,"{'Dur': 0.9917713779845058, 'Kum': 0.00017052510989035136, 'D': 7.443494764506351e-05, 'K': 0.0075710690467822315, 'Kh': 0.00014009286973889606}",Dur,True
41,"Someone doesn't like the cold weather. Between Garoua and Quito, this person should visit ->",Garoua,Quito,"{'ar': 0.001084163778716918, 'G': 0.0007497055713827084, 'Ou': 0.00017945573179105188, 'Libre': 0.00030263139837905813, 'Gar': 0.9972038056542644}",Gar,True
42,"Someone doesn't like the cold weather. Between Barranquilla and Auckland, this person should visit ->",Barranquilla,Auckland,"{'Br': 0.0010283091783682254, 'Man': 0.0007254397030376494, 'Gu': 0.005671994269878001, 'Bar': 0.9568152704448807, 'B': 0.030601877980353596}",Bar,True
43,"Someone doesn't like the cold weather. Between Juba and Kansas City, this person should visit ->",Juba,Kansas City,"{'Jos': 0.001015573704561058, '': 0.00045783550397074743, 'J': 0.9944696606427685, 'K': 0.00017973302545655937, 'Jay': 0.0030638671083279894}",J,True
44,"Someone doesn't like the cold weather. Between Tucson and Kuopio, this person should visit ->",Tucson,Kuopio,"{'Ku': 0.00034504835200982416, 'T': 0.007003592831203542, 'Mog': 3.3975054289615446e-05, 'Tuc': 3.550228490617226e-05, 'Tucson': 0.9923675873207262}",Tucson,True
45,"Someone doesn't like the cold weather. Between Damascus and Ushuaia, this person should visit ->",Damascus,Ushuaia,"{'Assad': 0.0006514017360628761, 'am': 0.0011955421673029154, 'Damascus': 0.9772279117699191, 'Ant': 0.00037541540440902307, 'U': 0.018281731434831482}",Damascus,True
46,"Someone doesn't like the cold weather. Between Nouakchott and Kansas City, this person should visit ->",Nouakchott,Kansas City,"{'Dak': 0.0010046601036487939, 'N': 0.08721959151197538, 'Ou': 0.021403209319446562, 'Nou': 0.886842745889809, 'K': 0.0005004567382539206}",Nou,True
47,"Someone doesn't like the cold weather. Between Bujumbura and Berlin, this person should visit ->",Bujumbura,Berlin,"{'B': 0.09444160235486342, 'u': 0.0010196555548908286, 'Libre': 0.00037532996958583104, 'Bur': 0.0001677244673926782, 'Bu': 0.9034367689128974}",Bu,True
48,"Someone doesn't like the cold weather. Between Nouakchott and Pittsburgh, this person should visit ->",Nouakchott,Pittsburgh,"{'Dak': 0.00021456925598137798, 'N': 0.04051793351655523, 'Ou': 0.02083529198598031, 'Libre': 0.00019406158515979745, 'Nou': 0.9375174809169483}",Nou,True
49,"Someone doesn't like the cold weather. Between Suva and Toronto, this person should visit ->",Suva,Toronto,"{'Su': 0.995732870180815, 'Jos': 6.36146988708155e-05, 'Fiji': 0.0024396721828352486, 'u': 0.001324481787259692, 'Hon': 0.0001375222274143075}",Su,True
50,"Someone doesn't like the cold weather. Between Hat Yai and Ulaanbaatar, this person should visit ->",Hat Yai,Ulaanbaatar,"{'Hat': 0.9967530721085147, 'at': 0.001557475558815677, 'U': 0.0007522942655384448, 'Kh': 0.00025156679932826053, 'Y': 0.00031892391327764544}",Hat,True
51,"Someone doesn't like the cold weather. Between Houston and Irkutsk, this person should visit ->",Houston,Irkutsk,"{'HOU': 0.00042159855000926396, 'ouston': 0.00039991697296057116, 'Fort': 0.00011013397265759868, 'uston': 0.00021069183282666786, 'Houston': 0.9981373993974774}",Houston,True
52,"Someone doesn't like the cold weather. Between Ho Chi Minh City and Canberra, this person should visit ->",Ho Chi Minh City,Canberra,"{'Vietnam': 0.00213364605445887, 'Singapore': 0.0011447071945077177, 'HC': 0.007671631303288068, 'o': 0.0010873551492116993, 'Ho': 0.9862336213067522}",Ho,True
53,"Someone doesn't like the cold weather. Between Bangui and Bergen, this person should visit ->",Bangui,Bergen,"{'Bou': 4.0184957897702627e-07, 'Br': 2.528627228284895e-06, 'Gu': 7.834394238112931e-06, 'C': 4.327623953882067e-07, 'B': 0.9999871717882822}",B,False
54,"Someone doesn't like the cold weather. Between Darwin and Vladivostok, this person should visit ->",Darwin,Vladivostok,"{'Vlad': 0.1800290053932759, 'Living': 0.0008740151922698754, 'Vit': 0.02565750134559235, 'Darwin': 0.7804875035353411, 'D': 0.006963845798385859}",Darwin,True
55,"Someone doesn't like the cold weather. Between Manila and Bucharest, this person should visit ->",Manila,Bucharest,"{'Philippines': 0.00011937198691315511, 'Man': 0.0011053336985103234, 'Duterte': 8.603313889028882e-05, 'Philippine': 3.287286541225896e-05, 'Manila': 0.9984982468614668}",Manila,True
56,"Someone doesn't like the cold weather. Between Bamako and Tashkent, this person should visit ->",Bamako,Tashkent,"{'Tam': 1.5286767088207304e-05, 'Kum': 7.724379979152355e-06, 'Mali': 1.2614066220177413e-05, 'B': 0.001425307071078058, 'Bam': 0.998507128143471}",Bam,True
57,"Someone doesn't like the cold weather. Between San Juan and Ankara, this person should visit ->",San Juan,Ankara,"{'Sant': 3.6675668735671314e-05, 'Puerto': 3.1624437203681673e-06, 'Man': 3.8045151469995055e-06, 'San': 0.9999452098660342, 'Ant': 4.109969296179388e-06}",San,True
58,"Someone doesn't like the cold weather. Between Phnom Penh and Murmansk, this person should visit ->",Phnom Penh,Murmansk,"{'Ph': 0.9749665385588845, 'Cambod': 0.0001450022932719711, 'h': 0.0014982058301824708, 'Cambodia': 0.006324999648131107, 'Kh': 0.016565500986685248}",Ph,True
59,"Someone doesn't like the cold weather. Between Willemstad and Bishkek, this person should visit ->",Willemstad,Bishkek,"{'Gu': 7.286413611612286e-05, 'il': 0.0006587496430292039, 'B': 0.0008372788406529932, 'W': 0.0009302934350725988, 'Wil': 0.9973245048340055}",Wil,True
