{'statement': 'Between Vientiane and Nairobi, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Vientiane'}
{'statement': 'Between Guangzhou and Saskatoon, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Saskatoon'}
{'statement': 'Between Alexandria and Lviv, the city with a larger population is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Lviv'}
{'statement': 'Between Thiès and Johannesburg, the city with a larger population is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Thiès'}
{'statement': 'Between Willemstad and Monterrey, the city with a larger population is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Willemstad'}
{'statement': 'Between Paris and Manaus, the city with a larger population is Paris.', 'answer': 'Paris', 'candidate': 'Manaus'}
{'statement': 'Between Sydney and Pittsburgh, the city with a larger population is Sydney.', 'answer': 'Sydney', 'candidate': 'Pittsburgh'}
{'statement': 'Between Ürümqi and Hanoi, the city with a larger population is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Ürümqi'}
{'statement': 'Between Jakarta and Harare, the city with a larger population is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Harare'}
{'statement': 'Between Córdoba and Moscow, the city with a larger population is Moscow.', 'answer': 'Moscow', 'candidate': 'Córdoba'}
{'statement': 'Between Luanda and Sydney, the city with a larger population is Luanda.', 'answer': 'Luanda', 'candidate': 'Sydney'}
{'statement': 'Between Denpasar and Shanghai, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Denpasar'}
{'statement': 'Between Port-Gentil and Nairobi, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Port-Gentil'}
{'statement': 'Between Lima and Zürich, the city with a larger population is Lima.', 'answer': 'Lima', 'candidate': 'Zürich'}
{'statement': 'Between Nur-Sultan and Kabul, the city with a larger population is Kabul.', 'answer': 'Kabul', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Goiânia and Paris, the city with a larger population is Paris.', 'answer': 'Paris', 'candidate': 'Goiânia'}
{'statement': 'Between Upington and Kuwait City, the city with a larger population is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Upington'}
{'statement': 'Between La Paz and Kabul, the city with a larger population is Kabul.', 'answer': 'Kabul', 'candidate': 'La Paz'}
{'statement': 'Between Hobart and London, the city with a larger population is London.', 'answer': 'London', 'candidate': 'Hobart'}
{'statement': 'Between Ürümqi and Lake Havasu City, the city with a larger population is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Lake Havasu City'}
{'statement': 'Between Monterrey and Nakhon Ratchasima, the city with a larger population is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Nakhon Ratchasima'}
{'statement': 'Between Santiago and Nouakchott, the city with a larger population is Santiago.', 'answer': 'Santiago', 'candidate': 'Nouakchott'}
{'statement': 'Between Garoua and Luanda, the city with a larger population is Luanda.', 'answer': 'Luanda', 'candidate': 'Garoua'}
{'statement': 'Between Irkutsk and London, the city with a larger population is London.', 'answer': 'London', 'candidate': 'Irkutsk'}
{'statement': 'Between Manaus and Santiago, the city with a larger population is Santiago.', 'answer': 'Santiago', 'candidate': 'Manaus'}
