,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like big cities. Between Chicago and Mandalay, you should visit ->",Mandalay,Chicago,"{'Pir': 5.370282734954455e-06, 'Mand': 3.220728141748088e-05, 'small': 9.648771079476834e-06, 'M': 5.9183545638729355e-05, 'Mandal': 0.999846028254866}",Mandal,True
1,"You don't like big cities. Between Moscow and Minneapolis, you should visit ->",Minneapolis,Moscow,"{'Min': 0.00010466905944980926, 'Minneapolis': 0.9979647848646418, 'MN': 0.00010309156335685709, 'M': 0.001477433231339334, 'Minnesota': 0.00024782889238124676}",Minneapolis,True
2,"You don't like big cities. Between Manila and Hamilton, you should visit ->",Hamilton,Manila,"{'Hamilton': 0.9999989771165232, 'small': 6.412766935163303e-09, 'McMaster': 3.152648029413673e-08, 'this': 1.8161969808947e-08, 'amilton': 1.0099830595242883e-06}",Hamilton,True
3,"You don't like big cities. Between Kabul and Yinchuan, you should visit ->",Yinchuan,Kabul,"{'y': 5.227628068197151e-07, 'W': 4.543754492219855e-07, 'N': 1.3450425536547274e-07, '': 1.5613706510463428e-06, 'Y': 0.999996829488026}",Y,True
4,"You don't like big cities. Between Riyadh and Goiânia, you should visit ->",Goiânia,Riyadh,"{'GO': 6.479092569389397e-05, 'Go': 0.9996629227033216, 'a': 9.351049265975811e-06, 'G': 0.0001223628190455504, 'o': 0.0001302016702410256}",Go,True
5,"You don't like big cities. Between Lahore and Belgrade, you should visit ->",Belgrade,Lahore,"{'el': 3.94023575559157e-06, 'BEL': 2.8567672431483116e-07, 'Lah': 1.6869936811853797e-06, 'B': 4.298098222190251e-07, 'Bel': 0.999992775475097}",Bel,True
6,"You don't like big cities. Between Jakarta and Ushuaia, you should visit ->",Ushuaia,Jakarta,"{'u': 4.1139085333584585e-06, 'this': 3.466763552656023e-05, 'U': 0.9998856030538297, '': 6.11294384577313e-05, '0': 4.562339581011726e-06}",U,True
7,"You don't like big cities. Between Bogotá and Piura, you should visit ->",Piura,Bogotá,"{'Pir': 1.2932513386033427e-05, 'Pi': 0.9993767031302484, 'PI': 3.282329766662174e-05, 'P': 3.311967636775294e-05, 'i': 0.0005384595393666743}",Pi,True
8,"You don't like big cities. Between Shanghai and Tauranga, you should visit ->",Tauranga,Shanghai,"{'Tai': 6.054899850773141e-09, 'Ta': 5.899878968846374e-09, 'T': 0.9999999317236823, 'Tav': 9.430535076218892e-09, '': 9.675633781986053e-08}",T,True
9,"You don't like big cities. Between Bangkok and Minneapolis, you should visit ->",Minneapolis,Bangkok,"{'Min': 5.8230400164645706e-05, 'Minneapolis': 0.9972940480060153, 'MN': 0.00012940286959295098, 'M': 0.00218125910022351, 'Minnesota': 0.00018990397657536677}",Minneapolis,True
10,"You don't like big cities. Between Berlin and Garoua, you should visit ->",Garoua,Berlin,"{'ar': 0.002393910638068044, 'G': 5.66043960521129e-06, 'Garage': 2.9173000787023835e-06, 'gar': 4.5422953362863975e-05, 'Gar': 0.9975433193911825}",Gar,True
11,"You don't like big cities. Between Johannesburg and Suwałki, you should visit ->",Suwałki,Johannesburg,"{'SU': 2.044230561135759e-05, 'Su': 0.9993160253173973, 'Jos': 6.623689612470131e-06, 'W': 3.0068155381094117e-06, 'u': 0.0006300878524294448}",Su,True
12,"You don't like big cities. Between Ankara and Toliara, you should visit ->",Toliara,Ankara,"{'Tam': 7.681215761781642e-09, 'a': 4.709613461066222e-09, 'T': 0.9999999317236823, 'this': 4.185126108525815e-09, '': 1.1185896502606322e-07}",T,True
13,"You don't like big cities. Between Johannesburg and Kampala, you should visit ->",Kampala,Johannesburg,"{'Kum': 0.0011880089789874522, 'Johannes': 0.0016489987391827908, 'amp': 0.0004993886038812589, 'Kamp': 0.9860266740069846, 'K': 0.010138924008598345}",Kamp,True
14,"You don't like big cities. Between Baghdad and Gabès, you should visit ->",Gabès,Baghdad,"{'Gab': 0.9995293493507806, 'Gabriel': 4.3976818858332344e-06, 'B': 1.129029662377184e-06, 'G': 6.584888910505329e-05, 'ab': 0.0003941958858529061}",Gab,True
15,"You don't like big cities. Between Nairobi and Lake Havasu City, you should visit ->",Lake Havasu City,Nairobi,"{'lake': 2.8058610595515892e-05, 'Hav': 0.006158453427029379, 'Lakes': 2.4117423786449726e-05, 'ake': 0.0023047699783177566, 'Lake': 0.9914250751981654}",Lake,True
16,"You don't like big cities. Between Saint Petersburg and Algiers, you should visit ->",Algiers,Saint Petersburg,"{'l': 0.000976935037445133, 'Alger': 0.0002666618984331525, 'St': 6.244777191072117e-05, 'Saint': 0.00016564162316183632, 'Al': 0.9984800682680157}",Al,True
17,"You don't like big cities. Between Cairo and Makurdi, you should visit ->",Makurdi,Cairo,"{'Dak': 8.953931807791866e-08, 'small': 2.4963474685093666e-07, 'Mak': 0.999998499344226, 'Mack': 8.037392735364346e-08, 'M': 6.052810144874715e-07}",Mak,True
18,"You don't like big cities. Between Bogotá and Denver, you should visit ->",Denver,Bogotá,"{'Denver': 0.9952366595610614, 'Broncos': 0.0008573277274846523, 'Edmonton': 0.0004257644495281392, 'Nuggets': 0.0011200706671454512, 'enver': 0.0016950120992069637}",Denver,True
19,"You don't like big cities. Between Toronto and Sapporo, you should visit ->",Sapporo,Toronto,"{'Sapp': 0.9998722542301858, 'S': 4.0808547538632855e-05, 'Sap': 4.9754084362042984e-05, 'Sof': 7.1899596371164795e-06, 'SAP': 1.1808723735752202e-05}",Sapp,True
20,"You don't like big cities. Between Toronto and Tampa, you should visit ->",Tampa,Toronto,"{'Tampa': 0.9912450705587968, 'Tall': 3.418778983540323e-05, 'Winnipeg': 2.4795261291661416e-05, 'T': 0.00855295022496485, 'Buccaneers': 3.9910105318782906e-05}",Tampa,True
21,"You don't like big cities. Between Buenos Aires and Toronto, you should visit ->",Toronto,Buenos Aires,"{'Winnipeg': 0.0008759519676333157, 'T': 0.02087375814655931, 'oronto': 0.0025177760171429635, 'TTC': 0.0002900007641462957, 'Toronto': 0.9748007790907739}",Toronto,True
22,"You don't like big cities. Between Riyadh and Omaha, you should visit ->",Omaha,Riyadh,"{'Om': 4.388241414879787e-06, 'Nebraska': 4.6279012193505674e-05, 'Omaha': 0.998567388568896, 'Ou': 4.870923541194383e-06, 'O': 0.0013701998141946925}",Omaha,True
23,"You don't like big cities. Between Alexandria and Makassar, you should visit ->",Makassar,Alexandria,"{'Alexander': 0.00047069416785469495, 'Mak': 0.025515476228299413, 'Alexand': 0.02372314322334554, 'Alexandria': 0.9488744217986449, 'Alex': 0.00033985313145065433}",Alexandria,False
24,"You don't like big cities. Between Douala and Boise, you should visit ->",Boise,Douala,"{'o': 2.804366194882526e-06, 'Idaho': 2.108086276482633e-06, 'B': 0.0001599028683318121, 'Boise': 0.9998115781536262, 'Dou': 1.2297593071237563e-05}",Boise,True
