,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like the restaurants nearby. If I were you, between Oxygen Restaurant & Lounge and Eggspectation I would go to ->",Eggspectation,Oxygen Restaurant & Lounge,"{'Egg': 0.12837511691545536, 'Coc': 0.000189089331713847, 'Oxy': 0.8690350593970598, 'O': 0.0008843107764837829, 'Hero': 0.00020461262511931375}",Oxy,False
1,"You don't like the restaurants nearby. If I were you, between The Coffee Pocket and Supermodel Pizza I would go to ->",The Coffee Pocket,Supermodel Pizza,"{'My': 1.5961806006988676e-07, 'the': 2.9856529450079543e-05, 'Lah': 4.11126041149558e-07, 'The': 0.9999680988218534, 'Th': 2.2832928898125905e-07}",The,True
2,"You don't like the restaurants nearby. If I were you, between Queen Pita and Kibo Sushi House I would go to ->",Queen Pita,Kibo Sushi House,"{'King': 0.010006463948112344, 'ueen': 0.004269193694073779, 'K': 3.204325016672106e-05, 'Queen': 0.9855548449847746, 'Hero': 2.178785180817668e-05}",Queen,True
3,"You don't like the restaurants nearby. If I were you, between Pizzeria Via Mercanti and Mövenpick Café I would go to ->",Pizzeria Via Mercanti,Mövenpick Café,"{'Mong': 0.0002075442475129275, 'Lah': 0.00018495833027748582, 'M': 0.8442111904801705, 'P': 0.1544647907810985, '': 0.00016875780119102947}",M,False
4,"You don't like the restaurants nearby. If I were you, between Cantine Bar & Grill and Helena's Magic Kitchen I would go to ->",Helena's Magic Kitchen,Cantine Bar & Grill,"{'el': 0.00033454070389980165, 'Lah': 0.0026744728058034524, 'Sauce': 0.002175303682608985, 'Helena': 0.9793910725295016, 'Magic': 0.012550168339353518}",Helena,True
5,"You don't like the restaurants nearby. If I were you, between Nutella Cafe by Pusateri's and McDonald's I would go to ->",Nutella Cafe by Pusateri's,McDonald's,"{'Nut': 0.9696333331589624, 'ut': 0.029795306436691097, 'Lah': 4.0422621159852206e-05, 'nut': 0.0003891555199602359}",Nut,True
6,"You don't like the restaurants nearby. If I were you, between La Pupusa Loka and LCBO I would go to ->",LCBO,La Pupusa Loka,"{'a': 0.0037428796647083957, 'LC': 0.29485354604535197, 'Lah': 0.001930913638990792, 'La': 0.6972135504481266, 'C': 0.0008986598140001614}",La,False
7,"You don't like the restaurants nearby. If I were you, between Magic Oven and Kibo Sushi House I would go to ->",Magic Oven,Kibo Sushi House,"{'Epic': 4.13056685655755e-07, 'agic': 9.463228945218608e-07, 'MAG': 9.665759102459335e-07, 'Magic': 0.999996351716955, 'Hero': 4.016310322561606e-07}",Magic,True
8,"You don't like the restaurants nearby. If I were you, between Mövenpick Café and Eggspectation I would go to ->",Eggspectation,Mövenpick Café,"{'Mong': 0.0002547988876134727, 'Lah': 0.000450112862990987, 'T': 0.00015392747623709836, 'M': 0.9981938438666675, 'H': 0.00037490796079450115}",M,False
9,"You don't like the restaurants nearby. If I were you, between Freshii and Kairali - Taste of Kerala I would go to ->",Freshii,Kairali - Taste of Kerala,"{'Epic': 5.029952118946553e-05, 'Fresh': 0.9996240623522727, 'resh': 0.00012127789412087856, 'Loaded': 0.00012216023174432383, 'Bulk': 2.7874451653522258e-05}",Fresh,True
10,"You don't like the restaurants nearby. If I were you, between Roncy's Bean and Solero Mediterranean Bakery I would go to ->",Roncy's Bean,Solero Mediterranean Bakery,"{'Mong': 2.8130363876913803e-05, 'on': 0.004113352045640857, 'ol': 0.0003936059012048763, 'Sol': 0.0012129264325925224, 'Ron': 0.9938434520860944}",Ron,True
11,"You don't like the restaurants nearby. If I were you, between The Coffee Pocket and Milo's Pita I would go to ->",The Coffee Pocket,Milo's Pita,"{'Le': 1.1650111420441447e-07, 'the': 6.222081300261698e-05, 'Lah': 7.938327819159388e-07, 'The': 0.9999354353383875, 'Th': 2.2822530867344117e-07}",The,True
12,"You don't like the restaurants nearby. If I were you, between Freshii and Kibo Sushi House I would go to ->",Freshii,Kibo Sushi House,"{'Epic': 0.003991821643551879, 'Fresh': 0.9421471909025965, 'Loaded': 0.0031266110269781407, 'Bulk': 0.0022036416316103423, 'K': 0.043072006243712165}",Fresh,True
13,"You don't like the restaurants nearby. If I were you, between Branca and Smoke's Weinerie I would go to ->",Smoke's Weinerie,Branca,"{'Br': 0.01665810157194807, 'Smoke': 0.9488809747480291, 'Sauce': 0.005292749573484951, 'Loaded': 0.006167619709627756, 'Sn': 0.00566568201925623}",Smoke,True
14,"You don't like the restaurants nearby. If I were you, between Modo Mio Italian Bistro and Thai 4 You Restaurant I would go to ->",Modo Mio Italian Bistro,Thai 4 You Restaurant,"{'MOD': 0.00011719586066536292, 'Mod': 0.9991538989055635, 'Sauce': 1.1424275919973168e-05, 'od': 0.0006736216195632939, 'mod': 1.133511645644243e-05}",Mod,True
15,"You don't like the restaurants nearby. If I were you, between Carole's Cheesecake Cafe and Juice & Java Cafe I would go to ->",Carole's Cheesecake Cafe,Juice & Java Cafe,"{'Coc': 6.677359052565791e-06, 'Car': 0.9996442078090586, 'Chand': 4.581770786294252e-06, 'C': 7.208367888828587e-06, 'ar': 0.0003241983623605829}",Car,True
16,"You don't like the restaurants nearby. If I were you, between Maurya East Indian Roti and The Coffee Pocket I would go to ->",The Coffee Pocket,Maurya East Indian Roti,"{'a': 4.23782666136975e-06, 'the': 0.0003395581310989941, 'The': 0.999220061210497, 'Th': 2.181716730536266e-06, 'Ma': 0.0004218596002984486}",The,True
17,"You don't like the restaurants nearby. If I were you, between Farmacia Health Bar and Nook I would go to ->",Nook,Farmacia Health Bar,"{'Farm': 0.9958008213103424, 'Garden': 0.00016485166308880003, 'arm': 0.0023065377230384767, 'farm': 0.00016090796538527656, 'River': 0.0007113544707542593}",Farm,False
18,"You don't like the restaurants nearby. If I were you, between The Empire and Eggspectation I would go to ->",Eggspectation,The Empire,"{'Egg': 0.998521672604078, 'the': 6.534680563245007e-05, 'Sauce': 6.863767333456662e-05, 'The': 0.0011254987592691657, 'Bulk': 2.7668914365755742e-05}",Egg,True
19,"You don't like the restaurants nearby. If I were you, between Harvey's and Phil's Original BBQ I would go to ->",Phil's Original BBQ,Harvey's,"{'Ph': 0.035112790962754735, 'Harvey': 0.08429602231188218, 'Noah': 0.0006752027782393581, 'hil': 0.0026996314912741963, 'Phil': 0.8741045308179193}",Phil,True
20,"You don't like the restaurants nearby. If I were you, between Hapa Toronto and Carole's Cheesecake Cafe I would go to ->",Carole's Cheesecake Cafe,Hapa Toronto,"{'CAR': 9.024567295424961e-06, 'Car': 0.9985332965623787, 'C': 9.395740656817974e-05, 'H': 0.0009771107061570105, 'ar': 0.0003681577658930634}",Car,True
21,"You don't like the restaurants nearby. If I were you, between The Coffee Pocket and Chipotle Mexican Grill I would go to ->",The Coffee Pocket,Chipotle Mexican Grill,"{'Coc': 3.720018535590726e-07, 'the': 3.983275476875773e-05, 'Sauce': 6.996882207857838e-07, 'The': 0.9999566533414935, 'Th': 3.155325470701698e-07}",The,True
22,"You don't like the restaurants nearby. If I were you, between Queen Pita and Breakfast Room I would go to ->",Queen Pita,Breakfast Room,"{'Richmond': 0.0008314237211329597, 'King': 0.01969670728699972, 'ueen': 0.007579308578841585, 'Queen': 0.969579452131737, 'Hero': 0.0005110145472327137}",Queen,True
23,"You don't like the restaurants nearby. If I were you, between Assembly Chef's Hall and Sushi Shop I would go to ->",Assembly Chef's Hall,Sushi Shop,"{'Assembly': 0.9717715675015839, 'S': 0.021168399478000068, 'Conv': 0.0010585999984548539, 'Sauce': 0.00040424315186373354, 'ssembly': 0.00458696497089865}",Assembly,True
24,"You don't like the restaurants nearby. If I were you, between Ici Bistro and Kairali - Taste of Kerala I would go to ->",Ici Bistro,Kairali - Taste of Kerala,"{'My': 4.850954831099784e-06, 'Ich': 0.00048104824087889163, 'I': 0.9994344614772287, 'C': 5.607239652914539e-06, '': 5.924868335810952e-05}",I,True
25,"You don't like the restaurants nearby. If I were you, between Tierra Azteca and El Fogón I would go to ->",Tierra Azteca,El Fogón,"{'tier': 9.348936167630812e-06, 'Tier': 0.9996159554639892, 'T': 1.6560006773159952e-05, 'ier': 0.00033315090582133243, 'Ast': 9.156642369714655e-06}",Tier,True
26,"You don't like the restaurants nearby. If I were you, between The Coffee Pocket and Villa Madina I would go to ->",The Coffee Pocket,Villa Madina,"{'Villa': 1.386641262285744e-05, 'the': 4.413638760379552e-05, 'Lah': 1.790097280403774e-05, 'Sauce': 2.672492501101691e-06, 'The': 0.9999169584041442}",The,True
27,"You don't like the restaurants nearby. If I were you, between Chipotle Mexican Grill and Beryl's Pepper Pot I would go to ->",Beryl's Pepper Pot,Chipotle Mexican Grill,"{'Chip': 0.9871235184887622, 'Coc': 6.82582672067888e-05, 'Chand': 5.748186794373915e-05, 'Sauce': 0.00024930737127046017, 'hip': 0.012422640803472646}",Chip,False
28,"You don't like the restaurants nearby. If I were you, between Tian An Cuisine and Eggspectation I would go to ->",Eggspectation,Tian An Cuisine,"{'Egg': 0.9966961497640344, 'Tian': 0.00268624492301259, 'T': 6.349026315274919e-05, 'Sauce': 8.927893394346076e-05, 'egg': 0.000124418832806201}",Egg,True
29,"You don't like the restaurants nearby. If I were you, between Lahore Grill & Fast Food and Capitol Trattoria Pizzeria I would go to ->",Capitol Trattoria Pizzeria,Lahore Grill & Fast Food,"{'Raj': 1.7754020954852202e-10, 'Chand': 2.020297619500199e-09, 'Lah': 1.0, 'Punjab': 5.883030515507148e-11, 'River': 1.3193193107787821e-10}",Lah,False
