,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for a small city to visit. Between Moscow and Dublin, I should visit ->",Dublin,Moscow,"{'Madrid': 0.029967773241405073, 'Dublin': 0.5303211566551675, 'D': 0.06239200105779023, 'Dun': 0.03261045945142609, 'Moscow': 0.08272037788418847}",Dublin,True
1,"I'm looking for a small city to visit. Between Riyadh and Palmerston North, I should visit ->",Palmerston North,Riyadh,"{'Man': 0.003980129191646195, 'Palmer': 0.9622872781122104, 'R': 0.0037207091393757718, 'Dun': 0.0036980985382844404, 'New': 0.01534720356072253}",Palmer,True
2,"I'm looking for a small city to visit. Between Lahore and La Paz, I should visit ->",La Paz,Lahore,"{'a': 0.004996829838157796, 'Gu': 0.00923873784056741, 'Lah': 0.0685660407238297, 'La': 0.8494942640850576, 'Ch': 0.00575490928354671}",La,False
3,"I'm looking for a small city to visit. Between Lahore and Tashkent, I should visit ->",Tashkent,Lahore,"{'city': 5.317049078518664e-05, 'Tehran': 0.0001378525392885498, 'Lah': 0.0006656278682285581, 'T': 0.9979725915745022, 'Kh': 0.00046155773911748355}",T,True
4,"I'm looking for a small city to visit. Between Beijing and Hobart, I should visit ->",Hobart,Beijing,"{'Hamilton': 0.006930850819082321, 'Beijing': 0.021386696695535057, 'Hob': 0.8288550734985972, 'T': 0.017277510401036103, 'Dun': 0.007695858130309399}",Hob,True
5,"I'm looking for a small city to visit. Between Alexandria and Tampa, I should visit ->",Tampa,Alexandria,"{'Tampa': 0.687242723392076, 'Tall': 0.03783272916739659, 'Alexandria': 0.04311240518360982, 'T': 0.1482348260703194, 'St': 0.023437968174633148}",Tampa,True
6,"I'm looking for a small city to visit. Between Luanda and Tripoli, I should visit ->",Tripoli,Luanda,"{'Ni': 0.009925675443140674, 'N': 0.011001158429015228, 'Tripoli': 0.55957829140546, 'Kh': 0.02609616265957532, 'Lu': 0.2345840577738449}",Tripoli,True
7,"I'm looking for a small city to visit. Between Mexico City and Cayenne, I should visit ->",Cayenne,Mexico City,"{'city': 0.029183304410282555, 'Gu': 0.16783871339957507, 'C': 0.0654320879111876, 'M': 0.09056180800563697, 'Mexico': 0.40086446553179333}",Mexico,False
8,"I'm looking for a small city to visit. Between Lahore and Conakry, I should visit ->",Conakry,Lahore,"{'Dak': 0.028659749414738797, 'Con': 0.08282076201912136, 'Gu': 0.04875960867180601, 'Lah': 0.4795201991992591, 'Kh': 0.08135879809727324}",Lah,False
9,"I'm looking for a small city to visit. Between Sydney and La Ceiba, I should visit ->",La Ceiba,Sydney,"{'Sydney': 0.7858661371709162, 'Adelaide': 0.017928900769872663, 'S': 0.02127437462041214, 'La': 0.09936641496786225, 'New': 0.03088715121004641}",Sydney,False
