,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Piper's Pub And Grill and Branca, the more affordable restaurant is ->",Piper's Pub And Grill,Branca,"{'Chand': 0.00040663182044775966, 'Poor': 0.001042831572191594, 'Starbucks': 0.00019494813678123244, 'Cafe': 0.001360814311449128, 'Piper': 0.9959296882658626}",Piper,True
1,"Between Sweet Jesus and The Duke of Devon, the more affordable restaurant is ->",Sweet Jesus,The Duke of Devon,"{'Sweet': 0.9999999317236823, 'Poor': 9.495214453417376e-10, 'weet': 6.297109659719774e-08, 'Golden': 6.454831563115789e-10}",Sweet,True
2,"Between The Empire and Verona Restaurant, the more affordable restaurant is ->",The Empire,Verona Restaurant,"{'er': 0.060101967552408736, 'Chand': 0.0013118033308016938, 'Poor': 0.0029191873681878016, 'Yes': 0.0011696426548836465, 'Ver': 0.9247406122349394}",Ver,False
3,"Between Eastern legend and Hawthorne Food and Drink, the more affordable restaurant is ->",Eastern legend,Hawthorne Food and Drink,"{'Chand': 0.003499323202148606, 'aw': 0.004557099191933221, 'Hawth': 0.5041531943765695, 'Eastern': 0.4669276305612881, 'Golden': 0.0036758694105400898}",Hawth,False
4,"Between Eggspectation and Solero Mediterranean Bakery, the more affordable restaurant is ->",Solero Mediterranean Bakery,Eggspectation,"{'Egg': 0.9963383968778993, 'Cafe': 0.0006312869780508103, 'Yes': 0.000413213561743556, 'gg': 0.00020890979542567535, 'Chinese': 0.0003530419745592949}",Egg,False
5,"Between New Bilan Restaurant and Sichuan Landscape Chinese Restaurant, the more affordable restaurant is ->",New Bilan Restaurant,Sichuan Landscape Chinese Restaurant,"{'Chand': 8.959026378460023e-06, 'Poor': 3.755699519318071e-06, 'S': 0.9996012938444325, 'ew': 6.179927610961056e-06, 'New': 0.00036184703163075123}",S,False
6,"Between Watson's and St. Clair Shawarma and Falafel, the more affordable restaurant is ->",St. Clair Shawarma and Falafel,Watson's,"{'Ali': 0.01958877854331435, 'Watson': 0.9192236995313404, 'Chand': 0.0032339143577872374, 'Starbucks': 0.006770481987388979, 'Fal': 0.028062225367116916}",Watson,False
7,"Between Supermodel Pizza and It's All Grk, the more affordable restaurant is ->",Supermodel Pizza,It's All Grk,"{'Pizza': 0.426408402776839, 'Poor': 0.15696010722962825, 'Super': 0.07680597825469676, 'Yes': 0.056818573981132124, 'It': 0.04282417925697381}",Pizza,True
8,"Between Roncy's Bean and Milo's Pita, the more affordable restaurant is ->",Milo's Pita,Roncy's Bean,"{'Ali': 0.0023127175900721263, 'on': 0.0012974238946762686, 'Starbucks': 0.0025862172295869376, 'Milo': 0.9727996816709362, 'Ron': 0.014291295976570017}",Milo,True
9,"Between Paradise Farms Prime Beef Bistro and Helena's Magic Kitchen, the more affordable restaurant is ->",Helena's Magic Kitchen,Paradise Farms Prime Beef Bistro,"{'Pizza': 0.0044316823678912255, 'Poor': 0.00456564720280346, 'Cafe': 0.011540892283085486, 'Helena': 0.9311821136868028, 'Magic': 0.009205019001874381}",Helena,True
10,"Between Bagel Nash and Hina Sushi, the more affordable restaurant is ->",Bagel Nash,Hina Sushi,"{'Bag': 0.00013283430944966722, 'Chand': 3.86180870810629e-07, 'Starbucks': 5.079946098275051e-07, 'Cafe': 4.4942897698568246e-07, 'H': 0.9998636704637159}",H,False
11,"Between McDonald's and Anatolia Restaurant, the more affordable restaurant is ->",McDonald's,Anatolia Restaurant,"{'McDonald': 0.9945128151977436, 'Poor': 7.799397327226704e-05, 'Starbucks': 0.0003892740358591938, 'MacDonald': 0.004560238291104593, 'c': 9.620608006027821e-05}",McDonald,True
12,"Between Eastern legend and Kairali - Taste of Kerala, the more affordable restaurant is ->",Eastern legend,Kairali - Taste of Kerala,"{'Chand': 0.0004773972998616623, 'Kom': 0.00036867369519780245, 'astern': 0.0003712376998920999, 'K': 0.30253152259947313, 'Eastern': 0.6954519896359177}",Eastern,True
13,"Between Villa Madina and Pisco 1641, the more affordable restaurant is ->",Villa Madina,Pisco 1641,"{'Pizza': 0.001527029399225602, 'Villa': 0.8002017304815848, 'Restaurant': 4.859057382925093e-05, 'Cafe': 0.0016976279938323026, 'P': 0.19606755711140633}",Villa,True
14,"Between Itamae Ayce Sushi and KFC, the more affordable restaurant is ->",KFC,Itamae Ayce Sushi,"{'Poor': 6.3753153594134886e-06, 'Starbucks': 1.3387648899152113e-05, 'Kom': 1.3762748496780142e-05, 'K': 0.999925542637087, 'Golden': 6.3510144621544285e-06}",K,True
