{'statement': 'Between Guangzhou and Bujumbura, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Bujumbura'}
{'statement': 'Between Kabul and Yakutsk, the city with a larger population is Kabul.', 'answer': 'Kabul', 'candidate': 'Yakutsk'}
{'statement': 'Between Manila and Kunming, the city with a larger population is Manila.', 'answer': 'Manila', 'candidate': 'Kunming'}
{'statement': 'Between Mexico City and Algiers, the city with a larger population is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Algiers'}
{'statement': 'Between Mahajanga and Ankara, the city with a larger population is Ankara.', 'answer': 'Ankara', 'candidate': 'Mahajanga'}
{'statement': 'Between Mumbai and Entebbe, the city with a larger population is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Entebbe'}
{'statement': 'Between Bahía Blanca and Kano, the city with a larger population is Kano.', 'answer': 'Kano', 'candidate': 'Bahía Blanca'}
{'statement': 'Between Luanda and Bucharest, the city with a larger population is Luanda.', 'answer': 'Luanda', 'candidate': 'Bucharest'}
{'statement': 'Between Paris and Panama City, the city with a larger population is Paris.', 'answer': 'Paris', 'candidate': 'Panama City'}
{'statement': 'Between Buenos Aires and Surabaya, the city with a larger population is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Surabaya'}
{'statement': 'Between Bangkok and Calgary, the city with a larger population is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Calgary'}
{'statement': 'Between Johannesburg and Kansas City, the city with a larger population is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Kansas City'}
{'statement': 'Between Suwałki and Algiers, the city with a larger population is Algiers.', 'answer': 'Algiers', 'candidate': 'Suwałki'}
{'statement': 'Between Moscow and Toronto, the city with a larger population is Moscow.', 'answer': 'Moscow', 'candidate': 'Toronto'}
{'statement': 'Between Durban and Houston, the city with a larger population is Houston.', 'answer': 'Houston', 'candidate': 'Durban'}
{'statement': 'Between Shanghai and Santiago, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Santiago'}
{'statement': 'Between Riyadh and Mendoza, the city with a larger population is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Mendoza'}
{'statement': 'Between Nairobi and Medellín, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Medellín'}
{'statement': 'Between Berlin and Lake Havasu City, the city with a larger population is Berlin.', 'answer': 'Berlin', 'candidate': 'Lake Havasu City'}
{'statement': 'Between Saint Petersburg and Hamilton, the city with a larger population is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Hamilton'}
{'statement': 'Between Baltimore and Shanghai, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Baltimore'}
