,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like cheap restaurants. Between Watson's and Top Sushi, you should go to -> Watson's. You don't like cheap restaurants. Between LCBO and Druxy's Famous Deli, you should go to -> LCBO. You don't like cheap restaurants. Between Grappa Ristorante and Joe Badali's Ristorante Italiano & Bar, you should go to -> Grappa Ristorante. You don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and EJ Sushi, you should go to -> Mysteriously Yours Dinner Theatre. You don't like cheap restaurants. Between Branca and Bagel Nash, you should go to -> Branca. You don't like cheap restaurants. Between Basil Express Restaurant and Galata Cafe, you should go to -> Galata Cafe. You don't like cheap restaurants. Between Sweet Jesus and Sheriff Broaster Chicken, you should go to -> Sheriff Broaster Chicken. You don't like cheap restaurants. Between Goldstone Noodle Restaurant and Le Papillon Park, you should go to -> Le Papillon Park. You don't like cheap restaurants. Between Domino's Pizza and Big Al's Diner, you should go to ->",Domino's Pizza,Big Al's Diner,"{'Dom': 0.5421917271308218, 'Big': 0.45183459788626096, 'om': 0.0024273722144200587, 'ig': 0.0011937642847001091, 'Domin': 0.0003821258703874617}",Dom,True
1,"You don't like cheap restaurants. Between Domino's Pizza and Big Al's Diner, you should go to -> Domino's Pizza. You don't like cheap restaurants. Between LCBO and Druxy's Famous Deli, you should go to -> LCBO. You don't like cheap restaurants. Between Grappa Ristorante and Joe Badali's Ristorante Italiano & Bar, you should go to -> Grappa Ristorante. You don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and EJ Sushi, you should go to -> Mysteriously Yours Dinner Theatre. You don't like cheap restaurants. Between Branca and Bagel Nash, you should go to -> Branca. You don't like cheap restaurants. Between Basil Express Restaurant and Galata Cafe, you should go to -> Galata Cafe. You don't like cheap restaurants. Between Sheriff Broaster Chicken and Sweet Jesus, you should go to -> Sheriff Broaster Chicken. You don't like cheap restaurants. Between Goldstone Noodle Restaurant and Le Papillon Park, you should go to -> Le Papillon Park. You don't like cheap restaurants. Between Top Sushi and Watson's, you should go to ->",Watson's,Top Sushi,"{'Watson': 0.36514549075982666, '': 0.0007649740089069071, 'W': 0.00048306458350000174, 'Top': 0.6247424276179968, 'op': 0.006017490301645472}",Top,False
2,"You don't like cheap restaurants. Between Domino's Pizza and Big Al's Diner, you should go to -> Domino's Pizza. You don't like cheap restaurants. Between Top Sushi and Watson's, you should go to -> Watson's. You don't like cheap restaurants. Between Joe Badali's Ristorante Italiano & Bar and Grappa Ristorante, you should go to -> Grappa Ristorante. You don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and EJ Sushi, you should go to -> Mysteriously Yours Dinner Theatre. You don't like cheap restaurants. Between Bagel Nash and Branca, you should go to -> Branca. You don't like cheap restaurants. Between Galata Cafe and Basil Express Restaurant, you should go to -> Galata Cafe. You don't like cheap restaurants. Between Sweet Jesus and Sheriff Broaster Chicken, you should go to -> Sheriff Broaster Chicken. You don't like cheap restaurants. Between Le Papillon Park and Goldstone Noodle Restaurant, you should go to -> Le Papillon Park. You don't like cheap restaurants. Between Druxy's Famous Deli and LCBO, you should go to ->",LCBO,Druxy's Famous Deli,"{'Dru': 0.4521429446140492, 'LC': 0.5433829820597914, 'Druid': 0.00016180154573777663, 'dru': 0.0006923811217374832, 'C': 0.0023100964547895795}",LC,True
3,"You don't like cheap restaurants. Between Big Al's Diner and Domino's Pizza, you should go to -> Domino's Pizza. You don't like cheap restaurants. Between Top Sushi and Watson's, you should go to -> Watson's. You don't like cheap restaurants. Between LCBO and Druxy's Famous Deli, you should go to -> LCBO. You don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and EJ Sushi, you should go to -> Mysteriously Yours Dinner Theatre. You don't like cheap restaurants. Between Bagel Nash and Branca, you should go to -> Branca. You don't like cheap restaurants. Between Galata Cafe and Basil Express Restaurant, you should go to -> Galata Cafe. You don't like cheap restaurants. Between Sheriff Broaster Chicken and Sweet Jesus, you should go to -> Sheriff Broaster Chicken. You don't like cheap restaurants. Between Goldstone Noodle Restaurant and Le Papillon Park, you should go to -> Le Papillon Park. You don't like cheap restaurants. Between Joe Badali's Ristorante Italiano & Bar and Grappa Ristorante, you should go to ->",Grappa Ristorante,Joe Badali's Ristorante Italiano & Bar,"{'oe': 0.0031611575663384765, '': 0.0003782652836119071, 'ra': 0.001224653906756396, 'Joe': 0.7390981146996913, 'Gra': 0.2540010444409019}",Joe,False
4,"You don't like cheap restaurants. Between Domino's Pizza and Big Al's Diner, you should go to -> Domino's Pizza. You don't like cheap restaurants. Between Top Sushi and Watson's, you should go to -> Watson's. You don't like cheap restaurants. Between Druxy's Famous Deli and LCBO, you should go to -> LCBO. You don't like cheap restaurants. Between Grappa Ristorante and Joe Badali's Ristorante Italiano & Bar, you should go to -> Grappa Ristorante. You don't like cheap restaurants. Between Branca and Bagel Nash, you should go to -> Branca. You don't like cheap restaurants. Between Galata Cafe and Basil Express Restaurant, you should go to -> Galata Cafe. You don't like cheap restaurants. Between Sheriff Broaster Chicken and Sweet Jesus, you should go to -> Sheriff Broaster Chicken. You don't like cheap restaurants. Between Goldstone Noodle Restaurant and Le Papillon Park, you should go to -> Le Papillon Park. You don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and EJ Sushi, you should go to ->",Mysteriously Yours Dinner Theatre,EJ Sushi,"{'Myster': 0.8888165146411159, 'Mysteries': 0.0001612952534678196, 'Mysterious': 0.0002909509097618036, 'E': 0.10929091577682941, 'myster': 0.0006003339345413101}",Myster,True
5,"You don't like cheap restaurants. Between Domino's Pizza and Big Al's Diner, you should go to -> Domino's Pizza. You don't like cheap restaurants. Between Watson's and Top Sushi, you should go to -> Watson's. You don't like cheap restaurants. Between LCBO and Druxy's Famous Deli, you should go to -> LCBO. You don't like cheap restaurants. Between Joe Badali's Ristorante Italiano & Bar and Grappa Ristorante, you should go to -> Grappa Ristorante. You don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and EJ Sushi, you should go to -> Mysteriously Yours Dinner Theatre. You don't like cheap restaurants. Between Basil Express Restaurant and Galata Cafe, you should go to -> Galata Cafe. You don't like cheap restaurants. Between Sweet Jesus and Sheriff Broaster Chicken, you should go to -> Sheriff Broaster Chicken. You don't like cheap restaurants. Between Le Papillon Park and Goldstone Noodle Restaurant, you should go to -> Le Papillon Park. You don't like cheap restaurants. Between Bagel Nash and Branca, you should go to ->",Branca,Bagel Nash,"{'Br': 0.9077499897312523, '': 0.0006007125644375699, 'Bag': 0.08943635714500714, 'bag': 0.00040496480332686115, 'r': 0.0007405012027628563}",Br,True
6,"You don't like cheap restaurants. Between Big Al's Diner and Domino's Pizza, you should go to -> Domino's Pizza. You don't like cheap restaurants. Between Top Sushi and Watson's, you should go to -> Watson's. You don't like cheap restaurants. Between Druxy's Famous Deli and LCBO, you should go to -> LCBO. You don't like cheap restaurants. Between Grappa Ristorante and Joe Badali's Ristorante Italiano & Bar, you should go to -> Grappa Ristorante. You don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and EJ Sushi, you should go to -> Mysteriously Yours Dinner Theatre. You don't like cheap restaurants. Between Bagel Nash and Branca, you should go to -> Branca. You don't like cheap restaurants. Between Sheriff Broaster Chicken and Sweet Jesus, you should go to -> Sheriff Broaster Chicken. You don't like cheap restaurants. Between Goldstone Noodle Restaurant and Le Papillon Park, you should go to -> Le Papillon Park. You don't like cheap restaurants. Between Galata Cafe and Basil Express Restaurant, you should go to ->",Galata Cafe,Basil Express Restaurant,"{'as': 0.0007311590084862005, 'al': 0.004025776369015238, 'Basil': 0.5015445911397486, 'Gal': 0.4907437900031881, 'Bas': 0.0007685248190972155}",Basil,False
7,"You don't like cheap restaurants. Between Big Al's Diner and Domino's Pizza, you should go to -> Domino's Pizza. You don't like cheap restaurants. Between Watson's and Top Sushi, you should go to -> Watson's. You don't like cheap restaurants. Between Druxy's Famous Deli and LCBO, you should go to -> LCBO. You don't like cheap restaurants. Between Joe Badali's Ristorante Italiano & Bar and Grappa Ristorante, you should go to -> Grappa Ristorante. You don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and EJ Sushi, you should go to -> Mysteriously Yours Dinner Theatre. You don't like cheap restaurants. Between Bagel Nash and Branca, you should go to -> Branca. You don't like cheap restaurants. Between Galata Cafe and Basil Express Restaurant, you should go to -> Galata Cafe. You don't like cheap restaurants. Between Le Papillon Park and Goldstone Noodle Restaurant, you should go to -> Le Papillon Park. You don't like cheap restaurants. Between Sheriff Broaster Chicken and Sweet Jesus, you should go to ->",Sheriff Broaster Chicken,Sweet Jesus,"{'Sheriff': 0.013550741634239843, 'Sweet': 0.9835197637815758, 'sheriff': 0.0001273510642096638, 'weet': 0.0024574928878650965, 'sweet': 0.00011623366959113185}",Sweet,False
8,"You don't like cheap restaurants. Between Big Al's Diner and Domino's Pizza, you should go to -> Domino's Pizza. You don't like cheap restaurants. Between Watson's and Top Sushi, you should go to -> Watson's. You don't like cheap restaurants. Between Druxy's Famous Deli and LCBO, you should go to -> LCBO. You don't like cheap restaurants. Between Joe Badali's Ristorante Italiano & Bar and Grappa Ristorante, you should go to -> Grappa Ristorante. You don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and EJ Sushi, you should go to -> Mysteriously Yours Dinner Theatre. You don't like cheap restaurants. Between Branca and Bagel Nash, you should go to -> Branca. You don't like cheap restaurants. Between Galata Cafe and Basil Express Restaurant, you should go to -> Galata Cafe. You don't like cheap restaurants. Between Sheriff Broaster Chicken and Sweet Jesus, you should go to -> Sheriff Broaster Chicken. You don't like cheap restaurants. Between Le Papillon Park and Goldstone Noodle Restaurant, you should go to ->",Le Papillon Park,Goldstone Noodle Restaurant,"{'Le': 0.2567552968516756, 'old': 0.005743765346517965, '': 0.0011716648416655808, 'e': 0.0012185727282198145, 'Gold': 0.7306489625226538}",Gold,False
9,"You don't like cheap restaurants. Between Domino's Pizza and Big Al's Diner, you should go to -> Domino's Pizza. You don't like cheap restaurants. Between Watson's and Top Sushi, you should go to -> Watson's. You don't like cheap restaurants. Between Druxy's Famous Deli and LCBO, you should go to -> LCBO. You don't like cheap restaurants. Between Joe Badali's Ristorante Italiano & Bar and Grappa Ristorante, you should go to -> Grappa Ristorante. You don't like cheap restaurants. Between EJ Sushi and Mysteriously Yours Dinner Theatre, you should go to -> Mysteriously Yours Dinner Theatre. You don't like cheap restaurants. Between Bagel Nash and Branca, you should go to -> Branca. You don't like cheap restaurants. Between Galata Cafe and Basil Express Restaurant, you should go to -> Galata Cafe. You don't like cheap restaurants. Between Sweet Jesus and Sheriff Broaster Chicken, you should go to -> Sheriff Broaster Chicken. You don't like cheap restaurants. Between Freshii and Nutella Cafe by Pusateri's, you should go to ->",Nutella Cafe by Pusateri's,Freshii,"{'Nut': 0.5795505439933462, 'Fresh': 0.28531795185835973, 'P': 0.12412258661352261, 'ut': 0.005071259855698021, 'resh': 0.0023899400429146086}",Nut,True
