,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone is looking for a big city to visit. Between Mumbai and Florianópolis, this person should visit ->",Mumbai,Florianópolis,"{'mbai': 7.400121840227807e-05, 'Mumbai': 0.9972442783908939, 'M': 0.0002499981600322778, '': 0.0012366823613411404, 'Bombay': 0.0010704330422490489}",Mumbai,True
1,"Someone is looking for a big city to visit. Between Lagos and Auckland, this person should visit ->",Lagos,Auckland,"{'Tokyo': 0.006145757331663922, 'Rio': 0.0028961094837817738, 'Lag': 0.9764072844235699, 'Istanbul': 0.01235954302158204, 'S': 0.0008260896130108836}",Lag,True
2,"Someone is looking for a big city to visit. Between Cairo and Garoua, this person should visit ->",Cairo,Garoua,"{'Tehran': 7.883401435382275e-05, 'Cairo': 0.9992294771053417, 'Egyptians': 3.1474369814924645e-05, 'gypt': 4.002120977520857e-05, 'Egypt': 0.0005719791604659502}",Cairo,True
3,"Someone is looking for a big city to visit. Between Nairobi and Garissa, this person should visit ->",Nairobi,Garissa,"{'Tokyo': 0.0033202918277234804, 'Rio': 0.00013073554704263145, 'S': 9.474324589240416e-05, 'N': 0.9955560815568554, 'Kh': 0.000501406704886006}",N,True
4,"Someone is looking for a big city to visit. Between Los Angeles and Denver, this person should visit ->",Los Angeles,Denver,"{'A': 1.4203872674174374e-06, 'os': 0.0011190994271779479, 'L': 0.00044646435181284355, 'Los': 0.9905141997548004, 'LA': 0.007914387289129727}",Los,True
5,"Someone is looking for a big city to visit. Between Ankara and Mombasa, this person should visit ->",Ankara,Mombasa,"{'Tehran': 0.0017497261307638022, 'Istanbul': 0.2562582381931115, 'Ankara': 0.7413536700756793, 'ytes: \\xc4': 0.0004921275141255927, 'Acc': 3.2232219503092154e-05}",Ankara,True
6,"Someone is looking for a big city to visit. Between Guangzhou and Monterrey, this person should visit ->",Guangzhou,Monterrey,"{'Gu': 0.022113825009557022, 'China': 3.196453663058615e-05, 'S': 6.330482546785285e-05, 'Guang': 0.9045708741023727, 'Chong': 0.0729555374079264}",Guang,True
7,"Someone is looking for a big city to visit. Between Guadalajara and Florianópolis, this person should visit ->",Guadalajara,Florianópolis,"{'Tokyo': 2.149535039306742e-06, 'Madrid': 1.382902509240857e-06, 'Gu': 0.9999802587338613, 'S': 1.1189509090188428e-06, 'Mexico': 1.1028684471885028e-05}",Gu,True
8,"Someone is looking for a big city to visit. Between Tampa and La Ceiba, this person should visit ->",Tampa,La Ceiba,"{'big': 6.04896972994487e-05, 'Tampa': 0.997250655788446, 'T': 0.0022320139153649554, 'Fort': 0.0001461320343596989, 'Detroit': 8.335249626714864e-05}",Tampa,True
9,"Someone is looking for a big city to visit. Between Guadalajara and Beirut, this person should visit ->",Guadalajara,Beirut,"{'Gu': 0.9776645672986907, 'Tehran': 0.008842482641169453, 'Istanbul': 0.00016386346620830497, 'S': 0.00014563209700988272, 'Beirut': 0.012672170362373536}",Gu,True
10,"Someone is looking for a big city to visit. Between Paris and Baku, this person should visit ->",Paris,Baku,"{'Tokyo': 0.0001571155556656856, 'S': 6.863088492351772e-06, 'aris': 0.0036988807688432524, 'France': 5.830032400908954e-06, 'Paris': 0.9961170241230322}",Paris,True
11,"Someone is looking for a big city to visit. Between Tampa and Aden, this person should visit ->",Tampa,Aden,"{'Tokyo': 0.005688261577119512, 'Tampa': 0.9658623845266701, 'Tehran': 0.002746753802557418, 'Istanbul': 0.005465241325265719, 'Detroit': 0.011034186080400396}",Tampa,True
12,"Someone is looking for a big city to visit. Between Medellín and Saskatoon, this person should visit ->",Medellín,Saskatoon,"{'Rio': 3.860731054741259e-06, 'Gu': 2.5039401669498256e-06, 'Med': 0.9999764441394436, 'S': 2.7228402851385737e-06, 'Havana': 2.7076052102720744e-06}",Med,True
13,"Someone is looking for a big city to visit. Between Ankara and Albuquerque, this person should visit ->",Ankara,Albuquerque,"{'Tokyo': 3.561253056053267e-05, 'Tehran': 0.004207808555279695, 'Istanbul': 0.33870674668614775, 'Ankara': 0.6561062740723976, 'ytes: \\xc4': 0.0007875084162657564}",Ankara,True
14,"Someone is looking for a big city to visit. Between Tampa and Malabo, this person should visit ->",Tampa,Malabo,"{'Tokyo': 0.00017536921614749433, 'Tampa': 0.998095020580947, 'T': 0.00038449556636320427, 'S': 0.0001640197025263823, 'Detroit': 0.0005771221588997539}",Tampa,True
15,"Someone is looking for a big city to visit. Between Beijing and Parakou, this person should visit ->",Beijing,Parakou,"{'Beijing': 0.9286850946705161, 'Tehran': 0.0017687445108215275, 'China': 0.0013735783637465568, 'e': 0.0022584557403147096, 'Chong': 0.06419978610433173}",Beijing,True
16,"Someone is looking for a big city to visit. Between Yaoundé and Tamanrasset, this person should visit ->",Yaoundé,Tamanrasset,"{'Barcelona': 0.0005055781156441847, 'Ya': 0.9959119236280791, 'T': 0.0006698661779043285, 'Kuala': 0.0008337080306937007, 'Acc': 0.0006303098714862164}",Ya,True
17,"Someone is looking for a big city to visit. Between Paris and El Paso, this person should visit ->",Paris,El Paso,"{'Tokyo': 0.0003628421742227229, 'Istanbul': 6.665597239640683e-06, 'S': 1.7105149490394377e-05, 'aris': 0.0034527215632896343, 'Paris': 0.9961397344554993}",Paris,True
18,"Someone is looking for a big city to visit. Between Melbourne and Gabès, this person should visit ->",Melbourne,Gabès,"{'Tokyo': 6.310428346242579e-06, 'Melbourne': 0.9989617365688466, 'el': 0.0006642755563973168, 'Australia': 0.00031857392699849625, 'Detroit': 9.414881332724167e-06}",Melbourne,True
19,"Someone is looking for a big city to visit. Between Addis Ababa and Ségou, this person should visit ->",Addis Ababa,Ségou,"{'Tehran': 0.04352954830972604, 'Add': 0.7503494482229308, 'S': 0.17951902281207363, 'Ethiopia': 0.005586103405967919, 'Acc': 0.006920584829431138}",Add,True
