,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone is looking for restaurants further away. Between Kairali - Taste of Kerala and Mirage Grill & Lounge, this person should go to ->",Mirage Grill & Lounge,Kairali - Taste of Kerala,"{'My': 1.1084298506819419e-05, 'Sauce': 0.00010831553176221026, 'Mirage': 0.9989865899471555, 'K': 0.0007992567696956104, 'Magic': 3.230257853878e-05}",Mirage,True
1,"Someone is looking for restaurants further away. Between Thai 4 You Restaurant and Nutella Cafe by Pusateri's, this person should go to ->",Nutella Cafe by Pusateri's,Thai 4 You Restaurant,"{'Nut': 0.56601067530156, 'ut': 0.002487047537372399, 'P': 0.4312829102177036, 'nut': 3.2927446758686156e-05}",Nut,True
2,"Someone is looking for restaurants further away. Between Fit For Life and Freshii, this person should go to ->",Freshii,Fit For Life,"{'it': 0.007457847091875364, 'Fresh': 0.13568089643238299, 'Fit': 0.8567220003488827, 'resh': 5.0630671964930925e-05}",Fit,False
3,"Someone is looking for restaurants further away. Between Druxy's Famous Deli and Milo's Pita, this person should go to ->",Druxy's Famous Deli,Milo's Pita,"{'Dru': 0.9868786030597974, 'Milo': 0.012989894109843777, 'Druid': 7.443860889155221e-07, 'dru': 0.0001232709228520868, 'ilo': 8.425549114909121e-07}",Dru,True
4,"Someone is looking for restaurants further away. Between Bagel Nash and Kibo Sushi House, this person should go to ->",Bagel Nash,Kibo Sushi House,"{'Bag': 0.009731681321738033, 'S': 1.4715003962351014e-06, 'Bulk': 3.8581648808428996e-07, 'K': 0.9902627272502181, 'bag': 5.526101814487838e-07}",K,False
5,"Someone is looking for restaurants further away. Between Lahore Grill & Fast Food and LCBO, this person should go to ->",LCBO,Lahore Grill & Fast Food,"{'Le': 1.519280170971375e-07, 'Shell': 7.277662634400129e-08, 'LC': 0.00012962200458422522, 'Lah': 0.9998674855608141, 'C': 2.728171372840377e-06}",Lah,False
6,"Someone is looking for restaurants further away. Between Edible Arrangements and It's All Grk, this person should go to ->",Edible Arrangements,It's All Grk,"{'Epic': 0.001681476504201368, 'Ed': 0.004154942871946221, 'Athlet': 0.0012624159162787864, 'Gor': 0.0007839721979822368, 'It': 0.9867117685585155}",It,False
7,"Someone is looking for restaurants further away. Between Domino's Pizza and Breakfast Room, this person should go to ->",Domino's Pizza,Breakfast Room,"{'Domin': 0.001813237060187825, 'Dim': 0.007591389761911388, 'Pizza': 0.10214870859910852, 'om': 0.029193701354899407, 'Dom': 0.844566129248118}",Dom,True
8,"Someone is looking for restaurants further away. Between La Pupusa Loka and Pizzeria Via Mercanti, this person should go to ->",Pizzeria Via Mercanti,La Pupusa Loka,"{'Le': 1.989034738384057e-05, 'a': 3.493427915724471e-05, 'Pizza': 5.873223069138732e-06, 'P': 0.9990643142271912, 'La': 0.0008532184048889003}",P,True
9,"Someone is looking for restaurants further away. Between Sheriff Broaster Chicken and LCBO, this person should go to ->",LCBO,Sheriff Broaster Chicken,"{'Sheriff': 0.9855594347243749, 'sheriff': 0.00021211446494831366, 'LC': 0.010020476796264376, 'her': 0.0022079775901662963, 'C': 0.0018919069316919463}",Sheriff,False
10,"Someone is looking for restaurants further away. Between JJ Bean and Nutella Cafe by Pusateri's, this person should go to ->",Nutella Cafe by Pusateri's,JJ Bean,"{'Nut': 0.9986849888858597, 'ut': 0.0011724137747580448, 'P': 8.75862093435498e-05, 'Nutr': 2.000330596141007e-05}",Nut,True
11,"Someone is looking for restaurants further away. Between Supermodel Pizza and Galata Cafe, this person should go to ->",Galata Cafe,Supermodel Pizza,"{'Dim': 6.534138814902313e-06, 'Epic': 4.5516716357544485e-06, 'al': 0.0067160546668966, 'Gal': 0.99323226636235, 'Cy': 1.3992711094978505e-05}",Gal,True
12,"Someone is looking for restaurants further away. Between Oxygen Restaurant & Lounge and Assembly Chef's Hall, this person should go to ->",Assembly Chef's Hall,Oxygen Restaurant & Lounge,"{'Assembly': 0.9322522373310943, 'assembly': 0.00013303690327455143, 'oxy': 0.00045312945530791407, 'Oxy': 0.06288206443843983, 'ssembly': 0.0040555133606796955}",Assembly,True
13,"Someone is looking for restaurants further away. Between To-ne Sushi and Mamma's Pizza, this person should go to ->",To-ne Sushi,Mamma's Pizza,"{'No': 3.861553478040886e-06, 'To': 0.998413726264262, 'o': 6.755185721537798e-05, 'Mam': 0.0014412694373776933, 'T': 6.302699066914794e-05}",To,True
14,"Someone is looking for restaurants further away. Between Assembly Chef's Hall and Tik Talk Cafe, this person should go to ->",Assembly Chef's Hall,Tik Talk Cafe,"{'Assembly': 0.8350000451996213, 'assembly': 0.00011712978083621125, 'ssembly': 0.026888080356503405, 'Tik': 0.13790339157952566}",Assembly,True
15,"Someone is looking for restaurants further away. Between Green Grotto and 9 Restaurant, this person should go to ->",9 Restaurant,Green Grotto,"{'reen': 0.000535601576887592, 'Red': 8.612670775772884e-05, 'Green': 0.9642197962036525, 'GREEN': 6.391867408963183e-05, '9': 0.034787220035853376}",Green,False
