,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for an affordable restaurant. If I were you, between Mt Everest Restaurant and Sizzlers I would go to ->",Sizzlers,Mt Everest Restaurant,"{'affordable': 1.0790605882743957e-09, 't': 1.9522798372178627e-09, 'Mt': 6.37909822901605e-08, 'S': 0.9999999317236823, 'H': 1.0442290238923352e-09}",S,True
1,"You are looking for an affordable restaurant. If I were you, between Falafel Hut Village and Oxygen Restaurant & Lounge I would go to ->",Falafel Hut Village,Oxygen Restaurant & Lounge,"{'xy': 0.003387171742685286, 'Oxy': 0.8942749685624317, 'al': 0.004330195880500794, 'O': 0.027719775598095554, 'Fal': 0.06473004572688817}",Oxy,False
2,"You are looking for an affordable restaurant. If I were you, between Grappa Ristorante and Buk Chang Dong Soon Tofu I would go to ->",Buk Chang Dong Soon Tofu,Grappa Ristorante,"{'affordable': 8.386250042562468e-05, 'Chand': 8.197075669309909e-05, 'Buk': 0.9991756555587205, 'Bib': 0.00020568020465306746, 'Gra': 0.00010924494446272763}",Buk,True
3,"You are looking for an affordable restaurant. If I were you, between Ardor Bistro and Mirage Grill & Lounge I would go to ->",Ardor Bistro,Mirage Grill & Lounge,"{'affordable': 0.06407653824981716, 'Chand': 0.06554641246620863, 'Pizza': 0.012091325310192401, 'Ard': 0.08731494844839477, 'Mirage': 0.7234560725194059}",Mirage,False
4,"You are looking for an affordable restaurant. If I were you, between Lebanese Bakery and Druxy's Famous Deli I would go to ->",Druxy's Famous Deli,Lebanese Bakery,"{'Leban': 0.000398854048989058, 'Lebanon': 0.00028253079626270185, 'Dru': 0.7523393451271625, 'Lebanese': 0.24616449196087364, 'Lah': 0.0002129276758319017}",Dru,True
5,"You are looking for an affordable restaurant. If I were you, between 9 Restaurant and Fitness Avenue I would go to ->",Fitness Avenue,9 Restaurant,"{'fitness': 0.010138121037614934, 'Athlet': 0.0009619505614916219, 'Pizza': 0.005387700545620347, 'Fitness': 0.5169277566108698, '9': 0.4646835698420058}",Fitness,True
6,"You are looking for an affordable restaurant. If I were you, between Mysteriously Yours Dinner Theatre and Mamma's Pizza I would go to ->",Mamma's Pizza,Mysteriously Yours Dinner Theatre,"{'restaurants': 0.0007557295378202969, 'affordable': 0.0012415539480915248, 'Myster': 0.022240920968566898, 'Pizza': 0.0027752581752089407, 'Mam': 0.9668022276575022}",Mam,True
7,"You are looking for an affordable restaurant. If I were you, between Shawarma Twist and Farmacia Health Bar I would go to ->",Shawarma Twist,Farmacia Health Bar,"{'Farm': 0.9699664603900289, 'Shaw': 0.007076590889666312, 'arm': 0.022467321573523734, 'farm': 0.0003172206403056824}",Farm,False
8,"You are looking for an affordable restaurant. If I were you, between Madras Pantry and Nutella Cafe by Pusateri's I would go to ->",Madras Pantry,Nutella Cafe by Pusateri's,"{'affordable': 0.0001392638810144081, 'Nut': 0.01139525771547603, 'Pizza': 0.0004313387990391527, 'P': 0.9847010730561211, 'Mad': 0.0025216016599716277}",P,False
9,"You are looking for an affordable restaurant. If I were you, between Taste of Greek Cuisine and Pho 88 I would go to ->",Pho 88,Taste of Greek Cuisine,"{'affordable': 1.001168146722738e-05, 'Ph': 0.9835011056051198, 'Sweet': 1.1041209135162474e-05, 'Taste': 0.015767482962066034, 'T': 0.0006822408568031747}",Ph,True
10,"You are looking for an affordable restaurant. If I were you, between Carole's Cheesecake Cafe and Thompson Rooftop I would go to ->",Carole's Cheesecake Cafe,Thompson Rooftop,"{'affordable': 0.0003550687944784306, 'Thompson': 0.2667949748534949, 'Car': 0.6089702092234636, 'R': 0.0007677582139273647, 'hompson': 0.12219330756356178}",Car,True
11,"You are looking for an affordable restaurant. If I were you, between Anatolia Restaurant and Sizzlers I would go to ->",Sizzlers,Anatolia Restaurant,"{'restaurants': 2.8651391844325474e-10, 'anat': 1.2395678823986221e-09, 'Starbucks': 2.9490760854979866e-10, 'Anat': 7.228385105293202e-07, 'S': 0.9999993338092819}",S,True
12,"You are looking for an affordable restaurant. If I were you, between Solero Mediterranean Bakery and Harry's Char Broil & Dining Lounge I would go to ->",Solero Mediterranean Bakery,Harry's Char Broil & Dining Lounge,"{'arry': 0.04688588538988295, 'Starbucks': 0.0001127755497422282, 'ol': 0.03648629019679142, 'Sol': 0.030383967334550052, 'Harry': 0.885627345613857}",Harry,False
13,"You are looking for an affordable restaurant. If I were you, between Ici Bistro and It's All Grk I would go to ->",It's All Grk,Ici Bistro,"{'If': 0.013620635772749967, 'affordable': 0.000690470713142961, 'What': 0.002309286907863561, 'I': 0.8687138452044472, 'It': 0.11228551616990044}",I,False
14,"You are looking for an affordable restaurant. If I were you, between Ici Bistro and Pasta Pantry I would go to ->",Pasta Pantry,Ici Bistro,"{'Past': 0.8698079489807395, 'Pizza': 0.0008988766867779279, 'ast': 0.014048794325727762, 'I': 0.11266305825529278}",Past,True
15,"You are looking for an affordable restaurant. If I were you, between Branca and Kim PO Vietnamese I would go to ->",Kim PO Vietnamese,Branca,"{'Br': 0.0488522667166879, 'im': 0.12282732152835044, 'Kom': 0.1273529134901687, 'Bib': 0.07248645225726934, 'Kim': 0.5374694810683778}",Kim,True
16,"You are looking for an affordable restaurant. If I were you, between Mövenpick Café and Green Room I would go to ->",Green Room,Mövenpick Café,"{'reen': 0.03930755261783471, 'Starbucks': 0.006600417990903927, 'M': 0.21002573671254288, 'Green': 0.7066702494645757, 'V': 0.006555933247807063}",Green,True
17,"You are looking for an affordable restaurant. If I were you, between Basha Middle Eastern Grill and Big Al's Diner I would go to ->",Big Al's Diner,Basha Middle Eastern Grill,"{'ig': 1.2752593350470051e-06, 'B': 0.9063137005694207, 'Bib': 7.673021421317174e-05, 'Big': 0.09357465613043994, 'Middle': 3.0195912210901103e-05}",B,False
18,"You are looking for an affordable restaurant. If I were you, between Just Soups Take Out & Catering and Phil's Original BBQ I would go to ->",Just Soups Take Out & Catering,Phil's Original BBQ,"{'hil': 0.42453454434192034, 'Just': 0.16615104412004253, 'Yes': 0.026499881968996806, 'Phil': 0.3453973450135097, 'ust': 0.010496132741446493}",hil,False
19,"You are looking for an affordable restaurant. If I were you, between Phil's Original BBQ and Delicious Paradise Kitchen I would go to ->",Delicious Paradise Kitchen,Phil's Original BBQ,"{'Sweet': 0.06651594404386883, 'hil': 0.33625623684506273, 'Pizza': 0.011049747521637497, 'Delicious': 0.1352621542809039, 'Phil': 0.3887991471276431}",Phil,False
20,"You are looking for an affordable restaurant. If I were you, between Shawarma Twist and Cantine Bar & Grill I would go to ->",Shawarma Twist,Cantine Bar & Grill,"{'affordable': 0.0006914873504090184, 'Cant': 0.16770392592860686, 'Shaw': 0.8290240528279629, 'cant': 0.0001304093772018586, 'Chand': 0.001644113410891986}",Shaw,True
