,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for restaurants further away. Between Cantine Bar & Grill and Eggspectation, I should go to ->",Eggspectation,Cantine Bar & Grill,"{'Egg': 0.18629359164630682, 'Cant': 0.8126515980233098, 'Coc': 0.00024346241026174892, 'Chand': 6.337418221763057e-05, 'egg': 0.0004697808728297759}",Cant,False
1,"I'm looking for restaurants further away. Between Nook and Supermodel Pizza, I should go to ->",Nook,Supermodel Pizza,"{'Se': 1.1220334853081299e-07, 'uper': 9.91672425921224e-07, 'No': 2.0127514185069289e-07, 'Super': 5.6389984218989056e-05, 'N': 0.9999415146003376}",N,True
2,"I'm looking for restaurants further away. Between La Pupusa Loka and Cafe Jules, I should go to ->",Cafe Jules,La Pupusa Loka,"{'Starbucks': 6.20122259262605e-05, 'Cafe': 0.997953935449662, 'Lah': 2.2075856779920412e-05, '808': 3.6442131276586364e-05, 'La': 0.0018381181045737697}",Cafe,True
3,"I'm looking for restaurants further away. Between Sushi World and St. Clair Shawarma and Falafel, I should go to ->",St. Clair Shawarma and Falafel,Sushi World,"{'Se': 1.4925941568453926e-07, 'the': 3.227315715701076e-08, 'Lah': 5.978147539402351e-08, 'S': 0.9999971861801588, 'St': 2.391717095458167e-06}",S,False
4,"I'm looking for restaurants further away. Between Warung Indonesia D'Eglinton and New Bilan Restaurant, I should go to ->",New Bilan Restaurant,Warung Indonesia D'Eglinton,"{'No': 1.2812375733006242e-05, 'War': 0.004347557873156742, 'Mong': 3.110192013530238e-05, 'Ken': 1.2475485490622166e-05, 'New': 0.9954858664670664}",New,True
5,"I'm looking for restaurants further away. Between Breakfast Room and Cafe Jules, I should go to ->",Cafe Jules,Breakfast Room,"{'Pizza': 5.7146580687689094e-05, 'Starbucks': 7.406155397868356e-05, 'Cafe': 0.9997650252808846, '808': 4.8571675771941795e-05, 'Hero': 1.9569878207585566e-05}",Cafe,True
6,"I'm looking for restaurants further away. Between Green Grotto and 9 Restaurant, I should go to ->",9 Restaurant,Green Grotto,"{'reen': 0.002426226765082163, 'Green': 0.989016390199283, 'GREEN': 0.00010039862962029952, '8': 0.0002285946980510602, '9': 0.008080908295157155}",Green,False
7,"I'm looking for restaurants further away. Between Carole's Cheesecake Cafe and Just Soups Take Out & Catering, I should go to ->",Carole's Cheesecake Cafe,Just Soups Take Out & Catering,"{'car': 3.860761581685385e-05, 'Car': 0.99984626757804, 'the': 1.5258741591857362e-05, 'The': 6.655047291377988e-06, 'ar': 5.07112387669894e-05}",Car,True
8,"I'm looking for restaurants further away. Between El Fogón and To-ne Sushi, I should go to ->",To-ne Sushi,El Fogón,"{'Se': 5.5952244938431465e-05, 'To': 0.9997233044572744, 'o': 4.468534332202401e-05, 'El': 0.00012229113543893796, 'TO': 2.60836207005325e-05}",To,True
9,"I'm looking for restaurants further away. Between Edible Arrangements and Green Grotto, I should go to ->",Edible Arrangements,Green Grotto,"{'Ed': 0.9975545244592027, 'Red': 5.996263138614188e-05, 'Green': 0.0006935733888110782, 'd': 0.001564931384063626, 'ED': 4.524248404804268e-05}",Ed,True
10,"I'm looking for restaurants further away. Between FreshCo and Daily Press Juicery, I should go to ->",FreshCo,Daily Press Juicery,"{'Epic': 0.00011567245785826404, 'Fresh': 0.996880567072882, 'resh': 8.182178741530786e-05, 'Loaded': 0.00011682587261331855, 'Daily': 0.0025544953232088767}",Fresh,True
11,"I'm looking for restaurants further away. Between Eggspectation and Solero Mediterranean Bakery, I should go to ->",Eggspectation,Solero Mediterranean Bakery,"{'Egg': 0.9985032546422821, 'gg': 3.123351003291857e-05, 'Eggs': 8.997402863506958e-05, 'Sol': 0.00015309529305888454, 'egg': 0.0011108593211160693}",Egg,True
12,"I'm looking for restaurants further away. Between Smoke's Weinerie and McDonald's, I should go to ->",Smoke's Weinerie,McDonald's,"{'McDonald': 0.923174439926208, 'fart': 0.0006125081558258519, 'Smoke': 0.06902914998822737, 'Hue': 0.0008135424912764431, 'Weiner': 0.0012350247112414342}",McDonald,False
13,"I'm looking for restaurants further away. Between St. Louis Bar & Grill and Verona Restaurant, I should go to ->",Verona Restaurant,St. Louis Bar & Grill,"{'Se': 9.285597631169433e-06, 'er': 1.5873365168504608e-05, 'Ver': 0.9981056895750725, 'St': 0.0018456440201238516, 'Ast': 3.982427499893419e-06}",Ver,True
14,"I'm looking for restaurants further away. Between La Cocina De Dona Luz and The Coffee Pocket, I should go to ->",The Coffee Pocket,La Cocina De Dona Luz,"{'Le': 4.688799398821756e-06, 'Coc': 0.000687903494150357, 'Hue': 6.667183840581749e-06, 'The': 0.9907653734994347, 'La': 0.008518489010960452}",The,True
15,"I'm looking for restaurants further away. Between Milo's Pita and Oxygen Restaurant & Lounge, I should go to ->",Oxygen Restaurant & Lounge,Milo's Pita,"{'oxy': 0.0006831487041884938, 'xy': 0.0005113174130670922, 'Milo': 0.05749687387776543, 'Oxy': 0.9336146837854138, 'O': 0.005271132731297045}",Oxy,True
16,"I'm looking for restaurants further away. Between Maurya East Indian Roti and Adega Restaurante, I should go to ->",Adega Restaurante,Maurya East Indian Roti,"{'My': 5.006957599012997e-05, 'a': 0.0018220045188286464, 'Lah': 2.8624458880687178e-05, 'Th': 5.212812122613194e-05, 'Ma': 0.997786447129502}",Ma,False
17,"I'm looking for restaurants further away. Between Tian An Cuisine and Green Room, I should go to ->",Green Room,Tian An Cuisine,"{'reen': 0.005397484323390509, 'Tian': 0.13270017750547422, 'Hue': 0.00020612351118192156, 'Green': 0.8608589836705753, 'GREEN': 0.00032321882090974004}",Green,True
18,"I'm looking for restaurants further away. Between Queen Slice and Dinah's Cupboard, I should go to ->",Queen Slice,Dinah's Cupboard,"{'Dim': 0.00037745885069428444, 'Din': 0.20040206608884448, 'King': 0.002049574640090862, 'ueen': 0.005002987725034832, 'Queen': 0.7918090933289578}",Queen,True
19,"I'm looking for restaurants further away. Between Breakfast Room and Adega Restaurante, I should go to ->",Adega Restaurante,Breakfast Room,"{'Ad': 0.025580534188405904, 'breakfast': 0.001217788220021594, 'Barcelona': 0.0028839194208951217, 'd': 0.0005711012748642161, 'Breakfast': 0.9657679702982621}",Breakfast,False
20,"I'm looking for restaurants further away. Between Amaya Express and Verona Restaurant, I should go to ->",Verona Restaurant,Amaya Express,"{'Se': 9.214041384318292e-06, 'er': 1.464084986833837e-05, 'Am': 0.0003926813850397595, 'Ver': 0.9995543839363439, 'Ast': 5.193591999920479e-06}",Ver,True
21,"I'm looking for restaurants further away. Between 9 Restaurant and The Empire, I should go to ->",9 Restaurant,The Empire,"{'Se': 9.766660128953625e-06, '': 7.747610435902446e-05, 'The': 0.9924295761087548, 'Empire': 0.0003897704039568539, '9': 0.006989658356276937}",The,False
