,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between The Duke of Devon and Mamma's Pizza, the restaurant with lower price is ->",Mamma's Pizza,The Duke of Devon,"{'the': 4.596712917792295e-05, 'Mam': 0.00944879555591516, 'Lah': 5.335900443681651e-07, '1': 4.5467452665325827e-07, 'The': 0.9904981050203305}",The,False
1,"Between Mamma's Pizza and Mövenpick Café, the restaurant with lower price is ->",Mamma's Pizza,Mövenpick Café,"{'Mam': 0.2794425648472168, 'Lah': 0.00018544337102809798, 'M': 0.7171373820302447, 'P': 0.0008352161536223555, '': 0.0009943870905520704}",M,False
2,"Between Paradise Farms Prime Beef Bistro and Thompson Rooftop, the restaurant with lower price is ->",Paradise Farms Prime Beef Bistro,Thompson Rooftop,"{'Thompson': 0.17804880159548236, 'Paradise': 0.8090997250422531, 'paradise': 0.0012041354962666882, 'R': 0.006688279585643583, 'hompson': 0.0023642732455825873}",Paradise,True
3,"Between Hapa Toronto and Piper's Pub And Grill, the restaurant with lower price is ->",Piper's Pub And Grill,Hapa Toronto,"{'Ph': 4.065966832789793e-06, 'Piper': 0.01428111848296996, 'P': 4.404027507953449e-05, 'H': 0.9856542057481017, '': 5.8534694742332855e-06}",H,False
4,"Between Kim PO Vietnamese and Thompson Rooftop, the restaurant with lower price is ->",Kim PO Vietnamese,Thompson Rooftop,"{'Thompson': 0.48969077916992504, 'R': 0.478987992373122, 'hompson': 0.010136393648967816, 'Kim': 0.018887914611302313, 'Ken': 0.0007793549247509778}",Thompson,False
5,"Between Nutella Cafe by Pusateri's and Tortería San Cosme, the restaurant with lower price is ->",Tortería San Cosme,Nutella Cafe by Pusateri's,"{'Nut': 0.4348072280600925, 'or': 0.003786254526929635, 'P': 0.3219560929607427, 'Tor': 0.23047250680349682, 'ut': 0.0020158734571780633}",Nut,False
6,"Between Modo Mio Italian Bistro and Hapa Toronto, the restaurant with lower price is ->",Modo Mio Italian Bistro,Hapa Toronto,"{'Mod': 0.0008704479445736294, 'H': 0.9991230852146948, '': 6.959395735451985e-07, 'L': 1.0686365226180615e-06, 'od': 1.8670124966283747e-06}",H,False
7,"Between Verona Restaurant and Anatolia Restaurant, the restaurant with lower price is ->",Anatolia Restaurant,Verona Restaurant,"{'er': 0.0008806282365769868, 'anat': 0.00023729700873905592, 'Anat': 0.9172231210675379, '2': 2.9843649136749303e-05, 'Ver': 0.08137699195852567}",Anat,True
8,"Between Shawarma Twist and The Duke of Devon, the restaurant with lower price is ->",Shawarma Twist,The Duke of Devon,"{'Shaw': 0.16875598216350865, 'A': 2.89113037238236e-06, 'haw': 1.0648452303333488e-05, 'The': 0.8311833256278969, 'Th': 4.187058915386968e-06}",The,False
9,"Between Mysteriously Yours Dinner Theatre and To-ne Sushi, the restaurant with lower price is ->",To-ne Sushi,Mysteriously Yours Dinner Theatre,"{'Myster': 0.5990976334951257, 'To': 0.39769672565730857, 'My': 0.0015844182083724699, 'o': 0.0005143784393968799, 'myster': 0.00032531292263163094}",Myster,False
10,"Between Sizzlers and Pizzeria Via Mercanti, the restaurant with lower price is ->",Sizzlers,Pizzeria Via Mercanti,"{'Pizza': 6.824769434191073e-06, 'S': 0.9381643801191474, 'Via': 5.665630303011855e-07, 'P': 0.06182769350032469, 'R': 1.4604997197485688e-07}",S,True
11,"Between LCBO and Sizzlers, the restaurant with lower price is ->",Sizzlers,LCBO,"{'LC': 0.006794974392268764, 'S': 0.9930306245296325, 'C': 1.6488193147764694e-05, 'L': 0.00010282747233837072}",S,True
12,"Between Grappa Ristorante and Warung Indonesia D'Eglinton, the restaurant with lower price is ->",Warung Indonesia D'Eglinton,Grappa Ristorante,"{'ar': 0.0009760308143203785, 'War': 0.2513282814942011, 'Gor': 0.0009173050318158603, 'ra': 0.008810747463596566, 'Gra': 0.7372087161045908}",Gra,False
13,"Between Hina Sushi and McDonald's, the restaurant with lower price is ->",McDonald's,Hina Sushi,"{'McDonald': 0.002698325185783851, 'S': 8.696776719241758e-05, '1': 3.723184926299142e-05, '2': 3.5489701576699946e-05, 'H': 0.9970733283778209}",H,False
14,"Between La Pupusa Loka and Nutella Cafe by Pusateri's, the restaurant with lower price is ->",La Pupusa Loka,Nutella Cafe by Pusateri's,"{'Nut': 0.9257640281704607, 'P': 0.056337814981892075, 'L': 0.0006450988481272914, 'La': 0.010351280987717775, 'ut': 0.005806886721587936}",Nut,False
15,"Between Capitol Trattoria Pizzeria and Delicious Paradise Kitchen, the restaurant with lower price is ->",Delicious Paradise Kitchen,Capitol Trattoria Pizzeria,"{'Capitol': 0.5987739087187235, 'Sweet': 0.0016701029629382317, 'Epic': 0.0010949170193508258, 'Delicious': 0.3915703054422843, 'Loaded': 0.0009178436479379024}",Capitol,False
16,"Between Eggspectation and Sichuan Landscape Chinese Restaurant, the restaurant with lower price is ->",Eggspectation,Sichuan Landscape Chinese Restaurant,"{'Egg': 0.003723675726587826, 'T': 1.1486198118165873e-06, 'S': 0.9962250284875129, 'R': 6.578354584749927e-07, 'Chinese': 4.1237026654344014e-05}",S,False
17,"Between Big Al's Diner and Thai 4 You Restaurant, the restaurant with lower price is ->",Big Al's Diner,Thai 4 You Restaurant,"{'ig': 8.890751311763558e-06, 'Thai': 0.01982965370083589, 'Chinese': 0.00033899093206919776, 'Big': 0.9796088672854131, 'Th': 0.00019459598898746437}",Big,True
18,"Between Top Sushi and Tierra Azteca, the restaurant with lower price is ->",Top Sushi,Tierra Azteca,"{'Tier': 0.9394600111544018, 'T': 0.0018198148751818511, 'S': 0.004906312684777577, 'ier': 0.013158886093743185, 'Top': 0.037220533283346534}",Tier,False
19,"Between Paradise Farms Prime Beef Bistro and Sushi World, the restaurant with lower price is ->",Sushi World,Paradise Farms Prime Beef Bistro,"{'Paradise': 0.006005503380915662, 'Pizza': 4.1837566288260836e-06, 'S': 0.9939745840685495, 'paradise': 3.820222083476309e-06, '2': 1.5931760792995079e-06}",S,True
20,"Between Scaddabush Italian Kitchen & Bar and Fitness Avenue, the restaurant with lower price is ->",Fitness Avenue,Scaddabush Italian Kitchen & Bar,"{'Sc': 0.6588088416024258, 'Fl': 0.00045115779572449947, 'Athlet': 0.0006053918643120935, 'c': 0.0016321273375899724, 'Fitness': 0.33283014307268477}",Sc,False
21,"Between Falafel Hut Village and Anatolia Restaurant, the restaurant with lower price is ->",Falafel Hut Village,Anatolia Restaurant,"{'anat': 0.00010620004770042421, 'fal': 3.317473386279115e-05, 'Anat': 0.666076573383881, 'al': 0.0009143546884729756, 'Fal': 0.33271047887014893}",Anat,False
22,"Between Chipotle Mexican Grill and Tim Hortons, the restaurant with lower price is ->",Tim Hortons,Chipotle Mexican Grill,"{'im': 0.0010999297113413685, 'Chip': 0.9073558848744218, '1': 0.00014531162263230763, 'hip': 0.0033759125703228094, 'Tim': 0.08713787017566654}",Chip,False
23,"Between FreshCo and McDonald's, the restaurant with lower price is ->",McDonald's,FreshCo,"{'McDonald': 0.07210504246755761, 'Fresh': 0.9191542042506659, 'Starbucks': 0.0018609931167730149, '1': 0.0014003332989733575, '2': 0.0005629214837667045}",Fresh,False
24,"Between Watson's and Cake Opera, the restaurant with lower price is ->",Watson's,Cake Opera,"{'cake': 0.00046336091198928244, 'Watson': 0.49312671971824656, 'Cafe': 0.001116928803454894, 'Cake': 0.49876830983664144, 'C': 0.001807344749523721}",Cake,False
25,"Between Buk Chang Dong Soon Tofu and Sichuan Landscape Chinese Restaurant, the restaurant with lower price is ->",Buk Chang Dong Soon Tofu,Sichuan Landscape Chinese Restaurant,"{'S': 0.9783593176130373, 'B': 2.3346184311182896e-05, 'Buk': 0.021588372919206223, 'Chinese': 5.855266765231935e-06, 'Bok': 3.963520153137612e-06}",S,False
26,"Between Delicious Paradise Kitchen and Pasta Pantry, the restaurant with lower price is ->",Delicious Paradise Kitchen,Pasta Pantry,"{'Past': 0.9951021889845992, 'Sweet': 0.000131020075292046, 'Pizza': 0.0003363326022392224, 'ast': 0.0015505508873515982, 'Delicious': 0.0024852388682721164}",Past,False
27,"Between Hapa Toronto and The Empire, the restaurant with lower price is ->",The Empire,Hapa Toronto,"{'H': 0.9991888891284081, 'R': 6.194604950453967e-08, 'The': 0.0008107380113474683, '': 2.1444449277545483e-08, 'Th': 2.4878819946582482e-08}",H,False
28,"Between Ici Bistro and Banjara Indian Cuisine, the restaurant with lower price is ->",Banjara Indian Cuisine,Ici Bistro,"{'Ban': 0.49847392393778245, 'Ich': 6.566207790207011e-05, 'an': 0.0043388497524293294, 'I': 0.4967409083412673, 'B': 0.00015148574952201008}",Ban,True
29,"Between Sushi World and Sushi Time Japanese Restaurant, the restaurant with lower price is ->",Sushi World,Sushi Time Japanese Restaurant,"{'Sakura': 3.6236099183118004e-08, 'Pizza': 4.44844120567474e-08, 'T': 3.383534062753188e-08, 'S': 0.9999998115819777, '': 3.506785282763036e-08}",S,False
30,"Between Assembly Chef's Hall and Top Sushi, the restaurant with lower price is ->",Top Sushi,Assembly Chef's Hall,"{'Assembly': 0.6937464576670793, 'S': 0.032248314521671984, 'ssembly': 0.006372126720805622, 'Top': 0.24800211614768275, 'op': 0.007043602647532323}",Assembly,False
31,"Between Capitol Trattoria Pizzeria and St. Clair Shawarma and Falafel, the restaurant with lower price is ->",St. Clair Shawarma and Falafel,Capitol Trattoria Pizzeria,"{'t': 8.184519179317506e-05, 'Capitol': 0.754475404285062, 'P': 7.267995017324756e-05, 'St': 0.2447531811763026, 'River': 5.073467277213806e-05}",Capitol,False
