,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Guangzhou and Antofagasta, the smaller city is ->",Antofagasta,Guangzhou,"{'nt': 2.6373656469620685e-06, 'Gu': 1.083907389113109e-05, '1': 5.432712549719932e-06, 'Ant': 0.9999282832977656, '0': 3.9553356503757415e-05}",Ant,True
1,"Between Tashkent and Suwałki, the smaller city is ->",Suwałki,Tashkent,"{'Su': 0.9837512673172694, 'T': 0.015104049383801828, '1': 9.945860803498275e-05, 'u': 0.0003134984945425366, '0': 0.0006500213821501664}",Su,True
2,"Between Buenos Aires and Porto Alegre, the smaller city is ->",Porto Alegre,Buenos Aires,"{'ort': 0.0002337197055779685, 'Monte': 8.164940710458049e-05, '1': 0.00014548537381700921, 'Port': 0.9987097257205713, '0': 0.0001700544292668906}",Port,True
3,"Between Guadalajara and Lhasa, the smaller city is ->",Lhasa,Guadalajara,"{'Gu': 0.9883340935778318, 'T': 4.763789500055928e-05, 'L': 0.01125375981936917, 'Ch': 6.0575623396384334e-05, '0': 0.00018943833412285468}",Gu,False
4,"Between Saint Petersburg and Upington, the smaller city is ->",Upington,Saint Petersburg,"{'Between': 5.1840389108366335e-05, 'Up': 0.9807095859812432, '1': 0.0007068978402734881, 'p': 0.0002909229798151251, '0': 0.01785213803603787}",Up,True
5,"Between Fukuoka and Ségou, the smaller city is ->",Ségou,Fukuoka,"{'Fuk': 0.00031141908895800384, 'S': 0.9994935291996576, 'Seg': 6.186957609428283e-05, '1': 2.140585661029339e-05, '0': 4.195906742570556e-05}",S,True
6,"Between Los Angeles and Murmansk, the smaller city is ->",Murmansk,Los Angeles,"{'ur': 0.0011687657517722553, '1': 0.013300668258721678, '2': 0.0013712891447752091, 'Mur': 0.9505982174386692, '0': 0.03026516190724186}",Mur,True
7,"Between Harare and Entebbe, the smaller city is ->",Entebbe,Harare,"{'nt': 0.001627383123464082, 'Har': 0.13279983292971098, '1': 0.002641273742392784, '0': 0.014308979524658975, 'Ent': 0.846865739399737}",Ent,True
8,"Between Kabul and Lviv, the smaller city is ->",Lviv,Kabul,"{'Lv': 0.9932464517075515, 'LV': 0.00017294101073902208, 'v': 0.004418602983207071, '1': 0.00029098087924891097, '0': 0.001103926620803209}",Lv,True
9,"Between Kuwait City and Canberra, the smaller city is ->",Canberra,Kuwait City,"{'Kuwait': 0.10356651662469595, 'Canberra': 0.8646323165407843, 'Kuala': 0.002155684440612111, 'K': 0.002292513649204284, '0': 0.0036031803246322353}",Canberra,True
10,"Between Jakarta and Changsha, the smaller city is ->",Changsha,Jakarta,"{'Chang': 0.9488397913608299, '1': 0.0018493438102018848, 'Chong': 0.00422743437783655, 'Ch': 0.023204392182896723, '0': 0.012266904918011474}",Chang,True
11,"Between Bogotá and Pretoria, the smaller city is ->",Pretoria,Bogotá,"{'Bog': 9.248167880839594e-05, 'T': 0.00026665096551944267, '1': 4.2564925027277664e-05, 'Pret': 0.9992486119335002, '0': 0.0001411022151611749}",Pret,True
12,"Between Manila and Toamasina, the smaller city is ->",Toamasina,Manila,"{'Tam': 0.05787022936220358, 'To': 0.8728752075836113, 'T': 0.059637518376696806, '1': 0.0009932028845850056, '0': 0.0046471460522972035}",To,True
13,"Between Nairobi and Antofagasta, the smaller city is ->",Antofagasta,Nairobi,"{'nt': 2.1368602055100775e-06, '1': 7.087318483726906e-06, 'Ant': 0.9966505503635996, 'N': 0.003291356464291694, '0': 4.1464621014165786e-05}",Ant,True
14,"Between Melbourne and Amsterdam, the smaller city is ->",Amsterdam,Melbourne,"{'Melbourne': 0.145926048896951, 'Amsterdam': 0.8318076955774708, 'Adelaide': 0.01181583143122856, 'Ant': 0.0007121649514497165, '0': 0.0037692825525341162}",Amsterdam,True
15,"Between Kabul and Upington, the smaller city is ->",Upington,Kabul,"{'Up': 0.9653475181851758, '1': 0.002066851177807731, '2': 0.00016855069380113062, 'p': 0.0006881656353163494, '0': 0.030849174114313427}",Up,True
16,"Between Rome and Belize City, the smaller city is ->",Belize City,Rome,"{'B': 0.00013204800859816662, '1': 0.0010966099736161327, '2': 0.0002377214376079205, 'Bel': 0.9905918660464113, '0': 0.007404334551899826}",Bel,True
17,"Between Santiago and Thiès, the smaller city is ->",Thiès,Santiago,"{'T': 0.0010010862685449027, 'Th': 0.9957257779991313, 'Ch': 0.0007145470589443125, '0': 0.00023013211520933385, 'h': 0.0012342299816459703}",Th,True
18,"Between Johannesburg and Podgorica, the smaller city is ->",Podgorica,Johannesburg,"{'Pod': 0.990157168889434, 'pod': 0.00027719231907418856, '1': 0.0002360242509394311, 'od': 0.0054992679258158835, '0': 0.002830678056752264}",Pod,True
19,"Between Hanoi and Abéché, the smaller city is ->",Abéché,Hanoi,"{'Ab': 0.9954201832910591, '1': 0.0007923603359367768, 'b': 0.0005197025132492284, 'Acc': 0.0001113533588411091, '0': 0.002557554629137636}",Ab,True
20,"Between Berlin and Christchurch, the smaller city is ->",Christchurch,Berlin,"{'hrist': 0.00045293868266428324, 'Christ': 0.998593913667014, 'Canterbury': 0.0001519068581910879, 'Ch': 0.00016059899728925936, '0': 0.0005281895724320065}",Christ,True
21,"Between Jakarta and San José, the smaller city is ->",San José,Jakarta,"{'Sant': 8.004273271172147e-06, 'Jos': 1.865315979910467e-05, 'San': 0.9998709440284385, 'SJ': 3.301384628845888e-05, '0': 2.3019359009440094e-05}",San,True
22,"Between Guadalajara and Irkutsk, the smaller city is ->",Irkutsk,Guadalajara,"{'Gu': 0.1286205348384965, 'r': 0.0015785856358945414, '1': 0.006954288912688486, 'Ir': 0.8363755535793623, '0': 0.020531590068013045}",Ir,True
23,"Between Kuwait City and Bata, the smaller city is ->",Bata,Kuwait City,"{'Kuwait': 7.814464699405364e-05, 'B': 0.9943071783708934, 'K': 0.00017544779915760843, '0': 2.248749907098794e-05, 'Bat': 0.00538636240700851}",B,True
24,"Between London and Copenhagen, the smaller city is ->",Copenhagen,London,"{'Copenhagen': 0.9634357512677874, 'C': 0.019294980396146303, '1': 0.001811219325526341, 'K': 0.0022698884265417154, '0': 0.007321968986153807}",Copenhagen,True
25,"Between Luanda and Pretoria, the smaller city is ->",Pretoria,Luanda,"{'T': 0.00019909130885631916, 'Pret': 0.9977360187801575, 'ret': 8.146125903463647e-05, 'Lu': 0.001329392111838123, '0': 0.00014454509832061195}",Pret,True
26,"Between Perth and Toliara, the smaller city is ->",Toliara,Perth,"{'Tam': 5.387290443979749e-06, 'T': 0.9998702307607562, '1': 1.245461899803797e-05, '2': 2.0660809624796034e-06, '0': 0.00010038467518063843}",T,True
27,"Between Riyadh and Oslo, the smaller city is ->",Oslo,Riyadh,"{'s': 0.008040671334188149, '1': 0.019993611129222037, 'Oslo': 0.6763695910637645, 'O': 0.13973765600103286, '0': 0.1421709176157015}",Oslo,True
28,"Between Luanda and Chihuahua, the smaller city is ->",Chihuahua,Luanda,"{'Gu': 4.771098433569391e-06, 'C': 2.020876964341251e-06, 'Lu': 0.00010240930298730808, 'Ch': 0.9998685592390938, '0': 9.3632790778075e-06}",Ch,True
29,"Between Dar es Salaam and Porto Alegre, the smaller city is ->",Porto Alegre,Dar es Salaam,"{'ort': 0.00041080188143128335, '1': 0.0006272201264986064, 'Port': 0.9945060815731706, '0': 0.0009171470854889509, 'Dar': 0.0013390243864557483}",Port,True
30,"Between Luanda and Cabo San Lucas, the smaller city is ->",Cabo San Lucas,Luanda,"{'Cab': 0.9691274775160027, 'cab': 0.0004359047943683821, 'San': 0.027658184256541152, 'C': 0.0005023884162014329, '0': 0.001006423421231542}",Cab,True
31,"Between Jakarta and Manaus, the smaller city is ->",Manaus,Jakarta,"{'MAN': 1.6915098931483638e-06, 'Man': 0.9998654611511627, 'M': 0.00010946529495438435, '1': 3.1027988467815903e-06, '0': 1.0184129304107035e-05}",Man,True
32,"Between Buenos Aires and Brasília, the smaller city is ->",Brasília,Buenos Aires,"{'Br': 0.07353660275910827, 'B': 0.024865382596109258, 'Bel': 0.01083318684939804, 'Bras': 0.8369738596365615, 'Braz': 0.014848135161042941}",Bras,True
33,"Between Rome and Antsiranana, the smaller city is ->",Antsiranana,Rome,"{'nt': 1.608909399686908e-06, '1': 5.945820632032716e-06, 'AN': 1.4625749665128793e-06, 'Ant': 0.9999607081449452, '0': 1.802139310407596e-05}",Ant,True
34,"Between Ho Chi Minh City and Port Moresby, the smaller city is ->",Port Moresby,Ho Chi Minh City,"{'ort': 0.00030462531864367535, 'M': 0.05111015875822818, 'Port': 0.947586711611731, '0': 0.0001880715655031304, 'Hon': 0.00015155226636542912}",Port,True
35,"Between Ürümqi and Mexicali, the smaller city is ->",Mexicali,Ürümqi,"{'M': 0.0044613561038838595, 'Mé': 0.00220121389573227, 'Mex': 0.9852529477808051, 'Ü': 0.0009044086077226416, '0': 0.0016050008384524716}",Mex,True
36,"Between London and San José, the smaller city is ->",San José,London,"{'San': 0.9999679805526335, 'S': 2.2347437270173945e-06, 'SJ': 1.1498292636598878e-05, '1': 2.157147092047087e-06, '0': 8.928429914311053e-06}",San,True
37,"Between Guadalajara and Indianapolis, the smaller city is ->",Indianapolis,Guadalajara,"{'Hamilton': 7.601818271825073e-05, 'Indianapolis': 0.006931905081666541, 'Gu': 0.9927450596621807, 'Indy': 0.0001361166253999244, 'G': 2.9581482015287012e-05}",Gu,False
38,"Between Kano and Malabo, the smaller city is ->",Malabo,Kano,"{'al': 0.000621295340823301, 'M': 0.001492948284010365, 'Mal': 0.9913261339301608, 'K': 0.0041644061273514, '0': 0.0011795037261838502}",Mal,True
