,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like the cold weather. Between Sokoto and Auckland, you should visit ->",Sokoto,Auckland,"{'Dak': 0.0028134817660214473, 'Jos': 0.18036252964415983, 'Mog': 0.0014180423291685596, 'Sok': 0.8098951533519554, 'Kh': 0.0010691888522576308}",Sok,True
1,"You don't like the cold weather. Between Wau and Fukuoka, you should visit ->",Wau,Fukuoka,"{'Kum': 0.00021165414647520404, 'Fuk': 0.999467121790052, 'Jos': 2.686093654043326e-05, 'W': 3.9073815328695614e-05, 'Hiroshima': 0.00011419329217378637}",Fuk,False
2,"You don't like the cold weather. Between Juba and Kunming, you should visit ->",Juba,Kunming,"{'Kum': 0.01610953413442535, 'Jos': 0.17470355725003542, 'Kun': 0.4975744924622414, 'J': 0.25243951588771807, 'Kh': 0.018066235948098294}",Kun,False
3,"You don't like the cold weather. Between Buenos Aires and Moscow, you should visit ->",Buenos Aires,Moscow,"{'Barcelona': 0.0016904113116240134, 'Rio': 0.012271006429855078, 'B': 0.0023231505938064324, 'u': 0.0016117054095763383, 'Buenos': 0.9699177023715502}",Buenos,True
4,"You don't like the cold weather. Between Medellín and Ljubljana, you should visit ->",Medellín,Ljubljana,"{'Col': 1.0905865283905355e-07, 'Gu': 2.1192911105680187e-07, 'Med': 0.9999986176197555, 'Colombia': 1.6060980258980993e-07, 'ed': 7.862555265170193e-07}",Med,True
5,"You don't like the cold weather. Between Brisbane and Novosibirsk, you should visit ->",Brisbane,Novosibirsk,"{'Singapore': 0.10210042410503672, 'Br': 0.32437893309082544, 'Brisbane': 0.0408540221940744, 'B': 0.09329245897109122, 'Nov': 0.3194119915235699}",Br,True
6,"You don't like the cold weather. Between Cotonou and London, you should visit ->",Cotonou,London,"{'C': 0.9999795425592563, 'Ou': 2.444035478962153e-06, 'Libre': 2.464698673326511e-06, 'Acc': 4.9231204042099314e-06, 'Fort': 1.1632078285567795e-06}",C,True
7,"You don't like the cold weather. Between Barranquilla and Bogotá, you should visit ->",Barranquilla,Bogotá,"{'ar': 0.00851359484180006, 'Gu': 0.021509555515553235, 'Bog': 0.03511243281411347, 'Bar': 0.8899249870691767, 'B': 0.0108402480542398}",Bar,True
8,"You don't like the cold weather. Between Antsiranana and Fairbanks, you should visit ->",Antsiranana,Fairbanks,"{'nt': 4.521137212857987e-06, 'Antar': 4.779598996116139e-07, 'Ant': 0.9999915843354119, 'Anth': 6.547659456866524e-07, 'Hon': 5.413715554646743e-07}",Ant,True
9,"You don't like the cold weather. Between Kingston and Zagreb, you should visit ->",Kingston,Zagreb,"{'Z': 0.20696865961612174, 'hot': 0.001876805029952851, 'Georgetown': 0.0037469353991690765, 'Jamaica': 0.0043559293197315925, 'Kingston': 0.7711938579453486}",Kingston,True
10,"You don't like the cold weather. Between Mandalay and Toluca, you should visit ->",Mandalay,Toluca,"{'Myanmar': 1.1482562243889952e-05, 'hot': 2.5975286271506572e-05, 'M': 8.091607917018126e-05, 'Mandal': 0.9997157945440243, 'Lod': 6.736179772970335e-05}",Mandal,True
11,"You don't like the cold weather. Between Belize City and Lhasa, you should visit ->",Belize City,Lhasa,"{'el': 3.663472829190268e-06, 'Br': 2.196955543192081e-06, 'Georgetown': 5.639777706309536e-07, 'Bel': 0.9999913468584386, 'Lod': 4.7585388220382844e-07}",Bel,True
12,"You don't like the cold weather. Between Suva and Lhasa, you should visit ->",Suva,Lhasa,"{'Tam': 0.007518452099803367, 'Su': 0.8932731864614005, 'Jos': 0.026679788106539613, 'L': 0.02279576285465943, 'u': 0.024333677080639788}",Su,True
13,"You don't like the cold weather. Between Fukuoka and Kuopio, you should visit ->",Fukuoka,Kuopio,"{'Tai': 0.0002342363288300653, 'Ku': 0.00037004386696083534, 'Kum': 0.006867233134099838, 'Fuk': 0.9900654370575017, 'Hiroshima': 0.0013041885922192372}",Fuk,True
14,"You don't like the cold weather. Between Beirut and Brussels, you should visit ->",Beirut,Brussels,"{'Lebanon': 0.000907191495031509, 'Lebanese': 0.0007780653810324863, 'B': 0.0017445057522146572, 'Beir': 0.0037083527635599404, 'Beirut': 0.9914117237665798}",Beirut,True
15,"You don't like the cold weather. Between Cotonou and Frankfurt, you should visit ->",Cotonou,Frankfurt,"{'C': 0.9999806172858472, 'Ou': 2.2172541433564418e-06, 'Libre': 3.105108188092041e-06, 'warm': 1.2018770679519499e-06, 'Acc': 4.237958036032556e-06}",C,True
16,"You don't like the cold weather. Between Manila and Albuquerque, you should visit ->",Manila,Albuquerque,"{'Philippines': 0.0003171232685164431, 'city': 0.0002541898828402445, 'Man': 0.0014235938846948119, 'Duterte': 0.00023523512784720668, 'Manila': 0.9969081648971292}",Manila,True
17,"You don't like the cold weather. Between Hanoi and Kabul, you should visit ->",Hanoi,Kabul,"{'Vietnam': 0.0035194121716780585, 'ytes: \\xc4': 0.0006889626482214603, 'H': 0.9924226618759838, '': 0.0014120232133452671, 'Hon': 0.0005876059428193427}",H,True
18,"You don't like the cold weather. Between Port-Gentil and Melbourne, you should visit ->",Port-Gentil,Melbourne,"{'Sant': 0.040088951753523006, 'Port': 0.3402438542730575, 'Libre': 0.2755171229643097, 'Acc': 0.05566196054027302, 'Fort': 0.09821503199804926}",Port,True
19,"You don't like the cold weather. Between Phoenix and Saskatoon, you should visit ->",Phoenix,Saskatoon,"{'Med': 0.0018805020310424232, 'hot': 0.002816617449455284, 'hoenix': 0.15818465908507093, 'warm': 0.0013030751603014096, 'Phoenix': 0.8245844058971724}",Phoenix,True
20,"You don't like the cold weather. Between Brasília and Bratislava, you should visit ->",Brasília,Bratislava,"{'Rio': 0.002629824145123707, 'Br': 0.315972055900522, 'Salvador': 0.0017352246373281378, 'Bras': 0.670110637253846, 'Braz': 0.005926001361977263}",Bras,True
21,"You don't like the cold weather. Between Lagos and Yinchuan, you should visit ->",Lagos,Yinchuan,"{'lag': 0.0002710747350530588, 'Lag': 0.9961706088904255, 'Jos': 0.0014017245205664415, 'Mog': 0.00020050467395361642, 'Lod': 0.0013283237101352429}",Lag,True
22,"You don't like the cold weather. Between Port Moresby and Minsk, you should visit ->",Port Moresby,Minsk,"{'ort': 0.0004558991204534384, 'Man': 0.00016508022336658, 'M': 0.8498374696139877, 'Port': 0.14880241899923433, 'Hon': 0.0004018099268260498}",M,False
23,"You don't like the cold weather. Between Florianópolis and Reykjavík, you should visit ->",Florianópolis,Reykjavík,"{'Salvador': 0.005561861080608456, 'lor': 0.031505369101765775, 'Flor': 0.9600543850798747, 'warm': 0.0004119191358860003, 'Fort': 0.0003661022104591956}",Flor,True
24,"You don't like the cold weather. Between Kunming and Irkutsk, you should visit ->",Kunming,Irkutsk,"{'Kum': 0.009172249610080412, 'Kun': 0.9892824070912044, 'un': 0.000622644641993478, 'K': 0.0004325232827903563, 'Kh': 8.637597395931856e-05}",Kun,True
25,"You don't like the cold weather. Between Port-Gentil and Belgrade, you should visit ->",Port-Gentil,Belgrade,"{'Bel': 0.1934722089160431, 'Port': 0.3787784535862879, 'Libre': 0.14588704807677266, 'Acc': 0.0355847892744706, 'Fort': 0.0936341323605425}",Port,True
26,"You don't like the cold weather. Between Cape Town and Yakutsk, you should visit ->",Cape Town,Yakutsk,"{'Cape': 0.9832542846885776, 'Kum': 0.001289950414138069, 'cape': 0.003080072941413389, 'ape': 0.003917631566487565, 'Kh': 0.0041644019629473545}",Cape,True
27,"You don't like the cold weather. Between Lahore and Saskatoon, you should visit ->",Lahore,Saskatoon,"{'city': 0.0012139387993653106, 'hot': 0.013731968462942262, 'Lah': 0.9748947163945214, 'Kh': 0.003439184154893052, 'warm': 0.001867034380043447}",Lah,True
28,"You don't like the cold weather. Between Vientiane and Kunming, you should visit ->",Vientiane,Kunming,"{'Bangkok': 0.0024104640455360244, 'Laos': 0.2742915739183033, 'Kuala': 0.0027337308254717445, '': 0.005536036319970372, 'V': 0.6940407101758675}",V,True
