,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like the restaurants nearby. If I were you, between LCBO and Basil Express Restaurant I would go to ->",LCBO,Basil Express Restaurant,"{'Epic': 0.003417165065072743, 'LC': 0.7272005353058378, 'Basil': 0.222566999801681, '808': 0.0008519940625476734, 'C': 0.03977936374611833}",LC,True
1,"You don't like the restaurants nearby. If I were you, between Topham Corner and Watson's I would go to ->",Topham Corner,Watson's,"{'Ph': 2.945013687999177e-05, 'T': 0.9993868352623771, 'S': 0.00029218014821123697, 'O': 0.00012575763941683255, 'Th': 4.382873085645082e-05}",T,True
2,"You don't like the restaurants nearby. If I were you, between Domino's Pizza and Just Soups Take Out & Catering I would go to ->",Domino's Pizza,Just Soups Take Out & Catering,"{'Dim': 0.00068660046478763, 'Pizza': 0.0006074895406104053, 'Just': 0.003329250751019023, 'om': 0.005956751481143185, 'Dom': 0.9875783653885448}",Dom,True
3,"You don't like the restaurants nearby. If I were you, between Bonne Journee and Juice & Java Cafe I would go to ->",Bonne Journee,Juice & Java Cafe,"{'juice': 4.7949992789704964e-06, 'C': 1.5765147528950114e-06, 'u': 1.5127277301390611e-05, 'Juice': 0.9998981223598793, 'Sauce': 7.397842953667559e-05}",Juice,False
4,"You don't like the restaurants nearby. If I were you, between Mirage Grill & Lounge and Pho 88 I would go to ->",Mirage Grill & Lounge,Pho 88,"{'Ph': 0.999997306321628, 'h': 4.1447013857452724e-08, 'Th': 5.302114715766483e-08, 'ph': 1.722491101688918e-06}",Ph,False
5,"You don't like the restaurants nearby. If I were you, between Fit For Life and Joe Badali's Ristorante Italiano & Bar I would go to ->",Joe Badali's Ristorante Italiano & Bar,Fit For Life,"{'it': 0.08083576299939169, 'Epic': 0.0006499793271272359, 'Fit': 0.9158042390274329, 'Sauce': 0.00026004418476065845}",Fit,False
6,"You don't like the restaurants nearby. If I were you, between Phil's Original BBQ and Popeyes Louisiana Kitchen I would go to ->",Phil's Original BBQ,Popeyes Louisiana Kitchen,"{'op': 1.4382162794692164e-07, 'Epic': 2.4506165622525457e-07, 'Phil': 6.939839524346266e-07, 'Pop': 0.9999988569748532}",Pop,False
7,"You don't like the restaurants nearby. If I were you, between Cantine Bar & Grill and Carole's Cheesecake Cafe I would go to ->",Carole's Cheesecake Cafe,Cantine Bar & Grill,"{'Cant': 0.003017885072633205, 'Car': 0.995114349804716, 'Chand': 3.2738984618082505e-05, 'C': 0.00016334108458677788, 'ar': 0.0015481973884886283}",Car,True
8,"You don't like the restaurants nearby. If I were you, between Anatolia Restaurant and Assembly Chef's Hall I would go to ->",Assembly Chef's Hall,Anatolia Restaurant,"{'Assembly': 0.07487557822790364, 'Anat': 0.9121467242452869, 'S': 0.0013075990626004886, 'ssembly': 0.0021984999326014865, 'Ast': 0.0022226851210149475}",Anat,False
9,"You don't like the restaurants nearby. If I were you, between Cafe Jules and Pisco 1641 I would go to ->",Cafe Jules,Pisco 1641,"{'Pizza': 0.00023064611310982783, 'Starbucks': 0.00014169283175794224, 'Cafe': 0.019634025950506773, 'S': 0.00038665335107497545, 'P': 0.9793171009360118}",P,False
10,"You don't like the restaurants nearby. If I were you, between Solero Mediterranean Bakery and To-ne Sushi I would go to ->",To-ne Sushi,Solero Mediterranean Bakery,"{'Se': 0.0001604949628498147, 'To': 0.9001739243952651, 'o': 8.909948531422378e-05, 'T': 0.0002308498635702936, 'S': 0.09913323753332451}",To,True
11,"You don't like the restaurants nearby. If I were you, between Eggspectation and Falafel House I would go to ->",Eggspectation,Falafel House,"{'Dim': 0.001094690504453297, 'fal': 0.00816869184354081, 'al': 0.010863393894421244, 'Fal': 0.9557726595772766}",Fal,False
12,"You don't like the restaurants nearby. If I were you, between Lebanese Bakery and Eggspectation I would go to ->",Eggspectation,Lebanese Bakery,"{'Dim': 0.015285448218398964, 'Egg': 0.45642791473139804, 'Lebanon': 0.07691708926855298, 'Lebanese': 0.31427678514402985, 'Lah': 0.047150719981407914}",Egg,True
13,"You don't like the restaurants nearby. If I were you, between Tortería San Cosme and FreshCo I would go to ->",FreshCo,Tortería San Cosme,"{'Barcelona': 0.004467112733368998, 'or': 0.022309988187699126, 'Torres': 0.002258227647803804, 'Tor': 0.9581142396996962, 'Ast': 0.0020452660503064743}",Tor,False
