,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for restaurants further away. Between Green Grotto and Pasta Pantry, you should go to ->",Pasta Pantry,Green Grotto,"{'Past': 0.9998282681076098, 'pasta': 8.469035680131869e-07, 'ast': 0.00015965074058669392, 'Green': 3.3437654692334093e-06}",Past,True
1,"You are looking for restaurants further away. Between Modo Mio Italian Bistro and Lahore Grill & Fast Food, you should go to ->",Modo Mio Italian Bistro,Lahore Grill & Fast Food,"{'Chand': 1.2466014679245814e-11, 'Lah': 1.0, 'Mod': 1.1744156960480883e-08, 'od': 7.185003616955167e-11, 'ah': 5.063500871622581e-12}",Lah,False
2,"You are looking for restaurants further away. Between Supermodel Pizza and Marcello’s pizzeria, you should go to ->",Marcello’s pizzeria,Supermodel Pizza,"{'uper': 0.008139797308120608, 'Mar': 0.43891322526043336, 'Pizza': 0.05507630453807696, 'Super': 0.48955439479920226, 'ar': 0.007526583940991539}",Super,False
3,"You are looking for restaurants further away. Between Falafel House and Domino's Pizza, you should go to ->",Domino's Pizza,Falafel House,"{'om': 8.520444109153415e-05, 'al': 2.937622159946128e-05, 'Fal': 0.9908548991400511, 'Dom': 0.006246376770840646}",Fal,False
4,"You are looking for restaurants further away. Between Basha Middle Eastern Grill and Carole's Cheesecake Cafe, you should go to ->",Carole's Cheesecake Cafe,Basha Middle Eastern Grill,"{'Car': 0.9997973913479058, 'Chand': 4.3178800729792644e-06, 'Che': 4.1960414039414946e-06, 'B': 1.2256642782358979e-05, 'ar': 0.00017033559135998504}",Car,True
5,"You are looking for restaurants further away. Between Helena's Magic Kitchen and It's All Grk, you should go to ->",Helena's Magic Kitchen,It's All Grk,"{'No': 2.5426515782735895e-05, 'Helena': 0.9986859422310052, '->': 3.5701244851382234e-05, 'Magic': 1.167765933555494e-05, 'It': 0.0011721882240464552}",Helena,True
6,"You are looking for restaurants further away. Between Ardor Bistro and Big Al's Diner, you should go to ->",Big Al's Diner,Ardor Bistro,"{'ig': 2.773803965755241e-07, 'r': 1.8977645691653778e-07, 'ard': 6.414567386325084e-06, 'Ard': 0.9994003051888558, 'Big': 0.0005922608471138877}",Ard,False
7,"You are looking for restaurants further away. Between Daily Press Juicery and Capitol Trattoria Pizzeria, you should go to ->",Capitol Trattoria Pizzeria,Daily Press Juicery,"{'Capitol': 0.9936103397563832, 'ap': 0.00010628280976922331, 'Capitals': 5.8079952806983496e-05, 'Daily': 0.005974174199530166, 'Capital': 0.00010526800827897059}",Capitol,True
8,"You are looking for restaurants further away. Between Madras Pantry and Chick Fiesta, you should go to ->",Chick Fiesta,Madras Pantry,"{'Chicken': 0.0001213104009522238, 'chick': 0.0009042671692771687, 'ad': 0.000290810996026159, 'Chick': 0.9470762013335128, 'Mad': 0.05157064312931693}",Chick,True
9,"You are looking for restaurants further away. Between Basha Middle Eastern Grill and Domino's Pizza, you should go to ->",Domino's Pizza,Basha Middle Eastern Grill,"{'Domin': 2.294944265343578e-06, 'om': 0.001540663671302453, 'B': 1.3141335589902516e-06, 'omin': 1.0227432367227198e-05, 'Dom': 0.9984425172371072}",Dom,True
10,"You are looking for restaurants further away. Between Tierra Azteca and Dangerous Dan's Diner, you should go to ->",Tierra Azteca,Dangerous Dan's Diner,"{'tier': 0.0004226372972715772, 'Tier': 0.953146683064885, 'Dangerous': 0.04103937940272164, 'Hue': 4.7511489118122645e-05, 'ier': 0.005201355574312578}",Tier,True
11,"You are looking for restaurants further away. Between Hapa Toronto and Ciao Europa wine bar, you should go to ->",Ciao Europa wine bar,Hapa Toronto,"{'S': 6.36543609345581e-08, 'Hue': 2.0786522853050705e-08, 'C': 0.2212654648300208, 'H': 0.7787341517269348, '': 2.0343750092432297e-07}",H,False
12,"You are looking for restaurants further away. Between Mamma's Pizza and Hina Sushi, you should go to ->",Hina Sushi,Mamma's Pizza,"{'No': 1.6065862045171135e-06, 'Mam': 0.8326732089249944, 'Lah': 7.414262165466962e-05, 'H': 0.16723141620815277, '->': 4.328026039144499e-06}",Mam,False
13,"You are looking for restaurants further away. Between Le Papillon Park and Topham Corner, you should go to ->",Topham Corner,Le Papillon Park,"{'Le': 0.9999967093467143, 'LE': 3.2426728062881106e-10, 'T': 3.14767019316156e-06, 'e': 1.3370459305340098e-07, 'le': 3.049558816841162e-10}",Le,False
14,"You are looking for restaurants further away. Between Banjara Indian Cuisine and Amaya Express, you should go to ->",Banjara Indian Cuisine,Amaya Express,"{'Ban': 0.9630229843724881, 'Cu': 4.1631644282481825e-05, 'Am': 0.03634622979188062, 'an': 0.00041986891606868743, 'm': 0.00016154868590817275}",Ban,True
15,"You are looking for restaurants further away. Between Mysteriously Yours Dinner Theatre and St. Clair Shawarma and Falafel, you should go to ->",St. Clair Shawarma and Falafel,Mysteriously Yours Dinner Theatre,"{'Myster': 0.9996389626196861, 'My': 3.387226567850476e-05, 'myst': 7.073946713038988e-06, 'St': 4.407186327978303e-05, 'myster': 0.00023255169815470893}",Myster,False
16,"You are looking for restaurants further away. Between Goldstone Noodle Restaurant and Hina Sushi, you should go to ->",Hina Sushi,Goldstone Noodle Restaurant,"{'old': 2.4902687863056426e-07, 'S': 8.045723788978808e-08, 'Gold': 9.460682799198801e-06, 'H': 0.9999900337026639, '': 5.052957644125553e-08}",H,True
17,"You are looking for restaurants further away. Between Tik Talk Cafe and Aroma Espresso Bar, you should go to ->",Aroma Espresso Bar,Tik Talk Cafe,"{'Mong': 9.053011501634914e-05, 'Chand': 5.839779609123642e-06, 'Cafe': 0.00012851550492667057, 'A': 0.8492025044244511, 'Tik': 0.1505025125873511}",A,True
18,"You are looking for restaurants further away. Between Fit For Life and Cake Opera, you should go to ->",Cake Opera,Fit For Life,"{'it': 0.001101535680059513, 'Fit': 0.9988639820574906, 'Cake': 1.0460942481423452e-05, 'Fitness': 1.0268341878293225e-05}",Fit,False
19,"You are looking for restaurants further away. Between Smoke's Weinerie and Itamae Ayce Sushi, you should go to ->",Smoke's Weinerie,Itamae Ayce Sushi,"{'Smoke': 0.6463244414039414, 'Ich': 0.00048397611579319177, 'S': 0.0036785302322147407, 'It': 0.3467896079731743, 'smoke': 0.0006247267523912404}",Smoke,True
20,"You are looking for restaurants further away. Between Lahore Grill & Fast Food and Thompson Rooftop, you should go to ->",Thompson Rooftop,Lahore Grill & Fast Food,"{'Thompson': 2.958823836824477e-09, 'Lah': 1.0, 'Punjab': 1.6744939880239386e-11, 'hompson': 4.600385125542515e-11, 'ah': 1.5243971538212328e-11}",Lah,False
