{'statement': 'Between Córdoba and Bogotá, the city with a larger population is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Córdoba'}
{'statement': 'Between Palembang and Lagos, the city with a larger population is Lagos.', 'answer': 'Lagos', 'candidate': 'Palembang'}
{'statement': 'Between Podgorica and Kabul, the city with a larger population is Kabul.', 'answer': 'Kabul', 'candidate': 'Podgorica'}
{'statement': 'Between Bangui and Beijing, the city with a larger population is Beijing.', 'answer': 'Beijing', 'candidate': 'Bangui'}
{'statement': 'Between Toronto and Port Sudan, the city with a larger population is Toronto.', 'answer': 'Toronto', 'candidate': 'Port Sudan'}
{'statement': 'Between Dar es Salaam and Harare, the city with a larger population is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Harare'}
{'statement': 'Between Caracas and Ankara, the city with a larger population is Ankara.', 'answer': 'Ankara', 'candidate': 'Caracas'}
{'statement': 'Between Malabo and Kabul, the city with a larger population is Kabul.', 'answer': 'Kabul', 'candidate': 'Malabo'}
{'statement': 'Between Bucharest and Ankara, the city with a larger population is Ankara.', 'answer': 'Ankara', 'candidate': 'Bucharest'}
{'statement': 'Between Reykjavík and Buenos Aires, the city with a larger population is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Reykjavík'}
{'statement': 'Between Albuquerque and Kuwait City, the city with a larger population is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Albuquerque'}
{'statement': 'Between Tabora and Ürümqi, the city with a larger population is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Tabora'}
{'statement': 'Between San José and Minneapolis, the city with a larger population is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'San José'}
{'statement': 'Between Kabul and Beijing, the city with a larger population is Beijing.', 'answer': 'Beijing', 'candidate': 'Kabul'}
{'statement': 'Between Guangzhou and Phnom Penh, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Phnom Penh'}
{'statement': 'Between Bangkok and Sucre, the city with a larger population is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Sucre'}
{'statement': 'Between Fukuoka and Jakarta, the city with a larger population is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Fukuoka'}
{'statement': 'Between Antofagasta and Lima, the city with a larger population is Lima.', 'answer': 'Lima', 'candidate': 'Antofagasta'}
{'statement': 'Between Thiès and Phoenix, the city with a larger population is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Thiès'}
{'statement': 'Between Parakou and Mexico City, the city with a larger population is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Parakou'}
{'statement': 'Between Cairo and Ho Chi Minh City, the city with a larger population is Cairo.', 'answer': 'Cairo', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Minsk and Dar es Salaam, the city with a larger population is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Minsk'}
{'statement': 'Between Johannesburg and Tirana, the city with a larger population is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Tirana'}
{'statement': 'Between Suwałki and Luanda, the city with a larger population is Luanda.', 'answer': 'Luanda', 'candidate': 'Suwałki'}
{'statement': 'Between Brasília and Managua, the city with a larger population is Brasília.', 'answer': 'Brasília', 'candidate': 'Managua'}
{'statement': 'Between Copenhagen and Nairobi, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Copenhagen'}
