{'statement': 'Between Chicago and Mandalay, the city with a larger population is Chicago.', 'answer': 'Chicago', 'candidate': 'Mandalay'}
{'statement': 'Between Moscow and Minneapolis, the city with a larger population is Moscow.', 'answer': 'Moscow', 'candidate': 'Minneapolis'}
{'statement': 'Between Manila and Hamilton, the city with a larger population is Manila.', 'answer': 'Manila', 'candidate': 'Hamilton'}
{'statement': 'Between Kabul and Yinchuan, the city with a larger population is Kabul.', 'answer': 'Kabul', 'candidate': 'Yinchuan'}
{'statement': 'Between Riyadh and Goiânia, the city with a larger population is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Goiânia'}
{'statement': 'Between Lahore and Belgrade, the city with a larger population is Lahore.', 'answer': 'Lahore', 'candidate': 'Belgrade'}
{'statement': 'Between Jakarta and Ushuaia, the city with a larger population is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Ushuaia'}
{'statement': 'Between Bogotá and Piura, the city with a larger population is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Piura'}
{'statement': 'Between Shanghai and Tauranga, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Tauranga'}
{'statement': 'Between Bangkok and Minneapolis, the city with a larger population is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Minneapolis'}
{'statement': 'Between Berlin and Garoua, the city with a larger population is Berlin.', 'answer': 'Berlin', 'candidate': 'Garoua'}
{'statement': 'Between Johannesburg and Suwałki, the city with a larger population is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Suwałki'}
{'statement': 'Between Ankara and Toliara, the city with a larger population is Ankara.', 'answer': 'Ankara', 'candidate': 'Toliara'}
{'statement': 'Between Johannesburg and Kampala, the city with a larger population is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Kampala'}
{'statement': 'Between Baghdad and Gabès, the city with a larger population is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Gabès'}
{'statement': 'Between Nairobi and Lake Havasu City, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Lake Havasu City'}
{'statement': 'Between Saint Petersburg and Algiers, the city with a larger population is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Algiers'}
{'statement': 'Between Cairo and Makurdi, the city with a larger population is Cairo.', 'answer': 'Cairo', 'candidate': 'Makurdi'}
{'statement': 'Between Bogotá and Denver, the city with a larger population is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Denver'}
{'statement': 'Between Toronto and Sapporo, the city with a larger population is Toronto.', 'answer': 'Toronto', 'candidate': 'Sapporo'}
{'statement': 'Between Toronto and Tampa, the city with a larger population is Toronto.', 'answer': 'Toronto', 'candidate': 'Tampa'}
{'statement': 'Between Buenos Aires and Toronto, the city with a larger population is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Toronto'}
{'statement': 'Between Riyadh and Omaha, the city with a larger population is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Omaha'}
{'statement': 'Between Alexandria and Makassar, the city with a larger population is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Makassar'}
{'statement': 'Between Douala and Boise, the city with a larger population is Douala.', 'answer': 'Douala', 'candidate': 'Boise'}
{'statement': 'Between Mexico City and Tamanrasset, the city with a larger population is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Tamanrasset'}
{'statement': 'Between Lahore and Valencia, the city with a larger population is Lahore.', 'answer': 'Lahore', 'candidate': 'Valencia'}
{'statement': 'Between Ho Chi Minh City and Napier, the city with a larger population is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Napier'}
{'statement': 'Between Moscow and Houston, the city with a larger population is Moscow.', 'answer': 'Moscow', 'candidate': 'Houston'}
{'statement': 'Between Perth and Palmerston North, the city with a larger population is Perth.', 'answer': 'Perth', 'candidate': 'Palmerston North'}
{'statement': 'Between Ankara and Tauranga, the city with a larger population is Ankara.', 'answer': 'Ankara', 'candidate': 'Tauranga'}
{'statement': 'Between Guangzhou and Piura, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Piura'}
{'statement': 'Between Nairobi and Port-Gentil, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Port-Gentil'}
{'statement': 'Between Nairobi and Río Gallegos, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Río Gallegos'}
{'statement': 'Between Alexandria and Bangui, the city with a larger population is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Bangui'}
{'statement': 'Between Melbourne and Ségou, the city with a larger population is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Ségou'}
{'statement': 'Between Denver and Garissa, the city with a larger population is Denver.', 'answer': 'Denver', 'candidate': 'Garissa'}
{'statement': 'Between Toronto and Villahermosa, the city with a larger population is Toronto.', 'answer': 'Toronto', 'candidate': 'Villahermosa'}
{'statement': 'Between Ürümqi and San Juan, the city with a larger population is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'San Juan'}
{'statement': 'Between Santiago and Sacramento, the city with a larger population is Santiago.', 'answer': 'Santiago', 'candidate': 'Sacramento'}
