,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for a big city to visit. Between Guadalajara and Kansas City, I should visit ->",Guadalajara,Kansas City,"{'Tokyo': 6.437964797714918e-05, 'Gu': 0.9997297399968159, 'S': 0.00014129735323187618, 'Mexico': 1.7602440513386854e-05, 'Detroit': 2.3639464924735177e-05}",Gu,True
1,"I'm looking for a big city to visit. Between Guadalajara and Dodoma, I should visit ->",Guadalajara,Dodoma,"{'Tokyo': 2.016141543803066e-06, 'Madrid': 2.56061780118493e-06, 'Gu': 0.9999658329887057, 'S': 2.2535831597894794e-05, 'Mexico': 1.3963498166813217e-06}",Gu,True
2,"I'm looking for a big city to visit. Between Toronto and Minneapolis, I should visit ->",Toronto,Minneapolis,"{'Tokyo': 0.10439370523868556, 'S': 0.0015239616287808105, 'oronto': 0.006564726712796079, 'Toronto': 0.8718982915557956, 'Detroit': 0.012462987837836554}",Toronto,True
3,"I'm looking for a big city to visit. Between Bangkok and Garissa, I should visit ->",Bangkok,Garissa,"{'Tokyo': 0.020809014432118054, 'Dh': 0.0005681750500586051, 'S': 0.0005024842308080349, 'Bangkok': 0.975880148282819, 'Kuala': 0.0013399111140740404}",Bangkok,True
4,"I'm looking for a big city to visit. Between Mumbai and Mahajanga, I should visit ->",Mumbai,Mahajanga,"{'Tokyo': 0.0007842478910710523, 'mbai': 0.0001382596664408461, 'Mumbai': 0.9934656189281383, 'Bombay': 0.005276200724632587, 'Detroit': 8.130451564207584e-05}",Mumbai,True
5,"I'm looking for a big city to visit. Between Shanghai and Cape Town, I should visit ->",Shanghai,Cape Town,"{'Tokyo': 0.0006434917831546883, 'Shanghai': 0.9499077978427982, 'S': 0.004428774366095541, 'Chong': 0.044206493010380155, 'Detroit': 0.00042479935771840975}",Shanghai,True
6,"I'm looking for a big city to visit. Between Bogotá and Douala, I should visit ->",Bogotá,Douala,"{'Rio': 0.04314711169835444, 'Med': 0.03006061306965035, 'Bog': 0.8676293427537064, 'S': 0.021879262687675698, 'Bel': 0.011068926619178313}",Bog,True
7,"I'm looking for a big city to visit. Between Brasília and Campos do Jordão, I should visit ->",Brasília,Campos do Jordão,"{'Rio': 0.33069105766035023, 'S': 0.4790583992023122, 'Bel': 0.07242735640937098, 'Bras': 0.0976052788937123, 'Fort': 0.009526608507959144}",S,True
8,"I'm looking for a big city to visit. Between Hanoi and Asmara, I should visit ->",Hanoi,Asmara,"{'As': 0.08666660917502804, 'Tokyo': 0.26032420043021803, 'Singapore': 0.31960385602603114, 'S': 0.08160602369050805, 'ytes: \\xc4': 0.11002595351213684}",Singapore,False
9,"I'm looking for a big city to visit. Between Moscow and Napier, I should visit ->",Moscow,Napier,"{'Tokyo': 0.0054166214857586424, 'Tehran': 0.0010799916169062247, 'S': 0.00021097688083368237, 'oscow': 0.003968329713069804, 'Moscow': 0.9889408134435472}",Moscow,True
10,"I'm looking for a big city to visit. Between Denver and Upington, I should visit ->",Denver,Upington,"{'Denver': 0.3062730973649375, 'S': 0.04062057773545898, 'Fort': 0.06480354307728835, 'Seattle': 0.13362852903433453, 'Detroit': 0.2759294670751604}",Denver,True
11,"I'm looking for a big city to visit. Between Chicago and Murmansk, I should visit ->",Chicago,Murmansk,"{'Tokyo': 0.0016404675275476831, 'hicago': 0.008700222316738367, 'S': 0.0008451254331718303, 'Chicago': 0.9843956622167359, 'Detroit': 0.004216592253600099}",Chicago,True
12,"I'm looking for a big city to visit. Between Alexandria and Garoua, I should visit ->",Alexandria,Garoua,"{'Tokyo': 0.071271232801232, 'Alexandria': 0.4217893585156597, 'S': 0.0658855719491741, 'Kh': 0.11674770967153336, 'Detroit': 0.047853711441759726}",Alexandria,True
13,"I'm looking for a big city to visit. Between Guangzhou and San José, I should visit ->",Guangzhou,San José,"{'Singapore': 0.0003546965226037583, 'Gu': 0.01958470645956296, 'S': 0.0005847621351502835, 'Guang': 0.6417713637195108, 'Chong': 0.33608956232486276}",Guang,True
14,"I'm looking for a big city to visit. Between Los Angeles and Palermo, I should visit ->",Los Angeles,Palermo,"{'Tokyo': 0.00028980247144745326, 'os': 0.0059031882067175755, 'S': 5.52372507417533e-05, 'Los': 0.9900687131894532, 'LA': 0.003633750385508876}",Los,True
15,"I'm looking for a big city to visit. Between Denver and Bergen, I should visit ->",Denver,Bergen,"{'Denver': 0.48022074278062243, 'Tokyo': 0.018637658398759343, 'enver': 0.03159905069936028, 'Seattle': 0.1388289609912032, 'Detroit': 0.289408469352634}",Denver,True
16,"I'm looking for a big city to visit. Between Lahore and Asmara, I should visit ->",Lahore,Asmara,"{'Dh': 0.03574084952312179, 'Tehran': 0.0158202106706891, 'Lah': 0.8668386422158334, 'Karachi': 0.012078334119500019, 'Kh': 0.025512409452373694}",Lah,True
17,"I'm looking for a big city to visit. Between Monterrey and Kathmandu, I should visit ->",Monterrey,Kathmandu,"{'Tokyo': 0.00805824087505233, 'Gu': 0.005771230286269395, 'Mon': 0.9456129759245646, 'S': 0.014053525351200679, 'Kh': 0.009362845764809037}",Mon,True
18,"I'm looking for a big city to visit. Between Guangzhou and Tampa, I should visit ->",Guangzhou,Tampa,"{'Tokyo': 0.0005164158015611135, 'Gu': 0.020581153512024934, 'S': 0.0005430427564337305, 'Guang': 0.6080812932199191, 'Chong': 0.3685492044292363}",Guang,True
19,"I'm looking for a big city to visit. Between Buenos Aires and Yakutsk, I should visit ->",Buenos Aires,Yakutsk,"{'Tokyo': 0.001550343127452917, 'Barcelona': 0.0006074297665805399, 'Rio': 0.0006938780731472264, 'S': 0.0042260788570009635, 'Buenos': 0.990763049166595}",Buenos,True
20,"I'm looking for a big city to visit. Between Lima and Baltimore, I should visit ->",Lima,Baltimore,"{'Tokyo': 0.08787713792381519, 'Tehran': 0.15072371803004184, 'S': 0.12064465374427921, 'Seattle': 0.06591837795162694, 'Detroit': 0.4146675973253096}",Detroit,False
21,"I'm looking for a big city to visit. Between Lima and Irkutsk, I should visit ->",Lima,Irkutsk,"{'Tokyo': 0.01058401960337996, 'Tehran': 0.038491355321674144, 'S': 0.024114298877689334, 'Lima': 0.8882490709629346, 'Chong': 0.013411647944692488}",Lima,True
22,"I'm looking for a big city to visit. Between Beijing and Pretoria, I should visit ->",Beijing,Pretoria,"{'Beijing': 0.9541399215473172, 'Tokyo': 0.005197211745454999, 'Tehran': 0.0010471107230613608, 'S': 0.0007846153188280928, 'Chong': 0.03668173249577721}",Beijing,True
23,"I'm looking for a big city to visit. Between Guadalajara and Honolulu, I should visit ->",Guadalajara,Honolulu,"{'Tokyo': 0.002010051973063345, 'Gu': 0.9977853741105338, 'S': 0.00012626862196160255, 'Seattle': 6.217603592302075e-06, 'Detroit': 5.108784275096153e-05}",Gu,True
24,"I'm looking for a big city to visit. Between Moscow and Gabès, I should visit ->",Moscow,Gabès,"{'Tokyo': 0.0035571151989236753, 'Tehran': 0.0006248905772222142, 'S': 0.00016388460595893035, 'oscow': 0.002453591523229604, 'Moscow': 0.9928428125357555}",Moscow,True
