,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like restaurants further away. If I were you, between Eggspectation and Oxygen Restaurant & Lounge I would go to ->",Oxygen Restaurant & Lounge,Eggspectation,"{'oxy': 0.0006122254260834906, 'Egg': 0.9898791707991502, 'nearest': 0.0006090318455975154, 'Oxy': 0.004994414954338474, 'nearby': 0.0019816498968983224}",Egg,False
1,"You don't like restaurants further away. If I were you, between Supermodel Pizza and The Coffee Pocket I would go to ->",Supermodel Pizza,The Coffee Pocket,"{'Pizza': 0.03327416529714393, 'Super': 0.6587396768930109, 'The': 0.2032598234225284, 'Cy': 0.04743765293050607, 'nearby': 0.007042641261387033}",Super,True
2,"You don't like restaurants further away. If I were you, between Queen Pita and Kibo Sushi House I would go to ->",Kibo Sushi House,Queen Pita,"{'Q': 3.3762261362077407e-06, 'King': 1.3951166864337848e-06, 'P': 3.4603531521562366e-07, 'K': 0.9998629553114814, 'Queen': 0.00013047055354449734}",K,True
3,"You don't like restaurants further away. If I were you, between Mövenpick Café and Pizzeria Via Mercanti I would go to ->",Mövenpick Café,Pizzeria Via Mercanti,"{'p': 4.2879507147485824e-10, 'M': 1.4386823370410154e-07, 'P': 0.9999999317236823, '': 7.688032022727187e-09, 'nearby': 1.6133180033192784e-10}",P,False
4,"You don't like restaurants further away. If I were you, between Cantine Bar & Grill and Helena's Magic Kitchen I would go to ->",Cantine Bar & Grill,Helena's Magic Kitchen,"{'Cant': 0.4286722234455322, 'nearest': 0.0750677304728168, '1': 0.021916471534518176, '0': 0.13277593111101188, 'nearby': 0.21926299044959197}",Cant,True
5,"You don't like restaurants further away. If I were you, between Nutella Cafe by Pusateri's and McDonald's I would go to ->",McDonald's,Nutella Cafe by Pusateri's,"{'Nut': 0.004489230377720879, 'McDonald': 0.9593400776650546, 'nearest': 0.0144385783872553, 'P': 0.007088181211851678, 'c': 0.0034028907091808724}",McDonald,True
6,"You don't like restaurants further away. If I were you, between LCBO and La Pupusa Loka I would go to ->",La Pupusa Loka,LCBO,"{'Casey': 0.0011947766677221684, 'LC': 0.4875874792632184, 'L': 0.49439663949485246, 'La': 0.012063383155902758, 'C': 0.001656253259883717}",L,False
7,"You don't like restaurants further away. If I were you, between Magic Oven and Kibo Sushi House I would go to ->",Kibo Sushi House,Magic Oven,"{'': 1.0502787981353043e-07, 'k': 5.973504322887458e-08, 'K': 0.9999815699998346, 'Magic': 1.8161220116793063e-05, 'nearby': 3.1609377627950946e-08}",K,True
8,"You don't like restaurants further away. If I were you, between Eggspectation and Mövenpick Café I would go to ->",Mövenpick Café,Eggspectation,"{'X': 0.00013182582688119914, 'Egg': 0.5824773024806027, 'M': 0.4161190132888715, 'B': 0.00016930326224353346, 'nearby': 0.000276881483703439}",Egg,False
9,"You don't like restaurants further away. If I were you, between Freshii and Kairali - Taste of Kerala I would go to ->",Kairali - Taste of Kerala,Freshii,"{'Fresh': 7.69650747246103e-07, '1': 2.3901873307825902e-08, '': 4.1552377669172865e-07, 'K': 0.9999987377612967, 'nearby': 1.2559443301721506e-08}",K,True
10,"You don't like restaurants further away. If I were you, between Solero Mediterranean Bakery and Roncy's Bean I would go to ->",Solero Mediterranean Bakery,Roncy's Bean,"{'on': 0.0073364881832318745, 'ol': 0.009597458069471354, 'R': 0.00841073006171317, 'Sol': 0.03899251789905477, 'Ron': 0.923159720027118}",Ron,False
11,"You don't like restaurants further away. If I were you, between The Coffee Pocket and Milo's Pita I would go to ->",Milo's Pita,The Coffee Pocket,"{'Nik': 0.00015997052155276417, 'nearest': 0.00018621921555062683, 'Gor': 0.00038115021326491595, 'Milo': 0.9975070170562543, 'The': 0.0011633082421743674}",Milo,True
12,"You don't like restaurants further away. If I were you, between Kibo Sushi House and Freshii I would go to ->",Kibo Sushi House,Freshii,"{'Fresh': 4.272864583547337e-05, '1': 1.1424883547534694e-07, '': 1.927516045546265e-07, 'K': 0.9999565350726273, 'nearby': 1.020729584939548e-07}",K,True
13,"You don't like restaurants further away. If I were you, between Branca and Smoke's Weinerie I would go to ->",Branca,Smoke's Weinerie,"{'Fl': 0.006790855168872049, 'Br': 0.9430887709828498, 'Smoke': 0.0040609513912497775, 'B': 0.01608543620362763, 'nearby': 0.005548645139692529}",Br,True
