,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for an affordable restaurant. If I were you, between Basil Express Restaurant and Chick Fiesta I would go to ->",Chick Fiesta,Basil Express Restaurant,"{'1': 0.650333780130134, '2': 0.26313175570150676, '3': 0.04511800897920051, '4': 0.014787386871290723, '0': 0.011670620074891428}",1,False
1,"You are looking for an affordable restaurant. If I were you, between Adega Restaurante and Juice & Java Cafe I would go to ->",Juice & Java Cafe,Adega Restaurante,"{'2': 0.3381686985080877, '3': 0.41976506216976484, '4': 0.15641406894896048, '5': 0.01567727135390698, '6': 0.022589203682701033}",3,False
2,"You are looking for an affordable restaurant. If I were you, between Basha Middle Eastern Grill and Dinah's Cupboard I would go to ->",Basha Middle Eastern Grill,Dinah's Cupboard,"{'1': 0.005499414758229708, '2': 0.9197297427268077, '3': 0.06728947795152984, '4': 0.007028373257554925, '0': 0.00015430814703830712}",2,False
3,"You are looking for an affordable restaurant. If I were you, between Grappa Ristorante and z-teca Gourmet Burritos I would go to ->",z-teca Gourmet Burritos,Grappa Ristorante,"{'2': 0.4418430281118627, '3': 0.3295988401221128, '4': 0.19660105599433533, '5': 0.014648578191553222, '6': 0.007963344532276644}",2,False
4,"You are looking for an affordable restaurant. If I were you, between Mi Mi Restaurant and Anatolia Restaurant I would go to ->",Mi Mi Restaurant,Anatolia Restaurant,"{'Anat': 0.019321855778943364, '1': 0.12086598610820774, '2': 0.47560143353927714, '3': 0.26150807929208336, '4': 0.0628473505478442}",2,False
5,"You are looking for an affordable restaurant. If I were you, between EJ Sushi and McDonald's I would go to ->",McDonald's,EJ Sushi,"{'1': 0.5653465177944333, '2': 0.3554920830103152, '3': 0.03272394519816723, '4': 0.010321153003749367, '0': 0.013438359665951508}",1,False
6,"You are looking for an affordable restaurant. If I were you, between Popeyes Louisiana Kitchen and Mysteriously Yours Dinner Theatre I would go to ->",Popeyes Louisiana Kitchen,Mysteriously Yours Dinner Theatre,"{'1': 0.11090522180793541, '2': 0.7508035620062029, '3': 0.09374790134832924, '4': 0.02644545418260576, '6': 0.004357161350744186}",2,False
7,"You are looking for an affordable restaurant. If I were you, between Watson's and Big Al's Diner I would go to ->",Big Al's Diner,Watson's,"{'1': 0.30962775294155886, '2': 0.6348873483504162, 'Big': 0.004801684428610733, '3': 0.034157476012959764, '4': 0.005098453604676822}",2,True
8,"You are looking for an affordable restaurant. If I were you, between Modo Mio Italian Bistro and McDonald's I would go to ->",McDonald's,Modo Mio Italian Bistro,"{'1': 0.26395802095858617, '2': 0.6149283020526767, '3': 0.08742780604068974, '4': 0.017808738770390502, '0': 0.005849428586678405}",2,False
9,"You are looking for an affordable restaurant. If I were you, between Viccino Pizzeria and Goldstone Noodle Restaurant I would go to ->",Goldstone Noodle Restaurant,Viccino Pizzeria,"{'1': 0.19977782598152247, '2': 0.6679187129837821, '3': 0.07070836473461815, '4': 0.03561610342506089, '6': 0.010546547751042109}",2,False
10,"You are looking for an affordable restaurant. If I were you, between Kairali - Taste of Kerala and St. Clair Shawarma and Falafel I would go to ->",St. Clair Shawarma and Falafel,Kairali - Taste of Kerala,"{'Shaw': 0.024615139463372203, '1': 0.7771110634703433, '2': 0.09969531441093761, '3': 0.03890726830205728, '6': 0.01205881923526481}",1,False
11,"You are looking for an affordable restaurant. If I were you, between Falafel Hut Village and La Cocina De Dona Luz I would go to ->",Falafel Hut Village,La Cocina De Dona Luz,"{'1': 0.4837147042939005, '2': 0.21639355830280166, 'La': 0.03507484752908235, '3': 0.05096228141398743, 'Fal': 0.052119558374803684}",1,True
12,"You are looking for an affordable restaurant. If I were you, between Oxygen Restaurant & Lounge and Anatolia Restaurant I would go to ->",Anatolia Restaurant,Oxygen Restaurant & Lounge,"{'2': 0.33893907754788316, '3': 0.328959018435942, '4': 0.2794086984607018, '5': 0.021349292030953634, '6': 0.0195455976901025}",2,False
13,"You are looking for an affordable restaurant. If I were you, between St. Clair Shawarma and Falafel and 9 Restaurant I would go to ->",St. Clair Shawarma and Falafel,9 Restaurant,"{'1': 0.8529692341162037, '2': 0.038216523673403224, '3': 0.024647445862197328, '4': 0.013675299905256766, '6': 0.02203906981476073}",1,False
14,"You are looking for an affordable restaurant. If I were you, between Phil's Original BBQ and Smoke's Weinerie I would go to ->",Smoke's Weinerie,Phil's Original BBQ,"{'1': 0.07084350426289233, '2': 0.810798998179619, 'Phil': 0.006855100535946902, '3': 0.0759928516770768, '4': 0.021556491027795596}",2,False
15,"You are looking for an affordable restaurant. If I were you, between Mirage Grill & Lounge and Basha Middle Eastern Grill I would go to ->",Basha Middle Eastern Grill,Mirage Grill & Lounge,"{'B': 0.0016301145346102417, '1': 0.011877642826646464, '2': 0.9142521411327142, '3': 0.04793518466769876, '4': 0.02019156976603396}",2,True
16,"You are looking for an affordable restaurant. If I were you, between Bonne Journee and Lebanese Bakery I would go to ->",Bonne Journee,Lebanese Bakery,"{'1': 0.461338777778167, '2': 0.2781890111759289, '3': 0.12720847537362764, '4': 0.04314020008469541, '7': 0.022143867126364722}",1,False
17,"You are looking for an affordable restaurant. If I were you, between Madras Pantry and St. Louis Bar & Grill I would go to ->",Madras Pantry,St. Louis Bar & Grill,"{'1': 0.21784146620246153, '2': 0.5769459448297067, '3': 0.08050970844726954, '4': 0.039757510990334366, '7': 0.013791947108619966}",2,False
18,"You are looking for an affordable restaurant. If I were you, between Shawarma Twist and Thompson Rooftop I would go to ->",Shawarma Twist,Thompson Rooftop,"{'Shaw': 0.09464530560200102, '1': 0.11049942076320657, '2': 0.24124757273879446, '3': 0.21384703698105395, '4': 0.15754486565187104}",2,True
19,"You are looking for an affordable restaurant. If I were you, between Cafe Jules and Pisco 1641 I would go to ->",Cafe Jules,Pisco 1641,"{'Cafe': 0.015525506917574964, '1': 0.07607881778266518, '2': 0.6480410343633389, '3': 0.12525879774586854, '4': 0.07302729526354665}",2,True
20,"You are looking for an affordable restaurant. If I were you, between Maurya East Indian Roti and Mamma's Pizza I would go to ->",Mamma's Pizza,Maurya East Indian Roti,"{'1': 0.7013410857694228, '2': 0.22914027691967415, '3': 0.031392210188953266, '4': 0.008008025921691449, '0': 0.009842397000217197}",1,False
21,"You are looking for an affordable restaurant. If I were you, between Nook and Sichuan Landscape Chinese Restaurant I would go to ->",Nook,Sichuan Landscape Chinese Restaurant,"{'S': 0.004078402138478701, '1': 0.06652306828297214, '2': 0.756466446756814, '3': 0.10563545668538181, '4': 0.055133266349718185}",2,False
22,"You are looking for an affordable restaurant. If I were you, between Nook and Helena's Magic Kitchen I would go to ->",Helena's Magic Kitchen,Nook,"{'1': 0.08881190257140728, '2': 0.7864460137274373, 'N': 0.0042672614674809616, '3': 0.07531929012689595, '4': 0.03507616987576027}",2,False
23,"You are looking for an affordable restaurant. If I were you, between Dinah's Cupboard and Sweet Jesus I would go to ->",Sweet Jesus,Dinah's Cupboard,"{'1': 0.12862068918323097, '2': 0.15044710776287054, '3': 0.33048044148642103, '4': 0.12481012456690416, '5': 0.03559620670612798}",3,False
24,"You are looking for an affordable restaurant. If I were you, between Marcello’s pizzeria and Big Al's Diner I would go to ->",Big Al's Diner,Marcello’s pizzeria,"{'1': 0.2152681970730325, '2': 0.6737020689463347, 'Big': 0.009933047000573196, '3': 0.07634404854465975, '4': 0.008891894033602032}",2,True
25,"You are looking for an affordable restaurant. If I were you, between LCBO and Nutella Cafe by Pusateri's I would go to ->",LCBO,Nutella Cafe by Pusateri's,"{'1': 0.02665890600886031, '2': 0.47091184880896225, '3': 0.24851919325236618, '4': 0.20195707584059713, '5': 0.017146486417068157}",2,False
26,"You are looking for an affordable restaurant. If I were you, between Lahore Grill & Fast Food and Lebanese Bakery I would go to ->",Lahore Grill & Fast Food,Lebanese Bakery,"{'Lah': 0.05256828961823104, '1': 0.7467722548899264, '2': 0.07452927334264091, '3': 0.04088742992369485, '0': 0.01917575228315666}",1,True
27,"You are looking for an affordable restaurant. If I were you, between Mysteriously Yours Dinner Theatre and Beryl's Pepper Pot I would go to ->",Beryl's Pepper Pot,Mysteriously Yours Dinner Theatre,"{'1': 0.03719206674459448, '2': 0.8027216200882199, '3': 0.09034339221827441, '4': 0.04194404964964155, '6': 0.007585407068910573}",2,False
28,"You are looking for an affordable restaurant. If I were you, between Pizzeria Via Mercanti and Bagel Nash I would go to ->",Bagel Nash,Pizzeria Via Mercanti,"{'ia': 0.0042004399885546325, 'Via': 0.6944366761461646, '2': 0.07925403125083759, '3': 0.15977675808522385, '4': 0.041217865004380246}",Via,False
29,"You are looking for an affordable restaurant. If I were you, between Tian An Cuisine and Goldstone Noodle Restaurant I would go to ->",Goldstone Noodle Restaurant,Tian An Cuisine,"{'1': 0.26081440931889593, '2': 0.6699535817281005, '3': 0.0349309088961322, '4': 0.01972260379969262, '6': 0.004553873907590715}",2,False
30,"You are looking for an affordable restaurant. If I were you, between Ici Bistro and Basil Express Restaurant I would go to ->",Basil Express Restaurant,Ici Bistro,"{'1': 0.031120796049572262, '2': 0.5111290380554241, '3': 0.30777071655538185, '4': 0.11847006101389837, '6': 0.01089668570222424}",2,False
31,"You are looking for an affordable restaurant. If I were you, between Just Soups Take Out & Catering and Kibo Sushi House I would go to ->",Just Soups Take Out & Catering,Kibo Sushi House,"{'1': 0.17200706971830304, '2': 0.7863460549276484, 'K': 0.0018978910176807506, '3': 0.023612404278767363, '4': 0.009324861183975556}",2,False
32,"You are looking for an affordable restaurant. If I were you, between Cake Opera and Farmacia Health Bar I would go to ->",Farmacia Health Bar,Cake Opera,"{'2': 0.22462298599396766, '3': 0.39307724274525846, '4': 0.2400647740930691, '5': 0.0348433387725743, '7': 0.026513108709896736}",3,False
33,"You are looking for an affordable restaurant. If I were you, between Popeyes Louisiana Kitchen and Thompson Rooftop I would go to ->",Popeyes Louisiana Kitchen,Thompson Rooftop,"{'1': 0.025805929187206932, '2': 0.6012981966658902, '3': 0.21887368420977857, '4': 0.10685633609548889, '6': 0.022302181058160796}",2,False
34,"You are looking for an affordable restaurant. If I were you, between Aroma Espresso Bar and Lahore Grill & Fast Food I would go to ->",Lahore Grill & Fast Food,Aroma Espresso Bar,"{'Lah': 0.05086636903649182, 'A': 0.013417935457447686, '1': 0.7255035597890358, '2': 0.11721550680132367, '3': 0.04530593679512924}",1,True
35,"You are looking for an affordable restaurant. If I were you, between Chick Fiesta and Pizzeria Via Mercanti I would go to ->",Chick Fiesta,Pizzeria Via Mercanti,"{'Via': 0.03879979561583119, '1': 0.07282847938026574, '2': 0.6066572801374558, '3': 0.1972521932854701, '4': 0.045110447834537215}",2,False
36,"You are looking for an affordable restaurant. If I were you, between Kairali - Taste of Kerala and Supermodel Pizza I would go to ->",Supermodel Pizza,Kairali - Taste of Kerala,"{'1': 0.5955708211821795, '2': 0.2210720748699857, 'K': 0.0372054024908121, '3': 0.05168053848296799, '4': 0.011271482676507794}",1,False
37,"You are looking for an affordable restaurant. If I were you, between Tim Hortons and Cake Opera I would go to ->",Tim Hortons,Cake Opera,"{'1': 0.3659540133718342, '2': 0.2640736863022117, '3': 0.17704822958396063, '4': 0.0645334877493795, '7': 0.020323000596967136}",1,False
38,"You are looking for an affordable restaurant. If I were you, between Grappa Ristorante and Basha Middle Eastern Grill I would go to ->",Basha Middle Eastern Grill,Grappa Ristorante,"{'2': 0.5988261240801204, '3': 0.24296548081293717, '4': 0.12137128020098922, '5': 0.012366122521027626, '6': 0.009404053116803781}",2,False
39,"You are looking for an affordable restaurant. If I were you, between Daily Press Juicery and Sweet Jesus I would go to ->",Sweet Jesus,Daily Press Juicery,"{'1': 0.15667736312669758, '2': 0.23298173943762104, '3': 0.21483862802429843, '4': 0.1401945609598131, '7': 0.04904947972797529}",2,False
40,"You are looking for an affordable restaurant. If I were you, between Hawthorne Food and Drink and Pizza Pizza I would go to ->",Pizza Pizza,Hawthorne Food and Drink,"{'1': 0.4129679260222286, '2': 0.3536117214043849, '3': 0.11449729279261271, '4': 0.037710100599548844, '7': 0.027127752435309536}",1,False
41,"You are looking for an affordable restaurant. If I were you, between Bagel Nash and Warung Indonesia D'Eglinton I would go to ->",Bagel Nash,Warung Indonesia D'Eglinton,"{'1': 0.1563924227397702, '2': 0.3443707983320709, '3': 0.24642029121578327, '4': 0.07557792770498503, '0': 0.09821308735966769}",2,False
42,"You are looking for an affordable restaurant. If I were you, between Sizzlers and Evoo Ristorante I would go to ->",Sizzlers,Evoo Ristorante,"{'1': 0.02448198837910284, '2': 0.5026138487671842, '3': 0.2385600782395123, '4': 0.1941141482330898, '5': 0.01582365985256248}",2,False
43,"You are looking for an affordable restaurant. If I were you, between Le Papillon Park and McDonald's I would go to ->",McDonald's,Le Papillon Park,"{'1': 0.27970390989047783, '2': 0.6531429506224651, '3': 0.04693710335435065, '4': 0.010771198636450631, '0': 0.003886442749532801}",2,False
44,"You are looking for an affordable restaurant. If I were you, between Pho 88 and Mysteriously Yours Dinner Theatre I would go to ->",Pho 88,Mysteriously Yours Dinner Theatre,"{'1': 0.0853235310736021, '2': 0.5218679982468508, '3': 0.11018160720050313, '4': 0.10663497770609809, '7': 0.031584913287654115}",2,False
45,"You are looking for an affordable restaurant. If I were you, between St. Clair Shawarma and Falafel and Hawthorne Food and Drink I would go to ->",St. Clair Shawarma and Falafel,Hawthorne Food and Drink,"{'1': 0.8442793126294815, '2': 0.0768751193758558, '3': 0.02921798893432198, '4': 0.01014186370875739, 'Fal': 0.011531414180123564}",1,False
46,"You are looking for an affordable restaurant. If I were you, between La Pupusa Loka and Aris Place I would go to ->",Aris Place,La Pupusa Loka,"{'1': 0.01987012363983851, '2': 0.4298099477388665, '3': 0.3122353651781164, '4': 0.13020749312244798, '5': 0.016078882723736858}",2,False
47,"You are looking for an affordable restaurant. If I were you, between Thompson Rooftop and Evoo Ristorante I would go to ->",Thompson Rooftop,Evoo Ristorante,"{'2': 0.12261756437991797, '3': 0.2702962227730305, '4': 0.46925063044508075, '5': 0.05132053574432126, '6': 0.04798508718462772}",4,False
48,"You are looking for an affordable restaurant. If I were you, between Solero Mediterranean Bakery and Mirage Grill & Lounge I would go to ->",Solero Mediterranean Bakery,Mirage Grill & Lounge,"{'1': 0.05416530525230033, '2': 0.5268310658446879, '3': 0.295365974504342, '4': 0.06172023771424634, '5': 0.016711954121075186}",2,False
49,"You are looking for an affordable restaurant. If I were you, between Verona Restaurant and Banjara Indian Cuisine I would go to ->",Banjara Indian Cuisine,Verona Restaurant,"{'1': 0.011994968605413379, '2': 0.6937281013786643, '3': 0.16819983708884015, '4': 0.10775072731476935, '6': 0.007170940940473073}",2,False
50,"You are looking for an affordable restaurant. If I were you, between Falafel House and Dinah's Cupboard I would go to ->",Falafel House,Dinah's Cupboard,"{'1': 0.4167483569043657, '2': 0.1999653054964396, '3': 0.09024083844470582, '4': 0.07736666313641456, 'Fal': 0.10807945801584627}",1,True
51,"You are looking for an affordable restaurant. If I were you, between Pizza Pizza and Piper's Pub And Grill I would go to ->",Pizza Pizza,Piper's Pub And Grill,"{'Piper': 0.004664836469811719, '1': 0.17054672037507013, '2': 0.6506331781557935, '3': 0.12708387213332162, '4': 0.03263766791896246}",2,False
52,"You are looking for an affordable restaurant. If I were you, between Sizzlers and Tik Talk Cafe I would go to ->",Sizzlers,Tik Talk Cafe,"{'S': 0.027866027066000817, '1': 0.4803912514078002, '2': 0.34038729728612493, '3': 0.06432069814023578, '4': 0.026669251671320476}",1,True
53,"You are looking for an affordable restaurant. If I were you, between Cafe Jules and Basha Middle Eastern Grill I would go to ->",Cafe Jules,Basha Middle Eastern Grill,"{'1': 0.07721860913716379, '2': 0.7935703699190583, '3': 0.10535770544718966, '4': 0.018712784979255957, '5': 0.0013328430322107779}",2,False
54,"You are looking for an affordable restaurant. If I were you, between Shawarma Twist and Taste of Greek Cuisine I would go to ->",Shawarma Twist,Taste of Greek Cuisine,"{'Shaw': 0.018426010471413956, '1': 0.3683791397936173, '2': 0.3763095285569647, '3': 0.08635281284434206, '4': 0.045646123198740875}",2,True
55,"You are looking for an affordable restaurant. If I were you, between Queen Slice and Harry's Char Broil & Dining Lounge I would go to ->",Queen Slice,Harry's Char Broil & Dining Lounge,"{'1': 0.30720186707776187, '2': 0.6050055787012543, '3': 0.04412153031095133, '4': 0.011860149263932206, '5': 0.00441730101276269}",2,False
56,"You are looking for an affordable restaurant. If I were you, between Madras Pantry and Tik Talk Cafe I would go to ->",Madras Pantry,Tik Talk Cafe,"{'1': 0.3339245198559216, '2': 0.35263276124176013, '3': 0.13753452534169994, '4': 0.0521139870918038, '7': 0.02464462389120704}",2,False
57,"You are looking for an affordable restaurant. If I were you, between Big Al's Diner and La Cocina De Dona Luz I would go to ->",Big Al's Diner,La Cocina De Dona Luz,"{'1': 0.044733053442782174, '2': 0.8936166937005067, 'La': 0.0035768076294817176, '3': 0.03986921526999109, '4': 0.006044853682034306}",2,False
58,"You are looking for an affordable restaurant. If I were you, between Helena's Magic Kitchen and El Fogón I would go to ->",Helena's Magic Kitchen,El Fogón,"{'1': 0.016097166761889048, '2': 0.7813548413555695, '3': 0.10536183555019266, '4': 0.07904050787651284, '5': 0.011261050114571}",2,False
59,"You are looking for an affordable restaurant. If I were you, between Cafe Jules and Mövenpick Café I would go to ->",Cafe Jules,Mövenpick Café,"{'M': 0.02153095740884096, '1': 0.11457658671283658, '2': 0.6486200648219973, '3': 0.1108138513830458, '4': 0.03912827999099531}",2,False
60,"You are looking for an affordable restaurant. If I were you, between Lebanese Bakery and Dinah's Cupboard I would go to ->",Lebanese Bakery,Dinah's Cupboard,"{'Din': 0.028156118346568622, '1': 0.06718864627288222, '2': 0.43315984589121087, '3': 0.26932151231820395, '4': 0.12143930358425709}",2,False
61,"You are looking for an affordable restaurant. If I were you, between Oxygen Restaurant & Lounge and Warung Indonesia D'Eglinton I would go to ->",Warung Indonesia D'Eglinton,Oxygen Restaurant & Lounge,"{'2': 0.25417893283468135, '3': 0.37357820952911175, '4': 0.26327109453270947, '5': 0.026257274618858555, '6': 0.045536102778269305}",3,False
62,"You are looking for an affordable restaurant. If I were you, between Kairali - Taste of Kerala and Smoke's Weinerie I would go to ->",Smoke's Weinerie,Kairali - Taste of Kerala,"{'Smoke': 0.018192606567302247, '1': 0.1420811934398267, '2': 0.5820185842846151, '3': 0.13450321189031242, '4': 0.06989677277349336}",2,True
63,"You are looking for an affordable restaurant. If I were you, between Villa Madina and Le Papillon Park I would go to ->",Villa Madina,Le Papillon Park,"{'1': 0.24923379183445526, '2': 0.5022725089823121, '3': 0.12250876506573813, '4': 0.050047936642239506, '7': 0.018090415705286886}",2,False
64,"You are looking for an affordable restaurant. If I were you, between Sichuan Landscape Chinese Restaurant and Bao Bao Plus Dim Sum I would go to ->",Bao Bao Plus Dim Sum,Sichuan Landscape Chinese Restaurant,"{'S': 0.031625421625237606, '1': 0.05672454327007697, '2': 0.8400322122192326, '3': 0.035754948494308054, '4': 0.027650026295543882}",2,False
65,"You are looking for an affordable restaurant. If I were you, between Oxygen Restaurant & Lounge and EJ Sushi I would go to ->",EJ Sushi,Oxygen Restaurant & Lounge,"{'2': 0.3508938931274333, '3': 0.27085360690048466, '4': 0.2567285186707204, '5': 0.04543150826518426, '6': 0.03187689902574271}",2,False
66,"You are looking for an affordable restaurant. If I were you, between Amaya Express and Nutella Cafe by Pusateri's I would go to ->",Amaya Express,Nutella Cafe by Pusateri's,"{'1': 0.0317520686955699, '2': 0.48170571557105846, '3': 0.27624917847520725, '4': 0.15610711074497438, '5': 0.016838041119568704}",2,False
67,"You are looking for an affordable restaurant. If I were you, between Tik Talk Cafe and Supermodel Pizza I would go to ->",Supermodel Pizza,Tik Talk Cafe,"{'1': 0.7902390534430521, '2': 0.1406327354347938, '3': 0.042776311467550135, '4': 0.005582221296457709, '0': 0.00501899482194725}",1,False
68,"You are looking for an affordable restaurant. If I were you, between Sheriff Broaster Chicken and Cafe Jules I would go to ->",Cafe Jules,Sheriff Broaster Chicken,"{'Cafe': 0.00865372512891627, '1': 0.07616820199770839, '2': 0.7744809933256992, '3': 0.09735587497367565, '4': 0.02272108343196671}",2,True
69,"You are looking for an affordable restaurant. If I were you, between Green Room and Joe Badali's Ristorante Italiano & Bar I would go to ->",Green Room,Joe Badali's Ristorante Italiano & Bar,"{'1': 0.0008266989134735702, '2': 0.645643167567362, '3': 0.320014554951277, '4': 0.030583112544348066, '5': 0.0012648724397872546}",2,False
70,"You are looking for an affordable restaurant. If I were you, between Harry's Char Broil & Dining Lounge and Verona Restaurant I would go to ->",Harry's Char Broil & Dining Lounge,Verona Restaurant,"{'1': 0.007387949884744292, '2': 0.7217489104752374, '3': 0.1755491532133913, '4': 0.07581555471985627, '5': 0.007191841646941114}",2,False
71,"You are looking for an affordable restaurant. If I were you, between Sushi Time Japanese Restaurant and Hapa Toronto I would go to ->",Sushi Time Japanese Restaurant,Hapa Toronto,"{'S': 0.005745473221818572, '1': 0.06913263314444235, '2': 0.8695318635746113, '3': 0.03825469427867393, '4': 0.011482145675775811}",2,True
72,"You are looking for an affordable restaurant. If I were you, between Verona Restaurant and Eggspectation I would go to ->",Eggspectation,Verona Restaurant,"{'1': 0.007681090113756317, '2': 0.39756459696607704, 'Ver': 0.0011944486270912516, '3': 0.570810653156405, '4': 0.016583245508989496}",3,False
73,"You are looking for an affordable restaurant. If I were you, between El Fogón and McDonald's I would go to ->",McDonald's,El Fogón,"{'1': 0.0678330662582611, '2': 0.7834450528671002, '3': 0.09296717547618785, '4': 0.04212307452329917, '5': 0.006735566902879445}",2,False
74,"You are looking for an affordable restaurant. If I were you, between Top Sushi and The Duke of Devon I would go to ->",Top Sushi,The Duke of Devon,"{'1': 0.11211400764724284, '2': 0.6800552936001029, '3': 0.0905770870714005, '4': 0.048875892498717974, '6': 0.014145941723810559}",2,False
75,"You are looking for an affordable restaurant. If I were you, between Scaddabush Italian Kitchen & Bar and Dinah's Cupboard I would go to ->",Scaddabush Italian Kitchen & Bar,Dinah's Cupboard,"{'1': 0.002096502078373552, '2': 0.9521851574332021, '3': 0.03937062496538329, '4': 0.005436850706479137, '5': 0.0003098795141706944}",2,False
76,"You are looking for an affordable restaurant. If I were you, between Sweet Jesus and Dangerous Dan's Diner I would go to ->",Sweet Jesus,Dangerous Dan's Diner,"{'Dangerous': 0.10963302794520101, '1': 0.0878378304860376, '2': 0.6372206971950768, '3': 0.10847601395285934, '4': 0.02546054703569098}",2,False
77,"You are looking for an affordable restaurant. If I were you, between Green Room and Freshii I would go to ->",Green Room,Freshii,"{'Fresh': 0.46622922810396006, 'Green': 0.16176516406175326, 'The': 0.030454308517746487, '3': 0.13842501609510566, '4': 0.0738365287736659}",Fresh,False
78,"You are looking for an affordable restaurant. If I were you, between Warung Indonesia D'Eglinton and Sweet Jesus I would go to ->",Sweet Jesus,Warung Indonesia D'Eglinton,"{'1': 0.18488686158172646, '2': 0.15698748345946692, '3': 0.19370528974207882, '4': 0.08948776204303555, '0': 0.2192850932729929}",0,False
79,"You are looking for an affordable restaurant. If I were you, between Aris Place and Beryl's Pepper Pot I would go to ->",Aris Place,Beryl's Pepper Pot,"{'1': 0.08440166078723095, '2': 0.6686747569994436, '3': 0.11387559481645791, '4': 0.03950470896013002, '6': 0.02204455602196778}",2,False
80,"You are looking for an affordable restaurant. If I were you, between The Coffee Pocket and Kibo Sushi House I would go to ->",The Coffee Pocket,Kibo Sushi House,"{'1': 0.20625729184341154, '2': 0.6839001578975417, 'The': 0.010928171310350407, '3': 0.05829173280819492, '4': 0.018341744439858428}",2,True
81,"You are looking for an affordable restaurant. If I were you, between Itamae Ayce Sushi and Bagel Nash I would go to ->",Bagel Nash,Itamae Ayce Sushi,"{'1': 0.26052660304225916, '2': 0.6357074790797801, '3': 0.04207052088786895, '4': 0.017973522073127926, 'It': 0.023301055942890878}",2,False
