,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I don't like cheap restaurants. Between Popeyes Louisiana Kitchen and Adega Restaurante, I should go to ->",Adega Restaurante,Popeyes Louisiana Kitchen,"{'Ad': 1.7823816310713133e-05, 'Epic': 1.1743298576257441e-07, 'op': 2.77397178597168e-07, 'd': 1.3859830218681724e-07, 'Pop': 0.999981449862056}",Pop,False
1,"I don't like cheap restaurants. Between Pizza Pizza and La Pupusa Loka, I should go to ->",La Pupusa Loka,Pizza Pizza,"{'Le': 0.0007546477302870093, 'a': 0.010584633494319614, 'Barcelona': 0.0007162860210719172, 'Pizza': 0.24187364917981027, 'La': 0.7444820479822762}",La,True
2,"I don't like cheap restaurants. Between Tim Hortons and Harry's Char Broil & Dining Lounge, I should go to ->",Harry's Char Broil & Dining Lounge,Tim Hortons,"{'im': 5.653294457045968e-05, 'arry': 0.023629839027868152, 'H': 0.00018308198499686159, 'Tim': 0.004307078271435284, 'Harry': 0.9716095040959464}",Harry,True
3,"I don't like cheap restaurants. Between Pizzeria Via Mercanti and Verona Restaurant, I should go to ->",Verona Restaurant,Pizzeria Via Mercanti,"{'er': 6.097643987225351e-05, 'Pizza': 9.45512628044148e-06, 'Conv': 1.0286970124696207e-05, 'P': 0.973037740284544, 'Ver': 0.026824779780137635}",P,False
4,"I don't like cheap restaurants. Between La Cocina De Dona Luz and Nutella Cafe by Pusateri's, I should go to ->",Nutella Cafe by Pusateri's,La Cocina De Dona Luz,"{'Nut': 0.05012459365608665, 'Coc': 0.001610988682422094, 'Don': 0.0008823639017764376, 'P': 0.8415954696782922, 'La': 0.10230430753699811}",P,False
5,"I don't like cheap restaurants. Between Edible Arrangements and Eggspectation, I should go to ->",Edible Arrangements,Eggspectation,"{'Egg': 0.0007800297484261698, 'Ed': 0.9941209151535766, 'My': 4.267870389341168e-05, 'gg': 5.772824439339744e-05, 'd': 0.004870077150603905}",Ed,True
6,"I don't like cheap restaurants. Between Branca and Mysteriously Yours Dinner Theatre, I should go to ->",Mysteriously Yours Dinner Theatre,Branca,"{'Myster': 0.14620262163314135, 'Br': 0.8499948315888219, 'B': 0.0008158834859672612, 'myster': 0.0003146775796491052, 'r': 0.0023727266497722216}",Br,False
7,"I don't like cheap restaurants. Between El Fogón and Helena's Magic Kitchen, I should go to ->",El Fogón,Helena's Magic Kitchen,"{'el': 5.276787396837785e-05, 'Helen': 0.000720085214129279, 'El': 0.15117437607528345, 'Helena': 0.8469239126053122, 'l': 0.0008587102531846594}",Helena,False
8,"I don't like cheap restaurants. Between Villa Madina and Ardor Bistro, I should go to ->",Ardor Bistro,Villa Madina,"{'My': 1.673563967916721e-05, 'Villa': 0.04847684585908756, 'Ard': 0.9514710826854313, 'Ast': 5.8040129019716424e-06, 'Vill': 5.1798679204530405e-06}",Ard,True
9,"I don't like cheap restaurants. Between Breakfast Room and Verona Restaurant, I should go to ->",Verona Restaurant,Breakfast Room,"{'er': 0.007996776148169266, 'My': 9.985544178381179e-05, 'Restaurant': 7.80705229015012e-05, 'Conv': 0.00024371818004816304, 'Ver': 0.9909935383563458}",Ver,True
10,"I don't like cheap restaurants. Between Solero Mediterranean Bakery and Hapa Toronto, I should go to ->",Hapa Toronto,Solero Mediterranean Bakery,"{'Barcelona': 2.0947362510426034e-07, 'H': 0.9981984348701712, 'ol': 0.00013143146774882453, '': 2.35755380451344e-06, 'Sol': 0.001666769761882033}",H,True
11,"I don't like cheap restaurants. Between McDonald's and Phil's Original BBQ, I should go to ->",Phil's Original BBQ,McDonald's,"{'Phill': 0.00022100151527987584, 'Ph': 0.022936214461801555, 'Philip': 0.00014655907037850407, 'hil': 0.10491756840052253, 'Phil': 0.8715064526291142}",Phil,True
12,"I don't like cheap restaurants. Between Kibo Sushi House and Queen Pita, I should go to ->",Kibo Sushi House,Queen Pita,"{'Q': 0.00011381343332055254, 'King': 0.00031206626652456186, 'ueen': 0.0013052592486082482, 'K': 0.8495475630271566, 'Queen': 0.14867475667712998}",K,True
13,"I don't like cheap restaurants. Between St. Louis Bar & Grill and Verona Restaurant, I should go to ->",Verona Restaurant,St. Louis Bar & Grill,"{'er': 0.0007481784791222952, 'VER': 4.049138157938825e-06, 'Ver': 0.9989812263026544, 'St': 0.0002621934415776362, 'V': 9.920285002336458e-07}",Ver,True
14,"I don't like cheap restaurants. Between Green Grotto and Queen Pita, I should go to ->",Green Grotto,Queen Pita,"{'Richmond': 0.0012264885865700234, 'King': 0.002182121740604504, 'ueen': 0.005336963076788793, 'Green': 0.012584319804101613, 'Queen': 0.9778023152743385}",Queen,False
15,"I don't like cheap restaurants. Between Joe Badali's Ristorante Italiano & Bar and Pho 88, I should go to ->",Joe Badali's Ristorante Italiano & Bar,Pho 88,"{'Ph': 0.9999998115819777, 'h': 1.0201101900868433e-07, 'R': 6.025435409800443e-08, 'Th': 4.5558035693584016e-10, 'Joe': 2.850797928309788e-10}",Ph,False
16,"I don't like cheap restaurants. Between Sushi World and Maurya East Indian Roti, I should go to ->",Maurya East Indian Roti,Sushi World,"{'Raj': 4.512989273096907e-08, 'a': 4.563558312700376e-07, 'S': 0.9999679805526335, 'Th': 8.891117493681957e-08, 'Ma': 3.1358035748956184e-05}",S,False
17,"I don't like cheap restaurants. Between Banjara Indian Cuisine and Milo's Pita, I should go to ->",Banjara Indian Cuisine,Milo's Pita,"{'Ban': 0.8450852154696549, 'an': 0.11408467992181649, 'Milo': 0.04076241594237802, 'Bans': 7.46397831277665e-06, 'Th': 1.0227084640438107e-05}",Ban,True
18,"I don't like cheap restaurants. Between Fitness Avenue and Milestones Restaurants, I should go to ->",Milestones Restaurants,Fitness Avenue,"{'Athlet': 0.006470201676079703, 'My': 0.0017452794375785586, 'il': 0.0049079364522824865, 'Fitness': 0.35685365900345073, 'Mil': 0.6243189770821049}",Mil,True
19,"I don't like cheap restaurants. Between Tortería San Cosme and Verona Restaurant, I should go to ->",Verona Restaurant,Tortería San Cosme,"{'er': 0.0018769527403210344, 'My': 8.780342929994641e-05, 'Conv': 0.00011186799476001693, 'Tor': 0.006752084546969957, 'Ver': 0.9909598045194766}",Ver,True
