,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like cheap restaurants. Between The Duke of Devon and Falafel Hut Village, you should go to ->",The Duke of Devon,Falafel Hut Village,"{'Duke': 1.2923480323279707e-08, 'the': 3.3643767952958476e-08, 'Conv': 1.8245324162852913e-08, 'The': 1.0, 'he': 1.938789373395131e-08}",The,True
1,"You don't like cheap restaurants. Between Sushi World and Branca, you should go to ->",Branca,Sushi World,"{'Brussels': 0.00019909409615415425, 'Br': 0.9953514586687713, 'B': 0.0007716214329789413, 'Conv': 3.691332356007055e-05, 'r': 0.0034325975541420256}",Br,True
2,"You don't like cheap restaurants. Between Evoo Ristorante and Thai 4 You Restaurant, you should go to ->",Evoo Ristorante,Thai 4 You Restaurant,"{'v': 0.013408720501488221, 'Conv': 0.0021800126487915798, 'R': 8.697550766814385e-05, 'Ev': 0.9841241501862923, 'EV': 4.32905582935346e-05}",Ev,True
3,"You don't like cheap restaurants. Between Druxy's Famous Deli and Mövenpick Café, you should go to ->",Mövenpick Café,Druxy's Famous Deli,"{'Z': 8.782530324324809e-06, 'X': 1.2811632636763715e-05, 'M': 0.9998301751218774, 'B': 5.205551009108934e-06, '': 0.00010625911134511726}",M,True
4,"You don't like cheap restaurants. Between Sheriff Broaster Chicken and Nutella Cafe by Pusateri's, you should go to ->",Nutella Cafe by Pusateri's,Sheriff Broaster Chicken,"{'Nut': 0.0015908008663988145, 'Sheriff': 0.12359932439912277, 'Shell': 0.0006086243569645395, 'her': 0.0008780271871019133, 'P': 0.8697363058506448}",P,False
5,"You don't like cheap restaurants. Between Falafel Hut Village and Tian An Cuisine, you should go to ->",Tian An Cuisine,Falafel Hut Village,"{'Raj': 5.043309255700822e-05, 'Tian': 0.9988027071277358, 'T': 0.0009423965555973899, 'A': 4.3639406369091575e-05, 'Chinese': 3.262365236482026e-05}",Tian,True
6,"You don't like cheap restaurants. Between Lahore Grill & Fast Food and Dangerous Dan's Diner, you should go to ->",Dangerous Dan's Diner,Lahore Grill & Fast Food,"{'Danger': 9.766551788051882e-05, 'Dangerous': 0.9985860457765638, 'Lah': 0.0006968635039680151, 'D': 0.00015344459511026833, 'dangerous': 0.00015465155560637748}",Dangerous,True
7,"You don't like cheap restaurants. Between The Empire and Thai 4 You Restaurant, you should go to ->",Thai 4 You Restaurant,The Empire,"{'the': 2.2204807887664152e-08, 'THE': 1.0667661089708557e-08, 'The': 0.9999999317236823, 'he': 2.592565028054446e-08, 'Empire': 1.2848174563723665e-07}",The,False
8,"You don't like cheap restaurants. Between Piper's Pub And Grill and The Coffee Pocket, you should go to ->",Piper's Pub And Grill,The Coffee Pocket,"{'Ph': 5.24357521158328e-06, 'Gor': 1.198019126554492e-05, 'Piper': 0.9992120739768607, 'P': 0.0003071255304430885, 'The': 0.00044226955890529923}",Piper,True
9,"You don't like cheap restaurants. Between Buk Chang Dong Soon Tofu and Ciao Europa wine bar, you should go to ->",Ciao Europa wine bar,Buk Chang Dong Soon Tofu,"{'c': 1.9674153002573963e-07, 'C': 0.999997306321628, 'B': 3.38098352521346e-07, 'Conv': 3.793910005283586e-07, 'R': 4.408677028694173e-07}",C,True
10,"You don't like cheap restaurants. Between LCBO and Eastern legend, you should go to ->",LCBO,Eastern legend,"{'RC': 1.9741017109151958e-05, 'Shell': 0.0007641697558180082, 'LC': 0.9891077063418868, 'C': 0.009983638259826412, 'Eastern': 2.22454514380766e-05}",LC,True
11,"You don't like cheap restaurants. Between Top Sushi and Dinah's Cupboard, you should go to ->",Dinah's Cupboard,Top Sushi,"{'Dim': 0.00018431339786003137, 'Din': 0.9960706554567514, 'Conv': 0.0008882426480412576, 'The': 0.0001406982544646688, 'Top': 0.0017782474114934267}",Din,True
12,"You don't like cheap restaurants. Between Grappa Ristorante and Madras Pantry, you should go to ->",Grappa Ristorante,Madras Pantry,"{'Gor': 0.0004433336106014392, 'R': 0.0001774557989605465, 'ra': 0.0029327638707039843, 'Gra': 0.9963403645485422, 'gra': 1.5778662584063293e-05}",Gra,True
13,"You don't like cheap restaurants. Between Edible Arrangements and Eggspectation, you should go to ->",Edible Arrangements,Eggspectation,"{'Fl': 0.000355093472617202, 'Ed': 0.9920096747228634, 'Shell': 0.0014888236015918965, 'Conv': 0.0015869886330546006, 'd': 0.003137195597337431}",Ed,True
14,"You don't like cheap restaurants. Between Smoke's Weinerie and Aroma Espresso Bar, you should go to ->",Aroma Espresso Bar,Smoke's Weinerie,"{'Ace': 4.545144671174264e-06, 'Gor': 7.367987172406197e-06, 'A': 0.9999421106136552, 'Conv': 1.671266070042155e-05, '->': 5.16726511864361e-06}",A,True
15,"You don't like cheap restaurants. Between Evoo Ristorante and Freshii, you should go to ->",Evoo Ristorante,Freshii,"{'v': 0.013326509927037797, 'Conv': 0.006432074271411204, 'R': 0.0001657443528110971, 'Ev': 0.9797800502774549, 'EV': 3.997896968437919e-05}",Ev,True
16,"You don't like cheap restaurants. Between Thompson Rooftop and Lebanese Bakery, you should go to ->",Thompson Rooftop,Lebanese Bakery,"{'Thompson': 0.526831771798789, 'T': 0.000260588506040564, 'R': 0.4594845046284239, 'hompson': 0.012771715240317758, 'Th': 0.00020852179287608982}",Thompson,True
17,"You don't like cheap restaurants. Between Lebanese Bakery and Branca, you should go to ->",Branca,Lebanese Bakery,"{'Brussels': 0.00020971564840966227, 'Br': 0.9961448004366146, 'Gor': 4.7538388232694864e-05, 'B': 0.0005020813498035304, 'r': 0.0028505691582236996}",Br,True
18,"You don't like cheap restaurants. Between Supermodel Pizza and Adega Restaurante, you should go to ->",Adega Restaurante,Supermodel Pizza,"{'Ad': 0.9894097230681056, 'd': 0.01043265279028264, 'A': 3.1087025883015765e-05, 'Conv': 6.448696761838976e-06, 'AD': 5.841370622694179e-05}",Ad,True
19,"You don't like cheap restaurants. Between Juice & Java Cafe and Helena's Magic Kitchen, you should go to ->",Juice & Java Cafe,Helena's Magic Kitchen,"{'Shell': 0.001128978203527101, 'Juice': 0.003914312388838012, 'Sauce': 0.0013332349456707028, 'Helena': 0.9778170371768234, 'Magic': 0.012614655575958145}",Helena,False
20,"You don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and Marcello’s pizzeria, you should go to ->",Mysteriously Yours Dinner Theatre,Marcello’s pizzeria,"{'Myster': 0.9933306748300155, 'Mar': 0.0003310649428064823, 'My': 0.00038838416197182275, 'The': 0.000770342759465452, 'myster': 0.0028181839241968065}",Myster,True
21,"You don't like cheap restaurants. Between Milo's Pita and Anatolia Restaurant, you should go to ->",Anatolia Restaurant,Milo's Pita,"{'An': 0.00043993349069006333, 'anat': 0.0007893935227907993, 'n': 0.0006375193043862302, 'Anat': 0.9971489679332393, 'The': 0.0001686913237142831}",Anat,True
22,"You don't like cheap restaurants. Between Oxygen Restaurant & Lounge and Tik Talk Cafe, you should go to ->",Oxygen Restaurant & Lounge,Tik Talk Cafe,"{'X': 0.0003093652315276306, 'xy': 0.005346147879170136, 'A': 0.0005334515535829958, 'Conv': 0.00019056103900403655, 'Oxy': 0.9918452250551778}",Oxy,True
