,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like hot weather. Between Dar es Salaam and Indianapolis, this person should visit ->",Indianapolis,Dar es Salaam,"{'Indiana': 0.0004992677664610372, 'Indianapolis': 0.9957281010300812, 'IND': 5.979843906143238e-05, 'Indy': 0.0034662117363962915, 'ndian': 0.00010617785420975539}",Indianapolis,True
1,"Someone doesn't like hot weather. Between Caracas and Omaha, this person should visit ->",Omaha,Caracas,"{'Nebraska': 0.0012318711566265694, 'Omaha': 0.9913673214126495, 'O': 0.007301361802047962, 'Wichita': 1.3303432145163034e-05, '': 5.7810739213674414e-05}",Omaha,True
2,"Someone doesn't like hot weather. Between Phnom Penh and Irkutsk, this person should visit ->",Irkutsk,Phnom Penh,"{'Siberia': 0.001434451403610891, 'cold': 0.0034525651585454115, 'Siberian': 0.0022800625549741207, 'Ir': 0.9648418934992141, 'Ark': 0.022617258809722082}",Ir,True
3,"Someone doesn't like hot weather. Between Parakou and Skopje, this person should visit ->",Skopje,Parakou,"{'k': 0.0042703990575826715, 'Macedonia': 0.00034389368623486885, 'Sk': 0.9913796580643556, 'Sof': 0.0016970972285481095, 'cold': 0.0010808921651702698}",Sk,True
4,"Someone doesn't like hot weather. Between Mandalay and Podgorica, this person should visit ->",Podgorica,Mandalay,"{'Pod': 0.927988387262489, 'Split': 0.007320922019448694, 'Sof': 0.00470211157444351, 'od': 0.03247525708693486, 'cold': 0.00433890181893876}",Pod,True
5,"Someone doesn't like hot weather. Between Rosario and Novosibirsk, this person should visit ->",Novosibirsk,Rosario,"{'ov': 0.007392258315312581, 'Siberia': 0.001316456660253641, 'O': 0.002797728894598193, 'Nov': 0.9802786450974833, 'Ark': 0.0019206306179890792}",Nov,True
6,"Someone doesn't like hot weather. Between Bata and Lviv, this person should visit ->",Lviv,Bata,"{'Edmonton': 1.4243470026923826e-05, 'Lv': 0.9959044743343416, 'v': 0.003986029724476286, 'Vil': 1.299723390085828e-05, 'cold': 1.675270198777013e-05}",Lv,True
7,"Someone doesn't like hot weather. Between Tampa and Ushuaia, this person should visit ->",Ushuaia,Tampa,"{'Tampa': 0.021056783799746757, 'Winnipeg': 0.0036859300394053262, 'San': 0.004338663185901185, 'Ant': 0.002122274262435404, 'U': 0.9620935651262322}",U,True
8,"Someone doesn't like hot weather. Between Bangui and Baku, this person should visit ->",Baku,Bangui,"{'Istanbul': 0.00013513517286382423, 'T': 8.387709377028286e-05, 'B': 0.9994616401676867, 'Budapest': 0.00022106937316071875, 'Bat': 2.275624374254794e-05}",B,False
9,"Someone doesn't like hot weather. Between San Juan and Indianapolis, this person should visit ->",Indianapolis,San Juan,"{'Indiana': 0.00030844438697316814, 'Indianapolis': 0.9970426343466904, 'Colts': 2.2867222605550397e-05, 'Indy': 0.0025076946851638176, 'ndian': 5.749077832380712e-05}",Indianapolis,True
10,"Someone doesn't like hot weather. Between Garissa and Erzurum, this person should visit ->",Erzurum,Garissa,"{'cold': 0.00029257895385701637, 'Er': 0.9992943265547036, 'Gar': 2.0814826764081232e-05, 'Ash': 2.9997125426791906e-05, 'r': 0.00022034501280355657}",Er,True
11,"Someone doesn't like hot weather. Between Wau and Johannesburg, this person should visit ->",Johannesburg,Wau,"{'Bl': 5.911100151678018e-05, 'W': 0.002272941662184614, 'Pret': 5.271128440533979e-05, 'Johannes': 0.9971469409308775, 'Wit': 0.0002033941166078431}",Johannes,True
12,"Someone doesn't like hot weather. Between Mumbai and Punta Arenas, this person should visit ->",Punta Arenas,Mumbai,"{'Penguins': 4.9149297718906826e-05, 'Antarctica': 8.728796173395087e-05, 'P': 0.9994408979558299, 'O': 5.006071445944828e-05, 'cold': 0.00012889363868663907}",P,True
13,"Someone doesn't like hot weather. Between Vientiane and Halifax, this person should visit ->",Halifax,Vientiane,"{'Nova': 0.00013484143842664253, 'Mon': 4.58761125551607e-05, 'Halifax': 0.9995292292973177, 'al': 0.00012551453366522927, 'Dartmouth': 4.892925884642573e-05}",Halifax,True
14,"Someone doesn't like hot weather. Between Thiès and Moscow, this person should visit ->",Moscow,Thiès,"{'Russia': 0.0002266573845081665, 'Sochi': 0.00017859247922695967, 'cold': 0.00019608467043502714, 'oscow': 0.0006148722717126904, 'Moscow': 0.998263701812797}",Moscow,True
15,"Someone doesn't like hot weather. Between Phnom Penh and Chicago, this person should visit ->",Chicago,Phnom Penh,"{'hicago': 0.0009229403054853305, 'cold': 0.0002641860415931957, 'Chicago': 0.9966116873311037, 'Chic': 0.00011738235030379472, 'Detroit': 0.0017495931566309452}",Chicago,True
16,"Someone doesn't like hot weather. Between Hanoi and Punta Arenas, this person should visit ->",Punta Arenas,Hanoi,"{'Antarctica': 4.854079400759286e-05, 'P': 0.9995995026904669, 'Ant': 3.5659284864744984e-05, 'cold': 0.00010403314579840174, '': 6.257742299136029e-05}",P,True
17,"Someone doesn't like hot weather. Between Riyadh and Ushuaia, this person should visit ->",Ushuaia,Riyadh,"{'San': 0.006716250106931046, 'Antarctica': 0.0009373629476309908, 'Ant': 0.005614693377667843, 'cold': 0.001646496964100242, 'U': 0.9798752385733807}",U,True
18,"Someone doesn't like hot weather. Between Sydney and Kuopio, this person should visit ->",Kuopio,Sydney,"{'Sydney': 0.047116689448082186, 'Ku': 0.5233972725100869, 'Stockholm': 0.02821501488513849, 'O': 0.15381178490133435, 'Helsinki': 0.22663352350548463}",Ku,True
19,"Someone doesn't like hot weather. Between Ouahigouya and Suwałki, this person should visit ->",Suwałki,Ouahigouya,"{'Su': 0.971059296596254, 'Warsaw': 0.01986517659498483, 'W': 0.00248657752980495, 'Ou': 0.0021399104427635277, 'u': 0.0020531665891192915}",Su,True
20,"Someone doesn't like hot weather. Between Entebbe and Minneapolis, this person should visit ->",Minneapolis,Entebbe,"{'Minneapolis': 0.9991875760951516, 'Winnipeg': 0.0003356175131963274, 'M': 7.759713900088962e-05, 'cold': 6.542664281280713e-05, 'Minnesota': 0.0002498904340419227}",Minneapolis,True
21,"Someone doesn't like hot weather. Between Thiès and Ushuaia, this person should visit ->",Ushuaia,Thiès,"{'Antarctica': 0.00023730400910406863, 'Ant': 0.0023941270573717313, 'cold': 0.00015545752729812095, 'U': 0.9966850037733146, '': 9.900432716970362e-05}",U,True
22,"Someone doesn't like hot weather. Between La Paz and Ottawa, this person should visit ->",Ottawa,La Paz,"{'Ottawa': 0.9976065563647758, 'O': 0.0006241401596457942, 'cold': 0.0007658072896244578, 'tt': 0.00033521380695659487, 'Ott': 0.00017294152956283247}",Ottawa,True
23,"Someone doesn't like hot weather. Between Garissa and Asmara, this person should visit ->",Asmara,Garissa,"{'As': 0.9970132474466485, 'Tehran': 2.6642310115617403e-05, 'T': 2.902645216811472e-05, 'Ash': 0.0028563205597343004, 'Ark': 2.4715005219940806e-05}",As,True
24,"Someone doesn't like hot weather. Between Garissa and Saskatoon, this person should visit ->",Saskatoon,Garissa,"{'Edmonton': 0.0025662571589008757, 'Winnipeg': 0.02370021877194264, 'Sask': 0.9139765265220099, 'Saskatchewan': 0.05593700120457523, 'cold': 0.0031633442627587533}",Sask,True
25,"Someone doesn't like hot weather. Between Darwin and Fukuoka, this person should visit ->",Fukuoka,Darwin,"{'Tokyo': 0.07111437376121889, 'Darwin': 0.8267947342718646, 'Fuk': 0.010462339330363652, 'Adelaide': 0.05659813753819524, 'Dun': 0.010529755210211088}",Darwin,False
