,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between JJ Bean and Sushi Shop, the restaurant at a smaller distance is ->",Sushi Shop,JJ Bean,"{'T': 3.2696912384681496e-06, 'S': 0.9967816217182166, 'J': 2.52572074350935e-05, 'B': 1.0200304348815805e-05, 'JJ': 0.0031558942000247236}",S,True
1,"Between Anatolia Restaurant and Carole's Cheesecake Cafe, the restaurant at a smaller distance is ->",Anatolia Restaurant,Carole's Cheesecake Cafe,"{'Car': 0.4573483383954783, 'Gor': 0.0010096058215494114, 'anat': 0.0012010357133280139, 'Anat': 0.5353741129093095, 'ar': 0.0008731287788521823}",Anat,True
2,"Between EJ Sushi and Harry's Char Broil & Dining Lounge, the restaurant at a smaller distance is ->",Harry's Char Broil & Dining Lounge,EJ Sushi,"{'arry': 0.014210682620362491, 'S': 0.015368709303600365, 'H': 0.003807975103579279, 'E': 0.20983253894063683, 'Harry': 0.7296031374487283}",Harry,True
3,"Between Hawthorne Food and Drink and Juice & Java Cafe, the restaurant at a smaller distance is ->",Juice & Java Cafe,Hawthorne Food and Drink,"{'u': 0.0004733854956648715, 'Juice': 0.973286590499987, 'Sauce': 0.004265273386895868, 'Hawth': 0.018078877701081637, 'Th': 0.00032386817248964827}",Juice,True
4,"Between St. Clair Shawarma and Falafel and Kairali - Taste of Kerala, the restaurant at a smaller distance is ->",Kairali - Taste of Kerala,St. Clair Shawarma and Falafel,"{'Fl': 0.0014153087129313278, 'al': 0.0021515376638122762, 'K': 0.9445027032011893, 'St': 0.0023641344668162696, 'Fal': 0.045179447359012186}",K,True
5,"Between Juice & Java Cafe and Eastern legend, the restaurant at a smaller distance is ->",Juice & Java Cafe,Eastern legend,"{'juice': 0.0005233110127477913, 'Juice': 0.900252062883064, 'Sauce': 0.0009790410360696706, 'astern': 0.001476202451421564, 'Eastern': 0.09458178207105543}",Juice,True
6,"Between Banjara Indian Cuisine and Kim PO Vietnamese, the restaurant at a smaller distance is ->",Kim PO Vietnamese,Banjara Indian Cuisine,"{'Ban': 0.8139428616308869, 'Nik': 0.004207244746709305, 'an': 0.028494135067211275, 'Kim': 0.12621346990282906, 'Ken': 0.010940771100126034}",Ban,False
7,"Between Mirage Grill & Lounge and Branca, the restaurant at a smaller distance is ->",Branca,Mirage Grill & Lounge,"{'Brussels': 0.00035437531308416345, 'Br': 0.0281565463228201, 'B': 0.0006942475227658557, 'Mirage': 0.96859123809663, 'r': 0.0012224669154598314}",Mirage,False
8,"Between Helena's Magic Kitchen and La Cocina De Dona Luz, the restaurant at a smaller distance is ->",La Cocina De Dona Luz,Helena's Magic Kitchen,"{'Lah': 0.006591330856147961, 'L': 0.004214282194059249, 'Helena': 0.9262464602236811, 'La': 0.049731571803924804, 'Magic': 0.0025517777649279416}",Helena,False
9,"Between Freshii and Popeyes Louisiana Kitchen, the restaurant at a smaller distance is ->",Popeyes Louisiana Kitchen,Freshii,"{'Fl': 1.3089097750963846e-06, 'op': 1.02507887204263e-06, 'Fresh': 0.003978897134380769, 'resh': 3.992759348675693e-06, 'Pop': 0.9960103319575373}",Pop,True
10,"Between Shawarma Twist and Breakfast Room, the restaurant at a smaller distance is ->",Breakfast Room,Shawarma Twist,"{'breakfast': 0.002475300936123653, 'Shaw': 0.35562410172849523, 'Breakfast': 0.594416694302346, 'haw': 0.02052890881743964, 'The': 0.0029913095825294853}",Breakfast,True
11,"Between Mamma's Pizza and Mt Everest Restaurant, the restaurant at a smaller distance is ->",Mamma's Pizza,Mt Everest Restaurant,"{'Mong': 0.0010501450305685448, 'Mt': 0.8937954483197038, 'Mam': 0.08593043546486986, '': 0.005104228322030684, 'Mountain': 0.002783571955353401}",Mt,False
12,"Between Delicious Paradise Kitchen and Buk Chang Dong Soon Tofu, the restaurant at a smaller distance is ->",Delicious Paradise Kitchen,Buk Chang Dong Soon Tofu,"{'Sweet': 0.010092150858395495, 'Brussels': 0.01768768932056111, 'B': 0.1064165254239198, 'Buk': 0.4207021406892943, 'Delicious': 0.3893969338936195}",Buk,False
13,"Between La Pupusa Loka and Mi Mi Restaurant, the restaurant at a smaller distance is ->",La Pupusa Loka,Mi Mi Restaurant,"{'Mi': 0.056261467050410456, 'My': 0.013172943339550732, 'Lah': 0.027288170110259965, 'L': 0.15770685773567614, 'La': 0.7110056021182652}",La,True
14,"Between Warung Indonesia D'Eglinton and Helena's Magic Kitchen, the restaurant at a smaller distance is ->",Warung Indonesia D'Eglinton,Helena's Magic Kitchen,"{'ar': 0.0004304357888677131, 'War': 0.05336036697797959, 'Victory': 0.00036483038901962447, 'Helena': 0.9438052755640247, 'Hero': 0.00023068509559687067}",Helena,False
15,"Between Tierra Azteca and Dangerous Dan's Diner, the restaurant at a smaller distance is ->",Dangerous Dan's Diner,Tierra Azteca,"{'Tier': 0.17532694341110616, 'Danger': 0.0015915689313345843, 'Dangerous': 0.808758316554093, 'T': 0.0032778433109541187, 'ier': 0.0035742078779085387}",Dangerous,True
16,"Between The Empire and Eastern legend, the restaurant at a smaller distance is ->",The Empire,Eastern legend,"{'the': 4.193155130374901e-05, 'The': 0.9955230605048269, 'Chinese': 0.00024831896226529466, 'Empire': 4.910930646921043e-05, 'Eastern': 0.003536404662508209}",The,True
17,"Between Basil Express Restaurant and Grappa Ristorante, the restaurant at a smaller distance is ->",Basil Express Restaurant,Grappa Ristorante,"{'Gor': 0.01200993085731087, 'Basil': 0.35998608538043225, 'basil': 0.003567397288206499, 'ra': 0.021130383457073004, 'Gra': 0.5965567521850312}",Gra,False
18,"Between Chick Fiesta and Mirage Grill & Lounge, the restaurant at a smaller distance is ->",Chick Fiesta,Mirage Grill & Lounge,"{'Shell': 0.000504462021746627, 'Gor': 0.00021973725957176717, 'ir': 0.0005920276607097105, 'Chick': 0.0046332996376022085, 'Mirage': 0.9910161322755853}",Mirage,False
19,"Between Helena's Magic Kitchen and Amaya Express, the restaurant at a smaller distance is ->",Amaya Express,Helena's Magic Kitchen,"{'Am': 0.012493022381634886, 'A': 0.001501596505318336, 'The': 0.0010053575797569418, 'Helena': 0.974259155813935, 'Magic': 0.003003989621438997}",Helena,False
20,"Between Domino's Pizza and Buk Chang Dong Soon Tofu, the restaurant at a smaller distance is ->",Buk Chang Dong Soon Tofu,Domino's Pizza,"{'Dim': 0.00816797711427436, 'om': 0.008107240724534923, 'B': 0.007467806232578098, 'Buk': 0.7600078247736185, 'Dom': 0.19775361338713482}",Buk,True
21,"Between Magic Oven and Sushi World, the restaurant at a smaller distance is ->",Sushi World,Magic Oven,"{'agic': 1.264939832698676e-06, 'S': 0.04603709013967372, 'F': 1.866450784003807e-07, 'The': 1.3673665325572168e-07, 'Magic': 0.9539592627170909}",Magic,False
22,"Between La Pupusa Loka and Ici Bistro, the restaurant at a smaller distance is ->",La Pupusa Loka,Ici Bistro,"{'Le': 0.0028915583521170744, 'Ich': 0.00509115784412622, 'I': 0.7410224405511527, 'L': 0.17597836810362233, 'La': 0.0647416528646358}",I,False
23,"Between Nutella Cafe by Pusateri's and Chick Fiesta, the restaurant at a smaller distance is ->",Chick Fiesta,Nutella Cafe by Pusateri's,"{'Nut': 0.0063705784821310825, 'Pizza': 0.00013837225562691094, 'Chick': 0.006207198574731048, 'P': 0.9861611427025891, 'ut': 0.0006177004047557298}",P,False
24,"Between Cake Opera and St. Louis Bar & Grill, the restaurant at a smaller distance is ->",St. Louis Bar & Grill,Cake Opera,"{'Pizza': 0.007968635542665017, 'Cake': 0.755980134699772, 'C': 0.005796271575181587, 'Sauce': 0.005628195518596522, 'St': 0.1849308144123114}",Cake,False
25,"Between Oxygen Restaurant & Lounge and Freshii, the restaurant at a smaller distance is ->",Oxygen Restaurant & Lounge,Freshii,"{'Fresh': 0.6192035397948569, 'xy': 0.0008839297206625468, 'Oxy': 0.37733012936700866, 'resh': 0.0007976154251881121, 'O': 0.0007183870983532132}",Fresh,False
26,"Between Freshii and Kim PO Vietnamese, the restaurant at a smaller distance is ->",Kim PO Vietnamese,Freshii,"{'Fresh': 0.9554100241344904, 'resh': 0.002593318368442638, 'F': 0.0030745706914714573, 'Kim': 0.026483126093255725, 'Ken': 0.0018012010258500796}",Fresh,False
