,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone is looking for restaurants further away. Between Fitness Avenue and Paradise Farms Prime Beef Bistro, this person should go to ->",Fitness Avenue,Paradise Farms Prime Beef Bistro,"{'1': 0.08136481073461682, '2': 0.6913153304601571, '3': 0.1490191735159958, '4': 0.05014435666593921, '5': 0.009788265585339054}",2,False
1,"Someone is looking for restaurants further away. Between Capitol Trattoria Pizzeria and Sky Dragon Chinese Restaurant, this person should go to ->",Capitol Trattoria Pizzeria,Sky Dragon Chinese Restaurant,"{'1': 0.026817548794289593, '2': 0.7487604073622465, '3': 0.1332827323431244, '4': 0.05651775739678384, '6': 0.013055875717399131}",2,False
2,"Someone is looking for restaurants further away. Between Freshii and Lebanese Bakery, this person should go to ->",Freshii,Lebanese Bakery,"{'1': 0.11688422079296852, '2': 0.23290777947711463, '3': 0.23074776302785283, '4': 0.1543663508580349, '6': 0.07629220564291851}",2,False
3,"Someone is looking for restaurants further away. Between Basha Middle Eastern Grill and Thompson Rooftop, this person should go to ->",Thompson Rooftop,Basha Middle Eastern Grill,"{'1': 0.013062980045991579, '2': 0.42494624517432517, '3': 0.30355641632731045, '4': 0.22779904961333333, '6': 0.012694746912787469}",2,False
4,"Someone is looking for restaurants further away. Between Magic Oven and Breakfast Room, this person should go to ->",Magic Oven,Breakfast Room,"{'1': 0.13690293608303528, '2': 0.529112888541998, '3': 0.13319660622389842, '4': 0.0504343645469769, 'Magic': 0.048368311536632735}",2,True
5,"Someone is looking for restaurants further away. Between Kim PO Vietnamese and Viccino Pizzeria, this person should go to ->",Viccino Pizzeria,Kim PO Vietnamese,"{'1': 0.18364023131329457, '2': 0.6376584906909882, '3': 0.10868160786989299, '4': 0.034522789769436714, '6': 0.012868201638061525}",2,False
6,"Someone is looking for restaurants further away. Between Eggspectation and Thai 4 You Restaurant, this person should go to ->",Eggspectation,Thai 4 You Restaurant,"{'1': 0.016269647884422173, '2': 0.8369294007659757, '3': 0.12460089371275165, '4': 0.01452672387473592, '5': 0.0016104719601394589}",2,False
7,"Someone is looking for restaurants further away. Between Thompson Rooftop and The Empire, this person should go to ->",Thompson Rooftop,The Empire,"{'2': 0.21805948204354786, '3': 0.24742699751942035, '4': 0.24382315281904554, '6': 0.09345605062365075, '7': 0.07062880604958661}",3,False
8,"Someone is looking for restaurants further away. Between Freshii and Verona Restaurant, this person should go to ->",Freshii,Verona Restaurant,"{'1': 0.06363924113014331, '2': 0.3427281539962203, '3': 0.22819754493586608, '4': 0.20091402474820305, '5': 0.0700583368803088}",2,False
9,"Someone is looking for restaurants further away. Between Tortería San Cosme and EJ Sushi, this person should go to ->",EJ Sushi,Tortería San Cosme,"{'1': 0.11179868280935466, '2': 0.49112760351136364, '3': 0.21539177494861228, '4': 0.08608806457325957, '5': 0.025228802015427557}",2,False
10,"Someone is looking for restaurants further away. Between Aris Place and Kairali - Taste of Kerala, this person should go to ->",Aris Place,Kairali - Taste of Kerala,"{'1': 0.25213810648084656, '2': 0.506003496317583, '3': 0.15444336800032135, '4': 0.04860157700206368, '6': 0.016410472186166335}",2,False
