,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Muscat and Nur-Sultan, the city with colder weather is ->",Nur-Sultan,Muscat,"{'Tehran': 0.34103304508026583, 'Istanbul': 0.03164157052463314, 'Mus': 0.01588578491726726, 'Sochi': 0.1545900661604985, 'Ash': 0.372257150030024}",Ash,False
1,"Between Djibouti and Perth, the city with colder weather is ->",Perth,Djibouti,"{'Edinburgh': 3.694064952886644e-05, 'Adelaide': 7.847032736378213e-05, 'Perth': 0.999726401184984, 'Dun': 2.0726323477398094e-05, 'er': 0.00010309568710186573}",Perth,True
2,"Between Jakarta and Sapporo, the city with colder weather is ->",Sapporo,Jakarta,"{'Hok': 1.414627103076822e-05, 'Sapp': 0.9998265966560981, 'S': 0.00011025551744906986, 'Sochi': 9.55011845388874e-06, 'Ark': 1.2984418451874611e-05}",Sapp,True
3,"Between Surabaya and Berlin, the city with colder weather is ->",Berlin,Surabaya,"{'Berlin': 0.9996178629929524, 'er': 0.00016693801201380547, 'German': 3.1907134951048594e-06, 'Germany': 0.00016222731942154957, 'Dresden': 3.3355095789119815e-05}",Berlin,True
4,"Between Kathmandu and Kuopio, the city with colder weather is ->",Kuopio,Kathmandu,"{'Ku': 0.9918572086015794, 'u': 0.005473144307510266, 'O': 0.0010461348520449457, 'Helsinki': 0.0008870155897427135, 'K': 0.00021686814843342625}",Ku,True
5,"Between Muscat and Fianarantsoa, the city with colder weather is ->",Fianarantsoa,Muscat,"{'Monte': 0.0005267302500264892, 'San': 0.003718021897905453, 'T': 0.003679380070850964, 'C': 0.0005795231197205786, 'F': 0.9838251163616433}",F,True
6,"Between Port Moresby and Antofagasta, the city with colder weather is ->",Antofagasta,Port Moresby,"{'San': 0.0016370860766939314, 'M': 0.0006048814920679614, 'Santiago': 0.00017952214269707458, 'Ant': 0.9876337345341154, 'Conce': 0.009402174374683625}",Ant,True
7,"Between Quito and Ulaanbaatar, the city with colder weather is ->",Ulaanbaatar,Quito,"{'Har': 0.0021747468761405073, 'Tall': 0.0008653147018761176, 'O': 0.0032600765574463952, 'U': 0.9872516692588934, 'Ark': 0.0026854407816686056}",U,True
8,"Between Monterrey and Dublin, the city with colder weather is ->",Dublin,Monterrey,"{'Dublin': 0.9990039956419405, 'Edinburgh': 4.075809857444488e-05, 'D': 3.19652238755116e-05, 'ub': 0.000564090589321366, 'Ireland': 0.00028612007288166636}",Dublin,True
9,"Between Manaus and Kunming, the city with colder weather is ->",Kunming,Manaus,"{'Har': 0.0011221553762085612, 'Kun': 0.9945249148126107, 'W': 0.00019291748487273018, 'Chong': 0.0030158444653812506, 'K': 0.0004692553881929599}",Kun,True
10,"Between Kuwait City and Novosibirsk, the city with colder weather is ->",Novosibirsk,Kuwait City,"{'ov': 0.0027991821325137234, 'Siberia': 0.0017305626363887507, 'Siberian': 0.0024842909304745035, 'Nov': 0.9872995343546108, 'Ark': 0.004733001552698894}",Nov,True
11,"Between Willemstad and Murmansk, the city with colder weather is ->",Murmansk,Willemstad,"{'ur': 0.005571283615372083, 'Vil': 3.6715299854858056e-05, 'Wil': 2.304172166234925e-05, 'Mur': 0.9929281043752407, 'Ark': 0.0013304492657379753}",Mur,True
12,"Between Barranquilla and Beijing, the city with colder weather is ->",Beijing,Barranquilla,"{'Beijing': 0.997929258549441, 'Tehran': 0.00023735444156426235, 'Har': 0.00028155549204209404, 'Warsaw': 0.00015486388316406714, 'Chong': 0.0008319917775036611}",Beijing,True
13,"Between Djibouti and Lusaka, the city with colder weather is ->",Lusaka,Djibouti,"{'Edmonton': 0.0003305829324146538, 'Edinburgh': 0.0008457912315741661, 'W': 0.0009225149280615319, 'L': 0.9949131212125738, '': 0.00030424568762046347}",L,True
14,"Between Surabaya and Bergen, the city with colder weather is ->",Bergen,Surabaya,"{'ber': 0.0005611318238052813, 'Har': 0.0005182980992774574, 'er': 0.0007806430147568981, 'Ber': 0.9979064902548033, 'Ark': 9.879535188653294e-05}",Ber,True
15,"Between Melbourne and Ulaanbaatar, the city with colder weather is ->",Ulaanbaatar,Melbourne,"{'Melbourne': 0.05006838540073243, 'Tall': 0.01969267775292419, 'O': 0.008561182121988883, 'U': 0.8822066706140461, 'Detroit': 0.0129759322863361}",U,True
16,"Between Córdoba and Oslo, the city with colder weather is ->",Oslo,Córdoba,"{'Norway': 0.0006309669966750715, 'or': 6.597972896552676e-05, 'Norwegian': 0.00010920092762009883, 'Oslo': 0.9988165967745175, 'O': 0.00025549594992799185}",Oslo,True
17,"Between Parakou and Ushuaia, the city with colder weather is ->",Ushuaia,Parakou,"{'San': 0.01607649518693138, 'Ant': 0.006062582588293658, 'Conce': 0.022912847489401263, 'U': 0.9210399747789115, 'Dun': 0.008321697654095172}",U,True
18,"Between Juba and Ottawa, the city with colder weather is ->",Ottawa,Juba,"{'Ottawa': 0.9992171996481832, 'Canada': 7.517537001855476e-06, 'O': 3.173082347935935e-05, 'tt': 0.000474237029036369, 'Ott': 0.000255899184908242}",Ottawa,True
19,"Between Phnom Penh and Antofagasta, the city with colder weather is ->",Antofagasta,Phnom Penh,"{'San': 0.00018281881089479815, 'C': 1.3652730769067035e-05, 'Santiago': 1.4331494928030893e-05, 'Ant': 0.9991343494917669, 'Conce': 0.0006187237309579924}",Ant,True
20,"Between Baghdad and Vienna, the city with colder weather is ->",Vienna,Baghdad,"{'Austria': 0.01967703616640703, 'Vienna': 0.9754532677618678, 'Austrian': 0.001541304258327401, 'W': 0.002925818524528123, 'i': 0.00015879063252951706}",Vienna,True
21,"Between La Paz and Minneapolis, the city with colder weather is ->",Minneapolis,La Paz,"{'Minneapolis': 0.9970537813456539, 'Winnipeg': 0.00032042414073293413, 'St': 3.8757781865172095e-05, 'Detroit': 0.00016291971899322973, 'Minnesota': 0.0022951846068271667}",Minneapolis,True
22,"Between Bogotá and Fairbanks, the city with colder weather is ->",Fairbanks,Bogotá,"{'Cold': 3.035352203226876e-05, 'Bog': 4.951702540253797e-05, 'air': 0.0005446965540070097, 'Fair': 0.9991211776907214, 'Ark': 6.230468091008624e-05}",Fair,True
23,"Between Djibouti and Baltimore, the city with colder weather is ->",Baltimore,Djibouti,"{'Baltimore': 0.9974783475205791, 'Maryland': 1.738612645418236e-05, 'altimore': 0.002361479380955281, 'Detroit': 1.253313024780996e-05, 'Balt': 0.00010710852341182647}",Baltimore,True
