,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Mamma's Pizza and The Duke of Devon, the more expensive restaurant is ->",The Duke of Devon,Mamma's Pizza,"{'Between': 3.093856790777483e-05, 'Pizza': 2.6613232592188437e-05, 'Mam': 0.873047643653453, 'Lah': 2.296172175488976e-05, 'The': 0.12677543322908139}",Mam,False
1,"Between Mövenpick Café and Mamma's Pizza, the more expensive restaurant is ->",Mövenpick Café,Mamma's Pizza,"{'Mam': 0.9533316943987277, 'Lah': 2.4519165032113087e-05, 'M': 0.04628520108390502, 'P': 0.00010465754648649444, '': 0.0001544815324251043}",Mam,False
2,"Between Paradise Farms Prime Beef Bistro and Thompson Rooftop, the more expensive restaurant is ->",Thompson Rooftop,Paradise Farms Prime Beef Bistro,"{'Thompson': 0.10707265031637764, 'Paradise': 0.8873101109660796, 'paradise': 0.0007392835621438669, 'hompson': 0.001311051620593206, '3': 0.0008280804056671998}",Paradise,False
3,"Between Hapa Toronto and Piper's Pub And Grill, the more expensive restaurant is ->",Hapa Toronto,Piper's Pub And Grill,"{'Ph': 5.094470067486233e-07, 'Piper': 0.00538494597996379, 'P': 1.006686721933009e-05, 'H': 0.9945974551217266, '': 4.04788109570979e-06}",H,True
4,"Between Thompson Rooftop and Kim PO Vietnamese, the more expensive restaurant is ->",Thompson Rooftop,Kim PO Vietnamese,"{'Thompson': 0.7269631939748707, 'R': 0.2403891284734158, 'hompson': 0.012673776028075222, 'Th': 0.0007515780464040321, 'Kim': 0.01694482163656605}",Thompson,True
5,"Between Nutella Cafe by Pusateri's and Tortería San Cosme, the more expensive restaurant is ->",Nutella Cafe by Pusateri's,Tortería San Cosme,"{'Nut': 0.5129230013043665, 'or': 0.0028935252804763636, 'P': 0.34226479058953135, 'Tor': 0.1352457209275052, 'ut': 0.0023162047880860084}",Nut,True
6,"Between Modo Mio Italian Bistro and Hapa Toronto, the more expensive restaurant is ->",Hapa Toronto,Modo Mio Italian Bistro,"{'Mod': 0.000374123537844319, 'H': 0.9996240623522727, '': 1.665137414000785e-07, 'L': 1.1191949709859137e-07, 'od': 6.827910185257096e-07}",H,True
7,"Between Anatolia Restaurant and Verona Restaurant, the more expensive restaurant is ->",Verona Restaurant,Anatolia Restaurant,"{'er': 0.002028224701164947, 'anat': 0.00018697568056902505, 'Anat': 0.7793940267617148, 'VER': 3.293689829213608e-05, 'Ver': 0.2182588795209015}",Anat,False
8,"Between Shawarma Twist and The Duke of Devon, the more expensive restaurant is ->",The Duke of Devon,Shawarma Twist,"{'Between': 1.886262701805633e-05, 'Shaw': 0.5423755612844475, 'haw': 2.6802242461804593e-05, '1': 1.8108556438245473e-05, 'The': 0.45740946708573854}",Shaw,False
9,"Between Mysteriously Yours Dinner Theatre and To-ne Sushi, the more expensive restaurant is ->",Mysteriously Yours Dinner Theatre,To-ne Sushi,"{'Myster': 0.6839625255965525, 'To': 0.3133875736418319, 'My': 0.0011719139640916946, 'o': 0.0003180003737087628, 'myster': 0.0002965048447091853}",Myster,True
10,"Between Pizzeria Via Mercanti and Sizzlers, the more expensive restaurant is ->",Pizzeria Via Mercanti,Sizzlers,"{'Pizza': 1.346920072113518e-06, 'S': 0.9756950208870392, 'Via': 6.942163468882295e-05, 'P': 0.024233284457433696, 'R': 2.2119890888905997e-07}",S,False
