,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for restaurants nearby. If I were you, between Mirage Grill & Lounge and Kairali - Taste of Kerala I would go to ->",Kairali - Taste of Kerala,Mirage Grill & Lounge,"{'ir': 1.3963108492824088e-07, 'Miranda': 1.8353820307062104e-07, 'Mirage': 0.00014403042442150544, '': 4.0535237232537634e-06, 'K': 0.9998510361362183}",K,True
1,"You are looking for restaurants nearby. If I were you, between Nutella Cafe by Pusateri's and Thai 4 You Restaurant I would go to ->",Thai 4 You Restaurant,Nutella Cafe by Pusateri's,"{'Nut': 0.00011436276646020307, 'Thai': 0.003906991259696034, 'P': 0.9959636032369872, '': 7.034126781342953e-06, 'ut': 4.423855309890665e-06}",P,True
2,"You are looking for restaurants nearby. If I were you, between Freshii and Fit For Life I would go to ->",Fit For Life,Freshii,"{'Fresh': 0.9990783209073419, 'Fit': 0.0008368090915915343, 'it': 1.973014280487077e-05, 'resh': 4.557291441720556e-05, 'F': 5.672645332970448e-06}",Fresh,False
3,"You are looking for restaurants nearby. If I were you, between Druxy's Famous Deli and Milo's Pita I would go to ->",Milo's Pita,Druxy's Famous Deli,"{'Dru': 0.9974377541697811, 'Milo': 0.0010386025202221, 'dru': 0.001510210400171503, 'Yiannopoulos': 5.827164730472484e-06, 'nearby': 1.6864311625978926e-06}",Dru,False
4,"You are looking for restaurants nearby. If I were you, between Bagel Nash and Kibo Sushi House I would go to ->",Kibo Sushi House,Bagel Nash,"{'Bag': 0.0022468629052276963, 'ag': 1.1112689471054818e-06, '': 1.6687411803422226e-06, 'K': 0.9977482385271038, 'bag': 1.283431766635074e-06}",K,True
5,"You are looking for restaurants nearby. If I were you, between LCBO and Lahore Grill & Fast Food I would go to ->",Lahore Grill & Fast Food,LCBO,"{'LC': 0.9981157019228947, 'Lah': 4.688147265029566e-05, 'L': 6.1163380400344845e-06, 'C': 0.0018215372346013312, 'nearby': 2.164671370387956e-06}",LC,False
6,"You are looking for restaurants nearby. If I were you, between Edible Arrangements and It's All Grk I would go to ->",It's All Grk,Edible Arrangements,"{'restaurants': 0.0005392208126407068, 'Ed': 0.9934972688625827, 'Andrea': 0.00023219895247861516, 'It': 0.0007153694038113822, 'd': 0.003603253830260611}",Ed,False
7,"You are looking for restaurants nearby. If I were you, between Domino's Pizza and Breakfast Room I would go to ->",Breakfast Room,Domino's Pizza,"{'breakfast': 0.00782746716185685, 'Morning': 0.00016053268359809871, 'om': 0.00023828693528888466, 'Breakfast': 0.9359116855508848, 'Dom': 0.05542281205705227}",Breakfast,True
8,"You are looking for restaurants nearby. If I were you, between Pizzeria Via Mercanti and La Pupusa Loka I would go to ->",La Pupusa Loka,Pizzeria Via Mercanti,"{'X': 4.494578249544553e-09, 'Pizza': 4.079828025628301e-09, 'p': 3.734544426367071e-09, 'P': 0.9999999317236823, '': 1.1315005259969802e-07}",P,False
9,"You are looking for restaurants nearby. If I were you, between LCBO and Sheriff Broaster Chicken I would go to ->",Sheriff Broaster Chicken,LCBO,"{'Sheriff': 0.0007859051084390191, 'LC': 0.9959976969494113, 'her': 8.419029480095663e-06, 'L': 1.2315166578641282e-05, 'C': 0.0031607782501899403}",LC,False
10,"You are looking for restaurants nearby. If I were you, between Nutella Cafe by Pusateri's and JJ Bean I would go to ->",JJ Bean,Nutella Cafe by Pusateri's,"{'Nut': 0.0009031666229770775, 'J': 1.505271777524188e-05, 'P': 0.996317417400425, 'JJ': 0.0027296234764813644, 'ut': 1.4724835499500895e-05}",P,True
11,"You are looking for restaurants nearby. If I were you, between Galata Cafe and Supermodel Pizza I would go to ->",Supermodel Pizza,Galata Cafe,"{'uper': 0.006895966524281912, 'al': 0.027742465199540066, 'Super': 0.3071796264677052, 'Gal': 0.6515841677812118, 'gal': 0.00150203037921879}",Gal,False
12,"You are looking for restaurants nearby. If I were you, between Assembly Chef's Hall and Oxygen Restaurant & Lounge I would go to ->",Oxygen Restaurant & Lounge,Assembly Chef's Hall,"{'Assembly': 0.9168182326027552, 'assembly': 0.0026275576879558732, 'xy': 0.0032973043762497293, 'Oxy': 0.07169004381101665, 'ssembly': 0.0016068304579525646}",Assembly,False
13,"You are looking for restaurants nearby. If I were you, between Mamma's Pizza and To-ne Sushi I would go to ->",Mamma's Pizza,To-ne Sushi,"{'restaurants': 0.0005906744135868549, 'Between': 0.00023338689218338195, 'Mam': 0.9967637418092061, 'm': 0.00027274452684915025, 'nearby': 0.000642939711112815}",Mam,True
14,"You are looking for restaurants nearby. If I were you, between Assembly Chef's Hall and Tik Talk Cafe I would go to ->",Tik Talk Cafe,Assembly Chef's Hall,"{'Assembly': 0.5449769384417329, 'assembly': 0.006946610056878758, 'Nik': 0.00150552440441676, 'Tik': 0.4414738767490589, 'ssembly': 0.0030655876462324047}",Assembly,False
15,"You are looking for restaurants nearby. If I were you, between Green Grotto and 9 Restaurant I would go to ->",Green Grotto,9 Restaurant,"{'reen': 0.0035528247062087182, '': 0.004257389925580255, 'Green': 0.8952410977710049, 'green': 0.0001263746057894272, '9': 0.09648615041042466}",Green,True
16,"You are looking for restaurants nearby. If I were you, between Mt Everest Restaurant and Delicious Paradise Kitchen I would go to ->",Delicious Paradise Kitchen,Mt Everest Restaurant,"{'delicious': 0.00019183709684683108, 'Mt': 0.9951974367634163, 'ount': 0.00018254077230565535, 'Delicious': 0.002200863490373075, 'Mount': 0.0008682989414540962}",Mt,False
