,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for a city with warm weather. If I were you, between Darwin and Fukuoka I would visit ->",Darwin,Fukuoka,"{'Darwin': 0.9940945108574346, 'Fuk': 0.00203477506371067, 'Jos': 0.0003300494718641471, 'Adelaide': 0.00021361750542487335, 'ar': 0.002785289949196453}",Darwin,True
1,"You are looking for a city with warm weather. If I were you, between Viedma and Saskatoon I would visit ->",Viedma,Saskatoon,"{'Gu': 0.014700996476175255, 'San': 0.007622457154824373, 'C': 0.0034389000900138965, 'Ver': 0.035925720196306334, 'V': 0.9202366221680857}",V,True
2,"You are looking for a city with warm weather. If I were you, between Napier and Kuopio I would visit ->",Napier,Kuopio,"{'Ku': 0.09478185414645436, 'Nap': 0.9016317425196884, 'u': 0.0005714051815744609, 'ap': 0.0023710793632004284, 'Hon': 0.0001424983695607461}",Nap,True
3,"You are looking for a city with warm weather. If I were you, between Panama City and Mendoza I would visit ->",Panama City,Mendoza,"{'an': 0.0036796413161100916, 'Col': 0.0014887923366245473, 'Gu': 0.0011585987247317094, 'Panama': 0.9818610309364988, 'Pan': 0.0063492537034507985}",Panama,True
4,"You are looking for a city with warm weather. If I were you, between San Juan and Sacramento I would visit ->",San Juan,Sacramento,"{'an': 2.2593294324791404e-06, 'Puerto': 4.143817887663063e-06, 'Juan': 2.2207601739377305e-06, 'Gu': 5.969049195338648e-07, 'San': 0.9999901538444738}",San,True
5,"You are looking for a city with warm weather. If I were you, between Phnom Penh and Napier I would visit ->",Phnom Penh,Napier,"{'Ph': 0.9100414327620283, 'Cambod': 0.00132250924990393, 'h': 0.0006220508600492724, 'Cambodia': 0.008805119194390854, 'Kh': 0.07888737315466446}",Ph,True
6,"You are looking for a city with warm weather. If I were you, between Cabo San Lucas and Saint Petersburg I would visit ->",Cabo San Lucas,Saint Petersburg,"{'Cab': 0.9182528596942303, 'cab': 2.343809190357503e-05, 'Gu': 0.00010264044521806915, 'San': 0.08155961938286911, 'C': 3.041299724401896e-05}",Cab,True
7,"You are looking for a city with warm weather. If I were you, between Abéché and Los Angeles I would visit ->",Abéché,Los Angeles,"{'Jos': 7.05003417951251e-05, 'Ab': 0.9973798779273919, 'Ou': 6.248156529561125e-05, 'b': 0.0008662279173688372, 'Acc': 0.0014315063464635368}",Ab,True
8,"You are looking for a city with warm weather. If I were you, between Perth and Anchorage I would visit ->",Perth,Anchorage,"{'Gerald': 7.42871179605385e-05, 'Adelaide': 0.00722734883172411, 'Perth': 0.991560079801787, 'K': 0.00019952580133435335, 'Ash': 7.043551130727077e-05}",Perth,True
9,"You are looking for a city with warm weather. If I were you, between Kuwait City and Indianapolis I would visit ->",Kuwait City,Indianapolis,"{'Gulf': 4.480423431696742e-06, 'Kuwait': 0.9988594507213142, 'u': 0.0008431834567276838, 'K': 1.6841912276254187e-05, 'Kh': 0.0002437881372042086}",Kuwait,True
10,"You are looking for a city with warm weather. If I were you, between Caracas and Kuopio I would visit ->",Caracas,Kuopio,"{'Mar': 0.000793271757163515, 'Venezuela': 0.0006164017595275997, 'Car': 0.9894813688200561, 'Gu': 0.007477107198250959, 'ar': 0.0003052330422991956}",Car,True
11,"You are looking for a city with warm weather. If I were you, between Hanoi and Wellington I would visit ->",Hanoi,Wellington,"{'Vietnam': 0.0016147146907312742, 'Singapore': 0.0005427183853022872, 'H': 0.9946999146783865, 'Hon': 0.0005240691063456064, 'Ho': 0.00038509353697616176}",H,True
12,"You are looking for a city with warm weather. If I were you, between Pretoria and Minneapolis I would visit ->",Pretoria,Minneapolis,"{'T': 1.3005931959514167e-05, 'Pret': 0.9998395919967398, 'Johannes': 4.825201352316224e-05, 'G': 1.0224957628049847e-05, 'ret': 3.2795442513088605e-05}",Pret,True
13,"You are looking for a city with warm weather. If I were you, between Barranquilla and Calgary I would visit ->",Barranquilla,Calgary,"{'ar': 0.0004583685514300356, 'Gu': 0.005532627171722732, 'Colombia': 0.0003163502728113039, 'Bar': 0.9900280053710705, 'B': 0.0004500439559866287}",Bar,True
14,"You are looking for a city with warm weather. If I were you, between Piura and Brussels I would visit ->",Piura,Brussels,"{'Pi': 0.9993863587148722, 'Gu': 6.4560363279924285e-06, 'pi': 6.6025342853867684e-06, 'P': 1.108995294081601e-05, 'i': 0.0005771590381839886}",Pi,True
15,"You are looking for a city with warm weather. If I were you, between Karachi and Melbourne I would visit ->",Karachi,Melbourne,"{'ar': 0.00010999749116751502, 'Sind': 1.8627995023421357e-05, 'Karachi': 0.9972122693577619, 'K': 0.00015286536366863825, 'Kh': 0.002377661113286335}",Karachi,True
16,"You are looking for a city with warm weather. If I were you, between Yaoundé and Minsk I would visit ->",Yaoundé,Minsk,"{'ya': 0.00011211146033181131, 'Ya': 0.9991783978999881, 'Ou': 0.00011341351430566004, 'Cameroon': 9.58000836322351e-05, 'Y': 0.0002183566113085293}",Ya,True
17,"You are looking for a city with warm weather. If I were you, between Mumbai and Lyon I would visit ->",Mumbai,Lyon,"{'mbai': 0.00016945248414016375, 'Mumbai': 0.9892021795412603, 'M': 0.000916857954596777, '': 0.0003698293037473448, 'Bombay': 0.008860125054157736}",Mumbai,True
18,"You are looking for a city with warm weather. If I were you, between Hat Yai and Belgrade I would visit ->",Hat Yai,Belgrade,"{'Hat': 0.9985175018876141, 'at': 5.290234416171312e-06, 'Kh': 2.491279809029436e-06, 'Y': 0.0013022639879838023}",Hat,True
19,"You are looking for a city with warm weather. If I were you, between Garoua and Omaha I would visit ->",Garoua,Omaha,"{'Tam': 8.777200129820498e-05, 'ar': 0.0010326406702875406, 'G': 0.00011333653266767025, 'Ou': 0.000648382343078242, 'Gar': 0.9976133528818746}",Gar,True
20,"You are looking for a city with warm weather. If I were you, between Bangui and Podgorica I would visit ->",Bangui,Podgorica,"{'Gu': 3.030314668048461e-05, 'B': 0.9999222041062575, 'Ou': 3.7083704857539033e-06, 'Libre': 1.1831708138399697e-05, 'K': 4.219086173204356e-06}",B,True
21,"You are looking for a city with warm weather. If I were you, between Caracas and Ushuaia I would visit ->",Caracas,Ushuaia,"{'Mar': 0.0016074905187558547, 'Venezuela': 0.0016170779386702932, 'Car': 0.9921320436869786, 'Gu': 0.002781569339344946, 'ar': 0.00029698408691730975}",Car,True
22,"You are looking for a city with warm weather. If I were you, between Brasília and Zürich I would visit ->",Brasília,Zürich,"{'Rio': 0.0020906724883496468, 'Br': 0.000590227029096698, 'Gu': 0.0004943388226855688, 'Bras': 0.9923578710972446, 'Braz': 0.00257249508718843}",Bras,True
23,"You are looking for a city with warm weather. If I were you, between Douala and Johannesburg I would visit ->",Douala,Johannesburg,"{'Kum': 9.291810910300703e-05, 'Jos': 0.00046474485587929377, 'ou': 0.00019207204921488764, 'Dou': 0.9987370843500377, 'Acc': 0.00019309601610420247}",Dou,True
24,"You are looking for a city with warm weather. If I were you, between Paramaribo and Ljubljana I would visit ->",Paramaribo,Ljubljana,"{'Gu': 0.00012802730454956147, 'aram': 0.0023930178759105384, 'Param': 0.9966041175957806, 'Georgetown': 0.00019720041723536108, 'Sur': 0.00013801019482393112}",Param,True
25,"You are looking for a city with warm weather. If I were you, between Pittsburgh and Murmansk I would visit ->",Pittsburgh,Murmansk,"{'Tam': 0.00042470557237450846, 'Med': 0.00024983496452290956, 'ur': 0.000681571361439018, 'Mur': 0.9969060189549231, 'Acc': 0.0005675286643593391}",Mur,False
26,"You are looking for a city with warm weather. If I were you, between Nouakchott and Chicago I would visit ->",Nouakchott,Chicago,"{'N': 0.07134413063790512, 'Ou': 0.4199914731225416, 'Nou': 0.4846850211260558, 'Kh': 0.009723648216628158, 'Acc': 0.0035660027085249067}",Nou,True
27,"You are looking for a city with warm weather. If I were you, between Neuquén and Reykjavík I would visit ->",Neuquén,Reykjavík,"{'Rio': 0.0008864551730003409, 'Rey': 0.042606170021888316, 'San': 0.0005077430730697946, 'Ne': 0.9549328357807513, 'N': 0.00022754455331498185}",Ne,True
28,"You are looking for a city with warm weather. If I were you, between Ségou and Sacramento I would visit ->",Ségou,Sacramento,"{'Dak': 1.0056393063298879e-05, 'S': 0.9999006273677872, 'Ou': 3.98722485946921e-05, 'Libre': 4.959146046968207e-06, 'Acc': 1.4924938788008226e-05}",S,False
29,"You are looking for a city with warm weather. If I were you, between Riyadh and Toluca I would visit ->",Riyadh,Toluca,"{'Dh': 0.0035638402272288013, 'Riy': 0.0036032336520956613, 'Riyadh': 0.9318612395350556, 'Kh': 0.010599960545433055, 'Saudi': 0.0355725181969188}",Riyadh,True
30,"You are looking for a city with warm weather. If I were you, between Tucson and Saskatoon I would visit ->",Tucson,Saskatoon,"{'T': 2.7660283011034952e-05, 'Tuc': 0.00012283482392524495, 'Tucson': 0.9996093987045565, 'Ver': 2.4620158484570226e-05, 'Arizona': 6.687375297665619e-05}",Tucson,True
31,"You are looking for a city with warm weather. If I were you, between Lima and Ushuaia I would visit ->",Lima,Ushuaia,"{'Gu': 1.547618758768299e-05, 'Peru': 3.6397990168394086e-05, 'C': 2.0287593832411315e-05, 'Lima': 0.9996115445383675, 'U': 0.0002652467587895188}",Lima,True
32,"You are looking for a city with warm weather. If I were you, between Pontianak and Curitiba I would visit ->",Pontianak,Curitiba,"{'Med': 4.9025307822857865e-06, 'Pont': 0.9963570536883242, 'pont': 7.815512634632591e-06, 'ont': 0.003581246696302785, 'Kuala': 1.2173038631524935e-05}",Pont,True
33,"You are looking for a city with warm weather. If I were you, between Paramaribo and Cape Town I would visit ->",Paramaribo,Cape Town,"{'Gu': 7.284111468668761e-05, 'aram': 0.0009483821738258682, 'Param': 0.9983076302754099, 'Georgetown': 0.00018562742212640946, 'Sur': 9.49835822233675e-05}",Param,True
34,"You are looking for a city with warm weather. If I were you, between Managua and Melbourne I would visit ->",Managua,Melbourne,"{'Man': 0.9999787090486555, 'Nicaragua': 1.639078944677968e-05, 'Teg': 1.2690283868729332e-06, 'an': 9.052850232616642e-07, 'Nic': 1.825125146237567e-06}",Man,True
35,"You are looking for a city with warm weather. If I were you, between Hat Yai and Sacramento I would visit ->",Hat Yai,Sacramento,"{'Song': 8.990033348293753e-06, 'Hat': 0.992607135657112, 'at': 8.65474355040336e-06, 'Y': 0.007159765857577096}",Hat,True
36,"You are looking for a city with warm weather. If I were you, between Hat Yai and Neuquén I would visit ->",Hat Yai,Neuquén,"{'Hat': 0.9959501324223715, 'Ne': 5.690895163317279e-06, 'at': 7.0120392035374585e-06, 'Y': 0.003845808211744706}",Hat,True
37,"You are looking for a city with warm weather. If I were you, between Jakarta and Fairbanks I would visit ->",Jakarta,Fairbanks,"{'Indones': 6.157275957020416e-05, 'Indonesia': 0.0010538223409960776, 'Jak': 0.00013147760829119589, 'Jakarta': 0.9982864725673622, 'Jay': 0.00010928712115086744}",Jakarta,True
38,"You are looking for a city with warm weather. If I were you, between Darwin and Rome I would visit ->",Darwin,Rome,"{'Living': 1.8590051238403433e-05, 'Alice': 1.717846488798101e-05, 'Darwin': 0.9974014565742162, 'Adelaide': 0.00021955670976053792, 'ar': 0.0022837480594346364}",Darwin,True
39,"You are looking for a city with warm weather. If I were you, between Luanda and Oslo I would visit ->",Luanda,Oslo,"{'Living': 4.802782632125881e-05, 'u': 0.0014324715069636044, 'Angola': 0.00043752924880055175, 'LU': 0.0002512721357460357, 'Lu': 0.9976434531265221}",Lu,True
40,"You are looking for a city with warm weather. If I were you, between Hanoi and Vienna I would visit ->",Hanoi,Vienna,"{'Vietnam': 0.0021765298116635523, 'Singapore': 0.000360082999111463, 'H': 0.9954831876182041, 'Hon': 0.00024700351269504287, 'Ho': 0.0003806188794089415}",H,True
41,"You are looking for a city with warm weather. If I were you, between Makassar and Belgrade I would visit ->",Makassar,Belgrade,"{'Mak': 0.999646830379078, 'Ass': 1.8882915245068962e-05, 'Jos': 8.943083721235995e-05, 'M': 0.00015093217413105706, 'Fort': 1.5615742779950318e-05}",Mak,True
42,"You are looking for a city with warm weather. If I were you, between Lima and Irkutsk I would visit ->",Lima,Irkutsk,"{'Gu': 7.1573840492541255e-06, 'Peru': 1.6216148357855798e-05, 'C': 1.9268633334082833e-05, 'Lima': 0.999934721070762, 'Are': 3.856636991376858e-06}",Lima,True
43,"You are looking for a city with warm weather. If I were you, between Ouahigouya and Ottawa I would visit ->",Ouahigouya,Ottawa,"{'Gu': 1.1636233843053073e-08, 'Jos': 1.171764513539686e-08, 'Ou': 0.9999942078467746, 'O': 5.73529712303768e-06, 'OU': 1.3386727673018344e-07}",Ou,True
44,"You are looking for a city with warm weather. If I were you, between Managua and Toronto I would visit ->",Managua,Toronto,"{'Man': 0.9999822861768917, 'Nicaragua': 1.4757236283345677e-05, 'Teg': 8.224410735283511e-07, 'an': 7.065555576859774e-07, 'Nic': 8.919274872423557e-07}",Man,True
45,"You are looking for a city with warm weather. If I were you, between Palermo and Irkutsk I would visit ->",Palermo,Irkutsk,"{'al': 0.001735424026093633, 'Sic': 0.00029152639715378313, 'Pal': 0.9916758928495143, 'Sicily': 0.0005776788884415456, 'Ir': 0.005512011273544065}",Pal,True
46,"You are looking for a city with warm weather. If I were you, between Aden and Palermo I would visit ->",Aden,Palermo,"{'Yemen': 2.7383607226886132e-05, 'Col': 2.022957328875323e-05, 'Dh': 4.660023378498902e-05, 'Aden': 0.999805260364225, 'Kh': 2.0099874232668268e-05}",Aden,True
47,"You are looking for a city with warm weather. If I were you, between Willemstad and Santiago I would visit ->",Willemstad,Santiago,"{'Sant': 0.00038790903178191453, 'il': 0.0018707935122873943, 'Jos': 0.0009577488261665317, 'W': 0.0008146736128219975, 'Wil': 0.9950417502038215}",Wil,True
48,"You are looking for a city with warm weather. If I were you, between San José and Boise I would visit ->",San José,Boise,"{'an': 8.895180008570797e-06, 'San': 0.9999878879703512, 'SJ': 5.238135691481252e-07, 'AN': 1.2214217608484676e-06, 'SAN': 6.10623665266414e-07}",San,True
49,"You are looking for a city with warm weather. If I were you, between San José and Amsterdam I would visit ->",San José,Amsterdam,"{'an': 4.817275686321822e-06, 'Costa': 3.447652797527156e-07, 'San': 0.999993013890903, 'SJ': 3.4325439098448754e-07, 'AN': 8.96295212500814e-07}",San,True
50,"You are looking for a city with warm weather. If I were you, between Dodoma and Yinchuan I would visit ->",Dodoma,Yinchuan,"{'Tam': 4.490906425864165e-06, 'Living': 2.4469602940857945e-06, 'Dod': 0.9996411085169612, 'dod': 3.0732651339463708e-06, 'Lod': 0.00033957171369588797}",Dod,True
51,"You are looking for a city with warm weather. If I were you, between Mexico City and Halifax I would visit ->",Mexico City,Halifax,"{'Gu': 0.11853701551123558, 'exico': 0.01541962854973401, 'Mex': 0.008159413398735587, 'Ver': 0.012416637150108172, 'Mexico': 0.825278313368039}",Mexico,True
52,"You are looking for a city with warm weather. If I were you, between Medellín and Suwałki I would visit ->",Medellín,Suwałki,"{'Gu': 1.4125400787388058e-06, 'Med': 0.9999955182025433, 'Colombia': 6.761289666712384e-07, 'Ant': 1.9529832161263077e-06, 'ed': 2.120096594222236e-07}",Med,True
53,"You are looking for a city with warm weather. If I were you, between Villahermosa and Minneapolis I would visit ->",Villahermosa,Minneapolis,"{'Gu': 1.3823451832625791e-05, 'Jos': 3.918568721137433e-05, 'Villa': 0.9997740248762254, 'vill': 9.857765872136486e-06, 'Fort': 1.1499730013012615e-05}",Villa,True
54,"You are looking for a city with warm weather. If I were you, between Nakhon Ratchasima and Zagreb I would visit ->",Nakhon Ratchasima,Zagreb,"{'S': 1.7257945583406277e-06, 'R': 6.935627675012706e-06, 'N': 0.9999450915975215, 'K': 5.492500179536902e-06, 'Kh': 2.7250927520084183e-05}",N,True
55,"You are looking for a city with warm weather. If I were you, between Kampala and Río Gallegos I would visit ->",Kampala,Río Gallegos,"{'Living': 8.894814486501913e-05, 'Kum': 0.00012180964726949625, 'R': 0.0014728829622818033, 'Kamp': 0.9942514475239983, 'K': 0.0038697824035270998}",Kamp,True
56,"You are looking for a city with warm weather. If I were you, between Conakry and Milwaukee I would visit ->",Conakry,Milwaukee,"{'Con': 0.9988812094133743, 'Gu': 0.00016128444704785643, 'on': 0.0001331416445277056, 'Georgetown': 0.0002570062896557101, 'Acc': 0.00019176114439605748}",Con,True
57,"You are looking for a city with warm weather. If I were you, between Lake Havasu City and Vienna I would visit ->",Lake Havasu City,Vienna,"{'Gu': 0.00017344118628387828, 'Hav': 0.3685753907804701, 'ake': 0.000843342496124566, 'Lake': 0.6287881396027143, 'Hon': 0.000520414733422571}",Lake,True
58,"You are looking for a city with warm weather. If I were you, between Aden and Calgary I would visit ->",Aden,Calgary,"{'Yemen': 2.753507256169966e-05, 'Col': 2.3933677271643007e-05, 'Dh': 7.166758533205965e-05, 'Aden': 0.9997914302536943, 'Kh': 1.6413514624789963e-05}",Aden,True
59,"You are looking for a city with warm weather. If I were you, between Beirut and Bratislava I would visit ->",Beirut,Bratislava,"{'Lebanon': 0.0005250794360796454, 'Br': 0.018888282929228322, 'Lebanese': 0.00025258922634665545, 'Beir': 0.00026274672831181457, 'Beirut': 0.9791497910683017}",Beirut,True
60,"You are looking for a city with warm weather. If I were you, between Bata and Ulaanbaatar I would visit ->",Bata,Ulaanbaatar,"{'Gu': 9.077053639907827e-07, 'B': 0.9999131440521962, 'U': 7.686560889617353e-05, 'Fort': 2.5031765816515853e-06, 'Bat': 2.1929804572301293e-06}",B,True
61,"You are looking for a city with warm weather. If I were you, between Garoua and Johannesburg I would visit ->",Garoua,Johannesburg,"{'Gu': 0.00029834739362464576, 'ar': 0.0010325267763029765, 'G': 0.0002558748756403842, 'Ou': 0.0018112149786051752, 'Gar': 0.9953396558611534}",Gar,True
62,"You are looking for a city with warm weather. If I were you, between Makurdi and Rome I would visit ->",Makurdi,Rome,"{'Mak': 0.9997840390129319, 'Kum': 9.112859592081114e-06, 'Gu': 8.977339401558017e-06, 'Jos': 0.0001369917298522805, 'M': 2.3562030940233142e-05}",Mak,True
63,"You are looking for a city with warm weather. If I were you, between Port Sudan and Oslo I would visit ->",Port Sudan,Oslo,"{'Dak': 0.0006485835673376283, 'Sudan': 0.015940766822027958, 'S': 0.0012636440865553887, 'Port': 0.6860308646961043, 'Kh': 0.293991359950135}",Port,True
