,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Tampa and Anchorage, the city with lower average temperature is ->",Anchorage,Tampa,"{'Alaska': 0.009736119006746051, 'Winnipeg': 0.0011335028201704264, 'Anchorage': 0.9859369698738774, 'Seattle': 0.0023002050680495686, 'Ark': 0.0004981090644490131}",Anchorage,True
1,"Between Auckland and Bamako, the city with lower average temperature is ->",Auckland,Bamako,"{'Edmonton': 0.000260826010336348, 'ckland': 0.00015012879484227647, 'Auckland': 0.9942672427256584, 'Dun': 0.001248390696418121, 'New': 0.00359006381813743}",Auckland,True
2,"Between Luanda and Suwałki, the city with lower average temperature is ->",Suwałki,Luanda,"{'Su': 0.9988116502474522, 'Warsaw': 0.0005071719804294657, 'u': 0.0001455588624851138, 'Lu': 0.00015086751354896074, 'Ark': 0.00010965132491996092}",Su,True
3,"Between Sucre and Pontianak, the city with lower average temperature is ->",Sucre,Pontianak,"{'Salt': 0.058241087647613404, 'Monte': 0.004261346878541186, 'Pont': 0.01983346929325615, 'colder': 0.004923132323186796, 'Suc': 0.8937838245854819}",Suc,True
4,"Between Mahajanga and Bergen, the city with lower average temperature is ->",Bergen,Mahajanga,"{'Norway': 0.016410065211502633, 'Har': 0.0019048456448723676, 'Norwegian': 0.004769880627864306, 'er': 0.0003786913744697379, 'Ber': 0.9756349999269479}",Ber,True
5,"Between Frankfurt and Barranquilla, the city with lower average temperature is ->",Frankfurt,Barranquilla,"{'Brussels': 0.0002656273954929122, 'Frankfurt': 0.9993268133618679, 'Budapest': 5.8959045450232115e-05, 'Germany': 4.680708395198589e-05, 'Frank': 4.4935609181360964e-05}",Frankfurt,True
6,"Between Lyon and Pontianak, the city with lower average temperature is ->",Lyon,Pontianak,"{'Pont': 0.000532656397115414, 'Lyon': 0.9975734757810508, 'L': 9.610002325505224e-05, 'Lyons': 0.0001355388829186632, 'Marse': 0.0013878566504566836}",Lyon,True
7,"Between Port Sudan and Vladivostok, the city with lower average temperature is ->",Vladivostok,Port Sudan,"{'Vlad': 0.878019759917035, 'Vil': 0.03756336269607616, 'Port': 0.006690511167920584, 'St': 0.003426212004288042, 'Ark': 0.05123465092332408}",Vlad,True
8,"Between Kansas City and Managua, the city with lower average temperature is ->",Kansas City,Managua,"{'KS': 9.298094298021839e-05, 'ansas': 0.002661415912171286, 'Wichita': 0.040776481402030405, 'K': 0.00019620274894469422, 'Kansas': 0.9559971309820885}",Kansas,True
9,"Between Belgrade and Managua, the city with lower average temperature is ->",Belgrade,Managua,"{'Serbia': 0.0005165337127476596, 'Bel': 0.9992398506200351, 'Serbian': 4.022736791777057e-05, 'Budapest': 2.972803553487608e-05, 'Sof': 0.00013186076535446598}",Bel,True
