,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Tierra Azteca and Sichuan Landscape Chinese Restaurant, the more expensive restaurant is ->",Sichuan Landscape Chinese Restaurant,Tierra Azteca,"{'Tier': 0.8902744526761056, 'T': 0.033931041673300626, 'S': 0.031016405648929254, 'Conv': 0.006672788102654247, 'ier': 0.016092312588439812}",Tier,False
1,"Between Mi Mi Restaurant and Pisco 1641, the more expensive restaurant is ->",Pisco 1641,Mi Mi Restaurant,"{'Fl': 1.1472175225893817e-05, 'Por': 5.036822691688025e-05, 'Conv': 0.00011222430121035046, 'P': 0.9997600178303286, '': 1.612665604646192e-05}",P,True
2,"Between Breakfast Room and Queen Pita, the more expensive restaurant is ->",Breakfast Room,Queen Pita,"{'Q': 0.0035361949599294644, 'King': 0.00855689147693117, 'ueen': 0.011765120671903925, 'Conv': 0.02677903965211754, 'Queen': 0.9419755878265684}",Queen,False
3,"Between Bao Bao Plus Dim Sum and Green Room, the more expensive restaurant is ->",Bao Bao Plus Dim Sum,Green Room,"{'Fl': 1.756883437046259e-05, 'Gor': 3.2679388496661636e-05, 'Green': 0.00036973833692800057, 'B': 0.9995199907813044, 'R': 2.0326319186739185e-05}",B,True
4,"Between Cantine Bar & Grill and Chick Fiesta, the more expensive restaurant is ->",Cantine Bar & Grill,Chick Fiesta,"{'Cant': 0.9625919200784081, 'Coc': 0.0016603240247987207, 'Gor': 0.0012834314085805867, 'C': 0.0011300086403044467, 'Conv': 0.0320889033064198}",Cant,True
5,"Between Dinah's Cupboard and Juice & Java Cafe, the more expensive restaurant is ->",Dinah's Cupboard,Juice & Java Cafe,"{'Dim': 0.00043599813157624794, 'din': 4.470764687261475e-05, 'Din': 0.9988575437006713, 'in': 3.662567722547661e-05, 'Conv': 0.000421725470273358}",Din,True
6,"Between St. Clair Shawarma and Falafel and Breakfast Room, the more expensive restaurant is ->",Breakfast Room,St. Clair Shawarma and Falafel,"{'t': 0.010648779439651875, 'Fl': 0.0692538873826982, 'Shell': 0.0012137749286889167, 'Conv': 0.02126265566886393, 'St': 0.8947366623617977}",St,False
7,"Between Viccino Pizzeria and Mirage Grill & Lounge, the more expensive restaurant is ->",Mirage Grill & Lounge,Viccino Pizzeria,"{'ir': 0.0077006887967492575, 'Conv': 0.00880669897447636, 'Mirage': 0.974323646110324, 'Magic': 0.001275887199006184, 'Mir': 0.0016953304523716212}",Mirage,True
8,"Between Watson's and Grappa Ristorante, the more expensive restaurant is ->",Grappa Ristorante,Watson's,"{'Fl': 0.00297338870046226, 'Gor': 0.03757314171206968, 'R': 0.006988677077131122, 'ra': 0.006949955655009253, 'Gra': 0.9407943983408549}",Gra,True
9,"Between z-teca Gourmet Burritos and Falafel Hut Village, the more expensive restaurant is ->",z-teca Gourmet Burritos,Falafel Hut Village,"{'Z': 0.4886309392089691, 'Fl': 0.0030240055056955186, 'z': 0.5051437534084785, 'al': 0.0010278052247381158, 'Fal': 0.0012381557560402466}",z,True
