,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I don't like the restaurants nearby. Between Juice & Java Cafe and Smoke's Weinerie, I should go to ->",Smoke's Weinerie,Juice & Java Cafe,"{'Smoke': 0.8009265692189842, 'Juice': 0.19795718679032695, 'Sauce': 0.00023307016788826724, 'Sn': 0.0001171794543933356, 'm': 0.00022158041211076484}",Smoke,True
1,"I don't like the restaurants nearby. Between Nutella Cafe by Pusateri's and Green Grotto, I should go to ->",Nutella Cafe by Pusateri's,Green Grotto,"{'Nut': 0.0008222607492582642, 'Green': 6.494881888509526e-05, 'B': 2.719854967092101e-06, 'P': 0.9990746259728663, 'ut': 1.866101443266443e-05}",P,True
2,"I don't like the restaurants nearby. Between Bonne Journee and McDonald's, I should go to ->",Bonne Journee,McDonald's,"{'McDonald': 0.14440031082471508, 'Gor': 0.000661966240202898, 'on': 0.019319164431890034, 'B': 0.0676429461210955, 'Bon': 0.7605100137844885}",Bon,True
3,"I don't like the restaurants nearby. Between Dangerous Dan's Diner and Green Room, I should go to ->",Green Room,Dangerous Dan's Diner,"{'Danger': 0.001009057653496237, 'Dangerous': 0.92653804218234, 'Green': 0.06986698911628547, 'D': 0.0006638591861691629, 'The': 0.0007851226581245787}",Dangerous,False
4,"I don't like the restaurants nearby. Between Ciao Europa wine bar and To-ne Sushi, I should go to ->",To-ne Sushi,Ciao Europa wine bar,"{'To': 0.0002827433393276677, 'S': 4.0398463172236014e-07, 'A': 2.816721587293618e-07, 'C': 0.9997153169099232, 'R': 2.017908645244165e-07}",C,False
5,"I don't like the restaurants nearby. Between Basil Express Restaurant and Green Room, I should go to ->",Green Room,Basil Express Restaurant,"{'as': 0.0018722124857932898, 'Red': 0.0005358525650157422, 'Basil': 0.9779920341709197, 'Green': 0.01437799451365038, 'basil': 0.001576799372632029}",Basil,False
6,"I don't like the restaurants nearby. Between Harvey's and Breakfast Room, I should go to ->",Harvey's,Breakfast Room,"{'Harvey': 0.9879034506732616, 'Fl': 0.00027599881106276703, 'Breakfast': 0.007772967265898729, 'Dinner': 0.0004445762396255606, 'The': 0.0012443537003968632}",Harvey,True
7,"I don't like the restaurants nearby. Between Verona Restaurant and St. Louis Bar & Grill, I should go to ->",Verona Restaurant,St. Louis Bar & Grill,"{'er': 0.0012906065207246198, 'B': 0.00014050394377661067, 'Ver': 0.8487140308299, 'St': 0.14895929474360506, 'V': 0.00029599736668921696}",Ver,True
8,"I don't like the restaurants nearby. Between Basil Express Restaurant and JJ Bean, I should go to ->",JJ Bean,Basil Express Restaurant,"{'as': 0.0006173169318850266, 'J': 0.00400419627099709, 'Basil': 0.3047521364941645, 'basil': 0.0007231585971797678, 'JJ': 0.6882513317371095}",JJ,True
9,"I don't like the restaurants nearby. Between Ardor Bistro and Daily Press Juicery, I should go to ->",Ardor Bistro,Daily Press Juicery,"{'A': 3.0261357179453214e-05, 'ard': 6.52564934655187e-05, 'Ard': 0.9996080860583403, 'Daily': 3.5981523045553714e-05, 'Ast': 2.602109507161818e-05}",Ard,True
10,"I don't like the restaurants nearby. Between Eggspectation and Evoo Ristorante, I should go to ->",Eggspectation,Evoo Ristorante,"{'v': 0.004753918755044057, 'Conv': 0.0037008379944104912, 'R': 0.001729506796234158, 'The': 0.00017110776419217115, 'Ev': 0.9888949761102146}",Ev,False
11,"I don't like the restaurants nearby. Between Basha Middle Eastern Grill and St. Clair Shawarma and Falafel, I should go to ->",St. Clair Shawarma and Falafel,Basha Middle Eastern Grill,"{'fart': 4.503980903625152e-07, 'S': 1.1880431691686143e-06, 'B': 0.999531017506685, 'St': 0.00046093109255052, 'Middle': 1.6505648422442215e-06}",B,False
12,"I don't like the restaurants nearby. Between La Cocina De Dona Luz and Phil's Original BBQ, I should go to ->",Phil's Original BBQ,La Cocina De Dona Luz,"{'Ph': 0.0015766188394395844, 'Philip': 0.0015206927368771658, 'hil': 0.04562737562234667, 'Phil': 0.9371476516710519, 'La': 0.013399087116235452}",Phil,True
13,"I don't like the restaurants nearby. Between Breakfast Room and Sky Dragon Chinese Restaurant, I should go to ->",Sky Dragon Chinese Restaurant,Breakfast Room,"{'ky': 0.027026127383736276, 'Sun': 0.00030954533449725996, 'The': 0.00041405344428285964, 'Chinese': 0.005627539309256802, 'Sky': 0.9651739507919321}",Sky,True
14,"I don't like the restaurants nearby. Between Mt Everest Restaurant and Lahore Grill & Fast Food, I should go to ->",Mt Everest Restaurant,Lahore Grill & Fast Food,"{'Mt': 0.7728723344386402, 'Lah': 0.21414945925496284, 'Everest': 0.0019882130668635993, 'Mount': 0.003610627496490773, 'Mountain': 0.0033963002554428666}",Mt,True
15,"I don't like the restaurants nearby. Between Scaddabush Italian Kitchen & Bar and Galata Cafe, I should go to ->",Galata Cafe,Scaddabush Italian Kitchen & Bar,"{'Sc': 0.0013112736004226343, 'Fl': 0.00036907008489270033, 'Gor': 0.0001515918266693456, 'al': 0.006418672232740891, 'Gal': 0.9913911036085772}",Gal,True
16,"I don't like the restaurants nearby. Between Pasta Pantry and Sheriff Broaster Chicken, I should go to ->",Pasta Pantry,Sheriff Broaster Chicken,"{'Sheriff': 0.9824593992609568, 'her': 0.014741913261497297, 'B': 0.0004924296254743973, 'The': 0.00036513525915485805, 'Sher': 0.0002697062915860577}",Sheriff,False
17,"I don't like the restaurants nearby. Between Basil Express Restaurant and Mi Mi Restaurant, I should go to ->",Mi Mi Restaurant,Basil Express Restaurant,"{'Mi': 0.0001848425825955367, 'as': 0.0015988085234287367, 'Epic': 0.0003535971101100072, 'Basil': 0.9923941098897606, 'basil': 0.0038785003802223584}",Basil,False
18,"I don't like the restaurants nearby. Between Modo Mio Italian Bistro and La Cocina De Dona Luz, I should go to ->",Modo Mio Italian Bistro,La Cocina De Dona Luz,"{'a': 0.002283798987584207, 'Coc': 0.0008199982925206779, 'Mod': 0.1855883184493651, 'La': 0.8090980663895169, 'od': 0.0007660447266850842}",La,False
19,"I don't like the restaurants nearby. Between Tik Talk Cafe and Verona Restaurant, I should go to ->",Verona Restaurant,Tik Talk Cafe,"{'er': 0.004030717012962386, 'T': 0.0005868599222022155, 'Tik': 0.20990536346597366, 'Ver': 0.782713993369799, 'V': 0.000761936453585402}",Ver,True
20,"I don't like the restaurants nearby. Between Big Al's Diner and Lebanese Bakery, I should go to ->",Big Al's Diner,Lebanese Bakery,"{'Lebanon': 0.0008779622154940471, 'Lebanese': 0.9960224933179355, 'L': 3.656467308262174e-05, 'Beirut': 6.458999728204591e-05, 'Big': 0.0028053386961676523}",Lebanese,False
21,"I don't like the restaurants nearby. Between Cake Opera and La Pupusa Loka, I should go to ->",Cake Opera,La Pupusa Loka,"{'Garden': 0.0005784481752762076, 'Cake': 0.8902584812956884, 'C': 0.10430857558305971, 'The': 0.0022897942788836, 'La': 0.00028793350209277484}",Cake,True
22,"I don't like the restaurants nearby. Between Basha Middle Eastern Grill and Hawthorne Food and Drink, I should go to ->",Hawthorne Food and Drink,Basha Middle Eastern Grill,"{'fart': 3.991042831233463e-06, 'Richmond': 4.652015460053838e-06, 'B': 0.9998053804808361, 'The': 2.0176844821827575e-06, 'Hawth': 0.0001710335195347677}",B,False
